LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
1734686318.920598,595352.000,29722,1,AY,1,100,-0.019
1734686318.960600,595392.000,29743,4,AY,1,100,-0.013
1734686319.000601,595432.000,29743,4,AY,1,100,-0.025
1734686319.040603,595472.000,29743,4,AY,1,100,-0.023
1734686319.080604,595512.000,29743,4,AY,1,100,-0.014
1734686319.120606,595552.000,29761,2,AY,1,100,-0.020
1734686319.160607,595592.000,29761,2,AY,1,100,-0.023
1734686319.195942,595627.333,29777,3,AY,1,100,-0.014
1734686319.231277,595662.667,29777,3,AY,1,100,-0.024
1734686319.266611,595698.000,29777,3,AY,1,100,-0.020
1734686319.306613,595738.000,29792,2,AY,1,100,-0.005
1734686319.346614,595778.000,29792,2,AY,1,100,-0.021
1734686319.386616,595818.000,29809,3,AY,1,100,-0.009
1734686319.426617,595858.000,29809,3,AY,1,100,-0.035
1734686319.466619,595898.000,29809,3,AY,1,100,-0.039
1734686319.506620,595938.000,29826,3,AY,1,100,-0.038
1734686319.546622,595978.000,29826,3,AY,1,100,-0.083
1734686319.586623,596018.000,29826,3,AY,1,100,-0.021
1734686319.626625,596058.000,29842,2,AY,1,100,0.006
1734686319.666626,596098.000,29842,2,AY,1,100,-0.010
1734686319.706628,596138.000,29857,3,AY,1,100,-0.039
1734686319.746629,596178.000,29857,3,AY,1,100,-0.033
1734686319.786631,596218.000,29857,3,AY,1,100,-0.038
1734686319.826632,596258.000,29874,2,AY,1,100,-0.033
1734686319.866634,596298.000,29874,2,AY,1,100,-0.032
1734686319.906635,596338.000,29891,3,AY,1,100,-0.038
1734686319.946637,596378.000,29891,3,AY,1,100,-0.034
1734686319.986638,596418.000,29891,3,AY,1,100,-0.012
1734686320.026640,596458.000,29907,2,AY,1,100,-0.026
1734686320.066641,596498.000,29907,2,AY,1,100,-0.056
1734686320.106643,596538.000,29924,3,AY,1,100,-0.024
1734686320.146644,596578.000,29924,3,AY,1,100,-0.020
1734686320.186646,596618.000,29924,3,AY,1,100,-0.021
1734686320.226647,596658.000,29943,2,AY,1,100,-0.032
1734686320.266649,596698.000,29943,2,AY,1,100,-0.036
1734686320.306650,596738.000,29960,3,AY,1,100,-0.036
1734686320.346652,596778.000,29960,3,AY,1,100,-0.028
1734686320.386653,596818.000,29960,3,AY,1,100,-0.007
1734686320.422321,596853.667,29977,3,AY,1,100,-0.038
1734686320.457989,596889.333,29977,3,AY,1,100,-0.041
1734686320.493657,596925.000,29977,3,AY,1,100,-0.020
1734686320.533659,596965.000,29994,2,AY,1,100,-0.002
1734686320.573660,597005.000,29994,2,AY,1,100,-0.021
1734686320.613662,597045.000,30008,3,AY,1,100,-0.045
1734686320.653663,597085.000,30008,3,AY,1,100,-0.032
1734686320.693665,597125.000,30008,3,AY,1,100,-0.023
