LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1734686320.280649,596712,29934,1,BI,1,100,3080
1734686320.893672,597325,30034,1,BI,1,100,600
1734686321.253686,597685,30101,1,BI,1,100,360
1734686321.973713,598405,30218,1,BI,1,100,720
1734686322.693740,599125,30334,1,BI,1,100,720
1734686323.533772,599965,30466,1,BI,1,100,840
1734686324.346802,600778,30606,1,BI,1,100,800
1734686325.346840,601778,30773,1,BI,1,100,1000
1734686325.706853,602138,30823,1,BI,1,100,360
1734686326.826895,603258,31006,1,BI,1,100,1120
1734686328.639963,605071,31304,1,BI,1,100,1800
1734686329.920012,606351,31506,1,BI,1,100,1280
1734686330.720042,607151,31640,1,BI,1,100,800
1734686331.360065,607791,31741,1,BI,1,100,640
1734686332.093093,608524,31856,1,BI,1,100,720
1734686332.653114,609084,31957,1,BI,1,100,560
1734686333.293138,609724,32056,1,BI,1,100,640
1734686333.853159,610284,32157,1,BI,1,100,560
1734686334.533185,610964,32263,1,BI,1,100,680
1734686335.546223,611977,32429,1,BI,1,100,1000
1734686336.546260,612977,32595,1,BI,1,100,1000
1734686337.306289,613737,32711,1,BI,1,100,760
1734686338.226323,614657,32860,1,BI,1,100,920
1734686339.106357,615537,33009,1,BI,1,100,880
1734686340.119395,616550,33168,1,BI,1,100,1000
1734686340.799420,617230,33267,1,BI,1,100,680
1734686341.679453,618110,33416,1,BI,1,100,880
1734686342.799495,619230,33599,1,BI,1,100,1120
1734686343.572524,620003,33715,1,BI,1,100,760
1734686344.372554,620803,33847,1,BI,1,100,800
1734686345.332590,621763,34006,1,BI,1,100,960
1734686347.425669,623856,34334,1,BI,1,100,2080
1734686348.105695,624536,34450,1,BI,1,100,680
1734686349.065731,625496,34599,1,BI,1,100,960
1734686349.985765,626416,34754,1,BI,1,100,920
1734686350.718793,627149,34871,1,BI,1,100,720
1734686351.638827,628069,35021,1,BI,1,100,920
1734686352.678866,629109,35185,1,BI,1,100,1040
1734686353.438895,629869,35318,1,BI,1,100,760
1734686354.331928,630762,35466,1,BI,1,100,880
1734686355.331966,631762,35625,1,BI,1,100,1000
1734686356.171998,632602,35757,1,BI,1,100,840
1734686357.612052,634042,35987,1,BI,1,100,1440
1734686358.545087,634975,36153,1,BI,1,100,920
1734686359.425120,635855,36285,1,BI,1,100,880
1734686359.985141,636415,36391,1,BI,1,100,560
1734686360.185148,636615,36411,1,BI,1,100,200
1734686360.785171,637215,36510,1,BI,1,100,600
1734686361.785208,638215,36676,1,BI,1,100,1000
1734686362.758245,639188,36842,1,BI,1,100,960
1734686363.438271,639868,36941,1,BI,1,100,680
1734686363.798284,640228,37008,1,BI,1,100,360
1734686364.318304,640748,37093,1,BI,1,100,520
1734686365.437346,641867,37284,1,BI,1,100,1120
1734686366.451384,642881,37448,1,BI,1,100,1000
1734686367.131409,643561,37549,1,BI,1,100,680
1734686367.971441,644401,37682,1,BI,1,100,840
1734686368.931477,645361,37848,1,BI,1,100,960
1734686369.704506,646134,37980,1,BI,1,100,760
1734686370.424533,646854,38087,1,BI,1,100,720
1734686371.344568,647774,38237,1,BI,1,100,920
1734686372.304604,648734,38386,1,BI,1,100,960
1734686373.183637,649613,38534,1,BI,1,100,880
1734686373.877663,650307,38651,1,BI,1,100,680
1734686374.917702,651347,38815,1,BI,1,100,1040
1734686375.757734,652187,38942,1,BI,1,100,840
1734686376.556763,652986,39075,1,BI,1,100,800
1734686377.570801,654000,39239,1,BI,1,100,1000
1734686378.290829,654720,39357,1,BI,1,100,720
1734686379.409871,655839,39537,1,BI,1,100,1120
1734686380.249902,656679,39672,1,BI,1,100,840
1734686380.929928,657359,39779,1,BI,1,100,680
1734686381.103934,657533,39812,1,BI,1,100,160
1734686381.663955,658093,39896,1,BI,1,100,560
1734686382.623991,659053,40062,1,BI,1,100,960
1734686385.077084,661506,40455,1,BI,1,100,2440
1734686386.156124,662585,40630,1,BI,1,100,1080
1734686387.037157,663466,40780,1,BI,1,100,880
1734686387.676181,664105,40879,1,BI,1,100,640
1734686388.556214,664985,41028,1,BI,1,100,880
1734686389.490249,665919,41178,1,BI,1,100,920
1734686390.489287,666918,41346,1,BI,1,100,1000
1734686391.249316,667678,41466,1,BI,1,100,760
1734686392.009344,668438,41584,1,BI,1,100,760
1734686392.863376,669292,41731,1,BI,1,100,840
1734686393.662406,670091,41849,1,BI,1,100,800
1734686394.342432,670771,41964,1,BI,1,100,680
1734686395.142462,671571,42096,1,BI,1,100,800
1734686396.062496,672491,42253,1,BI,1,100,920
1734686396.755522,673184,42354,1,BI,1,100,680
1734686397.515551,673944,42487,1,BI,1,100,760
1734686398.395584,674824,42635,1,BI,1,100,880
1734686399.315619,675744,42785,1,BI,1,100,920
1734686400.089648,676518,42900,1,BI,1,100,760
1734686400.888678,677317,43035,1,BI,1,100,800
1734686401.688708,678117,43156,1,BI,1,100,800
1734686402.488738,678917,43288,1,BI,1,100,800
1734686402.648744,679077,43324,1,BI,1,100,160
1734686403.248766,679677,43423,1,BI,1,100,600
1734686403.941792,680370,43539,1,BI,1,100,680
1734686404.741822,681170,43672,1,BI,1,100,800
1734686405.501851,681930,43790,1,BI,1,100,760
1734686406.341882,682770,43927,1,BI,1,100,840
1734686407.061909,683490,44044,1,BI,1,100,720
1734686407.994945,684423,44194,1,BI,1,100,920
1734686408.954981,685383,44358,1,BI,1,100,960
1734686409.795012,686223,44490,1,BI,1,100,840
1734686410.595042,687023,44625,1,BI,1,100,800
1734686411.395072,687823,44747,1,BI,1,100,800
1734686412.248104,688676,44880,1,BI,1,100,840
1734686413.048134,689476,45012,1,BI,1,100,800
1734686413.768162,690196,45130,1,BI,1,100,720
1734686414.568192,690996,45263,1,BI,1,100,800
1734686415.301219,691729,45380,1,BI,1,100,720
1734686416.101249,692529,45512,1,BI,1,100,800
1734686416.861278,693289,45637,1,BI,1,100,760
1734686417.621306,694049,45754,1,BI,1,100,760
1734686418.261330,694689,45853,1,BI,1,100,640
1734686419.114362,695542,46001,1,BI,1,100,840
1734686419.994395,696422,46134,1,BI,1,100,880
1734686420.154401,696582,46171,1,BI,1,100,160
1734686420.714422,697142,46270,1,BI,1,100,560
1734686421.474451,697902,46395,1,BI,1,100,760
1734686422.274481,698702,46512,1,BI,1,100,800
1734686423.127513,699555,46660,1,BI,1,100,840
1734686423.887542,700315,46778,1,BI,1,100,760
1734686424.567567,700995,46894,1,BI,1,100,680
1734686425.287594,701715,47011,1,BI,1,100,720
1734686426.007621,702435,47129,1,BI,1,100,720
