LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1734686318.932599,595364.000,29719,1,EA,1,100,3.762383
1734686318.999101,595430.500,29738,2,EA,1,100,3.764424
1734686319.065604,595497.000,29738,2,EA,1,100,3.764424
1734686319.132606,595564.000,29756,1,EA,1,100,3.766447
1734686319.199609,595631.000,29772,2,EA,1,100,3.768493
1734686319.266611,595698.000,29772,2,EA,1,100,3.770521
1734686319.332614,595764.000,29789,1,EA,1,100,3.770521
1734686319.399116,595830.500,29804,2,EA,1,100,3.770521
1734686319.465619,595897.000,29804,2,EA,1,100,3.772552
1734686319.532621,595964.000,29821,1,EA,1,100,3.776638
1734686319.599124,596030.500,29837,2,EA,1,100,3.778695
1734686319.665626,596097.000,29837,2,EA,1,100,3.782776
1734686319.732629,596164.000,29854,1,EA,1,100,3.786885
1734686319.799131,596230.500,29869,2,EA,1,100,3.791003
1734686319.865634,596297.000,29869,2,EA,1,100,3.791003
1734686319.932636,596364.000,29886,1,EA,1,100,3.795130
1734686319.999139,596430.500,29902,2,EA,1,100,3.801327
1734686320.065641,596497.000,29902,2,EA,1,100,3.801327
1734686320.132644,596564.000,29920,1,EA,1,100,3.801327
1734686320.199146,596630.500,29939,2,EA,1,100,3.805477
1734686320.265649,596697.000,29939,2,EA,1,100,3.801327
1734686320.332651,596764.000,29955,2,EA,1,100,3.807545
1734686320.399654,596831.000,29955,2,EA,1,100,3.805477
1734686320.465656,596897.000,29972,1,EA,1,100,3.807545
1734686320.532659,596964.000,29989,2,EA,1,100,3.809635
1734686320.599661,597031.000,29989,2,EA,1,100,3.803391
1734686320.665664,597097.000,30005,1,EA,1,100,3.801327
1734686320.732666,597164.000,30021,2,EA,1,100,3.805477
1734686320.799669,597231.000,30021,2,EA,1,100,3.803391
1734686320.865671,597297.000,30039,1,EA,1,100,3.801327
1734686320.932674,597364.000,30056,2,EA,1,100,3.801327
1734686320.999676,597431.000,30056,2,EA,1,100,3.801327
1734686321.065679,597497.000,30072,1,EA,1,100,3.797187
1734686321.132681,597564.000,30088,2,EA,1,100,3.795130
1734686321.199684,597631.000,30088,2,EA,1,100,3.791003
1734686321.265686,597697.000,30106,1,EA,1,100,3.791003
1734686321.332689,597764.000,30123,2,EA,1,100,3.791003
1734686321.399691,597831.000,30123,2,EA,1,100,3.791003
1734686321.465694,597897.000,30140,1,EA,1,100,3.791003
1734686321.532696,597964.000,30155,2,EA,1,100,3.791003
1734686321.599699,598031.000,30155,2,EA,1,100,3.791003
1734686321.665701,598097.000,30171,1,EA,1,100,3.791003
1734686321.732704,598164.000,30189,2,EA,1,100,3.791003
1734686321.799706,598231.000,30189,2,EA,1,100,3.791003
1734686321.865709,598297.000,30205,1,EA,1,100,3.791003
1734686321.932711,598364.000,30223,2,EA,1,100,3.791003
1734686321.999714,598431.000,30223,2,EA,1,100,3.791003
1734686322.065716,598497.000,30238,1,EA,1,100,3.791003
1734686322.132719,598564.000,30256,2,EA,1,100,3.791003
1734686322.199721,598631.000,30256,2,EA,1,100,3.791003
1734686322.266224,598697.500,30272,2,EA,1,100,3.795130
1734686322.332726,598764.000,30272,2,EA,1,100,3.797187
1734686322.398729,598830.000,30289,1,EA,1,100,3.793055
1734686322.465731,598897.000,30304,2,EA,1,100,3.791003
1734686322.532734,598964.000,30304,2,EA,1,100,3.791003
1734686322.599736,599031.000,30321,1,EA,1,100,3.791003
1734686322.666239,599097.500,30339,2,EA,1,100,3.791003
1734686322.732741,599164.000,30339,2,EA,1,100,3.791003
1734686322.799744,599231.000,30357,1,EA,1,100,3.791003
1734686322.866246,599297.500,30371,2,EA,1,100,3.786885
1734686322.932749,599364.000,30371,2,EA,1,100,3.780734
1734686322.998751,599430.000,30388,1,EA,1,100,3.780734
1734686323.065754,599497.000,30405,2,EA,1,100,3.780734
1734686323.132756,599564.000,30405,2,EA,1,100,3.774604
1734686323.199759,599631.000,30422,1,EA,1,100,3.770521
1734686323.266261,599697.500,30436,2,EA,1,100,3.770521
1734686323.332764,599764.000,30436,2,EA,1,100,3.770521
1734686323.398767,599830.000,30453,1,EA,1,100,3.766447
1734686323.465769,599897.000,30472,2,EA,1,100,3.764424
1734686323.532771,599964.000,30472,2,EA,1,100,3.762383
1734686323.599774,600031.000,30489,1,EA,1,100,3.760363
1734686323.666276,600097.500,30504,2,EA,1,100,3.760363
1734686323.732779,600164.000,30504,2,EA,1,100,3.754298
1734686323.798781,600230.000,30521,1,EA,1,100,3.754298
1734686323.865784,600297.000,30537,2,EA,1,100,3.750259
1734686323.932786,600364.000,30537,2,EA,1,100,3.748253
1734686323.999289,600430.500,30554,2,EA,1,100,3.750259
1734686324.065791,600497.000,30554,2,EA,1,100,3.750259
1734686324.132294,600563.500,30577,2,EA,1,100,3.740210
1734686324.198797,600630.000,30577,2,EA,1,100,3.740210
1734686324.265799,600697.000,30593,1,EA,1,100,3.740210
1734686324.332301,600763.500,30611,2,EA,1,100,3.734210
1734686324.398804,600830.000,30611,2,EA,1,100,3.734210
1734686324.465806,600897.000,30627,2,EA,1,100,3.734210
1734686324.532809,600964.000,30627,2,EA,1,100,3.730215
1734686324.598811,601030.000,30644,1,EA,1,100,3.732202
1734686324.665814,601097.000,30660,2,EA,1,100,3.730215
1734686324.732816,601164.000,30660,2,EA,1,100,3.730215
1734686324.798819,601230.000,30678,1,EA,1,100,3.730215
1734686324.865822,601297.000,30692,2,EA,1,100,3.728230
1734686324.932824,601364.000,30692,2,EA,1,100,3.728230
1734686324.998827,601430.000,30709,1,EA,1,100,3.726228
1734686325.065829,601497.000,30726,2,EA,1,100,3.728230
1734686325.132832,601564.000,30726,2,EA,1,100,3.722249
1734686325.198834,601630.000,30745,1,EA,1,100,3.720272
1734686325.265337,601696.500,30759,2,EA,1,100,3.720272
1734686325.331839,601763.000,30759,2,EA,1,100,3.720272
1734686325.398842,601830.000,30778,1,EA,1,100,3.720272
1734686325.465844,601897.000,30795,2,EA,1,100,3.720272
1734686325.532847,601964.000,30795,2,EA,1,100,3.716306
1734686325.598849,602030.000,30812,1,EA,1,100,3.720272
1734686325.665352,602096.500,30828,2,EA,1,100,3.720272
1734686325.731854,602163.000,30828,2,EA,1,100,3.720272
1734686325.798856,602230.000,30846,1,EA,1,100,3.712349
1734686325.865859,602297.000,30862,2,EA,1,100,3.712349
1734686325.932862,602364.000,30862,2,EA,1,100,3.710383
1734686325.998864,602430.000,30879,1,EA,1,100,3.710383
1734686326.065367,602496.500,30894,2,EA,1,100,3.712349
1734686326.131869,602563.000,30894,2,EA,1,100,3.716306
1734686326.198872,602630.000,30911,1,EA,1,100,3.724247
1734686326.265374,602696.500,30927,2,EA,1,100,3.732202
1734686326.331877,602763.000,30927,2,EA,1,100,3.744228
1734686326.398879,602830.000,30944,1,EA,1,100,3.756311
1734686326.465382,602896.500,30960,2,EA,1,100,3.768493
1734686326.531884,602963.000,30960,2,EA,1,100,3.782776
1734686326.598887,603030.000,30976,1,EA,1,100,3.797187
1734686326.665389,603096.500,30992,2,EA,1,100,3.811708
1734686326.731892,603163.000,30992,2,EA,1,100,3.830545
1734686326.798894,603230.000,31012,2,EA,1,100,3.851686
1734686326.865897,603297.000,31012,2,EA,1,100,3.864474
1734686326.931899,603363.000,31028,1,EA,1,100,3.877348
1734686326.998902,603430.000,31043,2,EA,1,100,3.890329
1734686327.065904,603497.000,31043,2,EA,1,100,3.905573
1734686327.131907,603563.000,31060,1,EA,1,100,3.918722
1734686327.198909,603630.000,31077,2,EA,1,100,3.923132
1734686327.265912,603697.000,31077,2,EA,1,100,3.929755
1734686327.331914,603763.000,31093,1,EA,1,100,3.940850
1734686327.398917,603830.000,31111,2,EA,1,100,3.940850
1734686327.465919,603897.000,31111,2,EA,1,100,3.940850
1734686327.531922,603963.000,31127,1,EA,1,100,3.940850
1734686327.598924,604030.000,31144,2,EA,1,100,3.940850
1734686327.665927,604097.000,31144,2,EA,1,100,3.940850
1734686327.731929,604163.000,31160,1,EA,1,100,3.936401
1734686327.798932,604230.000,31176,2,EA,1,100,3.934190
1734686327.865934,604297.000,31176,2,EA,1,100,3.929755
1734686327.931937,604363.000,31192,1,EA,1,100,3.927552
1734686327.998939,604430.000,31209,2,EA,1,100,3.920915
1734686328.065942,604497.000,31209,2,EA,1,100,3.916532
1734686328.131944,604563.000,31226,1,EA,1,100,3.905573
1734686328.198947,604630.000,31241,2,EA,1,100,3.907751
1734686328.265949,604697.000,31241,2,EA,1,100,3.901202
1734686328.331952,604763.000,31257,1,EA,1,100,3.899010
1734686328.398954,604830.000,31275,2,EA,1,100,3.894675
1734686328.465957,604897.000,31275,2,EA,1,100,3.888149
1734686328.531959,604963.000,31291,1,EA,1,100,3.881665
1734686328.598962,605030.000,31309,2,EA,1,100,3.877348
1734686328.665964,605097.000,31309,2,EA,1,100,3.875203
1734686328.731967,605163.000,31324,1,EA,1,100,3.870901
1734686328.798969,605230.000,31342,2,EA,1,100,3.864474
1734686328.865972,605297.000,31342,2,EA,1,100,3.858070
1734686328.932474,605363.500,31358,2,EA,1,100,3.853805
1734686328.998977,605430.000,31358,2,EA,1,100,3.851686
1734686329.065979,605497.000,31375,1,EA,1,100,3.847435
1734686329.132482,605563.500,31390,2,EA,1,100,3.843194
1734686329.198984,605630.000,31390,2,EA,1,100,3.838961
1734686329.265487,605696.500,31410,2,EA,1,100,3.832641
1734686329.331989,605763.000,31410,2,EA,1,100,3.834738
1734686329.398992,605830.000,31426,1,EA,1,100,3.830545
1734686329.465494,605896.500,31444,2,EA,1,100,3.826341
1734686329.531997,605963.000,31444,2,EA,1,100,3.822146
1734686329.598999,606030.000,31460,1,EA,1,100,3.822146
1734686329.665502,606096.500,31475,2,EA,1,100,3.820062
1734686329.732004,606163.000,31475,2,EA,1,100,3.815880
1734686329.799007,606230.000,31492,1,EA,1,100,3.813783
1734686329.865509,606296.500,31511,2,EA,1,100,3.813783
1734686329.932012,606363.000,31511,2,EA,1,100,3.811708
1734686329.998514,606429.500,31527,2,EA,1,100,3.803391
1734686330.065017,606496.000,31527,2,EA,1,100,3.807545
1734686330.132019,606563.000,31545,1,EA,1,100,3.801327
1734686330.198522,606629.500,31561,2,EA,1,100,3.801327
1734686330.265024,606696.000,31561,2,EA,1,100,3.801327
1734686330.332027,606763.000,31578,1,EA,1,100,3.797187
1734686330.398529,606829.500,31595,2,EA,1,100,3.795130
1734686330.465032,606896.000,31595,2,EA,1,100,3.791003
1734686330.532034,606963.000,31612,1,EA,1,100,3.791003
1734686330.598537,607029.500,31626,2,EA,1,100,3.788953
1734686330.665039,607096.000,31626,2,EA,1,100,3.791003
1734686330.732042,607163.000,31645,1,EA,1,100,3.788953
1734686330.798544,607229.500,31662,2,EA,1,100,3.786885
1734686330.865047,607296.000,31662,2,EA,1,100,3.784839
1734686330.932050,607363.000,31679,1,EA,1,100,3.780734
1734686330.998552,607429.500,31693,2,EA,1,100,3.780734
1734686331.065054,607496.000,31693,2,EA,1,100,3.780734
