LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1734686318.932599,595364.000,29720,1,EL,1,100,-19238.199219
1734686318.999101,595430.500,29739,2,EL,1,100,-19238.400391
1734686319.065604,595497.000,29739,2,EL,1,100,-19238.400391
1734686319.132606,595564.000,29757,1,EL,1,100,-19238.599609
1734686319.199609,595631.000,29773,2,EL,1,100,-19238.800781
1734686319.266611,595698.000,29773,2,EL,1,100,-19239.000000
1734686319.332614,595764.000,29790,1,EL,1,100,-19239.000000
1734686319.399116,595830.500,29805,2,EL,1,100,-19239.000000
1734686319.465619,595897.000,29805,2,EL,1,100,-19239.199219
1734686319.532621,595964.000,29822,1,EL,1,100,-19239.599609
1734686319.599124,596030.500,29838,2,EL,1,100,-19239.800781
1734686319.665626,596097.000,29838,2,EL,1,100,-19240.199219
1734686319.732629,596164.000,29855,1,EL,1,100,-19240.599609
1734686319.799131,596230.500,29870,2,EL,1,100,-19241.000000
1734686319.865634,596297.000,29870,2,EL,1,100,-19241.000000
1734686319.932636,596364.000,29887,1,EL,1,100,-19241.400391
1734686319.999139,596430.500,29903,2,EL,1,100,-19242.000000
1734686320.065641,596497.000,29903,2,EL,1,100,-19242.000000
1734686320.132644,596564.000,29921,1,EL,1,100,-19242.000000
1734686320.199146,596630.500,29940,2,EL,1,100,-19242.400391
1734686320.265649,596697.000,29940,2,EL,1,100,-19242.000000
1734686320.332651,596764.000,29956,2,EL,1,100,-19242.599609
1734686320.399654,596831.000,29956,2,EL,1,100,-19242.400391
1734686320.465656,596897.000,29973,1,EL,1,100,-19242.599609
1734686320.532659,596964.000,29990,2,EL,1,100,-19242.800781
1734686320.599661,597031.000,29990,2,EL,1,100,-19242.199219
1734686320.665664,597097.000,30006,1,EL,1,100,-19242.000000
1734686320.732666,597164.000,30022,2,EL,1,100,-19242.400391
1734686320.799669,597231.000,30022,2,EL,1,100,-19242.199219
1734686320.865671,597297.000,30040,1,EL,1,100,-19242.000000
1734686320.932674,597364.000,30057,2,EL,1,100,-19242.000000
1734686320.999676,597431.000,30057,2,EL,1,100,-19242.000000
1734686321.065679,597497.000,30073,1,EL,1,100,-19241.599609
1734686321.132681,597564.000,30089,2,EL,1,100,-19241.400391
1734686321.199684,597631.000,30089,2,EL,1,100,-19241.000000
1734686321.265686,597697.000,30107,1,EL,1,100,-19241.000000
1734686321.332689,597764.000,30124,2,EL,1,100,-19241.000000
1734686321.399691,597831.000,30124,2,EL,1,100,-19241.000000
1734686321.465694,597897.000,30141,1,EL,1,100,-19241.000000
1734686321.532696,597964.000,30156,2,EL,1,100,-19241.000000
1734686321.599699,598031.000,30156,2,EL,1,100,-19241.000000
1734686321.665701,598097.000,30172,1,EL,1,100,-19241.000000
1734686321.732704,598164.000,30190,2,EL,1,100,-19241.000000
1734686321.799706,598231.000,30190,2,EL,1,100,-19241.000000
1734686321.865709,598297.000,30206,1,EL,1,100,-19241.000000
1734686321.932711,598364.000,30224,2,EL,1,100,-19241.000000
1734686321.999714,598431.000,30224,2,EL,1,100,-19241.000000
1734686322.065716,598497.000,30239,1,EL,1,100,-19241.000000
1734686322.132719,598564.000,30257,2,EL,1,100,-19241.000000
1734686322.199721,598631.000,30257,2,EL,1,100,-19241.000000
1734686322.266224,598697.500,30273,2,EL,1,100,-19241.400391
1734686322.332726,598764.000,30273,2,EL,1,100,-19241.599609
1734686322.398729,598830.000,30290,1,EL,1,100,-19241.199219
1734686322.465731,598897.000,30305,2,EL,1,100,-19241.000000
1734686322.532734,598964.000,30305,2,EL,1,100,-19241.000000
1734686322.599736,599031.000,30322,1,EL,1,100,-19241.000000
1734686322.666239,599097.500,30340,2,EL,1,100,-19241.000000
1734686322.732741,599164.000,30340,2,EL,1,100,-19241.000000
1734686322.799744,599231.000,30358,1,EL,1,100,-19241.000000
1734686322.866246,599297.500,30372,2,EL,1,100,-19240.599609
1734686322.932749,599364.000,30372,2,EL,1,100,-19240.000000
1734686322.998751,599430.000,30389,1,EL,1,100,-19240.000000
1734686323.065754,599497.000,30406,2,EL,1,100,-19240.000000
1734686323.132756,599564.000,30406,2,EL,1,100,-19239.400391
1734686323.199759,599631.000,30423,1,EL,1,100,-19239.000000
1734686323.266261,599697.500,30437,2,EL,1,100,-19239.000000
1734686323.332764,599764.000,30437,2,EL,1,100,-19239.000000
1734686323.398767,599830.000,30454,1,EL,1,100,-19238.599609
1734686323.465769,599897.000,30473,2,EL,1,100,-19238.400391
1734686323.532771,599964.000,30473,2,EL,1,100,-19238.199219
1734686323.599774,600031.000,30490,1,EL,1,100,-19238.000000
1734686323.666276,600097.500,30505,2,EL,1,100,-19238.000000
1734686323.732779,600164.000,30505,2,EL,1,100,-19237.400391
1734686323.798781,600230.000,30522,1,EL,1,100,-19237.400391
1734686323.865784,600297.000,30538,2,EL,1,100,-19237.000000
1734686323.932786,600364.000,30538,2,EL,1,100,-19236.800781
1734686323.999289,600430.500,30555,2,EL,1,100,-19237.000000
1734686324.065791,600497.000,30555,2,EL,1,100,-19237.000000
1734686324.132294,600563.500,30578,2,EL,1,100,-19236.000000
1734686324.198797,600630.000,30578,2,EL,1,100,-19236.000000
1734686324.265799,600697.000,30594,1,EL,1,100,-19236.000000
1734686324.332301,600763.500,30612,2,EL,1,100,-19235.400391
1734686324.398804,600830.000,30612,2,EL,1,100,-19235.400391
1734686324.465806,600897.000,30628,2,EL,1,100,-19235.400391
1734686324.532809,600964.000,30628,2,EL,1,100,-19235.000000
1734686324.598811,601030.000,30645,1,EL,1,100,-19235.199219
1734686324.665814,601097.000,30661,2,EL,1,100,-19235.000000
1734686324.732816,601164.000,30661,2,EL,1,100,-19235.000000
1734686324.798819,601230.000,30679,1,EL,1,100,-19235.000000
