LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GX
1734686318.920598,595352.000,29724,1,GX,1,100,0.061
1734686318.960600,595392.000,29745,4,GX,1,100,0.244
1734686319.000601,595432.000,29745,4,GX,1,100,0.214
1734686319.040603,595472.000,29745,4,GX,1,100,-0.305
1734686319.080604,595512.000,29745,4,GX,1,100,-0.122
1734686319.120606,595552.000,29763,2,GX,1,100,-0.031
1734686319.160607,595592.000,29763,2,GX,1,100,-0.031
1734686319.195942,595627.333,29779,3,GX,1,100,-0.031
1734686319.231277,595662.667,29779,3,GX,1,100,-0.061
1734686319.266611,595698.000,29779,3,GX,1,100,-0.031
1734686319.306613,595738.000,29794,2,GX,1,100,-0.183
1734686319.346614,595778.000,29794,2,GX,1,100,-1.251
1734686319.386616,595818.000,29811,3,GX,1,100,-2.594
1734686319.426617,595858.000,29811,3,GX,1,100,-0.885
1734686319.466619,595898.000,29811,3,GX,1,100,0.916
1734686319.506620,595938.000,29828,3,GX,1,100,1.617
1734686319.546622,595978.000,29828,3,GX,1,100,3.845
1734686319.586623,596018.000,29828,3,GX,1,100,3.540
1734686319.626625,596058.000,29844,2,GX,1,100,2.533
1734686319.666626,596098.000,29844,2,GX,1,100,2.808
1734686319.706628,596138.000,29859,3,GX,1,100,1.770
1734686319.746629,596178.000,29859,3,GX,1,100,1.160
1734686319.786631,596218.000,29859,3,GX,1,100,1.007
1734686319.826632,596258.000,29876,2,GX,1,100,-0.671
1734686319.866634,596298.000,29876,2,GX,1,100,-0.977
1734686319.906635,596338.000,29893,3,GX,1,100,-0.610
1734686319.946637,596378.000,29893,3,GX,1,100,0.183
1734686319.986638,596418.000,29893,3,GX,1,100,0.519
1734686320.026640,596458.000,29909,2,GX,1,100,1.648
1734686320.066641,596498.000,29909,2,GX,1,100,0.641
1734686320.106643,596538.000,29926,3,GX,1,100,-0.427
1734686320.146644,596578.000,29926,3,GX,1,100,0.610
