LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1734686318.920598,595352.000,29718,1,PG,1,100,8401
1734686318.960600,595392.000,29737,4,PG,1,100,8389
1734686319.000601,595432.000,29737,4,PG,1,100,8391
1734686319.040603,595472.000,29737,4,PG,1,100,8391
1734686319.080604,595512.000,29737,4,PG,1,100,8392
1734686319.120606,595552.000,29755,2,PG,1,100,8376
1734686319.160607,595592.000,29755,2,PG,1,100,8381
1734686319.200609,595632.000,29771,3,PG,1,100,8368
1734686319.240610,595672.000,29771,3,PG,1,100,8373
1734686319.280612,595712.000,29771,3,PG,1,100,8382
1734686319.320613,595752.000,29788,2,PG,1,100,8402
1734686319.360615,595792.000,29788,2,PG,1,100,8400
1734686319.400616,595832.000,29803,3,PG,1,100,8403
1734686319.440618,595872.000,29803,3,PG,1,100,8402
1734686319.480619,595912.000,29803,3,PG,1,100,8396
1734686319.520621,595952.000,29820,2,PG,1,100,8419
1734686319.560622,595992.000,29820,2,PG,1,100,8400
1734686319.600624,596032.000,29836,3,PG,1,100,8413
1734686319.640625,596072.000,29836,3,PG,1,100,8413
1734686319.680627,596112.000,29836,3,PG,1,100,8408
1734686319.720628,596152.000,29853,2,PG,1,100,8395
1734686319.760630,596192.000,29853,2,PG,1,100,8403
1734686319.800631,596232.000,29868,3,PG,1,100,8402
1734686319.840633,596272.000,29868,3,PG,1,100,8390
1734686319.880634,596312.000,29868,3,PG,1,100,8401
1734686319.920636,596352.000,29885,2,PG,1,100,8388
1734686319.960637,596392.000,29885,2,PG,1,100,8382
1734686320.000639,596432.000,29901,3,PG,1,100,8401
1734686320.040640,596472.000,29901,3,PG,1,100,8395
1734686320.080642,596512.000,29901,3,PG,1,100,8381
1734686320.120643,596552.000,29919,2,PG,1,100,8404
1734686320.160645,596592.000,29919,2,PG,1,100,8396
1734686320.200646,596632.000,29938,3,PG,1,100,8409
1734686320.240648,596672.000,29938,3,PG,1,100,8406
1734686320.280649,596712.000,29938,3,PG,1,100,8399
1734686320.320651,596752.000,29954,3,PG,1,100,8411
1734686320.360652,596792.000,29954,3,PG,1,100,8409
1734686320.400654,596832.000,29954,3,PG,1,100,8378
1734686320.447155,596878.500,29971,2,PG,1,100,8374
1734686320.493657,596925.000,29971,2,PG,1,100,8374
1734686320.533659,596965.000,29988,2,PG,1,100,8373
1734686320.573660,597005.000,29988,2,PG,1,100,8392
1734686320.613662,597045.000,30004,3,PG,1,100,8379
1734686320.653663,597085.000,30004,3,PG,1,100,8380
1734686320.693665,597125.000,30004,3,PG,1,100,8372
1734686320.734166,597165.500,30020,2,PG,1,100,8377
1734686320.774668,597206.000,30020,2,PG,1,100,8370
1734686320.814336,597245.667,30038,3,PG,1,100,8382
1734686320.854004,597285.333,30038,3,PG,1,100,8386
1734686320.893672,597325.000,30038,3,PG,1,100,8391
1734686320.933674,597365.000,30055,2,PG,1,100,8389
1734686320.973675,597405.000,30055,2,PG,1,100,8409
1734686321.013677,597445.000,30071,3,PG,1,100,8397
1734686321.053678,597485.000,30071,3,PG,1,100,8405
1734686321.093680,597525.000,30071,3,PG,1,100,8387
1734686321.133681,597565.000,30087,3,PG,1,100,8375
1734686321.173683,597605.000,30087,3,PG,1,100,8394
1734686321.213684,597645.000,30087,3,PG,1,100,8381
1734686321.253686,597685.000,30105,2,PG,1,100,8397
1734686321.293687,597725.000,30105,2,PG,1,100,8393
1734686321.333689,597765.000,30122,3,PG,1,100,8399
1734686321.373690,597805.000,30122,3,PG,1,100,8396
1734686321.413692,597845.000,30122,3,PG,1,100,8393
1734686321.453693,597885.000,30139,2,PG,1,100,8409
1734686321.493695,597925.000,30139,2,PG,1,100,8397
1734686321.533696,597965.000,30154,3,PG,1,100,8405
1734686321.573698,598005.000,30154,3,PG,1,100,8414
1734686321.613699,598045.000,30154,3,PG,1,100,8413
1734686321.653701,598085.000,30170,2,PG,1,100,8427
1734686321.693702,598125.000,30170,2,PG,1,100,8434
1734686321.733704,598165.000,30188,3,PG,1,100,8429
1734686321.773705,598205.000,30188,3,PG,1,100,8413
1734686321.813707,598245.000,30188,3,PG,1,100,8413
1734686321.853708,598285.000,30204,2,PG,1,100,8408
1734686321.893710,598325.000,30204,2,PG,1,100,8417
1734686321.933711,598365.000,30222,3,PG,1,100,8412
1734686321.973713,598405.000,30222,3,PG,1,100,8433
1734686322.013714,598445.000,30222,3,PG,1,100,8430
1734686322.053716,598485.000,30237,2,PG,1,100,8428
1734686322.093717,598525.000,30237,2,PG,1,100,8418
1734686322.133719,598565.000,30255,3,PG,1,100,8434
1734686322.173720,598605.000,30255,3,PG,1,100,8428
1734686322.213722,598645.000,30255,3,PG,1,100,8424
1734686322.253723,598685.000,30271,3,PG,1,100,8424
1734686322.293725,598725.000,30271,3,PG,1,100,8426
1734686322.333726,598765.000,30271,3,PG,1,100,8439
1734686322.373728,598805.000,30288,2,PG,1,100,8439
1734686322.413729,598845.000,30288,2,PG,1,100,8448
1734686322.453731,598885.000,30303,3,PG,1,100,8447
1734686322.493732,598925.000,30303,3,PG,1,100,8450
1734686322.533734,598965.000,30303,3,PG,1,100,8425
1734686322.573735,599005.000,30320,2,PG,1,100,8439
1734686322.613737,599045.000,30320,2,PG,1,100,8441
1734686322.653738,599085.000,30338,3,PG,1,100,8422
1734686322.693740,599125.000,30338,3,PG,1,100,8449
1734686322.733742,599165.000,30338,3,PG,1,100,8444
1734686322.773743,599205.000,30356,2,PG,1,100,8439
1734686322.813745,599245.000,30356,2,PG,1,100,8429
1734686322.853746,599285.000,30370,3,PG,1,100,8437
1734686322.893747,599325.000,30370,3,PG,1,100,8436
1734686322.933749,599365.000,30370,3,PG,1,100,8459
1734686322.973750,599405.000,30387,2,PG,1,100,8450
1734686323.013752,599445.000,30387,2,PG,1,100,8443
1734686323.053753,599485.000,30404,3,PG,1,100,8454
1734686323.093755,599525.000,30404,3,PG,1,100,8465
1734686323.133756,599565.000,30404,3,PG,1,100,8459
1734686323.173758,599605.000,30421,2,PG,1,100,8471
1734686323.213759,599645.000,30421,2,PG,1,100,8441
1734686323.253761,599685.000,30435,3,PG,1,100,8432
1734686323.293762,599725.000,30435,3,PG,1,100,8442
1734686323.333764,599765.000,30435,3,PG,1,100,8432
1734686323.373765,599805.000,30452,3,PG,1,100,8432
1734686323.413767,599845.000,30452,3,PG,1,100,8446
1734686323.453768,599885.000,30452,3,PG,1,100,8436
1734686323.493770,599925.000,30471,2,PG,1,100,8435
1734686323.533772,599965.000,30471,2,PG,1,100,8434
1734686323.573773,600005.000,30488,3,PG,1,100,8436
1734686323.613775,600045.000,30488,3,PG,1,100,8434
1734686323.653776,600085.000,30488,3,PG,1,100,8446
1734686323.693778,600125.000,30503,2,PG,1,100,8437
1734686323.733779,600165.000,30503,2,PG,1,100,8427
1734686323.773781,600205.000,30520,3,PG,1,100,8428
1734686323.813782,600245.000,30520,3,PG,1,100,8448
1734686323.853784,600285.000,30520,3,PG,1,100,8456
1734686323.893785,600325.000,30536,2,PG,1,100,8457
1734686323.933787,600365.000,30536,2,PG,1,100,8453
1734686323.973788,600405.000,30553,3,PG,1,100,8450
1734686324.013789,600445.000,30553,3,PG,1,100,8452
1734686324.053791,600485.000,30553,3,PG,1,100,8441
1734686324.097293,600528.500,30576,4,PG,1,100,8434
1734686324.140794,600572.000,30576,4,PG,1,100,8430
1734686324.184296,600615.500,30576,4,PG,1,100,8422
1734686324.227798,600659.000,30576,4,PG,1,100,8437
1734686324.267299,600698.500,30592,2,PG,1,100,8421
1734686324.306801,600738.000,30592,2,PG,1,100,8429
1734686324.346802,600778.000,30610,3,PG,1,100,8432
1734686324.386804,600818.000,30610,3,PG,1,100,8432
1734686324.426805,600858.000,30610,3,PG,1,100,8440
1734686324.466807,600898.000,30626,2,PG,1,100,8439
1734686324.506808,600938.000,30626,2,PG,1,100,8442
1734686324.546809,600978.000,30643,3,PG,1,100,8433
1734686324.586811,601018.000,30643,3,PG,1,100,8432
1734686324.626812,601058.000,30643,3,PG,1,100,8441
1734686324.666814,601098.000,30659,2,PG,1,100,8426
1734686324.706815,601138.000,30659,2,PG,1,100,8442
1734686324.746817,601178.000,30677,3,PG,1,100,8432
1734686324.786819,601218.000,30677,3,PG,1,100,8454
1734686324.826820,601258.000,30677,3,PG,1,100,8436
1734686324.866822,601298.000,30691,2,PG,1,100,8432
1734686324.906823,601338.000,30691,2,PG,1,100,8434
1734686324.946825,601378.000,30708,3,PG,1,100,8435
1734686324.986826,601418.000,30708,3,PG,1,100,8436
1734686325.026828,601458.000,30708,3,PG,1,100,8437
1734686325.066829,601498.000,30725,2,PG,1,100,8442
1734686325.106831,601538.000,30725,2,PG,1,100,8426
1734686325.146832,601578.000,30744,3,PG,1,100,8421
1734686325.186834,601618.000,30744,3,PG,1,100,8422
1734686325.226835,601658.000,30744,3,PG,1,100,8434
1734686325.266837,601698.000,30758,2,PG,1,100,8418
1734686325.306838,601738.000,30758,2,PG,1,100,8425
1734686325.346840,601778.000,30777,3,PG,1,100,8418
1734686325.386841,601818.000,30777,3,PG,1,100,8425
1734686325.426843,601858.000,30777,3,PG,1,100,8447
1734686325.466844,601898.000,30794,3,PG,1,100,8457
1734686325.506846,601938.000,30794,3,PG,1,100,8427
1734686325.546847,601978.000,30794,3,PG,1,100,8416
1734686325.586849,602018.000,30811,2,PG,1,100,8411
