LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1734686319.132606,595564.000,29752,1,SF,1,100,1.3044
1734686319.465619,595897.000,29800,1,SF,1,100,1.2893
1734686319.865634,596297.000,29865,1,SF,1,100,1.2744
1734686320.132644,596564.000,29916,1,SF,1,100,1.2596
1734686320.465656,596897.000,29968,1,SF,1,100,1.2451
1734686320.799669,597231.000,30017,1,SF,1,100,1.2307
1734686321.199684,597631.000,30084,1,SF,1,100,1.2164
1734686321.465694,597897.000,30136,1,SF,1,100,1.2024
1734686321.799706,598231.000,30185,1,SF,1,100,1.1885
1734686322.199721,598631.000,30252,1,SF,1,100,1.1747
1734686322.532734,598964.000,30300,1,SF,1,100,1.1611
1734686322.799744,599231.000,30353,1,SF,1,100,1.1477
1734686323.132756,599564.000,30401,1,SF,1,100,1.1344
1734686323.532771,599964.000,30468,1,SF,1,100,1.1213
1734686323.798781,600230.000,30517,1,SF,1,100,1.1083
1734686324.198797,600630.000,30573,1,SF,1,100,1.0955
1734686324.532809,600964.000,30623,1,SF,1,100,1.0828
1734686324.798819,601230.000,30674,1,SF,1,100,1.0703
1734686325.132832,601564.000,30722,1,SF,1,100,1.0579
1734686325.532847,601964.000,30791,1,SF,1,100,1.0457
1734686325.798856,602230.000,30842,1,SF,1,100,1.0336
1734686326.131869,602563.000,30890,1,SF,1,100,1.0216
1734686326.531884,602963.000,30956,1,SF,1,100,1.0098
1734686326.865897,603297.000,31008,1,SF,1,100,0.9981
1734686327.131907,603563.000,31056,1,SF,1,100,0.9866
1734686327.465919,603897.000,31107,1,SF,1,100,3.0574
1734686327.865934,604297.000,31172,1,SF,1,100,3.0220
1734686328.131944,604563.000,31222,1,SF,1,100,2.9871
1734686328.465957,604897.000,31271,1,SF,1,100,2.9525
1734686328.865972,605297.000,31338,1,SF,1,100,2.9184
1734686329.198984,605630.000,31386,1,SF,1,100,2.8846
1734686329.531997,605963.000,31440,1,SF,1,100,2.8512
1734686329.799007,606230.000,31488,1,SF,1,100,2.8183
1734686330.132019,606563.000,31541,1,SF,1,100,2.7857
1734686330.465032,606896.000,31591,1,SF,1,100,2.7534
1734686330.865047,607296.000,31658,1,SF,1,100,2.7216
