LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1734686318.982600,595414.000,29730,1,TL,1,100,2024-12-20_16-18-33-945496
1734686319.075604,595507.000,29733,1,TL,1,100,2024-12-20_16-18-39-047125
1734686324.127794,600559.000,30567,1,TL,1,100,2024-12-20_16-18-39-107107
1734686324.219797,600651.000,30570,1,TL,1,100,2024-12-20_16-18-44-175709
1734686329.246986,605678.000,31403,1,TL,1,100,2024-12-20_16-18-44-257698
1734686334.370179,610801.000,32240,1,TL,1,100,2024-12-20_16-18-49-343031
1734686334.376179,610807.000,32242,1,TL,1,100,2024-12-20_16-18-49-509134
1734686339.482371,615913.000,33059,1,TL,1,100,2024-12-20_16-18-54-506274
1734686339.485371,615916.000,33061,1,TL,1,100,2024-12-20_16-18-54-560186
1734686339.547373,615978.000,33064,1,TL,1,100,2024-12-20_16-18-59-542583
1734686344.591563,621022.000,33883,1,TL,1,100,2024-12-20_16-18-59-630629
1734686344.608563,621039.000,33886,1,TL,1,100,2024-12-20_16-19-04-600605
1734686349.721755,626152.000,34716,1,TL,1,100,2024-12-20_16-19-04-746758
1734686354.853948,631284.000,35550,1,TL,1,100,2024-12-20_16-19-09-770600
1734686354.857948,631288.000,35552,1,TL,1,100,2024-12-20_16-19-09-862635
1734686359.987141,636417.000,36385,1,TL,1,100,2024-12-20_16-19-14-988908
1734686359.989141,636419.000,36387,1,TL,1,100,2024-12-20_16-19-15-026944
1734686365.109334,641539.000,37224,1,TL,1,100,2024-12-20_16-19-20-056750
1734686365.112334,641542.000,37226,1,TL,1,100,2024-12-20_16-19-20-142838
1734686365.125334,641555.000,37229,1,TL,1,100,2024-12-20_16-19-25-119334
1734686370.246526,646676.000,38066,1,TL,1,100,2024-12-20_16-19-25-261304
1734686370.357531,646787.000,38069,1,TL,1,100,2024-12-20_16-19-30-262027
1734686375.359719,651789.000,38886,1,TL,1,100,2024-12-20_16-19-30-402070
1734686375.406720,651836.000,38889,1,TL,1,100,2024-12-20_16-19-35-368355
1734686380.464910,656894.000,39707,1,TL,1,100,2024-12-20_16-19-35-522387
1734686385.592103,662021.000,40541,1,TL,1,100,2024-12-20_16-19-40-539936
1734686385.599103,662028.000,40543,1,TL,1,100,2024-12-20_16-19-40-603978
1734686385.672106,662101.000,40546,1,TL,1,100,2024-12-20_16-19-45-621193
1734686390.717295,667146.000,41378,1,TL,1,100,2024-12-20_16-19-45-763186
1734686390.773298,667202.000,41381,1,TL,1,100,2024-12-20_16-19-50-748579
1734686395.838488,672267.000,42216,1,TL,1,100,2024-12-20_16-19-50-858393
1734686395.877489,672306.000,42219,1,TL,1,100,2024-12-20_16-19-55-867553
1734686400.961680,677390.000,43053,1,TL,1,100,2024-12-20_16-19-55-969604
1734686406.095873,682524.000,43889,1,TL,1,100,2024-12-20_16-20-01-037349
1734686406.097873,682526.000,43891,1,TL,1,100,2024-12-20_16-20-01-165412
1734686411.217066,687645.000,44725,1,TL,1,100,2024-12-20_16-20-06-197490
1734686411.223066,687651.000,44727,1,TL,1,100,2024-12-20_16-20-06-271524
1734686416.325258,692753.000,45548,1,TL,1,100,2024-12-20_16-20-11-318679
1734686416.330258,692758.000,45550,1,TL,1,100,2024-12-20_16-20-11-354614
1734686421.466451,697894.000,46387,1,TL,1,100,2024-12-20_16-20-16-351160
1734686421.468451,697896.000,46389,1,TL,1,100,2024-12-20_16-20-16-513156
1734686421.507452,697935.000,46392,1,TL,1,100,2024-12-20_16-20-21-490276
1734686426.574643,703002.000,47213,1,TL,1,100,2024-12-20_16-20-21-606292
1734686426.651645,703079.000,47216,1,TL,1,100,2024-12-20_16-20-26-612675
1734686431.696835,708124.000,48054,1,TL,1,100,2024-12-20_16-20-26-722712
1734686431.716836,708144.000,48057,1,TL,1,100,2024-12-20_16-20-31-705887
1734686436.824028,713251.000,48889,1,TL,1,100,2024-12-20_16-20-31-840922
1734686441.958220,718385.000,49726,1,TL,1,100,2024-12-20_16-20-36-892051
1734686441.961221,718388.000,49728,1,TL,1,100,2024-12-20_16-20-36-992062
1734686442.048224,718475.000,49731,1,TL,1,100,2024-12-20_16-20-41-976689
1734686447.147415,723574.000,50545,1,TL,1,100,2024-12-20_16-20-42-118642
1734686447.187417,723614.000,50548,1,TL,1,100,2024-12-20_16-20-47-156911
1734686452.255607,728682.000,51367,1,TL,1,100,2024-12-20_16-20-47-350909
1734686457.366799,733793.000,52186,1,TL,1,100,2024-12-20_16-20-52-350908
1734686457.370800,733797.000,52188,1,TL,1,100,2024-12-20_16-20-52-518941
1734686457.472803,733899.000,52191,1,TL,1,100,2024-12-20_16-20-57-416073
1734686462.472991,738899.000,53008,1,TL,1,100,2024-12-20_16-20-57-610109
1734686467.581183,744007.000,53784,1,TL,1,100,2024-12-20_16-21-02-547843
1734686467.584183,744010.000,53786,1,TL,1,100,2024-12-20_16-21-02-611872
1734686472.712376,749138.000,54619,1,TL,1,100,2024-12-20_16-21-07-658157
1734686472.715376,749141.000,54621,1,TL,1,100,2024-12-20_16-21-07-720240
1734686472.734377,749160.000,54624,1,TL,1,100,2024-12-20_16-21-12-721570
