LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1734686984.712286,1261145.000,6955,2,AK,1,100,6120
1734686984.712286,1261145.000,6955,2,AK,1,100,RD
1734686987.272235,1263705.000,7785,2,AK,1,100,6956
1734686989.832184,1266265.000,7785,2,AK,1,100,RD
1734686989.833684,1266266.500,7787,2,AK,1,100,6956
1734686989.835184,1266268.000,7787,2,AK,1,100,RD
1734686992.399133,1268832.000,8623,2,AK,1,100,7788
1734686994.963082,1271396.000,8623,2,AK,1,100,RD
1734686994.964082,1271397.000,8625,2,AK,1,100,7788
1734686994.965082,1271398.000,8625,2,AK,1,100,RD
1734686997.529031,1273962.000,9462,2,AK,1,100,8626
1734687000.092980,1276526.000,9462,2,AK,1,100,RD
1734687000.093981,1276527.000,9464,2,AK,1,100,8626
1734687000.094980,1276528.000,9464,2,AK,1,100,RD
1734687000.107480,1276540.500,9467,2,AK,1,100,9465
1734687000.119980,1276553.000,9467,2,AK,1,100,RD
1734687002.659430,1279092.500,10301,2,AK,1,100,9465
1734687005.198879,1281632.000,10301,2,AK,1,100,RD
1734687007.771828,1284205.000,11136,2,AK,1,100,10302
1734687010.344777,1286778.000,11136,2,AK,1,100,RD
1734687010.346277,1286779.500,11138,2,AK,1,100,10302
1734687010.347777,1286781.000,11138,2,AK,1,100,RD
1734687010.361277,1286794.500,11141,2,AK,1,100,11139
1734687010.374776,1286808.000,11141,2,AK,1,100,RD
1734687012.913726,1289347.000,11975,2,AK,1,100,11139
1734687015.452676,1291886.000,11975,2,AK,1,100,RD
1734687018.006125,1294439.500,12795,2,AK,1,100,11976
1734687020.559574,1296993.000,12795,2,AK,1,100,RD
1734687020.560574,1296994.000,12797,2,AK,1,100,11976
1734687020.561574,1296995.000,12797,2,AK,1,100,RD
1734687023.122523,1299556.000,13632,2,AK,1,100,12798
1734687025.683473,1302117.000,13632,2,AK,1,100,RD
1734687025.685972,1302119.500,13634,2,AK,1,100,12798
1734687025.688473,1302122.000,13634,2,AK,1,100,RD
1734687028.254921,1304688.500,14468,2,AK,1,100,13635
1734687030.821371,1307255.000,14468,2,AK,1,100,RD
1734687030.822371,1307256.000,14470,2,AK,1,100,13635
1734687030.823370,1307257.000,14470,2,AK,1,100,RD
1734687030.845370,1307279.000,14473,2,AK,1,100,14471
1734687030.867370,1307301.000,14473,2,AK,1,100,RD
1734687033.397820,1309831.500,15309,2,AK,1,100,14471
1734687035.928269,1312362.000,15309,2,AK,1,100,RD
1734687035.975768,1312409.500,15312,2,AK,1,100,15310
1734687036.023267,1312457.000,15312,2,AK,1,100,RD
1734687038.530718,1314964.500,16144,2,AK,1,100,15310
1734687041.038168,1317472.000,16144,2,AK,1,100,RD
1734687041.070167,1317504.000,16147,2,AK,1,100,16145
1734687041.102166,1317536.000,16147,2,AK,1,100,RD
1734687043.623616,1320057.500,16984,2,AK,1,100,16145
1734687046.145066,1322579.000,16984,2,AK,1,100,RD
1734687048.712516,1325146.500,17802,2,AK,1,100,16985
1734687051.279964,1327714.000,17802,2,AK,1,100,RD
1734687051.283464,1327717.500,17804,2,AK,1,100,16985
1734687051.286964,1327721.000,17804,2,AK,1,100,RD
1734687053.837414,1330271.500,18623,2,AK,1,100,17805
1734687056.387863,1332822.000,18623,2,AK,1,100,RD
1734687056.390863,1332825.000,18625,2,AK,1,100,17805
1734687056.393863,1332828.000,18625,2,AK,1,100,RD
1734687056.433862,1332868.000,18628,2,AK,1,100,18626
1734687056.473861,1332908.000,18628,2,AK,1,100,RD
1734687058.987312,1335421.500,19449,2,AK,1,100,18626
1734687061.500762,1337935.000,19449,2,AK,1,100,RD
1734687064.152209,1340586.500,20253,2,AK,1,100,19450
1734687066.803656,1343238.000,20253,2,AK,1,100,RD
1734687066.805656,1343240.000,20255,2,AK,1,100,19450
1734687066.807656,1343242.000,20255,2,AK,1,100,RD
1734687066.828656,1343263.000,20258,2,AK,1,100,20256
1734687066.849655,1343284.000,20258,2,AK,1,100,RD
1734687069.380105,1345814.500,21078,2,AK,1,100,20256
1734687071.910555,1348345.000,21078,2,AK,1,100,RD
1734687071.924555,1348359.000,21081,2,AK,1,100,21079
1734687071.938555,1348373.000,21081,2,AK,1,100,RD
1734687074.478004,1350912.500,21916,2,AK,1,100,21079
1734687077.017454,1353452.000,21916,2,AK,1,100,RD
1734687079.585403,1356020.000,22750,2,AK,1,100,21917
1734687082.153352,1358588.000,22750,2,AK,1,100,RD
1734687082.154852,1358589.500,22752,2,AK,1,100,21917
1734687082.156352,1358591.000,22752,2,AK,1,100,RD
1734687082.174351,1358609.000,22755,2,AK,1,100,22753
1734687082.192351,1358627.000,22755,2,AK,1,100,RD
1734687084.741300,1361176.000,23589,2,AK,1,100,22753
1734687087.290250,1363725.000,23589,2,AK,1,100,RD
1734687089.863699,1366298.500,24426,2,AK,1,100,23590
1734687092.437148,1368872.000,24426,2,AK,1,100,RD
1734687092.440148,1368875.000,24428,2,AK,1,100,23590
1734687092.443147,1368878.000,24428,2,AK,1,100,RD
1734687094.995597,1371430.500,25246,2,AK,1,100,24429
1734687097.548046,1373983.000,25246,2,AK,1,100,RD
1734687097.550046,1373985.000,25248,2,AK,1,100,24429
1734687097.552046,1373987.000,25248,2,AK,1,100,RD
1734687100.116495,1376551.500,26083,2,AK,1,100,25249
1734687102.680944,1379116.000,26083,2,AK,1,100,RD
1734687102.682444,1379117.500,26085,2,AK,1,100,25249
1734687102.683944,1379119.000,26085,2,AK,1,100,RD
1734687105.235893,1381671.000,26904,2,AK,1,100,26086
1734687107.787843,1384223.000,26904,2,AK,1,100,RD
1734687107.788843,1384224.000,26906,2,AK,1,100,26086
1734687107.789843,1384225.000,26906,2,AK,1,100,RD
1734687107.803343,1384238.500,26909,2,AK,1,100,26907
1734687107.816842,1384252.000,26909,2,AK,1,100,RD
1734687110.355792,1386791.000,27744,2,AK,1,100,26907
1734687112.894742,1389330.000,27744,2,AK,1,100,RD
1734687115.467191,1391902.500,28581,2,AK,1,100,27745
1734687118.039639,1394475.000,28581,2,AK,1,100,RD
1734687118.040639,1394476.000,28583,2,AK,1,100,27745
1734687118.041639,1394477.000,28583,2,AK,1,100,RD
1734687118.080139,1394515.500,28586,2,AK,1,100,28584
1734687118.118638,1394554.000,28586,2,AK,1,100,RD
1734687120.658087,1397093.500,29419,2,AK,1,100,28584
1734687123.197537,1399633.000,29419,2,AK,1,100,RD
1734687125.759986,1402195.500,30257,2,AK,1,100,29420
1734687128.322435,1404758.000,30257,2,AK,1,100,RD
1734687128.323935,1404759.500,30259,2,AK,1,100,29420
1734687128.325435,1404761.000,30259,2,AK,1,100,RD
1734687130.878385,1407314.000,31078,2,AK,1,100,30260
1734687133.431334,1409867.000,31078,2,AK,1,100,RD
1734687133.434334,1409870.000,31080,2,AK,1,100,30260
1734687133.437334,1409873.000,31080,2,AK,1,100,RD
1734687136.001283,1412437.000,31916,2,AK,1,100,31081
1734687138.565232,1415001.000,31916,2,AK,1,100,RD
1734687138.568732,1415004.500,31918,2,AK,1,100,31081
1734687138.572232,1415008.000,31918,2,AK,1,100,RD
1734687141.134681,1417570.500,32751,2,AK,1,100,31919
1734687143.697130,1420133.000,32751,2,AK,1,100,RD
1734687143.700130,1420136.000,32753,2,AK,1,100,31919
1734687143.703130,1420139.000,32753,2,AK,1,100,RD
1734687146.264579,1422700.500,33589,2,AK,1,100,32754
1734687148.826028,1425262.000,33589,2,AK,1,100,RD
1734687148.827528,1425263.500,33591,2,AK,1,100,32754
1734687148.829028,1425265.000,33591,2,AK,1,100,RD
1734687148.838528,1425274.500,33594,2,AK,1,100,33592
1734687148.848028,1425284.000,33594,2,AK,1,100,RD
1734687151.401977,1427838.000,34428,2,AK,1,100,33592
1734687153.955927,1430392.000,34428,2,AK,1,100,RD
1734687156.509376,1432945.500,35247,2,AK,1,100,34429
1734687159.062825,1435499.000,35247,2,AK,1,100,RD
1734687159.064325,1435500.500,35249,2,AK,1,100,34429
1734687159.065825,1435502.000,35249,2,AK,1,100,RD
1734687161.636774,1438073.000,36084,2,AK,1,100,35250
1734687164.207723,1440644.000,36084,2,AK,1,100,RD
1734687164.208723,1440645.000,36086,2,AK,1,100,35250
1734687164.209723,1440646.000,36086,2,AK,1,100,RD
1734687164.223723,1440660.000,36089,2,AK,1,100,36087
1734687164.237722,1440674.000,36089,2,AK,1,100,RD
1734687166.789172,1443225.500,36923,2,AK,1,100,36087
1734687169.340621,1445777.000,36923,2,AK,1,100,RD
1734687169.349621,1445786.000,36926,2,AK,1,100,36924
1734687169.358621,1445795.000,36926,2,AK,1,100,RD
1734687171.912570,1448349.000,37759,2,AK,1,100,36924
1734687174.466519,1450903.000,37759,2,AK,1,100,RD
1734687174.495519,1450932.000,37762,2,AK,1,100,37760
1734687174.524518,1450961.000,37762,2,AK,1,100,RD
1734687177.060968,1453497.500,38594,2,AK,1,100,37760
1734687179.597418,1456034.000,38594,2,AK,1,100,RD
1734687182.161367,1458598.000,39429,2,AK,1,100,38595
1734687184.725316,1461162.000,39429,2,AK,1,100,RD
1734687184.726316,1461163.000,39431,2,AK,1,100,38595
1734687184.727316,1461164.000,39431,2,AK,1,100,RD
1734687184.756815,1461193.500,39434,2,AK,1,100,39432
1734687184.786315,1461223.000,39434,2,AK,1,100,RD
1734687187.308764,1463745.500,40253,2,AK,1,100,39432
1734687189.831214,1466268.000,40253,2,AK,1,100,RD
1734687189.841214,1466278.000,40256,2,AK,1,100,40254
1734687189.851214,1466288.000,40256,2,AK,1,100,RD
1734687192.408163,1468845.000,41092,2,AK,1,100,40254
1734687194.965113,1471402.000,41092,2,AK,1,100,RD
1734687197.532062,1473969.000,41926,2,AK,1,100,41093
1734687200.099011,1476536.000,41926,2,AK,1,100,RD
1734687200.100511,1476537.500,41928,2,AK,1,100,41093
1734687200.102011,1476539.000,41928,2,AK,1,100,RD
1734687200.118010,1476555.000,41931,2,AK,1,100,41929
1734687200.134010,1476571.000,41931,2,AK,1,100,RD
1734687202.684959,1479122.000,42767,2,AK,1,100,41929
1734687205.235909,1481673.000,42767,2,AK,1,100,RD
1734687207.799358,1484236.500,43604,2,AK,1,100,42768
1734687210.362807,1486800.000,43604,2,AK,1,100,RD
1734687210.364807,1486802.000,43606,2,AK,1,100,42768
1734687210.366807,1486804.000,43606,2,AK,1,100,RD
1734687210.403806,1486841.000,43609,2,AK,1,100,43607
1734687210.440805,1486878.000,43609,2,AK,1,100,RD
1734687212.963755,1489401.000,44442,2,AK,1,100,43607
1734687215.486705,1491924.000,44442,2,AK,1,100,RD
1734687218.050154,1494487.500,45277,2,AK,1,100,44443
1734687220.613604,1497051.000,45277,2,AK,1,100,RD
1734687220.615103,1497052.500,45279,2,AK,1,100,44443
1734687220.616603,1497054.000,45279,2,AK,1,100,RD
1734687220.641603,1497079.000,45282,2,AK,1,100,45280
1734687220.666602,1497104.000,45282,2,AK,1,100,RD
1734687223.196052,1499633.500,46102,2,AK,1,100,45280
1734687225.725502,1502163.000,46102,2,AK,1,100,RD
1734687225.749501,1502187.000,46105,2,AK,1,100,46103
1734687225.773501,1502211.000,46105,2,AK,1,100,RD
1734687228.303451,1504741.000,46925,2,AK,1,100,46103
1734687230.833401,1507271.000,46925,2,AK,1,100,RD
1734687230.845900,1507283.500,46928,2,AK,1,100,46926
1734687230.858400,1507296.000,46928,2,AK,1,100,RD
1734687233.402350,1509840.000,47748,2,AK,1,100,46926
1734687235.946299,1512384.000,47748,2,AK,1,100,RD
1734687238.500248,1514938.000,48522,2,AK,1,100,47749
1734687241.054198,1517492.000,48522,2,AK,1,100,RD
1734687241.055698,1517493.500,48524,2,AK,1,100,47749
1734687241.057198,1517495.000,48524,2,AK,1,100,RD
1734687243.616147,1520054.000,49361,2,AK,1,100,48525
1734687246.175096,1522613.000,49361,2,AK,1,100,RD
1734687246.176596,1522614.500,49363,2,AK,1,100,48525
1734687246.178096,1522616.000,49363,2,AK,1,100,RD
1734687246.194096,1522632.000,49366,2,AK,1,100,49364
1734687246.210095,1522648.000,49366,2,AK,1,100,RD
1734687248.756045,1525194.000,50198,2,AK,1,100,49364
1734687251.301994,1527740.000,50198,2,AK,1,100,RD
1734687251.321994,1527760.000,50201,2,AK,1,100,50199
1734687251.341994,1527780.000,50201,2,AK,1,100,RD
