LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AZ
1734686984.799284,1261232.000,6967,4,AZ,1,100,0.219
1734686984.799284,1261232.000,6967,4,AZ,1,100,0.228
1734686984.799284,1261232.000,6967,4,AZ,1,100,0.213
1734686984.799284,1261232.000,6967,4,AZ,1,100,0.215
1734686984.839283,1261272.000,6982,2,AZ,1,100,0.218
1734686984.879282,1261312.000,6982,2,AZ,1,100,0.214
1734686984.919282,1261352.000,6998,3,AZ,1,100,0.214
1734686984.959281,1261392.000,6998,3,AZ,1,100,0.213
1734686984.999280,1261432.000,6998,3,AZ,1,100,0.215
1734686985.039279,1261472.000,7016,3,AZ,1,100,0.215
1734686985.079278,1261512.000,7016,3,AZ,1,100,0.212
1734686985.119278,1261552.000,7016,3,AZ,1,100,0.212
1734686985.159277,1261592.000,7036,2,AZ,1,100,0.220
1734686985.199276,1261632.000,7036,2,AZ,1,100,0.217
1734686985.239275,1261672.000,7052,3,AZ,1,100,0.214
1734686985.279274,1261712.000,7052,3,AZ,1,100,0.217
1734686985.319274,1261752.000,7052,3,AZ,1,100,0.214
1734686985.359273,1261792.000,7068,2,AZ,1,100,0.213
1734686985.399272,1261832.000,7068,2,AZ,1,100,0.248
1734686985.439271,1261872.000,7085,3,AZ,1,100,0.239
1734686985.479270,1261912.000,7085,3,AZ,1,100,0.218
1734686985.519270,1261952.000,7085,3,AZ,1,100,0.213
1734686985.559269,1261992.000,7101,2,AZ,1,100,0.199
1734686985.599268,1262032.000,7101,2,AZ,1,100,0.216
1734686985.639267,1262072.000,7117,3,AZ,1,100,0.230
1734686985.679267,1262112.000,7117,3,AZ,1,100,0.230
1734686985.719266,1262152.000,7117,3,AZ,1,100,0.270
1734686985.754598,1262187.333,7133,3,AZ,1,100,0.240
1734686985.789931,1262222.667,7133,3,AZ,1,100,0.230
1734686985.825264,1262258.000,7133,3,AZ,1,100,0.243
1734686985.865263,1262298.000,7150,2,AZ,1,100,0.240
1734686985.905262,1262338.000,7150,2,AZ,1,100,0.250
1734686985.945261,1262378.000,7168,3,AZ,1,100,0.228
1734686985.985260,1262418.000,7168,3,AZ,1,100,0.222
1734686986.025260,1262458.000,7168,3,AZ,1,100,0.245
1734686986.065259,1262498.000,7186,2,AZ,1,100,0.249
1734686986.105258,1262538.000,7186,2,AZ,1,100,0.286
1734686986.145257,1262578.000,7202,3,AZ,1,100,0.271
1734686986.185256,1262618.000,7202,3,AZ,1,100,0.222
1734686986.225256,1262658.000,7202,3,AZ,1,100,0.218
1734686986.265255,1262698.000,7219,2,AZ,1,100,0.250
1734686986.305254,1262738.000,7219,2,AZ,1,100,0.269
1734686986.345253,1262778.000,7236,3,AZ,1,100,0.277
1734686986.385252,1262818.000,7236,3,AZ,1,100,0.270
1734686986.425252,1262858.000,7236,3,AZ,1,100,0.242
1734686986.465251,1262898.000,7253,2,AZ,1,100,0.265
1734686986.505250,1262938.000,7253,2,AZ,1,100,0.227
1734686986.545249,1262978.000,7267,3,AZ,1,100,0.221
1734686986.585249,1263018.000,7267,3,AZ,1,100,0.263
1734686986.625248,1263058.000,7267,3,AZ,1,100,0.281
1734686986.665247,1263098.000,7285,3,AZ,1,100,0.269
1734686986.705246,1263138.000,7285,3,AZ,1,100,0.235
1734686986.745245,1263178.000,7285,3,AZ,1,100,0.199
1734686986.785245,1263218.000,7301,2,AZ,1,100,0.208
1734686986.825244,1263258.000,7301,2,AZ,1,100,0.226
1734686986.865243,1263298.000,7318,3,AZ,1,100,0.250
1734686986.905242,1263338.000,7318,3,AZ,1,100,0.246
1734686986.945241,1263378.000,7318,3,AZ,1,100,0.208
1734686986.978741,1263411.500,7332,2,AZ,1,100,0.223
1734686987.012240,1263445.000,7332,2,AZ,1,100,0.240
1734686987.052239,1263485.000,7350,3,AZ,1,100,0.240
1734686987.092238,1263525.000,7350,3,AZ,1,100,0.242
1734686987.132238,1263565.000,7350,3,AZ,1,100,0.188
1734686987.172237,1263605.000,7366,3,AZ,1,100,0.222
1734686987.212236,1263645.000,7366,3,AZ,1,100,0.233
1734686987.252235,1263685.000,7366,3,AZ,1,100,0.259
1734686987.292235,1263725.000,7383,2,AZ,1,100,0.279
1734686987.332234,1263765.000,7383,2,AZ,1,100,0.262
1734686987.372233,1263805.000,7398,3,AZ,1,100,0.256
1734686987.412232,1263845.000,7398,3,AZ,1,100,0.249
1734686987.452231,1263885.000,7398,3,AZ,1,100,0.248
1734686987.492231,1263925.000,7415,2,AZ,1,100,0.237
1734686987.532230,1263965.000,7415,2,AZ,1,100,0.250
1734686987.572229,1264005.000,7431,3,AZ,1,100,0.237
1734686987.612228,1264045.000,7431,3,AZ,1,100,0.250
1734686987.652227,1264085.000,7431,3,AZ,1,100,0.246
1734686987.692227,1264125.000,7449,2,AZ,1,100,0.251
1734686987.732226,1264165.000,7449,2,AZ,1,100,0.236
1734686987.772225,1264205.000,7464,3,AZ,1,100,0.224
1734686987.812224,1264245.000,7464,3,AZ,1,100,0.227
1734686987.852223,1264285.000,7464,3,AZ,1,100,0.240
1734686987.892223,1264325.000,7480,2,AZ,1,100,0.250
1734686987.932222,1264365.000,7480,2,AZ,1,100,0.248
1734686987.972221,1264405.000,7497,3,AZ,1,100,0.246
1734686988.012220,1264445.000,7497,3,AZ,1,100,0.245
1734686988.052219,1264485.000,7497,3,AZ,1,100,0.228
1734686988.087885,1264520.667,7514,3,AZ,1,100,0.235
1734686988.123551,1264556.333,7514,3,AZ,1,100,0.262
1734686988.159217,1264592.000,7514,3,AZ,1,100,0.252
1734686988.199217,1264632.000,7530,2,AZ,1,100,0.261
