LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GZ
1734686984.799284,1261232.000,6970,4,GZ,1,100,-0.366
1734686984.799284,1261232.000,6970,4,GZ,1,100,-0.214
1734686984.799284,1261232.000,6970,4,GZ,1,100,-0.397
1734686984.799284,1261232.000,6970,4,GZ,1,100,-0.458
1734686984.839283,1261272.000,6985,2,GZ,1,100,-0.305
1734686984.879282,1261312.000,6985,2,GZ,1,100,-0.183
1734686984.919282,1261352.000,7001,3,GZ,1,100,-0.153
1734686984.959281,1261392.000,7001,3,GZ,1,100,-0.458
1734686984.999280,1261432.000,7001,3,GZ,1,100,-0.397
1734686985.039279,1261472.000,7019,3,GZ,1,100,-0.122
1734686985.079278,1261512.000,7019,3,GZ,1,100,-0.214
1734686985.119278,1261552.000,7019,3,GZ,1,100,-0.183
1734686985.159277,1261592.000,7039,2,GZ,1,100,-0.092
1734686985.199276,1261632.000,7039,2,GZ,1,100,0.061
1734686985.239275,1261672.000,7055,3,GZ,1,100,0.732
1734686985.279274,1261712.000,7055,3,GZ,1,100,1.190
1734686985.319274,1261752.000,7055,3,GZ,1,100,0.549
1734686985.359273,1261792.000,7071,2,GZ,1,100,0.275
1734686985.399272,1261832.000,7071,2,GZ,1,100,0.366
1734686985.439271,1261872.000,7088,3,GZ,1,100,-0.732
1734686985.479270,1261912.000,7088,3,GZ,1,100,-1.282
1734686985.519270,1261952.000,7088,3,GZ,1,100,-0.092
1734686985.559269,1261992.000,7104,2,GZ,1,100,0.427
1734686985.599268,1262032.000,7104,2,GZ,1,100,-1.251
1734686985.639267,1262072.000,7120,3,GZ,1,100,-1.099
1734686985.679267,1262112.000,7120,3,GZ,1,100,-0.977
1734686985.719266,1262152.000,7120,3,GZ,1,100,0.946
1734686985.754598,1262187.333,7136,3,GZ,1,100,-0.671
1734686985.789931,1262222.667,7136,3,GZ,1,100,-1.038
1734686985.825264,1262258.000,7136,3,GZ,1,100,1.617
1734686985.865263,1262298.000,7153,2,GZ,1,100,-1.495
1734686985.905262,1262338.000,7153,2,GZ,1,100,-1.923
1734686985.945261,1262378.000,7171,3,GZ,1,100,-1.160
1734686985.985260,1262418.000,7171,3,GZ,1,100,-1.007
1734686986.025260,1262458.000,7171,3,GZ,1,100,1.892
1734686986.065259,1262498.000,7189,2,GZ,1,100,1.495
