LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1734686984.666287,1261099.000,6947,1,PI,1,100,159717
1734686984.706286,1261139.000,6958,3,PI,1,100,159707
1734686984.746285,1261179.000,6958,3,PI,1,100,159699
1734686984.786284,1261219.000,6958,3,PI,1,100,159729
1734686984.826283,1261259.000,6975,3,PI,1,100,159724
1734686984.866283,1261299.000,6975,3,PI,1,100,159700
1734686984.906282,1261339.000,6975,3,PI,1,100,159711
1734686984.946281,1261379.000,6989,2,PI,1,100,159695
1734686984.986280,1261419.000,6989,2,PI,1,100,159723
1734686985.030613,1261463.333,7007,3,PI,1,100,159719
1734686985.074945,1261507.667,7007,3,PI,1,100,159711
1734686985.119278,1261552.000,7007,3,PI,1,100,159718
1734686985.159277,1261592.000,7027,2,PI,1,100,159719
1734686985.199276,1261632.000,7027,2,PI,1,100,159726
1734686985.239275,1261672.000,7044,3,PI,1,100,159723
1734686985.279274,1261712.000,7044,3,PI,1,100,159733
1734686985.319274,1261752.000,7044,3,PI,1,100,159749
1734686985.359273,1261792.000,7060,2,PI,1,100,159733
1734686985.399272,1261832.000,7060,2,PI,1,100,159743
1734686985.439271,1261872.000,7076,3,PI,1,100,159700
1734686985.479270,1261912.000,7076,3,PI,1,100,159646
1734686985.519270,1261952.000,7076,3,PI,1,100,159607
1734686985.559269,1261992.000,7092,2,PI,1,100,159631
1734686985.599268,1262032.000,7092,2,PI,1,100,159616
1734686985.639267,1262072.000,7109,3,PI,1,100,159618
1734686985.679267,1262112.000,7109,3,PI,1,100,159607
1734686985.719266,1262152.000,7109,3,PI,1,100,159606
1734686985.759265,1262192.000,7125,2,PI,1,100,159622
1734686985.799264,1262232.000,7125,2,PI,1,100,159604
1734686985.839263,1262272.000,7141,3,PI,1,100,159623
1734686985.879263,1262312.000,7141,3,PI,1,100,159633
1734686985.919262,1262352.000,7141,3,PI,1,100,159630
1734686985.959261,1262392.000,7159,2,PI,1,100,159608
1734686985.999260,1262432.000,7159,2,PI,1,100,159630
1734686986.039259,1262472.000,7177,3,PI,1,100,159626
1734686986.079259,1262512.000,7177,3,PI,1,100,159606
1734686986.119258,1262552.000,7177,3,PI,1,100,159621
1734686986.159257,1262592.000,7195,2,PI,1,100,159626
1734686986.199256,1262632.000,7195,2,PI,1,100,159645
1734686986.239255,1262672.000,7210,3,PI,1,100,159643
1734686986.279255,1262712.000,7210,3,PI,1,100,159585
1734686986.319254,1262752.000,7210,3,PI,1,100,159530
1734686986.359253,1262792.000,7227,3,PI,1,100,159519
1734686986.399252,1262832.000,7227,3,PI,1,100,159524
1734686986.439251,1262872.000,7227,3,PI,1,100,159527
1734686986.479251,1262912.000,7244,2,PI,1,100,159524
1734686986.519250,1262952.000,7244,2,PI,1,100,159528
1734686986.559249,1262992.000,7260,3,PI,1,100,159504
1734686986.599248,1263032.000,7260,3,PI,1,100,159494
1734686986.639247,1263072.000,7260,3,PI,1,100,159462
1734686986.679247,1263112.000,7276,2,PI,1,100,159433
1734686986.719246,1263152.000,7276,2,PI,1,100,159435
1734686986.759245,1263192.000,7292,3,PI,1,100,159407
1734686986.799244,1263232.000,7292,3,PI,1,100,159383
1734686986.839244,1263272.000,7292,3,PI,1,100,159377
1734686986.879243,1263312.000,7309,2,PI,1,100,159339
1734686986.919242,1263352.000,7309,2,PI,1,100,159341
1734686986.959241,1263392.000,7325,3,PI,1,100,159315
1734686986.999240,1263432.000,7325,3,PI,1,100,159270
1734686987.039240,1263472.000,7325,3,PI,1,100,159202
1734686987.079239,1263512.000,7341,2,PI,1,100,159146
1734686987.119238,1263552.000,7341,2,PI,1,100,159121
1734686987.159237,1263592.000,7357,3,PI,1,100,159078
1734686987.199236,1263632.000,7357,3,PI,1,100,159039
1734686987.239236,1263672.000,7357,3,PI,1,100,159058
1734686987.279235,1263712.000,7374,2,PI,1,100,159069
1734686987.319234,1263752.000,7374,2,PI,1,100,159071
1734686987.359233,1263792.000,7391,3,PI,1,100,159056
1734686987.399232,1263832.000,7391,3,PI,1,100,159055
1734686987.439232,1263872.000,7391,3,PI,1,100,159084
1734686987.479231,1263912.000,7406,3,PI,1,100,159066
1734686987.519230,1263952.000,7406,3,PI,1,100,159068
1734686987.559229,1263992.000,7406,3,PI,1,100,159041
1734686987.599228,1264032.000,7422,2,PI,1,100,159015
1734686987.639228,1264072.000,7422,2,PI,1,100,159013
1734686987.679227,1264112.000,7440,3,PI,1,100,158985
1734686987.719226,1264152.000,7440,3,PI,1,100,159002
1734686987.759225,1264192.000,7440,3,PI,1,100,158995
1734686987.799225,1264232.000,7456,2,PI,1,100,158998
1734686987.839224,1264272.000,7456,2,PI,1,100,158946
1734686987.879223,1264312.000,7472,3,PI,1,100,158923
1734686987.919222,1264352.000,7472,3,PI,1,100,158883
1734686987.959221,1264392.000,7472,3,PI,1,100,158922
1734686987.999221,1264432.000,7488,2,PI,1,100,158933
