LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1734686984.658287,1261091.000,6952,1,T1,1,100,37.241
1734686984.791284,1261224.000,6963,1,T1,1,100,37.317
1734686984.925282,1261358.000,6994,1,T1,1,100,37.421
1734686985.058279,1261491.000,7012,1,T1,1,100,37.395
1734686985.191276,1261624.000,7032,1,T1,1,100,37.242
1734686985.324274,1261757.000,7049,1,T1,1,100,37.317
1734686985.458271,1261891.000,7081,1,T1,1,100,37.315
1734686985.591268,1262024.000,7097,1,T1,1,100,37.207
1734686985.724266,1262157.000,7114,1,T1,1,100,37.302
1734686985.858263,1262291.000,7146,1,T1,1,100,37.379
1734686985.991260,1262424.000,7164,1,T1,1,100,37.270
1734686986.124258,1262557.000,7182,1,T1,1,100,37.223
1734686986.258255,1262691.000,7215,1,T1,1,100,37.274
1734686986.391253,1262824.000,7232,1,T1,1,100,37.189
1734686986.524250,1262957.000,7249,1,T1,1,100,37.295
1734686986.658247,1263091.000,7281,1,T1,1,100,37.340
1734686986.791245,1263224.000,7297,1,T1,1,100,37.360
1734686986.924242,1263357.000,7314,1,T1,1,100,37.333
1734686987.058239,1263491.000,7346,1,T1,1,100,37.286
1734686987.191236,1263624.000,7362,1,T1,1,100,37.230
1734686987.324234,1263757.000,7379,1,T1,1,100,37.206
1734686987.458231,1263891.000,7411,1,T1,1,100,37.337
1734686987.591229,1264024.000,7427,1,T1,1,100,37.359
1734686987.724226,1264157.000,7445,1,T1,1,100,37.297
1734686987.857223,1264290.000,7461,1,T1,1,100,37.235
1734686987.991221,1264424.000,7493,1,T1,1,100,37.137
1734686988.124218,1264557.000,7510,1,T1,1,100,37.201
1734686988.257215,1264690.000,7526,1,T1,1,100,37.264
1734686988.391213,1264824.000,7558,1,T1,1,100,37.256
1734686988.524210,1264957.000,7575,1,T1,1,100,37.324
1734686988.657207,1265090.000,7593,1,T1,1,100,37.246
1734686988.791205,1265224.000,7625,1,T1,1,100,37.142
1734686988.924202,1265357.000,7642,1,T1,1,100,37.203
1734686989.057199,1265490.000,7659,1,T1,1,100,37.265
1734686989.191197,1265624.000,7690,1,T1,1,100,37.221
1734686989.324194,1265757.000,7707,1,T1,1,100,37.273
1734686989.457192,1265890.000,7724,1,T1,1,100,37.295
1734686989.591189,1266024.000,7741,1,T1,1,100,37.341
1734686989.724186,1266157.000,7773,1,T1,1,100,37.325
1734686989.857184,1266290.000,7797,1,T1,1,100,37.318
1734686989.991181,1266424.000,7813,1,T1,1,100,37.279
1734686990.124178,1266557.000,7833,1,T1,1,100,37.263
1734686990.257176,1266690.000,7864,1,T1,1,100,37.255
1734686990.391173,1266824.000,7881,1,T1,1,100,37.323
1734686990.524170,1266957.000,7898,1,T1,1,100,37.211
1734686990.657168,1267090.000,7932,1,T1,1,100,37.233
1734686990.791165,1267224.000,7950,1,T1,1,100,37.172
1734686990.924162,1267357.000,7967,1,T1,1,100,37.145
1734686991.057160,1267490.000,7983,1,T1,1,100,37.240
1734686991.190157,1267623.000,8015,1,T1,1,100,37.281
1734686991.324155,1267757.000,8032,1,T1,1,100,37.228
1734686991.457152,1267890.000,8051,1,T1,1,100,37.205
1734686991.590149,1268023.000,8082,1,T1,1,100,37.337
1734686991.724147,1268157.000,8100,1,T1,1,100,37.181
1734686991.857144,1268290.000,8116,1,T1,1,100,37.149
1734686991.990141,1268423.000,8148,1,T1,1,100,37.171
1734686992.124139,1268557.000,8165,1,T1,1,100,37.180
1734686992.257136,1268690.000,8181,1,T1,1,100,37.255
1734686992.391133,1268824.000,8213,1,T1,1,100,37.288
1734686992.524131,1268957.000,8232,1,T1,1,100,37.302
1734686992.657128,1269090.000,8248,1,T1,1,100,37.272
1734686992.790125,1269223.000,8266,1,T1,1,100,37.331
1734686992.924123,1269357.000,8297,1,T1,1,100,37.320
1734686993.057120,1269490.000,8314,1,T1,1,100,37.351
1734686993.190118,1269623.000,8331,1,T1,1,100,37.329
1734686993.324115,1269757.000,8365,1,T1,1,100,37.355
1734686993.457112,1269890.000,8381,1,T1,1,100,37.296
1734686993.590110,1270023.000,8398,1,T1,1,100,37.305
1734686993.724107,1270157.000,8430,1,T1,1,100,37.309
1734686993.857104,1270290.000,8446,1,T1,1,100,37.169
1734686993.990102,1270423.000,8463,1,T1,1,100,37.251
1734686994.124099,1270557.000,8495,1,T1,1,100,37.357
1734686994.257096,1270690.000,8513,1,T1,1,100,37.261
1734686994.390094,1270823.000,8531,1,T1,1,100,37.290
1734686994.524091,1270957.000,8562,1,T1,1,100,37.338
1734686994.657088,1271090.000,8578,1,T1,1,100,37.182
1734686994.790086,1271223.000,8596,1,T1,1,100,37.256
1734686994.924083,1271357.000,8612,1,T1,1,100,37.217
1734686995.057081,1271490.000,8636,1,T1,1,100,37.236
1734686995.190078,1271623.000,8669,1,T1,1,100,37.350
1734686995.323075,1271756.000,8685,1,T1,1,100,37.400
1734686995.457072,1271890.000,8703,1,T1,1,100,37.279
1734686995.590070,1272023.000,8734,1,T1,1,100,37.334
1734686995.723067,1272156.000,8753,1,T1,1,100,37.357
1734686995.857064,1272290.000,8770,1,T1,1,100,37.296
1734686995.990062,1272423.000,8786,1,T1,1,100,37.270
1734686996.123059,1272556.000,8818,1,T1,1,100,37.330
1734686996.257057,1272690.000,8835,1,T1,1,100,37.284
1734686996.390054,1272823.000,8852,1,T1,1,100,37.336
1734686996.523051,1272956.000,8885,1,T1,1,100,37.323
1734686996.657049,1273090.000,8902,1,T1,1,100,37.317
1734686996.790046,1273223.000,8919,1,T1,1,100,37.208
1734686996.923043,1273356.000,8950,1,T1,1,100,37.303
1734686997.057041,1273490.000,8968,1,T1,1,100,37.344
1734686997.190038,1273623.000,8984,1,T1,1,100,37.255
1734686997.323035,1273756.000,9016,1,T1,1,100,37.252
1734686997.457033,1273890.000,9035,1,T1,1,100,37.286
1734686997.590030,1274023.000,9051,1,T1,1,100,37.266
1734686997.723027,1274156.000,9083,1,T1,1,100,37.363
1734686997.856025,1274289.000,9100,1,T1,1,100,37.370
1734686997.990022,1274423.000,9116,1,T1,1,100,37.302
1734686998.123020,1274556.000,9134,1,T1,1,100,37.272
1734686998.257017,1274690.000,9167,1,T1,1,100,37.260
1734686998.390014,1274823.000,9184,1,T1,1,100,37.254
1734686998.523012,1274956.000,9201,1,T1,1,100,37.323
1734686998.656009,1275089.000,9233,1,T1,1,100,37.246
1734686998.790006,1275223.000,9249,1,T1,1,100,37.213
1734686998.923004,1275356.000,9266,1,T1,1,100,37.269
1734686999.056001,1275489.000,9300,1,T1,1,100,37.329
1734686999.189998,1275623.000,9316,1,T1,1,100,37.249
1734686999.322996,1275756.000,9333,1,T1,1,100,37.356
1734686999.455993,1275889.000,9365,1,T1,1,100,37.296
1734686999.589990,1276023.000,9381,1,T1,1,100,37.341
1734686999.722988,1276156.000,9399,1,T1,1,100,37.289
1734686999.855985,1276289.000,9432,1,T1,1,100,37.338
1734686999.989983,1276423.000,9448,1,T1,1,100,37.288
1734687000.122980,1276556.000,9475,1,T1,1,100,37.302
1734687000.255977,1276689.000,9491,1,T1,1,100,37.343
1734687000.389975,1276823.000,9523,1,T1,1,100,37.361
1734687000.522972,1276956.000,9540,1,T1,1,100,37.334
1734687000.655969,1277089.000,9556,1,T1,1,100,37.357
