LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1734686984.673286,1261106.000,6953,1,TH,1,100,34.468
1734686984.806284,1261239.000,6964,1,TH,1,100,34.468
1734686984.939281,1261372.000,6995,1,TH,1,100,34.504
1734686985.073279,1261506.000,7013,1,TH,1,100,34.504
1734686985.206276,1261639.000,7033,1,TH,1,100,34.410
1734686985.339273,1261772.000,7065,1,TH,1,100,34.410
1734686985.473271,1261906.000,7082,1,TH,1,100,34.476
1734686985.606268,1262039.000,7098,1,TH,1,100,34.476
1734686985.739265,1262172.000,7130,1,TH,1,100,34.489
1734686985.873263,1262306.000,7147,1,TH,1,100,34.489
1734686986.006260,1262439.000,7165,1,TH,1,100,34.497
1734686986.139257,1262572.000,7183,1,TH,1,100,34.497
1734686986.273255,1262706.000,7216,1,TH,1,100,34.575
1734686986.406252,1262839.000,7233,1,TH,1,100,34.575
1734686986.539249,1262972.000,7250,1,TH,1,100,34.446
1734686986.673247,1263106.000,7282,1,TH,1,100,34.445
1734686986.806244,1263239.000,7298,1,TH,1,100,34.517
1734686986.939242,1263372.000,7315,1,TH,1,100,34.517
1734686987.072239,1263505.000,7347,1,TH,1,100,34.448
1734686987.206236,1263639.000,7363,1,TH,1,100,34.448
1734686987.339234,1263772.000,7380,1,TH,1,100,34.481
1734686987.472231,1263905.000,7412,1,TH,1,100,34.481
1734686987.606228,1264039.000,7428,1,TH,1,100,34.486
1734686987.739226,1264172.000,7446,1,TH,1,100,34.486
1734686987.872223,1264305.000,7477,1,TH,1,100,34.553
1734686988.006220,1264439.000,7494,1,TH,1,100,34.553
1734686988.139218,1264572.000,7511,1,TH,1,100,34.463
1734686988.272215,1264705.000,7527,1,TH,1,100,34.463
1734686988.406213,1264839.000,7559,1,TH,1,100,34.545
1734686988.539210,1264972.000,7576,1,TH,1,100,34.545
1734686988.672207,1265105.000,7594,1,TH,1,100,34.540
1734686988.806205,1265239.000,7626,1,TH,1,100,34.540
1734686988.939202,1265372.000,7643,1,TH,1,100,34.514
1734686989.072199,1265505.000,7660,1,TH,1,100,34.514
1734686989.206197,1265639.000,7691,1,TH,1,100,34.589
1734686989.339194,1265772.000,7708,1,TH,1,100,34.589
1734686989.472191,1265905.000,7725,1,TH,1,100,34.494
1734686989.605189,1266038.000,7756,1,TH,1,100,34.494
1734686989.739186,1266172.000,7774,1,TH,1,100,34.555
1734686989.872183,1266305.000,7798,1,TH,1,100,34.555
1734686990.006181,1266439.000,7814,1,TH,1,100,34.548
1734686990.139178,1266572.000,7834,1,TH,1,100,34.548
1734686990.272175,1266705.000,7865,1,TH,1,100,34.550
1734686990.405173,1266838.000,7882,1,TH,1,100,34.550
1734686990.539170,1266972.000,7899,1,TH,1,100,34.555
1734686990.672168,1267105.000,7933,1,TH,1,100,34.555
1734686990.805165,1267238.000,7951,1,TH,1,100,34.565
1734686990.939162,1267372.000,7968,1,TH,1,100,34.565
1734686991.072160,1267505.000,8000,1,TH,1,100,34.509
1734686991.205157,1267638.000,8016,1,TH,1,100,34.509
1734686991.339154,1267772.000,8033,1,TH,1,100,34.389
1734686991.472152,1267905.000,8052,1,TH,1,100,34.389
1734686991.605149,1268038.000,8083,1,TH,1,100,34.553
1734686991.739146,1268172.000,8101,1,TH,1,100,34.553
1734686991.872144,1268305.000,8117,1,TH,1,100,34.509
1734686992.005141,1268438.000,8149,1,TH,1,100,34.509
1734686992.139138,1268572.000,8166,1,TH,1,100,34.514
1734686992.272136,1268705.000,8182,1,TH,1,100,34.514
1734686992.405133,1268838.000,8214,1,TH,1,100,34.550
1734686992.539130,1268972.000,8233,1,TH,1,100,34.550
1734686992.672128,1269105.000,8249,1,TH,1,100,34.560
1734686992.805125,1269238.000,8281,1,TH,1,100,34.560
1734686992.939122,1269372.000,8298,1,TH,1,100,34.517
1734686993.072120,1269505.000,8315,1,TH,1,100,34.517
1734686993.205117,1269638.000,8332,1,TH,1,100,34.519
1734686993.338115,1269771.000,8366,1,TH,1,100,34.519
1734686993.472112,1269905.000,8382,1,TH,1,100,34.499
1734686993.605109,1270038.000,8399,1,TH,1,100,34.499
1734686993.739107,1270172.000,8431,1,TH,1,100,34.627
1734686993.872104,1270305.000,8447,1,TH,1,100,34.627
1734686994.005101,1270438.000,8464,1,TH,1,100,34.446
1734686994.138099,1270571.000,8496,1,TH,1,100,34.445
1734686994.272096,1270705.000,8514,1,TH,1,100,34.529
1734686994.405093,1270838.000,8532,1,TH,1,100,34.529
1734686994.538091,1270971.000,8563,1,TH,1,100,34.494
1734686994.672088,1271105.000,8579,1,TH,1,100,34.494
1734686994.805085,1271238.000,8597,1,TH,1,100,34.483
1734686994.938583,1271371.500,8637,2,TH,1,100,34.483
1734686995.072080,1271505.000,8637,2,TH,1,100,34.514
1734686995.205077,1271638.000,8670,1,TH,1,100,34.514
1734686995.338075,1271771.000,8686,1,TH,1,100,34.521
1734686995.472072,1271905.000,8704,1,TH,1,100,34.521
1734686995.605070,1272038.000,8735,1,TH,1,100,34.550
1734686995.738067,1272171.000,8754,1,TH,1,100,34.550
1734686995.872064,1272305.000,8771,1,TH,1,100,34.560
1734686996.005062,1272438.000,8803,1,TH,1,100,34.560
1734686996.138059,1272571.000,8819,1,TH,1,100,34.516
1734686996.271056,1272704.000,8836,1,TH,1,100,34.516
1734686996.405054,1272838.000,8853,1,TH,1,100,34.550
1734686996.538051,1272971.000,8886,1,TH,1,100,34.550
1734686996.671048,1273104.000,8903,1,TH,1,100,34.509
1734686996.805046,1273238.000,8920,1,TH,1,100,34.509
1734686996.938043,1273371.000,8951,1,TH,1,100,34.547
1734686997.071040,1273504.000,8969,1,TH,1,100,34.547
1734686997.205038,1273638.000,8985,1,TH,1,100,34.506
1734686997.338035,1273771.000,9017,1,TH,1,100,34.506
1734686997.471033,1273904.000,9036,1,TH,1,100,34.465
1734686997.605030,1274038.000,9052,1,TH,1,100,34.472
1734686997.738027,1274171.000,9084,1,TH,1,100,34.575
1734686997.872025,1274305.000,9101,1,TH,1,100,34.575
1734686998.005022,1274438.000,9117,1,TH,1,100,34.547
1734686998.138019,1274571.000,9149,1,TH,1,100,34.547
1734686998.271017,1274704.000,9168,1,TH,1,100,34.575
1734686998.405014,1274838.000,9185,1,TH,1,100,34.575
1734686998.538011,1274971.000,9202,1,TH,1,100,34.501
1734686998.671009,1275104.000,9234,1,TH,1,100,34.501
1734686998.805006,1275238.000,9250,1,TH,1,100,34.511
1734686998.938004,1275371.000,9267,1,TH,1,100,34.511
1734686999.071001,1275504.000,9301,1,TH,1,100,34.561
1734686999.204998,1275638.000,9317,1,TH,1,100,34.561
1734686999.337996,1275771.000,9334,1,TH,1,100,34.511
1734686999.470993,1275904.000,9366,1,TH,1,100,34.511
1734686999.604990,1276038.000,9382,1,TH,1,100,34.597
1734686999.737988,1276171.000,9400,1,TH,1,100,34.597
1734686999.870985,1276304.000,9433,1,TH,1,100,34.513
1734687000.004982,1276438.000,9449,1,TH,1,100,34.513
1734687000.137980,1276571.000,9476,1,TH,1,100,34.521
1734687000.270977,1276704.000,9507,1,TH,1,100,34.521
1734687000.403974,1276837.000,9524,1,TH,1,100,34.488
1734687000.537972,1276971.000,9541,1,TH,1,100,34.488
1734687000.670969,1277104.000,9557,1,TH,1,100,34.426
1734687000.803966,1277237.000,9591,1,TH,1,100,34.426
1734687000.937964,1277371.000,9608,1,TH,1,100,34.539
1734687001.070961,1277504.000,9625,1,TH,1,100,34.539
1734687001.203959,1277637.000,9656,1,TH,1,100,34.546
1734687001.337956,1277771.000,9673,1,TH,1,100,34.546
1734687001.470953,1277904.000,9690,1,TH,1,100,34.498
1734687001.603951,1278037.000,9723,1,TH,1,100,34.498
1734687001.737948,1278171.000,9741,1,TH,1,100,34.478
1734687001.870945,1278304.000,9757,1,TH,1,100,34.478
1734687002.003942,1278437.000,9789,1,TH,1,100,34.454
1734687002.137940,1278571.000,9806,1,TH,1,100,34.454
1734687002.270937,1278704.000,9822,1,TH,1,100,34.493
1734687002.403935,1278837.000,9840,1,TH,1,100,34.493
1734687002.537932,1278971.000,9873,1,TH,1,100,34.541
1734687002.670929,1279104.000,9889,1,TH,1,100,34.548
1734687002.803927,1279237.000,9907,1,TH,1,100,34.482
1734687002.937924,1279371.000,9938,1,TH,1,100,34.475
1734687003.070921,1279504.000,9955,1,TH,1,100,34.485
1734687003.203919,1279637.000,9974,1,TH,1,100,34.492
1734687003.336916,1279770.000,10006,1,TH,1,100,34.451
1734687003.470913,1279904.000,10022,1,TH,1,100,34.451
1734687003.603911,1280037.000,10039,1,TH,1,100,34.459
1734687003.737908,1280171.000,10071,1,TH,1,100,34.459
1734687003.870905,1280304.000,10087,1,TH,1,100,34.420
1734687004.003903,1280437.000,10104,1,TH,1,100,34.420
1734687004.137900,1280571.000,10138,1,TH,1,100,34.548
1734687004.270898,1280704.000,10154,1,TH,1,100,34.548
1734687004.403895,1280837.000,10172,1,TH,1,100,34.428
1734687004.536892,1280970.000,10188,1,TH,1,100,34.428
1734687004.670890,1281104.000,10220,1,TH,1,100,34.479
