LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AX
1734687900.383206,203879.000,31340,3,AX,1,100,0.883
1734687900.383206,203879.000,31340,3,AX,1,100,0.878
1734687900.383206,203879.000,31340,3,AX,1,100,0.882
1734687900.423206,203919.000,31355,3,AX,1,100,0.888
1734687900.463205,203959.000,31355,3,AX,1,100,0.892
1734687900.503205,203999.000,31355,3,AX,1,100,0.879
1734687900.543205,204039.000,31371,2,AX,1,100,0.879
1734687900.583205,204079.000,31371,2,AX,1,100,0.892
1734687900.623204,204119.000,31389,3,AX,1,100,0.878
1734687900.663204,204159.000,31389,3,AX,1,100,0.879
1734687900.703204,204199.000,31389,3,AX,1,100,0.888
1734687900.743203,204239.000,31405,2,AX,1,100,0.883
1734687900.783203,204279.000,31405,2,AX,1,100,0.882
1734687900.823203,204319.000,31422,3,AX,1,100,0.878
1734687900.863203,204359.000,31422,3,AX,1,100,0.874
1734687900.903202,204399.000,31422,3,AX,1,100,0.879
1734687900.943202,204439.000,31439,2,AX,1,100,0.877
1734687900.983202,204479.000,31439,2,AX,1,100,0.891
1734687901.023202,204519.000,31456,3,AX,1,100,0.882
1734687901.063201,204559.000,31456,3,AX,1,100,0.858
1734687901.103201,204599.000,31456,3,AX,1,100,0.877
1734687901.138867,204634.667,31472,3,AX,1,100,0.904
1734687901.174534,204670.333,31472,3,AX,1,100,0.904
1734687901.210200,204706.000,31472,3,AX,1,100,0.893
1734687901.250200,204746.000,31487,2,AX,1,100,0.892
1734687901.290200,204786.000,31487,2,AX,1,100,0.866
1734687901.330199,204826.000,31504,3,AX,1,100,0.861
1734687901.370199,204866.000,31504,3,AX,1,100,0.904
1734687901.410199,204906.000,31504,3,AX,1,100,0.874
1734687901.450199,204946.000,31523,2,AX,1,100,0.882
1734687901.490199,204986.000,31523,2,AX,1,100,0.908
1734687901.530198,205026.000,31539,3,AX,1,100,0.846
1734687901.570198,205066.000,31539,3,AX,1,100,0.873
1734687901.610198,205106.000,31539,3,AX,1,100,0.890
1734687901.650198,205146.000,31556,2,AX,1,100,0.878
1734687901.690197,205186.000,31556,2,AX,1,100,0.898
1734687901.730197,205226.000,31571,3,AX,1,100,0.914
1734687901.770197,205266.000,31571,3,AX,1,100,0.892
1734687901.810196,205306.000,31571,3,AX,1,100,0.887
1734687901.850196,205346.000,31588,3,AX,1,100,0.880
1734687901.890196,205386.000,31588,3,AX,1,100,0.897
1734687901.930196,205426.000,31588,3,AX,1,100,0.924
1734687901.970195,205466.000,31605,2,AX,1,100,0.841
1734687902.010195,205506.000,31605,2,AX,1,100,0.880
1734687902.050195,205546.000,31622,3,AX,1,100,0.879
1734687902.090194,205586.000,31622,3,AX,1,100,0.887
1734687902.130194,205626.000,31622,3,AX,1,100,0.896
1734687902.170194,205666.000,31636,2,AX,1,100,0.903
1734687902.210194,205706.000,31636,2,AX,1,100,0.897
1734687902.250193,205746.000,31656,3,AX,1,100,0.890
1734687902.290193,205786.000,31656,3,AX,1,100,0.910
1734687902.330193,205826.000,31656,3,AX,1,100,0.889
1734687902.365526,205861.333,31672,3,AX,1,100,0.886
1734687902.400859,205896.667,31672,3,AX,1,100,0.900
1734687902.436192,205932.000,31672,3,AX,1,100,0.888
1734687902.476192,205972.000,31689,2,AX,1,100,0.889
1734687902.516192,206012.000,31689,2,AX,1,100,0.908
1734687902.556191,206052.000,31703,3,AX,1,100,0.862
1734687902.596191,206092.000,31703,3,AX,1,100,0.873
1734687902.636191,206132.000,31703,3,AX,1,100,0.886
1734687902.676191,206172.000,31721,2,AX,1,100,0.896
1734687902.716190,206212.000,31721,2,AX,1,100,0.902
1734687902.756190,206252.000,31737,3,AX,1,100,0.885
1734687902.796190,206292.000,31737,3,AX,1,100,0.893
1734687902.836190,206332.000,31737,3,AX,1,100,0.890
1734687902.876189,206372.000,31756,2,AX,1,100,0.904
1734687902.916189,206412.000,31756,2,AX,1,100,0.902
1734687902.956189,206452.000,31771,3,AX,1,100,0.886
1734687902.996189,206492.000,31771,3,AX,1,100,0.895
1734687903.036188,206532.000,31771,3,AX,1,100,0.894
1734687903.076188,206572.000,31790,2,AX,1,100,0.890
1734687903.116188,206612.000,31790,2,AX,1,100,0.885
1734687903.156188,206652.000,31806,3,AX,1,100,0.889
1734687903.196187,206692.000,31806,3,AX,1,100,0.892
1734687903.236187,206732.000,31806,3,AX,1,100,0.892
1734687903.276187,206772.000,31824,2,AX,1,100,0.880
1734687903.316186,206812.000,31824,2,AX,1,100,0.895
1734687903.356186,206852.000,31838,3,AX,1,100,0.902
1734687903.396186,206892.000,31838,3,AX,1,100,0.890
1734687903.436186,206932.000,31838,3,AX,1,100,0.882
1734687903.471852,206967.667,31855,3,AX,1,100,0.882
1734687903.507519,207003.333,31855,3,AX,1,100,0.900
1734687903.543185,207039.000,31855,3,AX,1,100,0.909
1734687903.583185,207079.000,31874,3,AX,1,100,0.896
1734687903.623184,207119.000,31874,3,AX,1,100,0.843
1734687903.663184,207159.000,31874,3,AX,1,100,0.897
1734687903.703184,207199.000,31891,2,AX,1,100,0.877
1734687903.743184,207239.000,31891,2,AX,1,100,0.898
1734687903.783183,207279.000,31907,3,AX,1,100,0.901
1734687903.823183,207319.000,31907,3,AX,1,100,0.884
1734687903.863183,207359.000,31907,3,AX,1,100,0.898
1734687903.903183,207399.000,31922,2,AX,1,100,0.899
1734687903.943182,207439.000,31922,2,AX,1,100,0.898
1734687903.983182,207479.000,31939,3,AX,1,100,0.894
1734687904.023182,207519.000,31939,3,AX,1,100,0.887
1734687904.063181,207559.000,31939,3,AX,1,100,0.897
1734687904.103181,207599.000,31956,2,AX,1,100,0.890
1734687904.143181,207639.000,31956,2,AX,1,100,0.882
1734687904.183181,207679.000,31972,3,AX,1,100,0.892
1734687904.223180,207719.000,31972,3,AX,1,100,0.895
1734687904.263180,207759.000,31972,3,AX,1,100,0.893
1734687904.303180,207799.000,31988,2,AX,1,100,0.889
1734687904.343180,207839.000,31988,2,AX,1,100,0.896
1734687904.383179,207879.000,32004,3,AX,1,100,0.891
1734687904.423179,207919.000,32004,3,AX,1,100,0.893
1734687904.463179,207959.000,32004,3,AX,1,100,0.884
1734687904.503179,207999.000,32021,3,AX,1,100,0.927
1734687904.543178,208039.000,32021,3,AX,1,100,0.865
1734687904.583178,208079.000,32021,3,AX,1,100,0.892
1734687904.623178,208119.000,32038,2,AX,1,100,0.887
1734687904.663177,208159.000,32038,2,AX,1,100,0.894
1734687904.698511,208194.333,32053,3,AX,1,100,0.896
1734687904.733844,208229.667,32053,3,AX,1,100,0.895
1734687904.769177,208265.000,32053,3,AX,1,100,0.894
1734687904.809176,208305.000,32069,3,AX,1,100,0.894
1734687904.849176,208345.000,32069,3,AX,1,100,0.889
