LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1734687902.962189,206458.000,31781,1,B%,1,100,27
1734687907.961156,211457.000,32600,1,B%,1,100,28
1734687912.961123,216457.000,33403,1,B%,1,100,28
1734687917.960089,221456.000,34227,1,B%,1,100,27
1734687922.960056,226456.000,35050,1,B%,1,100,27
1734687927.959023,231455.000,35870,1,B%,1,100,28
1734687932.958990,236455.000,36679,1,B%,1,100,27
1734687937.957957,241454.000,37500,1,B%,1,100,27
1734687942.957924,246454.000,38305,1,B%,1,100,26
1734687947.956891,251453.000,39130,1,B%,1,100,27
1734687952.956858,256453.000,39936,1,B%,1,100,27
1734687957.955825,261452.000,40745,1,B%,1,100,27
1734687962.954792,266451.000,41566,1,B%,1,100,27
1734687967.954758,271451.000,42387,1,B%,1,100,27
1734687972.954725,276451.000,43203,1,B%,1,100,26
1734687977.953692,281450.000,44010,1,B%,1,100,26
1734687982.953659,286450.000,44813,1,B%,1,100,27
1734687987.952626,291449.000,45631,1,B%,1,100,26
1734687992.952593,296449.000,46451,1,B%,1,100,26
1734687997.951560,301448.000,47272,1,B%,1,100,26
1734688002.951527,306448.000,48084,1,B%,1,100,26
1734688007.950494,311447.000,48880,1,B%,1,100,26
1734688012.950460,316447.000,49688,1,B%,1,100,26
1734688017.949427,321446.000,50507,1,B%,1,100,25
1734688022.949394,326446.000,51330,1,B%,1,100,26
1734688027.948361,331445.000,52131,1,B%,1,100,26
1734688032.948328,336445.000,52973,1,B%,1,100,25
1734688037.947295,341444.000,53765,1,B%,1,100,25
1734688042.947262,346444.000,54586,1,B%,1,100,25
1734688047.946229,351443.000,55386,1,B%,1,100,26
1734688052.946196,356443.000,56199,1,B%,1,100,25
1734688057.945162,361442.000,56994,1,B%,1,100,25
1734688062.945129,366442.000,57816,1,B%,1,100,25
1734688067.944096,371441.000,58635,1,B%,1,100,25
1734688072.944063,376441.000,59440,1,B%,1,100,25
1734688077.943030,381440.000,60260,1,B%,1,100,25
1734688082.942997,386440.000,61064,1,B%,1,100,25
1734688087.941964,391439.000,61872,1,B%,1,100,25
1734688092.941931,396439.000,62669,1,B%,1,100,25
1734688097.940897,401438.000,63440,1,B%,1,100,24
1734688102.940864,406438.000,64257,1,B%,1,100,25
1734688107.939831,411437.000,65058,1,B%,1,100,24
1734688112.939798,416437.000,344,1,B%,1,100,25
1734688117.938765,421436.000,1142,1,B%,1,100,24
1734688122.938732,426436.000,1960,1,B%,1,100,24
1734688127.937699,431435.000,2785,1,B%,1,100,24
1734688132.937666,436435.000,3601,1,B%,1,100,24
1734688137.936633,441434.000,4424,1,B%,1,100,24
1734688142.936599,446434.000,5225,1,B%,1,100,24
1734688147.935566,451433.000,6044,1,B%,1,100,24
1734688152.935533,456433.000,6848,1,B%,1,100,24
1734688157.934500,461432.000,7666,1,B%,1,100,24
1734688162.934467,466432.000,8484,1,B%,1,100,24
1734688167.933434,471431.000,9304,1,B%,1,100,22
1734688172.933401,476431.000,10124,1,B%,1,100,24
1734688177.932368,481430.000,10940,1,B%,1,100,24
1734688182.932335,486430.000,11758,1,B%,1,100,23
1734688187.931302,491429.000,12545,1,B%,1,100,23
1734688192.931268,496429.000,13364,1,B%,1,100,24
1734688197.930235,501428.000,14180,1,B%,1,100,23
1734688202.930202,506428.000,15001,1,B%,1,100,23
1734688207.929169,511427.000,15818,1,B%,1,100,23
1734688212.929136,516427.000,16636,1,B%,1,100,23
1734688217.928103,521426.000,17454,1,B%,1,100,22
1734688222.928070,526426.000,18273,1,B%,1,100,22
1734688227.927037,531425.000,19093,1,B%,1,100,22
1734688232.927004,536425.000,19912,1,B%,1,100,23
1734688237.925971,541424.000,20730,1,B%,1,100,22
1734688242.925937,546424.000,21551,1,B%,1,100,22
1734688247.924904,551423.000,22371,1,B%,1,100,22
1734688252.924871,556423.000,23172,1,B%,1,100,22
1734688257.923838,561422.000,23969,1,B%,1,100,22
1734688262.923805,566422.000,24774,1,B%,1,100,21
1734688267.922772,571421.000,25576,1,B%,1,100,22
1734688272.922739,576421.000,26333,1,B%,1,100,22
1734688277.921705,581420.000,27135,1,B%,1,100,22
1734688282.921673,586420.000,27957,1,B%,1,100,21
1734688287.920639,591419.000,28774,1,B%,1,100,21
1734688292.920606,596419.000,29594,1,B%,1,100,21
1734688297.919573,601418.000,30395,1,B%,1,100,21
1734688302.919540,606418.000,31212,1,B%,1,100,21
1734688307.918507,611417.000,32036,1,B%,1,100,20
1734688312.918474,616417.000,32856,1,B%,1,100,21
1734688317.917441,621416.000,33662,1,B%,1,100,21
1734688322.917408,626416.000,34483,1,B%,1,100,21
1734688327.916374,631415.000,35288,1,B%,1,100,21
1734688332.916341,636415.000,36106,1,B%,1,100,20
1734688337.915308,641414.000,36927,1,B%,1,100,20
1734688342.915275,646414.000,37732,1,B%,1,100,20
1734688347.914242,651413.000,38550,1,B%,1,100,21
1734688352.914209,656413.000,39370,1,B%,1,100,20
1734688357.913176,661412.000,40191,1,B%,1,100,20
1734688362.913143,666412.000,40994,1,B%,1,100,20
