LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1734687902.962189,206458.000,31780,1,BV,1,100,3.58
1734687907.961156,211457.000,32599,1,BV,1,100,3.59
1734687912.960123,216456.000,33402,1,BV,1,100,3.58
1734687917.960089,221456.000,34226,1,BV,1,100,3.58
1734687922.960056,226456.000,35049,1,BV,1,100,3.58
1734687927.959023,231455.000,35869,1,BV,1,100,3.58
1734687932.958990,236455.000,36678,1,BV,1,100,3.58
1734687937.957957,241454.000,37499,1,BV,1,100,3.58
1734687942.957924,246454.000,38304,1,BV,1,100,3.57
1734687947.956891,251453.000,39129,1,BV,1,100,3.58
1734687952.955858,256452.000,39935,1,BV,1,100,3.58
1734687957.955825,261452.000,40744,1,BV,1,100,3.58
1734687962.954792,266451.000,41565,1,BV,1,100,3.58
1734687967.954758,271451.000,42386,1,BV,1,100,3.57
1734687972.954725,276451.000,43202,1,BV,1,100,3.57
1734687977.953692,281450.000,44009,1,BV,1,100,3.57
1734687982.953659,286450.000,44812,1,BV,1,100,3.57
1734687987.952626,291449.000,45630,1,BV,1,100,3.57
1734687992.952593,296449.000,46450,1,BV,1,100,3.57
1734687997.951560,301448.000,47271,1,BV,1,100,3.57
1734688002.951527,306448.000,48083,1,BV,1,100,3.57
1734688007.950494,311447.000,48879,1,BV,1,100,3.57
1734688012.950460,316447.000,49687,1,BV,1,100,3.57
1734688017.949427,321446.000,50506,1,BV,1,100,3.56
1734688022.948394,326445.000,51329,1,BV,1,100,3.57
1734688027.948361,331445.000,52130,1,BV,1,100,3.57
1734688032.948328,336445.000,52972,1,BV,1,100,3.57
1734688037.947295,341444.000,53764,1,BV,1,100,3.57
1734688042.947262,346444.000,54585,1,BV,1,100,3.56
1734688047.946229,351443.000,55385,1,BV,1,100,3.57
1734688052.946196,356443.000,56198,1,BV,1,100,3.57
1734688057.945162,361442.000,56993,1,BV,1,100,3.57
1734688062.945129,366442.000,57815,1,BV,1,100,3.56
1734688067.944096,371441.000,58634,1,BV,1,100,3.57
1734688072.944063,376441.000,59439,1,BV,1,100,3.57
1734688077.943030,381440.000,60259,1,BV,1,100,3.57
1734688082.942997,386440.000,61063,1,BV,1,100,3.57
1734688087.941964,391439.000,61871,1,BV,1,100,3.56
1734688092.941931,396439.000,62668,1,BV,1,100,3.56
1734688097.940897,401438.000,63439,1,BV,1,100,3.56
1734688102.940864,406438.000,64256,1,BV,1,100,3.57
1734688107.939831,411437.000,65057,1,BV,1,100,3.56
1734688112.938798,416436.000,343,1,BV,1,100,3.57
1734688117.938765,421436.000,1141,1,BV,1,100,3.56
1734688122.938732,426436.000,1959,1,BV,1,100,3.56
1734688127.937699,431435.000,2784,1,BV,1,100,3.56
1734688132.937666,436435.000,3600,1,BV,1,100,3.56
1734688137.936633,441434.000,4423,1,BV,1,100,3.56
1734688142.936599,446434.000,5224,1,BV,1,100,3.56
1734688147.935566,451433.000,6043,1,BV,1,100,3.56
1734688152.935533,456433.000,6847,1,BV,1,100,3.56
1734688157.934500,461432.000,7665,1,BV,1,100,3.56
1734688162.934467,466432.000,8483,1,BV,1,100,3.56
1734688167.933434,471431.000,9303,1,BV,1,100,3.55
1734688172.933401,476431.000,10123,1,BV,1,100,3.56
1734688177.932368,481430.000,10939,1,BV,1,100,3.56
1734688182.932335,486430.000,11757,1,BV,1,100,3.55
1734688187.931302,491429.000,12544,1,BV,1,100,3.55
1734688192.931268,496429.000,13363,1,BV,1,100,3.56
1734688197.930235,501428.000,14179,1,BV,1,100,3.56
1734688202.930202,506428.000,15000,1,BV,1,100,3.55
1734688207.929169,511427.000,15817,1,BV,1,100,3.55
1734688212.929136,516427.000,16635,1,BV,1,100,3.55
1734688217.928103,521426.000,17453,1,BV,1,100,3.55
1734688222.928070,526426.000,18272,1,BV,1,100,3.54
1734688227.927037,531425.000,19092,1,BV,1,100,3.55
1734688232.927004,536425.000,19911,1,BV,1,100,3.55
1734688237.925971,541424.000,20729,1,BV,1,100,3.55
1734688242.925937,546424.000,21550,1,BV,1,100,3.55
1734688247.924904,551423.000,22370,1,BV,1,100,3.55
1734688252.923871,556422.000,23171,1,BV,1,100,3.55
1734688257.923838,561422.000,23968,1,BV,1,100,3.54
1734688262.923805,566422.000,24773,1,BV,1,100,3.54
1734688267.922772,571421.000,25575,1,BV,1,100,3.55
1734688272.922739,576421.000,26332,1,BV,1,100,3.55
1734688277.921705,581420.000,27134,1,BV,1,100,3.54
1734688282.921673,586420.000,27956,1,BV,1,100,3.54
1734688287.920639,591419.000,28773,1,BV,1,100,3.54
1734688292.920606,596419.000,29593,1,BV,1,100,3.54
1734688297.919573,601418.000,30394,1,BV,1,100,3.54
1734688302.919540,606418.000,31211,1,BV,1,100,3.54
1734688307.918507,611417.000,32035,1,BV,1,100,3.54
1734688312.918474,616417.000,32855,1,BV,1,100,3.54
1734688317.917441,621416.000,33661,1,BV,1,100,3.54
1734688322.917408,626416.000,34482,1,BV,1,100,3.54
1734688327.916374,631415.000,35287,1,BV,1,100,3.54
1734688332.916341,636415.000,36105,1,BV,1,100,3.54
1734688337.915308,641414.000,36926,1,BV,1,100,3.53
1734688342.915275,646414.000,37731,1,BV,1,100,3.53
1734688347.914242,651413.000,38549,1,BV,1,100,3.54
1734688352.913209,656412.000,39369,1,BV,1,100,3.53
1734688357.913176,661412.000,40190,1,BV,1,100,3.54
1734688362.912143,666411.000,40993,1,BV,1,100,3.53
