LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GY
1734687900.383206,203879.000,31344,3,GY,1,100,-2.686
1734687900.383206,203879.000,31344,3,GY,1,100,-2.289
1734687900.383206,203879.000,31344,3,GY,1,100,-1.038
1734687900.423206,203919.000,31359,3,GY,1,100,-0.549
1734687900.463205,203959.000,31359,3,GY,1,100,-2.106
1734687900.503205,203999.000,31359,3,GY,1,100,-2.594
1734687900.543205,204039.000,31375,2,GY,1,100,-2.228
1734687900.583205,204079.000,31375,2,GY,1,100,-2.411
1734687900.623204,204119.000,31393,3,GY,1,100,-2.289
1734687900.663204,204159.000,31393,3,GY,1,100,-2.197
1734687900.703204,204199.000,31393,3,GY,1,100,-2.075
1734687900.743203,204239.000,31409,2,GY,1,100,-1.160
1734687900.783203,204279.000,31409,2,GY,1,100,-0.549
1734687900.823203,204319.000,31426,3,GY,1,100,-0.610
1734687900.863203,204359.000,31426,3,GY,1,100,-0.732
1734687900.903202,204399.000,31426,3,GY,1,100,-1.282
1734687900.943202,204439.000,31443,2,GY,1,100,-2.716
1734687900.983202,204479.000,31443,2,GY,1,100,-6.165
1734687901.023202,204519.000,31460,3,GY,1,100,-3.601
1734687901.063201,204559.000,31460,3,GY,1,100,-1.526
1734687901.103201,204599.000,31460,3,GY,1,100,0.854
1734687901.138867,204634.667,31476,3,GY,1,100,3.967
1734687901.174534,204670.333,31476,3,GY,1,100,0.610
1734687901.210200,204706.000,31476,3,GY,1,100,-5.249
1734687901.250200,204746.000,31491,2,GY,1,100,0.244
1734687901.290200,204786.000,31491,2,GY,1,100,6.561
1734687901.330199,204826.000,31508,3,GY,1,100,15.442
1734687901.370199,204866.000,31508,3,GY,1,100,23.315
1734687901.410199,204906.000,31508,3,GY,1,100,3.662
1734687901.450199,204946.000,31527,2,GY,1,100,0.183
1734687901.490199,204986.000,31527,2,GY,1,100,5.310
1734687901.530198,205026.000,31543,3,GY,1,100,-5.798
1734687901.570198,205066.000,31543,3,GY,1,100,0.732
1734687901.610198,205106.000,31543,3,GY,1,100,8.331
