LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1734687900.850203,204346,31416,1,HR,1,100,95
1734687901.490199,204986,31515,1,HR,1,100,95
1734687902.250193,205746,31647,1,HR,1,100,91
1734687902.890189,206386,31748,1,HR,1,100,92
1734687903.663184,207159,31865,1,HR,1,100,89
1734687905.543172,209039,32186,1,HR,1,100,76
1734687907.023162,210519,32432,1,HR,1,100,68
1734687907.756157,211252,32550,1,HR,1,100,72
1734687908.476152,211972,32667,1,HR,1,100,74
1734687909.116148,212612,32766,1,HR,1,100,79
1734687909.916143,213412,32899,1,HR,1,100,78
1734687910.636138,214132,33005,1,HR,1,100,79
1734687911.289134,214785,33120,1,HR,1,100,82
1734687911.569132,215065,33171,1,HR,1,100,112
1734687912.929123,216425,33385,1,HR,1,100,97
1734687913.609118,217105,33505,1,HR,1,100,95
1734687914.249114,217745,33604,1,HR,1,100,95
1734687915.062109,218558,33737,1,HR,1,100,90
1734687915.782104,219278,33860,1,HR,1,100,89
1734687916.302100,219798,33943,1,HR,1,100,95
1734687917.062095,220558,34059,1,HR,1,100,91
1734687917.782091,221278,34175,1,HR,1,100,89
1734687918.555085,222051,34309,1,HR,1,100,87
1734687919.275081,222771,34427,1,HR,1,100,86
1734687919.955076,223451,34542,1,HR,1,100,87
1734687920.675071,224171,34648,1,HR,1,100,86
1734687921.355067,224851,34764,1,HR,1,100,86
1734687921.715065,225211,34832,1,HR,1,100,104
1734687922.088062,225584,34884,1,HR,1,100,118
1734687922.728058,226224,35000,1,HR,1,100,113
1734687923.648052,227144,35150,1,HR,1,100,102
1734687924.208048,227704,35235,1,HR,1,100,103
1734687924.888044,228384,35350,1,HR,1,100,100
1734687925.661038,229157,35473,1,HR,1,100,95
1734687926.581032,230077,35620,1,HR,1,100,89
1734687927.421027,230917,35753,1,HR,1,100,85
1734687928.301021,231797,35904,1,HR,1,100,81
1734687928.821018,232317,35988,1,HR,1,100,89
1734687929.061016,232557,36039,1,HR,1,100,125
1734687929.594012,233090,36122,1,HR,1,100,123
1734687929.914010,233410,36175,1,HR,1,100,137
1734687930.394007,233890,36257,1,HR,1,100,134
1734687931.074003,234570,36363,1,HR,1,100,124
1734687931.713998,235210,36463,1,HR,1,100,117
1734687932.473993,235970,36596,1,HR,1,100,109
1734687933.286988,236783,36730,1,HR,1,100,101
1734687934.166982,237663,36863,1,HR,1,100,94
1734687935.006977,238503,37012,1,HR,1,100,89
1734687935.206975,238703,37048,1,HR,1,100,136
1734687935.926970,239423,37152,1,HR,1,100,124
1734687936.899964,240396,37318,1,HR,1,100,110
1734687937.659959,241156,37433,1,HR,1,100,103
1734687938.339954,241836,37553,1,HR,1,100,100
1734687939.139949,242636,37669,1,HR,1,100,95
1734687940.099943,243596,37835,1,HR,1,100,87
1734687940.712939,244209,37940,1,HR,1,100,90
1734687941.472934,244969,38057,1,HR,1,100,88
1734687942.272928,245769,38173,1,HR,1,100,85
1734687943.032923,246529,38308,1,HR,1,100,84
1734687943.232922,246729,38343,1,HR,1,100,132
1734687943.752919,247249,38425,1,HR,1,100,128
1734687944.485914,247982,38543,1,HR,1,100,118
1734687945.245909,248742,38675,1,HR,1,100,109
1734687945.965904,249462,38781,1,HR,1,100,104
1734687946.725899,250222,38914,1,HR,1,100,98
1734687947.445894,250942,39029,1,HR,1,100,95
1734687948.218889,251715,39149,1,HR,1,100,91
1734687949.018884,252515,39281,1,HR,1,100,88
1734687949.138883,252635,39299,1,HR,1,100,179
1734687949.658880,253155,39382,1,HR,1,100,165
1734687950.498874,253995,39531,1,HR,1,100,144
1734687951.471868,254968,39670,1,HR,1,100,126
1734687952.351862,255848,39819,1,HR,1,100,113
1734687952.551860,256048,39854,1,HR,1,100,155
1734687953.271856,256768,39972,1,HR,1,100,139
1734687953.471854,256968,40006,1,HR,1,100,175
1734687954.111850,257608,40107,1,HR,1,100,157
1734687955.004844,258501,40255,1,HR,1,100,137
1734687955.244843,258741,40289,1,HR,1,100,162
1734687955.844839,259341,40390,1,HR,1,100,148
1734687956.684833,260181,40527,1,HR,1,100,131
1734687956.884832,260381,40563,1,HR,1,100,169
1734687957.484828,260981,40663,1,HR,1,100,153
1734687958.577821,262074,40847,1,HR,1,100,132
1734687959.457815,262954,40980,1,HR,1,100,118
1734687960.057811,263554,41081,1,HR,1,100,114
1734687960.937805,264434,41227,1,HR,1,100,104
1734687961.857799,265354,41367,1,HR,1,100,95
1734687962.670793,266167,41499,1,HR,1,100,91
1734687963.510788,267007,41651,1,HR,1,100,86
1734687964.270783,267767,41766,1,HR,1,100,85
1734687965.310776,268807,41932,1,HR,1,100,79
1734687966.123770,269620,42065,1,HR,1,100,78
1734687967.323762,270820,42267,1,HR,1,100,72
1734687967.843759,271340,42352,1,HR,1,100,81
1734687968.723753,272220,42503,1,HR,1,100,78
1734687969.576748,273073,42635,1,HR,1,100,77
1734687970.456742,273953,42785,1,HR,1,100,75
1734687970.656740,274153,42818,1,HR,1,100,125
