LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1734687900.290206,203786.000,31330,1,PR,1,100,144289
1734687900.330206,203826.000,31334,2,PR,1,100,144284
1734687900.370206,203866.000,31334,2,PR,1,100,144253
1734687900.410206,203906.000,31351,3,PR,1,100,144260
1734687900.450205,203946.000,31351,3,PR,1,100,144306
1734687900.490205,203986.000,31351,3,PR,1,100,144285
1734687900.530205,204026.000,31365,3,PR,1,100,144223
1734687900.570204,204066.000,31365,3,PR,1,100,144223
1734687900.610204,204106.000,31365,3,PR,1,100,144162
1734687900.650204,204146.000,31383,2,PR,1,100,144148
1734687900.690204,204186.000,31383,2,PR,1,100,144157
1734687900.730204,204226.000,31399,3,PR,1,100,144147
1734687900.770203,204266.000,31399,3,PR,1,100,144188
1734687900.810203,204306.000,31399,3,PR,1,100,144248
1734687900.850203,204346.000,31418,2,PR,1,100,144248
1734687900.890203,204386.000,31418,2,PR,1,100,144283
1734687900.930202,204426.000,31433,3,PR,1,100,144274
1734687900.970202,204466.000,31433,3,PR,1,100,144175
1734687901.010202,204506.000,31433,3,PR,1,100,143966
1734687901.050201,204546.000,31450,2,PR,1,100,143822
1734687901.090201,204586.000,31450,2,PR,1,100,143801
1734687901.130201,204626.000,31466,3,PR,1,100,143825
1734687901.170201,204666.000,31466,3,PR,1,100,143878
1734687901.210200,204706.000,31466,3,PR,1,100,143922
1734687901.250200,204746.000,31483,2,PR,1,100,143833
1734687901.290200,204786.000,31483,2,PR,1,100,143670
1734687901.330199,204826.000,31498,3,PR,1,100,143640
1734687901.370199,204866.000,31498,3,PR,1,100,143796
1734687901.410199,204906.000,31498,3,PR,1,100,143922
1734687901.450199,204946.000,31517,2,PR,1,100,144099
1734687901.490199,204986.000,31517,2,PR,1,100,144213
1734687901.530198,205026.000,31533,3,PR,1,100,144158
1734687901.570198,205066.000,31533,3,PR,1,100,144209
1734687901.610198,205106.000,31533,3,PR,1,100,144292
1734687901.650198,205146.000,31551,2,PR,1,100,144384
1734687901.690197,205186.000,31551,2,PR,1,100,144499
1734687901.730197,205226.000,31566,3,PR,1,100,144528
1734687901.770197,205266.000,31566,3,PR,1,100,144507
1734687901.810196,205306.000,31566,3,PR,1,100,144597
1734687901.850196,205346.000,31582,2,PR,1,100,144702
1734687901.890196,205386.000,31582,2,PR,1,100,144728
1734687901.930196,205426.000,31599,3,PR,1,100,144695
1734687901.970195,205466.000,31599,3,PR,1,100,144786
1734687902.010195,205506.000,31599,3,PR,1,100,144551
1734687902.050195,205546.000,31616,3,PR,1,100,144364
1734687902.090194,205586.000,31616,3,PR,1,100,144468
1734687902.130194,205626.000,31616,3,PR,1,100,144574
1734687902.170194,205666.000,31632,2,PR,1,100,144631
1734687902.210194,205706.000,31632,2,PR,1,100,144587
1734687902.250193,205746.000,31650,3,PR,1,100,144599
1734687902.290193,205786.000,31650,3,PR,1,100,144675
1734687902.330193,205826.000,31650,3,PR,1,100,144691
1734687902.370193,205866.000,31666,2,PR,1,100,144772
1734687902.410192,205906.000,31666,2,PR,1,100,144885
1734687902.450192,205946.000,31683,3,PR,1,100,144904
1734687902.490192,205986.000,31683,3,PR,1,100,144910
1734687902.530192,206026.000,31683,3,PR,1,100,144903
1734687902.570191,206066.000,31699,2,PR,1,100,144774
1734687902.610191,206106.000,31699,2,PR,1,100,144566
1734687902.650191,206146.000,31715,3,PR,1,100,144408
1734687902.690191,206186.000,31715,3,PR,1,100,144408
1734687902.730190,206226.000,31715,3,PR,1,100,144538
1734687902.770190,206266.000,31731,2,PR,1,100,144675
1734687902.810190,206306.000,31731,2,PR,1,100,144725
1734687902.850189,206346.000,31750,3,PR,1,100,144771
1734687902.890189,206386.000,31750,3,PR,1,100,144846
1734687902.930189,206426.000,31750,3,PR,1,100,144815
1734687902.970189,206466.000,31767,2,PR,1,100,144791
1734687903.010188,206506.000,31767,2,PR,1,100,144815
1734687903.050188,206546.000,31784,3,PR,1,100,144847
1734687903.090188,206586.000,31784,3,PR,1,100,144873
1734687903.130188,206626.000,31784,3,PR,1,100,144790
1734687903.170187,206666.000,31800,2,PR,1,100,144730
1734687903.210187,206706.000,31800,2,PR,1,100,144677
1734687903.250187,206746.000,31818,3,PR,1,100,144679
1734687903.290187,206786.000,31818,3,PR,1,100,144655
1734687903.330186,206826.000,31818,3,PR,1,100,144638
1734687903.370186,206866.000,31834,3,PR,1,100,144685
1734687903.410186,206906.000,31834,3,PR,1,100,144656
1734687903.450186,206946.000,31834,3,PR,1,100,144596
1734687903.496685,206992.500,31849,2,PR,1,100,144600
1734687903.543185,207039.000,31849,2,PR,1,100,144617
1734687903.583185,207079.000,31868,3,PR,1,100,144632
1734687903.623184,207119.000,31868,3,PR,1,100,144629
1734687903.663184,207159.000,31868,3,PR,1,100,144654
1734687903.703184,207199.000,31885,2,PR,1,100,144627
1734687903.743184,207239.000,31885,2,PR,1,100,144625
1734687903.783183,207279.000,31901,3,PR,1,100,144668
1734687903.823183,207319.000,31901,3,PR,1,100,144716
1734687903.863183,207359.000,31901,3,PR,1,100,144746
1734687903.903183,207399.000,31918,2,PR,1,100,144741
1734687903.943182,207439.000,31918,2,PR,1,100,144721
1734687903.983182,207479.000,31933,3,PR,1,100,144751
1734687904.023182,207519.000,31933,3,PR,1,100,144801
1734687904.063181,207559.000,31933,3,PR,1,100,144845
1734687904.103181,207599.000,31950,2,PR,1,100,144872
1734687904.143181,207639.000,31950,2,PR,1,100,144866
1734687904.183181,207679.000,31966,3,PR,1,100,144877
