LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1734687904.932176,208428.000,32082,2,RD,1,100,TL
1734687904.932176,208428.000,32082,2,RD,1,100,TU
1734687907.482659,210978.500,32918,2,RD,1,100,TL
1734687910.033142,213529.000,32918,2,RD,1,100,TU
1734687912.594625,216090.500,33756,2,RD,1,100,TL
1734687915.156108,218652.000,33756,2,RD,1,100,TU
1734687917.710091,221206.000,34593,2,RD,1,100,TL
1734687920.264074,223760.000,34593,2,RD,1,100,TU
1734687922.825557,226321.500,35435,2,RD,1,100,TL
1734687925.387040,228883.000,35435,2,RD,1,100,TU
1734687927.951523,231447.500,36276,2,RD,1,100,TL
1734687930.516006,234012.000,36276,2,RD,1,100,TU
1734687933.078489,236574.500,37115,2,RD,1,100,TL
1734687935.640972,239137.000,37115,2,RD,1,100,TU
1734687938.194955,241691.000,37937,2,RD,1,100,TL
1734687940.748939,244245.000,37937,2,RD,1,100,TU
1734687943.317921,246814.000,38776,2,RD,1,100,TL
1734687945.886904,249383.000,38776,2,RD,1,100,TU
1734687948.437888,251934.000,39599,2,RD,1,100,TL
1734687950.988871,254485.000,39599,2,RD,1,100,TU
1734687953.557854,257054.000,40441,2,RD,1,100,TL
1734687956.126837,259623.000,40441,2,RD,1,100,TU
1734687958.686320,262182.500,41280,2,RD,1,100,TL
1734687961.245803,264742.000,41280,2,RD,1,100,TU
1734687963.805786,267302.000,42116,2,RD,1,100,TL
1734687966.365769,269862.000,42116,2,RD,1,100,TU
1734687968.928252,272424.500,42954,2,RD,1,100,TL
1734687971.490735,274987.000,42954,2,RD,1,100,TU
1734687974.047718,277544.000,43772,2,RD,1,100,TL
1734687976.604701,280101.000,43772,2,RD,1,100,TU
1734687979.164684,282661.000,44608,2,RD,1,100,TL
1734687981.724667,285221.000,44608,2,RD,1,100,TU
1734687984.287150,287783.500,45445,2,RD,1,100,TL
1734687986.849633,290346.000,45445,2,RD,1,100,TU
1734687989.413616,292910.000,46278,2,RD,1,100,TL
1734687991.977599,295474.000,46278,2,RD,1,100,TU
1734687994.538582,298035.000,47118,2,RD,1,100,TL
1734687997.099565,300596.000,47118,2,RD,1,100,TU
1734687999.660048,303156.500,47947,2,RD,1,100,TL
1734688002.220531,305717.000,47947,2,RD,1,100,TU
1734688004.792514,308289.000,48781,2,RD,1,100,TL
1734688007.364497,310861.000,48781,2,RD,1,100,TU
1734688009.918480,313415.000,49601,2,RD,1,100,TL
1734688012.472464,315969.000,49601,2,RD,1,100,TU
1734688015.038947,318535.500,50438,2,RD,1,100,TL
1734688017.605429,321102.000,50438,2,RD,1,100,TU
1734688020.166413,323663.000,51275,2,RD,1,100,TL
1734688022.727396,326224.000,51275,2,RD,1,100,TU
1734688025.293879,328790.500,52110,2,RD,1,100,TL
1734688027.860362,331357.000,52110,2,RD,1,100,TU
1734688030.423845,333920.500,52949,2,RD,1,100,TL
