RD,TS_received,TS_sent,AK,RoundTrip,
208428,208472,2024-12-20_16-45-04-941252,208473,44,
213529,213552,2024-12-20_16-45-10-051695,213553,23,
218652,218667,2024-12-20_16-45-15-164876,218668,15,
223760,223827,2024-12-20_16-45-20-326373,223829,67,
228883,228945,2024-12-20_16-45-25-409487,228947,62,
234012,234092,2024-12-20_16-45-30-560901,234093,80,
239137,239177,2024-12-20_16-45-35-668892,239178,40,
244245,249375,2024-12-20_16-45-40-812125,249376,5130,
249383,249443,2024-12-20_16-45-45-909055,249444,60,
254485,254574,2024-12-20_16-45-51-053050,254575,89,
259623,259637,2024-12-20_16-45-56-135154,259638,14,
264742,264836,2024-12-20_16-46-01-325149,264837,94,
269862,269896,2024-12-20_16-46-06-379193,269901,34,
274987,280094,2024-12-20_16-46-11-576380,280095,5107,
280101,280140,2024-12-20_16-46-16-635783,280141,39,
285221,285255,2024-12-20_16-46-21-745168,285259,34,
290346,290357,2024-12-20_16-46-26-855133,290358,11,
295474,295493,2024-12-20_16-46-31-985133,295497,19,
300596,300614,2024-12-20_16-46-37-109165,300618,18,
305717,310853,2024-12-20_16-46-42-273157,310857,5136,
310861,315964,2024-12-20_16-46-47-424334,315966,5103,
315969,321097,2024-12-20_16-46-52-492351,321099,5128,
321102,326220,2024-12-20_16-46-57-704343,326221,5118,
326224,326327,2024-12-20_16-47-02-746366,326328,103,
331357,331393,2024-12-20_16-47-07-885773,331394,36,
336484,336582,2024-12-20_16-47-13-051810,336583,98,
341602,346707,2024-12-20_16-47-18-152764,346708,5105,
346711,346734,2024-12-20_16-47-23-227746,346736,23,
351826,351873,2024-12-20_16-47-28-335752,351874,47,
356966,362101,2024-12-20_16-47-33-510893,362105,5135,
362110,362206,2024-12-20_16-47-38-639969,362208,96,
367246,367322,2024-12-20_16-47-43-762076,367324,76,
372370,372438,2024-12-20_16-47-48-882096,372439,68,
377493,377565,2024-12-20_16-47-54-048141,377566,72,
382601,387707,2024-12-20_16-47-59-198122,387708,5106,
387711,387751,2024-12-20_16-48-04-225247,387756,40,
392822,392854,2024-12-20_16-48-09-345262,392855,32,
397935,403050,2024-12-20_16-48-14-453551,403052,5115,
403055,403155,2024-12-20_16-48-19-600281,403156,100,
408181,413308,2024-12-20_16-48-24-742402,413312,5127,
413315,413352,2024-12-20_16-48-29-825991,413353,37,
418434,418481,2024-12-20_16-48-34-964891,418482,47,
423541,428664,2024-12-20_16-48-40-249649,428665,5123,
428668,428759,2024-12-20_16-48-45-211077,428760,91,
433772,433805,2024-12-20_16-48-50-300849,433806,33,
438879,438969,2024-12-20_16-48-55-438195,438970,90,
443992,449118,2024-12-20_16-49-00-625759,449122,5126,
449126,449195,2024-12-20_16-49-05-672435,449196,69,
454231,459343,2024-12-20_16-49-10-838341,459344,5112,
459349,459366,2024-12-20_16-49-15-863394,459367,17,
464448,469566,2024-12-20_16-49-21-009448,469567,5118,
469575,469646,2024-12-20_16-49-26-114493,469647,71,
474681,474707,2024-12-20_16-49-31-197452,474708,26,
479789,479818,2024-12-20_16-49-36-313563,479819,29,
484897,490007,2024-12-20_16-49-41-479535,490011,5110,
490015,495137,2024-12-20_16-49-46-554840,495138,5122,
495144,495176,2024-12-20_16-49-51-666508,495178,32,
500247,500335,2024-12-20_16-49-56-829445,500336,88,
505359,505415,2024-12-20_16-50-01-889760,505417,56,
510467,510539,2024-12-20_16-50-06-997820,510544,72,
515575,515596,2024-12-20_16-50-12-089575,515597,21,
520683,520705,2024-12-20_16-50-17-199427,520707,22,
525790,530923,2024-12-20_16-50-22-366210,530927,5133,
530931,530962,2024-12-20_16-50-27-451956,530963,31,
536036,536102,2024-12-20_16-50-32-553287,536103,66,
541145,541203,2024-12-20_16-50-37-665762,541207,58,
546254,546313,2024-12-20_16-50-42-769633,546314,59,
551361,551392,2024-12-20_16-50-47-879869,551394,31,
556472,561579,2024-12-20_16-50-53-076344,561581,5107,
561585,566686,2024-12-20_16-50-58-100323,566688,5101,
566691,566702,2024-12-20_16-51-03-198303,566704,11,
571952,571982,2024-12-20_16-51-08-470427,571984,30,
577059,582192,2024-12-20_16-51-13-773361,582193,5133,
582196,582208,2024-12-20_16-51-18-704336,582210,12,
587302,587353,2024-12-20_16-51-23-830352,587354,51,
592436,592522,2024-12-20_16-51-28-946431,592523,86,
597554,602675,2024-12-20_16-51-34-082381,602676,5121,
602682,607809,2024-12-20_16-51-39-432477,607810,5127,
607816,607828,2024-12-20_16-51-44-322318,607829,12,
612921,618047,2024-12-20_16-51-49-477373,618049,5126,
618055,618115,2024-12-20_16-51-54-588349,618120,60,
623194,623214,2024-12-20_16-51-59-710423,623215,20,
628298,628359,2024-12-20_16-52-04-854438,628360,61,
633413,638534,2024-12-20_16-52-10-018313,638535,5121,
638538,638550,2024-12-20_16-52-15-046430,638552,12,
643666,643690,2024-12-20_16-52-20-173960,643691,24,
648795,648866,2024-12-20_16-52-25-333109,648868,71,
653925,659049,2024-12-20_16-52-30-503963,659051,5124,
659061,659075,2024-12-20_16-52-35-567954,659076,14,
664159,664181,2024-12-20_16-52-40-671953,664182,22,
669283,669324,2024-12-20_16-52-45-817981,669328,41,
