LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1735116839.119405,1057433.000,39196,2,AK,1,100,38404
1735116839.119405,1057433.000,39196,2,AK,1,100,RD
1735116839.125905,1057439.500,39199,2,AK,1,100,39197
1735116839.132405,1057446.000,39199,2,AK,1,100,RD
1735116841.694410,1060008.000,40029,2,AK,1,100,39197
1735116844.256414,1062570.000,40029,2,AK,1,100,RD
1735116844.268914,1062582.500,40032,2,AK,1,100,40030
1735116844.281414,1062595.000,40032,2,AK,1,100,RD
1735116846.832919,1065146.500,40870,2,AK,1,100,40030
1735116849.384423,1067698.000,40870,2,AK,1,100,RD
1735116849.390923,1067704.500,40873,2,AK,1,100,40871
1735116849.397423,1067711.000,40873,2,AK,1,100,RD
1735116851.952928,1070266.500,41702,2,AK,1,100,40871
1735116854.508432,1072822.000,41702,2,AK,1,100,RD
1735116854.514932,1072828.500,41705,2,AK,1,100,41703
1735116854.521432,1072835.000,41705,2,AK,1,100,RD
1735116857.068937,1075382.500,42523,2,AK,1,100,41703
1735116859.616441,1077930.000,42523,2,AK,1,100,RD
1735116859.623941,1077937.500,42526,2,AK,1,100,42524
1735116859.631441,1077945.000,42526,2,AK,1,100,RD
1735116862.188446,1080502.000,43361,2,AK,1,100,42524
1735116864.745450,1083059.000,43361,2,AK,1,100,RD
1735116867.309954,1085623.500,44196,2,AK,1,100,43362
1735116869.874459,1088188.000,44196,2,AK,1,100,RD
1735116869.875959,1088189.500,44198,2,AK,1,100,43362
1735116869.877459,1088191.000,44198,2,AK,1,100,RD
1735116869.886459,1088200.000,44201,2,AK,1,100,44199
1735116869.895459,1088209.000,44201,2,AK,1,100,RD
1735116872.446964,1090760.500,45035,2,AK,1,100,44199
1735116874.998468,1093312.000,45035,2,AK,1,100,RD
1735116875.004468,1093318.000,45038,2,AK,1,100,45036
1735116875.010468,1093324.000,45038,2,AK,1,100,RD
1735116877.562472,1095876.000,45869,2,AK,1,100,45036
1735116880.114477,1098428.000,45869,2,AK,1,100,RD
1735116880.120977,1098434.500,45872,2,AK,1,100,45870
1735116880.127477,1098441.000,45872,2,AK,1,100,RD
1735116882.696481,1101010.000,46700,2,AK,1,100,45870
1735116885.265486,1103579.000,46700,2,AK,1,100,RD
1735116885.284486,1103598.000,46703,2,AK,1,100,46701
1735116885.303486,1103617.000,46703,2,AK,1,100,RD
1735116887.845490,1106159.000,47534,2,AK,1,100,46701
1735116890.387495,1108701.000,47534,2,AK,1,100,RD
1735116890.396995,1108710.500,47537,2,AK,1,100,47535
1735116890.406495,1108720.000,47537,2,AK,1,100,RD
1735116892.952499,1111266.000,48361,2,AK,1,100,47535
1735116895.498504,1113812.000,48361,2,AK,1,100,RD
1735116895.506504,1113820.000,48364,2,AK,1,100,48362
1735116895.514504,1113828.000,48364,2,AK,1,100,RD
1735116898.061008,1116374.500,49194,2,AK,1,100,48362
1735116900.607513,1118921.000,49194,2,AK,1,100,RD
1735116903.163017,1121476.500,50022,2,AK,1,100,49195
1735116905.718522,1124032.000,50022,2,AK,1,100,RD
1735116905.721522,1124035.000,50024,2,AK,1,100,49195
1735116905.724522,1124038.000,50024,2,AK,1,100,RD
1735116905.757522,1124071.000,50027,2,AK,1,100,50025
1735116905.790522,1124104.000,50027,2,AK,1,100,RD
1735116908.310026,1126623.500,50843,2,AK,1,100,50025
1735116910.829530,1129143.000,50843,2,AK,1,100,RD
1735116910.837530,1129151.000,50846,2,AK,1,100,50844
1735116910.845531,1129159.000,50846,2,AK,1,100,RD
1735116913.404035,1131717.500,51680,2,AK,1,100,50844
1735116915.962539,1134276.000,51680,2,AK,1,100,RD
1735116915.977540,1134291.000,51683,2,AK,1,100,51681
1735116915.992539,1134306.000,51683,2,AK,1,100,RD
1735116918.542044,1136855.500,52510,2,AK,1,100,51681
1735116921.091548,1139405.000,52510,2,AK,1,100,RD
1735116921.098548,1139412.000,52513,2,AK,1,100,52511
1735116921.105548,1139419.000,52513,2,AK,1,100,RD
1735116923.674053,1141987.500,53345,2,AK,1,100,52511
