LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1735116839.321406,1057635.000,39232,1,B%,1,100,93
1735116844.320414,1062634.000,40052,1,B%,1,100,92
1735116849.320423,1067634.000,40868,1,B%,1,100,91
1735116854.319432,1072633.000,41684,1,B%,1,100,91
1735116859.319441,1077633.000,42504,1,B%,1,100,91
1735116864.318449,1082632.000,43309,1,B%,1,100,91
1735116869.318458,1087632.000,44110,1,B%,1,100,92
1735116874.317467,1092631.000,44934,1,B%,1,100,91
1735116879.317475,1097631.000,45754,1,B%,1,100,91
1735116884.316484,1102630.000,46564,1,B%,1,100,92
1735116889.316493,1107630.000,47367,1,B%,1,100,91
1735116894.315502,1112629.000,48194,1,B%,1,100,91
1735116899.315510,1117629.000,48995,1,B%,1,100,91
1735116904.314519,1122628.000,49805,1,B%,1,100,91
1735116909.314528,1127628.000,50624,1,B%,1,100,92
1735116914.313536,1132627.000,51427,1,B%,1,100,91
1735116919.313545,1137627.000,52226,1,B%,1,100,91
1735116924.312554,1142626.000,53045,1,B%,1,100,91
1735116929.312563,1147626.000,53847,1,B%,1,100,91
1735116934.311571,1152625.000,54649,1,B%,1,100,91
1735116939.311580,1157625.000,55466,1,B%,1,100,90
1735116944.310589,1162624.000,56283,1,B%,1,100,91
1735116949.310598,1167624.000,57101,1,B%,1,100,91
1735116954.309606,1172623.000,57900,1,B%,1,100,91
1735116959.309615,1177623.000,58720,1,B%,1,100,92
1735116964.308624,1182622.000,59512,1,B%,1,100,91
1735116969.308633,1187622.000,60312,1,B%,1,100,91
1735116974.307641,1192621.000,61119,1,B%,1,100,90
1735116979.307650,1197621.000,61860,1,B%,1,100,91
1735116984.306659,1202620.000,62664,1,B%,1,100,92
1735116989.306667,1207620.000,63485,1,B%,1,100,91
1735116994.305676,1212619.000,64300,1,B%,1,100,90
1735116999.305685,1217619.000,65103,1,B%,1,100,90
1735117004.304694,1222618.000,383,1,B%,1,100,90
1735117009.304702,1227618.000,1202,1,B%,1,100,90
1735117014.303711,1232617.000,2022,1,B%,1,100,91
1735117019.303720,1237617.000,2838,1,B%,1,100,90
1735117024.302728,1242616.000,3672,1,B%,1,100,90
1735117029.302737,1247616.000,4490,1,B%,1,100,89
1735117034.301746,1252615.000,5305,1,B%,1,100,90
1735117039.301755,1257615.000,6123,1,B%,1,100,90
1735117044.300763,1262614.000,6940,1,B%,1,100,90
1735117049.300772,1267614.000,7748,1,B%,1,100,90
1735117054.299781,1272613.000,8582,1,B%,1,100,90
1735117059.299790,1277613.000,9399,1,B%,1,100,90
1735117064.298798,1282612.000,10215,1,B%,1,100,89
1735117069.298807,1287612.000,11032,1,B%,1,100,90
1735117074.297816,1292611.000,11848,1,B%,1,100,90
1735117079.297824,1297611.000,12664,1,B%,1,100,90
1735117084.296833,1302610.000,13496,1,B%,1,100,90
1735117089.296842,1307610.000,14312,1,B%,1,100,89
1735117094.295851,1312609.000,15126,1,B%,1,100,89
1735117099.295859,1317609.000,15940,1,B%,1,100,89
1735117104.294868,1322608.000,16759,1,B%,1,100,89
1735117109.294877,1327608.000,17575,1,B%,1,100,89
1735117114.293885,1332607.000,18409,1,B%,1,100,89
1735117119.293894,1337607.000,19230,1,B%,1,100,89
1735117124.292903,1342606.000,20044,1,B%,1,100,88
1735117129.292912,1347606.000,20863,1,B%,1,100,89
1735117134.291920,1352605.000,21680,1,B%,1,100,89
1735117139.291929,1357605.000,22487,1,B%,1,100,89
1735117144.290938,1362604.000,23289,1,B%,1,100,89
1735117149.290947,1367604.000,24105,1,B%,1,100,89
