LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1735116835.623399,1053937,38629,1,BI,1,100,1600
1735116836.663401,1054977,38797,1,BI,1,100,1040
1735116837.756403,1056070,38979,1,BI,1,100,1080
1735116838.636405,1056950,39111,1,BI,1,100,880
1735116839.996407,1058310,39333,1,BI,1,100,1360
1735116840.916408,1059230,39482,1,BI,1,100,920
1735116841.689410,1060003,39614,1,BI,1,100,760
1735116842.889412,1061203,39796,1,BI,1,100,1200
1735116843.569413,1061883,39913,1,BI,1,100,680
1735116844.649415,1062963,40086,1,BI,1,100,1080
1735116845.742417,1064056,40267,1,BI,1,100,1080
1735116846.822419,1065136,40450,1,BI,1,100,1080
1735116847.542420,1065856,40568,1,BI,1,100,720
1735116848.355421,1066669,40702,1,BI,1,100,800
1735116849.275423,1067589,40851,1,BI,1,100,920
1735116850.355425,1068669,41022,1,BI,1,100,1080
1735116851.795427,1070109,41254,1,BI,1,100,1440
1735116853.248430,1071562,41485,1,BI,1,100,1440
1735116854.967433,1073281,41772,1,BI,1,100,1720
1735116855.368434,1073682,41839,1,BI,1,100,400
1735116856.421435,1074735,42005,1,BI,1,100,1040
1735116857.221437,1075535,42138,1,BI,1,100,800
1735116858.341439,1076655,42318,1,BI,1,100,1120
1735116858.420439,1076734,42338,1,BI,1,100,80
1735116859.634441,1077948,42528,1,BI,1,100,1200
1735116860.314442,1078628,42629,1,BI,1,100,680
1735116861.514444,1079828,42827,1,BI,1,100,1200
1735116862.674446,1080988,43011,1,BI,1,100,1160
1735116863.607448,1081921,43175,1,BI,1,100,920
1735116864.726450,1083040,43364,1,BI,1,100,1120
1735116865.287451,1083601,43447,1,BI,1,100,560
1735116866.166452,1084480,43582,1,BI,1,100,880
1735116867.380455,1085694,43779,1,BI,1,100,1200
1735116868.779457,1087093,44011,1,BI,1,100,1400
1735116869.339458,1087653,44111,1,BI,1,100,560
1735116870.873461,1089187,44350,1,BI,1,100,1520
1735116871.233461,1089547,44417,1,BI,1,100,360
1735116872.032463,1090346,44550,1,BI,1,100,800
1735116872.153463,1090467,44569,1,BI,1,100,120
1735116872.832464,1091146,44686,1,BI,1,100,680
1735116873.432465,1091746,44768,1,BI,1,100,600
1735116876.565471,1094879,45286,1,BI,1,100,3120
1735116877.419472,1095733,45418,1,BI,1,100,840
1735116878.858475,1097172,45652,1,BI,1,100,1440
1735116880.098477,1098412,45874,1,BI,1,100,1240
1735116881.152479,1099466,46040,1,BI,1,100,1040
1735116885.085485,1103399,46666,1,BI,1,100,3920
1735116886.004487,1104318,46818,1,BI,1,100,920
1735116887.324489,1105638,47033,1,BI,1,100,1320
1735116888.004491,1106318,47134,1,BI,1,100,680
