LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1735116839.321406,1057635.000,39231,1,BV,1,100,4.01
1735116844.320414,1062634.000,40051,1,BV,1,100,4.00
1735116849.320423,1067634.000,40867,1,BV,1,100,4.00
1735116854.319432,1072633.000,41683,1,BV,1,100,4.00
1735116859.319441,1077633.000,42503,1,BV,1,100,4.00
1735116864.318449,1082632.000,43308,1,BV,1,100,4.00
1735116869.318458,1087632.000,44109,1,BV,1,100,4.00
1735116874.317467,1092631.000,44933,1,BV,1,100,4.00
1735116879.317475,1097631.000,45753,1,BV,1,100,4.00
1735116884.316484,1102630.000,46563,1,BV,1,100,4.00
1735116889.316493,1107630.000,47366,1,BV,1,100,4.00
1735116894.315502,1112629.000,48193,1,BV,1,100,3.99
1735116899.315510,1117629.000,48994,1,BV,1,100,4.00
1735116904.314519,1122628.000,49804,1,BV,1,100,3.99
1735116909.314528,1127628.000,50623,1,BV,1,100,4.00
1735116914.313536,1132627.000,51426,1,BV,1,100,3.99
1735116919.313545,1137627.000,52225,1,BV,1,100,4.00
1735116924.312554,1142626.000,53044,1,BV,1,100,3.99
1735116929.312563,1147626.000,53846,1,BV,1,100,4.00
1735116934.311571,1152625.000,54648,1,BV,1,100,4.00
1735116939.311580,1157625.000,55465,1,BV,1,100,3.99
1735116944.310589,1162624.000,56282,1,BV,1,100,4.00
1735116949.310598,1167624.000,57100,1,BV,1,100,3.99
1735116954.309606,1172623.000,57899,1,BV,1,100,3.99
1735116959.309615,1177623.000,58719,1,BV,1,100,4.00
1735116964.308624,1182622.000,59511,1,BV,1,100,3.99
1735116969.308633,1187622.000,60311,1,BV,1,100,3.99
1735116974.307641,1192621.000,61118,1,BV,1,100,3.99
1735116979.307650,1197621.000,61859,1,BV,1,100,3.99
1735116984.306659,1202620.000,62663,1,BV,1,100,4.00
1735116989.306667,1207620.000,63484,1,BV,1,100,3.99
1735116994.305676,1212619.000,64299,1,BV,1,100,3.99
1735116999.305685,1217619.000,65102,1,BV,1,100,3.99
1735117004.304694,1222618.000,382,1,BV,1,100,3.99
1735117009.304702,1227618.000,1201,1,BV,1,100,3.99
1735117014.303711,1232617.000,2021,1,BV,1,100,3.99
1735117019.303720,1237617.000,2837,1,BV,1,100,3.99
1735117024.302728,1242616.000,3671,1,BV,1,100,3.99
1735117029.302737,1247616.000,4489,1,BV,1,100,3.99
1735117034.301746,1252615.000,5304,1,BV,1,100,3.99
1735117039.301755,1257615.000,6122,1,BV,1,100,3.99
1735117044.300763,1262614.000,6939,1,BV,1,100,3.99
1735117049.300772,1267614.000,7747,1,BV,1,100,3.99
1735117054.299781,1272613.000,8581,1,BV,1,100,3.99
1735117059.299790,1277613.000,9398,1,BV,1,100,3.99
1735117064.298798,1282612.000,10214,1,BV,1,100,3.99
1735117069.298807,1287612.000,11031,1,BV,1,100,3.99
1735117074.297816,1292611.000,11847,1,BV,1,100,3.99
1735117079.297824,1297611.000,12663,1,BV,1,100,3.99
1735117084.296833,1302610.000,13495,1,BV,1,100,3.99
1735117089.296842,1307610.000,14311,1,BV,1,100,3.98
1735117094.295851,1312609.000,15125,1,BV,1,100,3.98
1735117099.295859,1317609.000,15939,1,BV,1,100,3.98
1735117104.294868,1322608.000,16758,1,BV,1,100,3.98
1735117109.294877,1327608.000,17574,1,BV,1,100,3.98
1735117114.293885,1332607.000,18408,1,BV,1,100,3.98
1735117119.293894,1337607.000,19229,1,BV,1,100,3.98
1735117124.292903,1342606.000,20043,1,BV,1,100,3.98
1735117129.292912,1347606.000,20862,1,BV,1,100,3.98
1735117134.291920,1352605.000,21679,1,BV,1,100,3.98
1735117139.291929,1357605.000,22486,1,BV,1,100,3.98
1735117144.290938,1362604.000,23288,1,BV,1,100,3.98
1735117149.290947,1367604.000,24104,1,BV,1,100,3.98
