LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1735116835.022398,1053336.000,38536,1,EA,1,100,3.268941
1735116835.088898,1053402.500,38552,2,EA,1,100,3.278162
1735116835.155398,1053469.000,38552,2,EA,1,100,3.288980
1735116835.221899,1053535.500,38567,2,EA,1,100,3.312395
1735116835.288399,1053602.000,38567,2,EA,1,100,3.344139
1735116835.355399,1053669.000,38585,1,EA,1,100,3.378126
1735116835.421899,1053735.500,38601,2,EA,1,100,3.419506
1735116835.488399,1053802.000,38601,2,EA,1,100,3.463623
1735116835.555399,1053869.000,38618,1,EA,1,100,3.510669
1735116835.621899,1053935.500,38635,2,EA,1,100,3.549959
1735116835.688399,1054002.000,38635,2,EA,1,100,3.599397
1735116835.755399,1054069.000,38652,1,EA,1,100,3.638800
1735116835.821899,1054135.500,38668,2,EA,1,100,3.677145
1735116835.888400,1054202.000,38668,2,EA,1,100,3.714336
1735116835.955400,1054269.000,38685,1,EA,1,100,3.746229
1735116836.021900,1054335.500,38700,2,EA,1,100,3.778695
1735116836.088400,1054402.000,38700,2,EA,1,100,3.801327
1735116836.155400,1054469.000,38717,1,EA,1,100,3.826341
1735116836.221900,1054535.500,38733,2,EA,1,100,3.847435
1735116836.288400,1054602.000,38733,2,EA,1,100,3.866607
1735116836.355401,1054669.000,38753,1,EA,1,100,3.883838
1735116836.421901,1054735.500,38767,2,EA,1,100,3.896841
1735116836.488401,1054802.000,38767,2,EA,1,100,3.914322
1735116836.555401,1054869.000,38784,1,EA,1,100,3.927552
1735116836.621901,1054935.500,38803,2,EA,1,100,3.936401
1735116836.688401,1055002.000,38803,2,EA,1,100,3.940850
1735116836.755401,1055069.000,38820,1,EA,1,100,3.943068
1735116836.821901,1055135.500,38834,2,EA,1,100,3.945310
1735116836.888401,1055202.000,38834,2,EA,1,100,3.940850
1735116836.955401,1055269.000,38851,1,EA,1,100,3.940850
1735116837.021902,1055335.500,38868,2,EA,1,100,3.931961
1735116837.088402,1055402.000,38868,2,EA,1,100,3.923132
1735116837.155402,1055469.000,38885,1,EA,1,100,3.916532
1735116837.221902,1055535.500,38900,2,EA,1,100,3.903376
1735116837.288402,1055602.000,38900,2,EA,1,100,3.885992
1735116837.355402,1055669.000,38917,1,EA,1,100,3.870901
1735116837.421902,1055735.500,38933,2,EA,1,100,3.853805
1735116837.488402,1055802.000,38933,2,EA,1,100,3.834738
1735116837.554903,1055868.500,38950,2,EA,1,100,3.813783
1735116837.621403,1055935.000,38950,2,EA,1,100,3.791003
1735116837.688403,1056002.000,38967,1,EA,1,100,3.770521
1735116837.754903,1056068.500,38984,2,EA,1,100,3.748253
1735116837.821403,1056135.000,38984,2,EA,1,100,3.722249
1735116837.888403,1056202.000,39000,1,EA,1,100,3.698592
1735116837.954903,1056268.500,39018,2,EA,1,100,3.673270
1735116838.021403,1056335.000,39018,2,EA,1,100,3.650230
1735116838.088403,1056402.000,39034,1,EA,1,100,3.627460
1735116838.154904,1056468.500,39049,2,EA,1,100,3.606827
1735116838.221404,1056535.000,39049,2,EA,1,100,3.586445
1735116838.288404,1056602.000,39065,1,EA,1,100,3.568109
1735116838.354904,1056668.500,39083,2,EA,1,100,3.546348
1735116838.421404,1056735.000,39083,2,EA,1,100,3.531993
1735116838.488404,1056802.000,39099,1,EA,1,100,3.517754
1735116838.554904,1056868.500,39116,2,EA,1,100,3.503630
1735116838.621404,1056935.000,39116,2,EA,1,100,3.491357
1735116838.688405,1057002.000,39133,1,EA,1,100,3.484378
1735116838.754905,1057068.500,39150,2,EA,1,100,3.479170
1735116838.821405,1057135.000,39150,2,EA,1,100,3.477443
1735116838.888405,1057202.000,39166,1,EA,1,100,3.477443
1735116838.954905,1057268.500,39183,2,EA,1,100,3.479170
1735116839.021405,1057335.000,39183,2,EA,1,100,3.484378
1735116839.088072,1057401.667,39204,3,EA,1,100,3.486129
1735116839.154739,1057468.333,39204,3,EA,1,100,3.487864
1735116839.221406,1057535.000,39204,3,EA,1,100,3.494857
