LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1735116835.022398,1053336.000,38537,1,EL,1,100,-19182.199219
1735116835.088898,1053402.500,38553,2,EL,1,100,-19183.400391
1735116835.155398,1053469.000,38553,2,EL,1,100,-19184.800781
1735116835.221899,1053535.500,38568,2,EL,1,100,-19187.800781
1735116835.288399,1053602.000,38568,2,EL,1,100,-19191.800781
1735116835.355399,1053669.000,38586,1,EL,1,100,-19196.000000
1735116835.421899,1053735.500,38602,2,EL,1,100,-19201.000000
1735116835.488399,1053802.000,38602,2,EL,1,100,-19206.199219
1735116835.555399,1053869.000,38619,1,EL,1,100,-19211.599609
1735116835.621899,1053935.500,38636,2,EL,1,100,-19216.000000
1735116835.688399,1054002.000,38636,2,EL,1,100,-19221.400391
1735116835.755399,1054069.000,38653,1,EL,1,100,-19225.599609
1735116835.821899,1054135.500,38669,2,EL,1,100,-19229.599609
1735116835.888400,1054202.000,38669,2,EL,1,100,-19233.400391
1735116835.955400,1054269.000,38686,1,EL,1,100,-19236.599609
1735116836.021900,1054335.500,38701,2,EL,1,100,-19239.800781
1735116836.088400,1054402.000,38701,2,EL,1,100,-19242.000000
1735116836.155400,1054469.000,38718,1,EL,1,100,-19244.400391
1735116836.221900,1054535.500,38734,2,EL,1,100,-19246.400391
1735116836.288400,1054602.000,38734,2,EL,1,100,-19248.199219
1735116836.355401,1054669.000,38754,1,EL,1,100,-19249.800781
1735116836.421901,1054735.500,38768,2,EL,1,100,-19251.000000
1735116836.488401,1054802.000,38768,2,EL,1,100,-19252.599609
1735116836.555401,1054869.000,38785,1,EL,1,100,-19253.800781
1735116836.621901,1054935.500,38804,2,EL,1,100,-19254.599609
1735116836.688401,1055002.000,38804,2,EL,1,100,-19255.000000
1735116836.755401,1055069.000,38821,1,EL,1,100,-19255.199219
1735116836.821901,1055135.500,38835,2,EL,1,100,-19255.400391
1735116836.888401,1055202.000,38835,2,EL,1,100,-19255.000000
1735116836.955401,1055269.000,38852,1,EL,1,100,-19255.000000
1735116837.021902,1055335.500,38869,2,EL,1,100,-19254.199219
1735116837.088402,1055402.000,38869,2,EL,1,100,-19253.400391
1735116837.155402,1055469.000,38886,1,EL,1,100,-19252.800781
1735116837.221902,1055535.500,38901,2,EL,1,100,-19251.599609
1735116837.288402,1055602.000,38901,2,EL,1,100,-19250.000000
1735116837.355402,1055669.000,38918,1,EL,1,100,-19248.599609
1735116837.421902,1055735.500,38934,2,EL,1,100,-19247.000000
1735116837.488402,1055802.000,38934,2,EL,1,100,-19245.199219
1735116837.554903,1055868.500,38951,2,EL,1,100,-19243.199219
1735116837.621403,1055935.000,38951,2,EL,1,100,-19241.000000
1735116837.688403,1056002.000,38968,1,EL,1,100,-19239.000000
1735116837.754903,1056068.500,38985,2,EL,1,100,-19236.800781
1735116837.821403,1056135.000,38985,2,EL,1,100,-19234.199219
1735116837.888403,1056202.000,39001,1,EL,1,100,-19231.800781
1735116837.954903,1056268.500,39019,2,EL,1,100,-19229.199219
1735116838.021403,1056335.000,39019,2,EL,1,100,-19226.800781
1735116838.088403,1056402.000,39035,1,EL,1,100,-19224.400391
1735116838.154904,1056468.500,39050,2,EL,1,100,-19222.199219
1735116838.221404,1056535.000,39050,2,EL,1,100,-19220.000000
1735116838.288404,1056602.000,39066,1,EL,1,100,-19218.000000
1735116838.354904,1056668.500,39084,2,EL,1,100,-19215.599609
1735116838.421404,1056735.000,39084,2,EL,1,100,-19214.000000
1735116838.488404,1056802.000,39100,1,EL,1,100,-19212.400391
1735116838.554904,1056868.500,39117,2,EL,1,100,-19210.800781
1735116838.621404,1056935.000,39117,2,EL,1,100,-19209.400391
1735116838.688405,1057002.000,39134,1,EL,1,100,-19208.599609
1735116838.754905,1057068.500,39151,2,EL,1,100,-19208.000000
1735116838.821405,1057135.000,39151,2,EL,1,100,-19207.800781
1735116838.888405,1057202.000,39167,1,EL,1,100,-19207.800781
1735116838.954905,1057268.500,39184,2,EL,1,100,-19208.000000
1735116839.021405,1057335.000,39184,2,EL,1,100,-19208.599609
1735116839.088072,1057401.667,39205,3,EL,1,100,-19208.800781
1735116839.154739,1057468.333,39205,3,EL,1,100,-19209.000000
1735116839.221406,1057535.000,39205,3,EL,1,100,-19209.800781
1735116839.288406,1057602.000,39221,1,EL,1,100,-19210.000000
1735116839.354906,1057668.500,39239,2,EL,1,100,-19210.599609
1735116839.421406,1057735.000,39239,2,EL,1,100,-19210.800781
1735116839.488406,1057802.000,39255,1,EL,1,100,-19211.000000
1735116839.554906,1057868.500,39272,2,EL,1,100,-19210.400391
1735116839.621406,1057935.000,39272,2,EL,1,100,-19210.599609
1735116839.688406,1058002.000,39289,1,EL,1,100,-19210.000000
1735116839.754906,1058068.500,39304,2,EL,1,100,-19210.000000
1735116839.821407,1058135.000,39304,2,EL,1,100,-19209.199219
1735116839.888407,1058202.000,39320,1,EL,1,100,-19208.800781
1735116839.954907,1058268.500,39340,2,EL,1,100,-19208.000000
1735116840.021407,1058335.000,39340,2,EL,1,100,-19207.199219
1735116840.088407,1058402.000,39356,1,EL,1,100,-19206.000000
1735116840.154907,1058468.500,39372,2,EL,1,100,-19205.599609
1735116840.221407,1058535.000,39372,2,EL,1,100,-19204.199219
1735116840.287907,1058601.500,39388,2,EL,1,100,-19203.400391
1735116840.354407,1058668.000,39388,2,EL,1,100,-19202.199219
1735116840.421407,1058735.000,39405,1,EL,1,100,-19201.400391
1735116840.487908,1058801.500,39421,2,EL,1,100,-19200.000000
