LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1735116834.978398,1053292.000,38528,4,EM,1,100,RS
1735116834.978398,1053292.000,38528,4,EM,1,100,RB
1735116834.978398,1053292.000,38528,4,EM,1,100,2024-12-25_15-53-54-592774.csv
1735116834.978398,1053292.000,38528,4,EM,1,100,PS
1735116835.028648,1053342.250,38548,4,EM,1,100,RS
1735116835.078898,1053392.500,38548,4,EM,1,100,RB
1735116835.129148,1053442.750,38548,4,EM,1,100,2024-12-25_15-53-54-592774.csv
1735116835.179398,1053493.000,38548,4,EM,1,100,PS
1735116835.229649,1053543.250,38580,4,EM,1,100,RS
1735116835.279899,1053593.500,38580,4,EM,1,100,RB
1735116835.330149,1053643.750,38580,4,EM,1,100,2024-12-25_15-53-54-592774.csv
1735116835.380399,1053694.000,38580,4,EM,1,100,PS
1735116835.431399,1053745.000,38614,4,EM,1,100,RS
1735116835.482399,1053796.000,38614,4,EM,1,100,RB
1735116835.533399,1053847.000,38614,4,EM,1,100,2024-12-25_15-53-54-592774.csv
1735116835.584399,1053898.000,38614,4,EM,1,100,PS
1735116835.634649,1053948.250,38648,4,EM,1,100,RS
1735116835.684899,1053998.500,38648,4,EM,1,100,RB
1735116835.735149,1054048.750,38648,4,EM,1,100,2024-12-25_15-53-54-592774.csv
1735116835.785399,1054099.000,38648,4,EM,1,100,PS
1735116835.835649,1054149.250,38681,4,EM,1,100,RS
1735116835.885900,1054199.500,38681,4,EM,1,100,RB
1735116835.936150,1054249.750,38681,4,EM,1,100,2024-12-25_15-53-54-592774.csv
1735116835.986400,1054300.000,38681,4,EM,1,100,PS
1735116836.036650,1054350.250,38713,4,EM,1,100,RS
1735116836.086900,1054400.500,38713,4,EM,1,100,RB
1735116836.137150,1054450.750,38713,4,EM,1,100,2024-12-25_15-53-54-592774.csv
1735116836.187400,1054501.000,38713,4,EM,1,100,PS
1735116836.237650,1054551.250,38746,4,EM,1,100,RS
1735116836.287900,1054601.500,38746,4,EM,1,100,RB
1735116836.338151,1054651.750,38746,4,EM,1,100,2024-12-25_15-53-54-592774.csv
1735116836.388401,1054702.000,38746,4,EM,1,100,PS
1735116836.438651,1054752.250,38780,4,EM,1,100,RS
1735116836.488901,1054802.500,38780,4,EM,1,100,RB
1735116836.539151,1054852.750,38780,4,EM,1,100,2024-12-25_15-53-54-592774.csv
1735116836.589401,1054903.000,38780,4,EM,1,100,PS
1735116836.639651,1054953.250,38816,4,EM,1,100,RS
1735116836.689901,1055003.500,38816,4,EM,1,100,RB
1735116836.740151,1055053.750,38816,4,EM,1,100,2024-12-25_15-53-54-592774.csv
1735116836.790401,1055104.000,38816,4,EM,1,100,PS
1735116836.840651,1055154.250,38847,4,EM,1,100,RS
1735116836.890901,1055204.500,38847,4,EM,1,100,RB
1735116836.941151,1055254.750,38847,4,EM,1,100,2024-12-25_15-53-54-592774.csv
1735116836.991402,1055305.000,38847,4,EM,1,100,PS
1735116837.041652,1055355.250,38881,4,EM,1,100,RS
1735116837.091902,1055405.500,38881,4,EM,1,100,RB
1735116837.142152,1055455.750,38881,4,EM,1,100,2024-12-25_15-53-54-592774.csv
1735116837.192402,1055506.000,38881,4,EM,1,100,PS
1735116837.242652,1055556.250,38912,4,EM,1,100,RS
1735116837.292902,1055606.500,38912,4,EM,1,100,RB
1735116837.343152,1055656.750,38912,4,EM,1,100,2024-12-25_15-53-54-592774.csv
1735116837.393402,1055707.000,38912,4,EM,1,100,PS
1735116837.444402,1055758.000,38946,4,EM,1,100,RS
1735116837.495402,1055809.000,38946,4,EM,1,100,RB
1735116837.546402,1055860.000,38946,4,EM,1,100,2024-12-25_15-53-54-592774.csv
1735116837.597403,1055911.000,38946,4,EM,1,100,PS
1735116837.647653,1055961.250,38978,4,EM,1,100,RS
1735116837.697903,1056011.500,38978,4,EM,1,100,RB
1735116837.748153,1056061.750,38978,4,EM,1,100,2024-12-25_15-53-54-592774.csv
1735116837.798403,1056112.000,38978,4,EM,1,100,PS
1735116837.848653,1056162.250,39013,4,EM,1,100,RS
1735116837.898903,1056212.500,39013,4,EM,1,100,RB
1735116837.949153,1056262.750,39013,4,EM,1,100,2024-12-25_15-53-54-592774.csv
1735116837.999403,1056313.000,39013,4,EM,1,100,PS
1735116838.049903,1056363.500,39045,4,EM,1,100,RS
1735116838.100404,1056414.000,39045,4,EM,1,100,RB
1735116838.150903,1056464.500,39045,4,EM,1,100,2024-12-25_15-53-54-592774.csv
1735116838.201404,1056515.000,39045,4,EM,1,100,PS
1735116838.251404,1056565.000,39078,4,EM,1,100,RS
1735116838.301404,1056615.000,39078,4,EM,1,100,RB
1735116838.351404,1056665.000,39078,4,EM,1,100,2024-12-25_15-53-54-592774.csv
1735116838.401404,1056715.000,39078,4,EM,1,100,PS
1735116838.451654,1056765.250,39110,4,EM,1,100,RS
1735116838.501904,1056815.500,39110,4,EM,1,100,RB
1735116838.552154,1056865.750,39110,4,EM,1,100,2024-12-25_15-53-54-592774.csv
1735116838.602404,1056916.000,39110,4,EM,1,100,PS
1735116838.652654,1056966.250,39146,4,EM,1,100,RS
1735116838.702904,1057016.500,39146,4,EM,1,100,RB
1735116838.753155,1057066.750,39146,4,EM,1,100,2024-12-25_15-53-54-592774.csv
1735116838.803405,1057117.000,39146,4,EM,1,100,PS
1735116838.853655,1057167.250,39178,4,EM,1,100,RS
1735116838.903905,1057217.500,39178,4,EM,1,100,RB
1735116838.954155,1057267.750,39178,4,EM,1,100,2024-12-25_15-53-54-592774.csv
1735116839.004405,1057318.000,39178,4,EM,1,100,PS
1735116839.059405,1057373.000,39200,4,EM,1,100,RS
1735116839.114405,1057428.000,39200,4,EM,1,100,RB
1735116839.169405,1057483.000,39200,4,EM,1,100,2024-12-25_15-53-54-592774.csv
1735116839.224406,1057538.000,39200,4,EM,1,100,PS
1735116839.274656,1057588.250,39233,4,EM,1,100,RS
1735116839.324906,1057638.500,39233,4,EM,1,100,RB
1735116839.375156,1057688.750,39233,4,EM,1,100,2024-12-25_15-53-54-592774.csv
1735116839.425406,1057739.000,39233,4,EM,1,100,PS
1735116839.475656,1057789.250,39267,4,EM,1,100,RS
1735116839.525906,1057839.500,39267,4,EM,1,100,RB
1735116839.576156,1057889.750,39267,4,EM,1,100,2024-12-25_15-53-54-592774.csv
1735116839.626406,1057940.000,39267,4,EM,1,100,PS
1735116839.676656,1057990.250,39299,4,EM,1,100,RS
1735116839.726906,1058040.500,39299,4,EM,1,100,RB
1735116839.777156,1058090.750,39299,4,EM,1,100,2024-12-25_15-53-54-592774.csv
1735116839.827406,1058141.000,39299,4,EM,1,100,PS
1735116839.878407,1058192.000,39332,4,EM,1,100,RS
1735116839.929407,1058243.000,39332,4,EM,1,100,RB
1735116839.980407,1058294.000,39332,4,EM,1,100,2024-12-25_15-53-54-592774.csv
1735116840.031407,1058345.000,39332,4,EM,1,100,PS
1735116840.081657,1058395.250,39367,4,EM,1,100,RS
1735116840.131907,1058445.500,39367,4,EM,1,100,RB
1735116840.182157,1058495.750,39367,4,EM,1,100,2024-12-25_15-53-54-592774.csv
1735116840.232407,1058546.000,39367,4,EM,1,100,PS
1735116840.282657,1058596.250,39400,4,EM,1,100,RS
1735116840.332907,1058646.500,39400,4,EM,1,100,RB
