LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1735116835.623399,1053937,38630,1,HR,1,100,73
1735116836.663401,1054977,38798,1,HR,1,100,69
1735116837.756403,1056070,38980,1,HR,1,100,66
1735116838.636405,1056950,39112,1,HR,1,100,67
1735116839.996407,1058310,39334,1,HR,1,100,62
1735116840.916408,1059230,39483,1,HR,1,100,62
1735116841.689410,1060003,39615,1,HR,1,100,66
1735116842.889412,1061203,39797,1,HR,1,100,63
1735116843.569413,1061883,39914,1,HR,1,100,68
1735116844.649415,1062963,40087,1,HR,1,100,65
1735116845.742417,1064056,40268,1,HR,1,100,63
1735116846.822419,1065136,40451,1,HR,1,100,62
1735116847.542420,1065856,40569,1,HR,1,100,66
1735116848.355421,1066669,40703,1,HR,1,100,68
1735116849.275423,1067589,40852,1,HR,1,100,68
1735116850.355425,1068669,41023,1,HR,1,100,65
1735116851.795427,1070109,41255,1,HR,1,100,60
1735116853.248430,1071562,41486,1,HR,1,100,56
1735116854.967433,1073281,41773,1,HR,1,100,51
1735116855.368434,1073682,41840,1,HR,1,100,73
1735116856.421435,1074735,42006,1,HR,1,100,70
1735116857.221437,1075535,42139,1,HR,1,100,71
1735116858.341439,1076655,42319,1,HR,1,100,67
1735116858.420439,1076734,42339,1,HR,1,100,219
1735116859.634441,1077948,42529,1,HR,1,100,181
1735116860.314442,1078628,42630,1,HR,1,100,161
1735116861.514444,1079828,42828,1,HR,1,100,136
1735116862.674446,1080988,43012,1,HR,1,100,117
1735116863.607448,1081921,43176,1,HR,1,100,106
1735116864.726450,1083040,43365,1,HR,1,100,94
1735116865.287451,1083601,43448,1,HR,1,100,97
1735116866.166452,1084480,43583,1,HR,1,100,91
1735116867.380455,1085694,43780,1,HR,1,100,82
1735116868.779457,1087093,44012,1,HR,1,100,73
1735116869.339458,1087653,44112,1,HR,1,100,81
1735116870.873461,1089187,44351,1,HR,1,100,71
1735116871.233461,1089547,44418,1,HR,1,100,93
1735116872.032463,1090346,44551,1,HR,1,100,89
1735116872.153463,1090467,44570,1,HR,1,100,180
1735116872.832464,1091146,44687,1,HR,1,100,160
1735116873.432465,1091746,44769,1,HR,1,100,146
1735116876.565471,1094879,45287,1,HR,1,100,118
1735116877.419472,1095733,45419,1,HR,1,100,108
1735116878.858475,1097172,45653,1,HR,1,100,93
1735116880.098477,1098412,45875,1,HR,1,100,83
1735116881.152479,1099466,46041,1,HR,1,100,77
1735116885.085485,1103399,46667,1,HR,1,100,64
1735116886.004487,1104318,46819,1,HR,1,100,64
1735116887.324489,1105638,47034,1,HR,1,100,60
1735116888.004491,1106318,47135,1,HR,1,100,66
1735116889.257493,1107571,47351,1,HR,1,100,62
1735116890.377495,1108691,47540,1,HR,1,100,60
1735116890.697495,1109011,47575,1,HR,1,100,89
1735116891.417496,1109731,47708,1,HR,1,100,87
1735116892.430498,1110744,47874,1,HR,1,100,81
1735116892.871499,1111185,47941,1,HR,1,100,94
1735116893.350500,1111664,48010,1,HR,1,100,101
1735116893.950501,1112264,48111,1,HR,1,100,100
1735116895.030503,1113344,48294,1,HR,1,100,90
1735116895.723504,1114037,48400,1,HR,1,100,90
1735116898.603509,1116917,48861,1,HR,1,100,75
1735116899.656511,1117970,49028,1,HR,1,100,71
1735116900.976513,1119290,49246,1,HR,1,100,65
1735116902.909517,1121223,49559,1,HR,1,100,58
1735116905.149521,1123463,49922,1,HR,1,100,51
1735116905.949522,1124263,50063,1,HR,1,100,56
1735116907.242524,1125556,50261,1,HR,1,100,54
1735116908.402526,1126716,50459,1,HR,1,100,54
1735116909.562528,1127876,50643,1,HR,1,100,53
1735116910.535530,1128849,50807,1,HR,1,100,55
1735116911.655532,1129969,50981,1,HR,1,100,55
1735116912.935534,1131249,51179,1,HR,1,100,53
1735116913.788536,1132102,51312,1,HR,1,100,57
1735116914.948538,1133262,51511,1,HR,1,100,56
1735116915.908539,1134222,51662,1,HR,1,100,57
1735116918.121543,1136435,52029,1,HR,1,100,51
1735116919.401545,1137715,52228,1,HR,1,100,50
1735116920.481547,1138795,52412,1,HR,1,100,51
1735116921.494549,1139808,52566,1,HR,1,100,53
1735116922.654551,1140968,52763,1,HR,1,100,53
1735116923.654553,1141968,52929,1,HR,1,100,54
1735116924.507554,1142821,53064,1,HR,1,100,58
1735116925.627556,1143941,53245,1,HR,1,100,57
1735116926.627558,1144941,53401,1,HR,1,100,58
1735116927.347559,1145661,53500,1,HR,1,100,63
1735116928.360561,1146674,53665,1,HR,1,100,63
1735116929.840564,1148154,53917,1,HR,1,100,58
1735116930.960566,1149274,54097,1,HR,1,100,57
1735116932.053567,1150367,54269,1,HR,1,100,57
1735116934.253571,1152567,54631,1,HR,1,100,50
1735116935.293573,1153607,54799,1,HR,1,100,52
1735116936.546575,1154860,55002,1,HR,1,100,51
1735116937.666577,1155980,55184,1,HR,1,100,52
1735116938.746579,1157060,55366,1,HR,1,100,52
1735116939.959581,1158273,55548,1,HR,1,100,52
1735116940.679583,1158993,55680,1,HR,1,100,59
1735116941.799584,1160113,55852,1,HR,1,100,58
1735116943.012587,1161326,56050,1,HR,1,100,56
1735116943.892588,1162206,56199,1,HR,1,100,59
1735116945.172590,1163486,56400,1,HR,1,100,56
1735116945.932592,1164246,56533,1,HR,1,100,61
1735116947.225594,1165539,56736,1,HR,1,100,58
1735116948.465596,1166779,56934,1,HR,1,100,56
1735116949.305598,1167619,57082,1,HR,1,100,59
1735116950.638600,1168952,57299,1,HR,1,100,56
1735116951.638602,1169952,57465,1,HR,1,100,57
1735116952.878604,1171192,57653,1,HR,1,100,55
1735116953.891606,1172205,57817,1,HR,1,100,56
1735116955.131608,1173445,58017,1,HR,1,100,54
1735116956.051609,1174365,58166,1,HR,1,100,57
1735116956.211610,1174525,58202,1,HR,1,100,128
1735116957.211612,1175525,58354,1,HR,1,100,113
1735116957.784612,1176098,58454,1,HR,1,100,111
1735116958.864614,1177178,58636,1,HR,1,100,99
1735116959.904616,1178218,58803,1,HR,1,100,90
1735116960.864618,1179178,58951,1,HR,1,100,84
1735116961.557619,1179871,59069,1,HR,1,100,85
1735116962.277620,1180591,59176,1,HR,1,100,84
