LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MZ
1735116835.063398,1053377.000,38547,3,MZ,1,100,14
1735116835.063398,1053377.000,38547,3,MZ,1,100,13
1735116835.063398,1053377.000,38547,3,MZ,1,100,13
1735116835.103398,1053417.000,38563,3,MZ,1,100,12
1735116835.143398,1053457.000,38563,3,MZ,1,100,13
1735116835.183398,1053497.000,38563,3,MZ,1,100,14
1735116835.223398,1053537.000,38579,2,MZ,1,100,15
1735116835.263399,1053577.000,38579,2,MZ,1,100,14
1735116835.303399,1053617.000,38597,3,MZ,1,100,13
1735116835.343399,1053657.000,38597,3,MZ,1,100,13
1735116835.383399,1053697.000,38597,3,MZ,1,100,15
1735116835.423399,1053737.000,38613,2,MZ,1,100,14
1735116835.463399,1053777.000,38613,2,MZ,1,100,14
1735116835.503399,1053817.000,38628,3,MZ,1,100,14
1735116835.543399,1053857.000,38628,3,MZ,1,100,14
1735116835.583399,1053897.000,38628,3,MZ,1,100,13
1735116835.623399,1053937.000,38647,2,MZ,1,100,15
1735116835.663399,1053977.000,38647,2,MZ,1,100,13
1735116835.703399,1054017.000,38664,3,MZ,1,100,14
1735116835.743399,1054057.000,38664,3,MZ,1,100,14
1735116835.783399,1054097.000,38664,3,MZ,1,100,14
1735116835.823400,1054137.000,38680,2,MZ,1,100,14
1735116835.863400,1054177.000,38680,2,MZ,1,100,13
1735116835.903400,1054217.000,38695,3,MZ,1,100,14
1735116835.943400,1054257.000,38695,3,MZ,1,100,14
1735116835.983400,1054297.000,38695,3,MZ,1,100,14
1735116836.018733,1054332.333,38712,3,MZ,1,100,14
1735116836.054067,1054367.667,38712,3,MZ,1,100,14
1735116836.089400,1054403.000,38712,3,MZ,1,100,15
1735116836.129400,1054443.000,38729,2,MZ,1,100,14
1735116836.169400,1054483.000,38729,2,MZ,1,100,14
1735116836.209400,1054523.000,38745,3,MZ,1,100,14
1735116836.249400,1054563.000,38745,3,MZ,1,100,14
1735116836.289400,1054603.000,38745,3,MZ,1,100,14
1735116836.329400,1054643.000,38763,2,MZ,1,100,14
1735116836.369401,1054683.000,38763,2,MZ,1,100,14
1735116836.409400,1054723.000,38779,3,MZ,1,100,14
1735116836.449401,1054763.000,38779,3,MZ,1,100,13
1735116836.489401,1054803.000,38779,3,MZ,1,100,13
1735116836.529401,1054843.000,38796,3,MZ,1,100,13
1735116836.569401,1054883.000,38796,3,MZ,1,100,14
1735116836.609401,1054923.000,38796,3,MZ,1,100,13
1735116836.649401,1054963.000,38815,2,MZ,1,100,14
1735116836.689401,1055003.000,38815,2,MZ,1,100,14
1735116836.729401,1055043.000,38830,3,MZ,1,100,14
1735116836.769401,1055083.000,38830,3,MZ,1,100,13
1735116836.809401,1055123.000,38830,3,MZ,1,100,14
1735116836.849401,1055163.000,38846,2,MZ,1,100,13
1735116836.889401,1055203.000,38846,2,MZ,1,100,14
1735116836.929401,1055243.000,38863,3,MZ,1,100,14
1735116836.969402,1055283.000,38863,3,MZ,1,100,14
1735116837.009402,1055323.000,38863,3,MZ,1,100,13
1735116837.049402,1055363.000,38880,2,MZ,1,100,14
1735116837.089402,1055403.000,38880,2,MZ,1,100,14
1735116837.129402,1055443.000,38896,3,MZ,1,100,13
1735116837.169402,1055483.000,38896,3,MZ,1,100,13
1735116837.209402,1055523.000,38896,3,MZ,1,100,14
1735116837.244735,1055558.333,38911,3,MZ,1,100,14
1735116837.280069,1055593.667,38911,3,MZ,1,100,12
1735116837.315402,1055629.000,38911,3,MZ,1,100,14
1735116837.355402,1055669.000,38929,2,MZ,1,100,14
1735116837.395402,1055709.000,38929,2,MZ,1,100,12
1735116837.435736,1055749.333,38945,3,MZ,1,100,13
1735116837.476069,1055789.667,38945,3,MZ,1,100,13
1735116837.516402,1055830.000,38945,3,MZ,1,100,14
1735116837.556402,1055870.000,38962,2,MZ,1,100,13
1735116837.596403,1055910.000,38962,2,MZ,1,100,14
1735116837.636403,1055950.000,38977,3,MZ,1,100,14
1735116837.676403,1055990.000,38977,3,MZ,1,100,14
1735116837.716403,1056030.000,38977,3,MZ,1,100,14
1735116837.756403,1056070.000,38996,2,MZ,1,100,14
1735116837.796403,1056110.000,38996,2,MZ,1,100,14
1735116837.836403,1056150.000,39012,3,MZ,1,100,14
1735116837.876403,1056190.000,39012,3,MZ,1,100,15
1735116837.916403,1056230.000,39012,3,MZ,1,100,13
1735116837.956403,1056270.000,39030,2,MZ,1,100,13
1735116837.996403,1056310.000,39030,2,MZ,1,100,14
1735116838.036403,1056350.000,39044,3,MZ,1,100,14
1735116838.076403,1056390.000,39044,3,MZ,1,100,13
1735116838.116404,1056430.000,39044,3,MZ,1,100,13
1735116838.156404,1056470.000,39061,3,MZ,1,100,14
1735116838.196404,1056510.000,39061,3,MZ,1,100,14
1735116838.236404,1056550.000,39061,3,MZ,1,100,13
1735116838.276404,1056590.000,39077,2,MZ,1,100,14
1735116838.316404,1056630.000,39077,2,MZ,1,100,13
1735116838.351737,1056665.333,39095,3,MZ,1,100,14
1735116838.387071,1056700.667,39095,3,MZ,1,100,14
1735116838.422404,1056736.000,39095,3,MZ,1,100,14
1735116838.462404,1056776.000,39109,3,MZ,1,100,14
1735116838.502404,1056816.000,39109,3,MZ,1,100,14
1735116838.542404,1056856.000,39109,3,MZ,1,100,14
1735116838.582404,1056896.000,39128,2,MZ,1,100,13
1735116838.622404,1056936.000,39128,2,MZ,1,100,12
1735116838.662405,1056976.000,39145,3,MZ,1,100,14
1735116838.702404,1057016.000,39145,3,MZ,1,100,14
1735116838.742405,1057056.000,39145,3,MZ,1,100,14
1735116838.782405,1057096.000,39162,2,MZ,1,100,12
1735116838.822405,1057136.000,39162,2,MZ,1,100,13
1735116838.862405,1057176.000,39177,3,MZ,1,100,14
1735116838.902405,1057216.000,39177,3,MZ,1,100,14
1735116838.942405,1057256.000,39177,3,MZ,1,100,14
1735116838.982405,1057296.000,39194,2,MZ,1,100,13
1735116839.022405,1057336.000,39194,2,MZ,1,100,13
1735116839.062405,1057376.000,39216,5,MZ,1,100,14
1735116839.102405,1057416.000,39216,5,MZ,1,100,13
1735116839.142405,1057456.000,39216,5,MZ,1,100,15
1735116839.182405,1057496.000,39216,5,MZ,1,100,14
1735116839.222405,1057536.000,39216,5,MZ,1,100,14
1735116839.262406,1057576.000,39230,2,MZ,1,100,14
1735116839.302406,1057616.000,39230,2,MZ,1,100,13
1735116839.342406,1057656.000,39250,3,MZ,1,100,14
1735116839.382406,1057696.000,39250,3,MZ,1,100,11
1735116839.422406,1057736.000,39250,3,MZ,1,100,13
1735116839.462406,1057776.000,39266,3,MZ,1,100,14
1735116839.502406,1057816.000,39266,3,MZ,1,100,14
1735116839.542406,1057856.000,39266,3,MZ,1,100,14
1735116839.575406,1057889.000,39283,2,MZ,1,100,14
1735116839.608406,1057922.000,39283,2,MZ,1,100,14
1735116839.648406,1057962.000,39298,3,MZ,1,100,13
1735116839.688406,1058002.000,39298,3,MZ,1,100,14
1735116839.728406,1058042.000,39298,3,MZ,1,100,13
1735116839.768740,1058082.333,39315,3,MZ,1,100,14
1735116839.809073,1058122.667,39315,3,MZ,1,100,14
1735116839.849406,1058163.000,39315,3,MZ,1,100,13
1735116839.888907,1058202.500,39331,2,MZ,1,100,14
1735116839.928407,1058242.000,39331,2,MZ,1,100,14
1735116839.968407,1058282.000,39351,3,MZ,1,100,14
1735116840.008407,1058322.000,39351,3,MZ,1,100,14
1735116840.048407,1058362.000,39351,3,MZ,1,100,14
1735116840.088407,1058402.000,39366,2,MZ,1,100,14
1735116840.128407,1058442.000,39366,2,MZ,1,100,14
1735116840.168407,1058482.000,39382,3,MZ,1,100,14
1735116840.208407,1058522.000,39382,3,MZ,1,100,12
1735116840.248407,1058562.000,39382,3,MZ,1,100,14
1735116840.288407,1058602.000,39399,2,MZ,1,100,14
1735116840.328407,1058642.000,39399,2,MZ,1,100,15
1735116840.368407,1058682.000,39416,3,MZ,1,100,14
1735116840.408407,1058722.000,39416,3,MZ,1,100,14
1735116840.448408,1058762.000,39416,3,MZ,1,100,13
1735116840.488408,1058802.000,39432,2,MZ,1,100,14
1735116840.528408,1058842.000,39432,2,MZ,1,100,14
1735116840.568408,1058882.000,39447,3,MZ,1,100,14
1735116840.608408,1058922.000,39447,3,MZ,1,100,14
1735116840.648408,1058962.000,39447,3,MZ,1,100,13
1735116840.684408,1058998.000,39464,3,MZ,1,100,12
1735116840.720408,1059034.000,39464,3,MZ,1,100,14
1735116840.756408,1059070.000,39464,3,MZ,1,100,14
