LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1735116834.983398,1053297.000,38531,1,PG,1,100,8104
1735116835.023398,1053337.000,38535,2,PG,1,100,8114
1735116835.063398,1053377.000,38535,2,PG,1,100,8103
1735116835.103398,1053417.000,38551,3,PG,1,100,8090
1735116835.143398,1053457.000,38551,3,PG,1,100,8101
1735116835.183398,1053497.000,38551,3,PG,1,100,8119
1735116835.223398,1053537.000,38566,2,PG,1,100,8104
1735116835.263399,1053577.000,38566,2,PG,1,100,8133
1735116835.303399,1053617.000,38584,3,PG,1,100,8120
1735116835.343399,1053657.000,38584,3,PG,1,100,8126
1735116835.383399,1053697.000,38584,3,PG,1,100,8122
1735116835.423399,1053737.000,38600,2,PG,1,100,8128
1735116835.463399,1053777.000,38600,2,PG,1,100,8108
1735116835.503399,1053817.000,38617,3,PG,1,100,8101
1735116835.543399,1053857.000,38617,3,PG,1,100,8107
1735116835.583399,1053897.000,38617,3,PG,1,100,8100
1735116835.623399,1053937.000,38634,2,PG,1,100,8098
1735116835.663399,1053977.000,38634,2,PG,1,100,8125
1735116835.703399,1054017.000,38651,3,PG,1,100,8129
1735116835.743399,1054057.000,38651,3,PG,1,100,8120
1735116835.783399,1054097.000,38651,3,PG,1,100,8118
1735116835.823400,1054137.000,38667,2,PG,1,100,8099
1735116835.863400,1054177.000,38667,2,PG,1,100,8114
1735116835.903400,1054217.000,38684,3,PG,1,100,8108
1735116835.943400,1054257.000,38684,3,PG,1,100,8127
1735116835.983400,1054297.000,38684,3,PG,1,100,8128
1735116836.023400,1054337.000,38699,2,PG,1,100,8122
1735116836.063400,1054377.000,38699,2,PG,1,100,8129
1735116836.103400,1054417.000,38716,3,PG,1,100,8123
1735116836.143400,1054457.000,38716,3,PG,1,100,8120
1735116836.183400,1054497.000,38716,3,PG,1,100,8131
1735116836.223400,1054537.000,38732,3,PG,1,100,8145
1735116836.263400,1054577.000,38732,3,PG,1,100,8131
1735116836.303400,1054617.000,38732,3,PG,1,100,8133
1735116836.343400,1054657.000,38752,2,PG,1,100,8139
1735116836.383400,1054697.000,38752,2,PG,1,100,8145
1735116836.423401,1054737.000,38766,3,PG,1,100,8149
1735116836.463401,1054777.000,38766,3,PG,1,100,8128
1735116836.503401,1054817.000,38766,3,PG,1,100,8110
1735116836.543401,1054857.000,38783,2,PG,1,100,8125
1735116836.583401,1054897.000,38783,2,PG,1,100,8122
1735116836.623401,1054937.000,38802,3,PG,1,100,8124
1735116836.663401,1054977.000,38802,3,PG,1,100,8132
1735116836.703401,1055017.000,38802,3,PG,1,100,8117
1735116836.743401,1055057.000,38819,2,PG,1,100,8122
1735116836.783401,1055097.000,38819,2,PG,1,100,8127
1735116836.823401,1055137.000,38833,3,PG,1,100,8121
1735116836.863401,1055177.000,38833,3,PG,1,100,8129
1735116836.903401,1055217.000,38833,3,PG,1,100,8130
1735116836.943402,1055257.000,38850,2,PG,1,100,8124
1735116836.983402,1055297.000,38850,2,PG,1,100,8132
1735116837.023401,1055337.000,38867,3,PG,1,100,8123
1735116837.063402,1055377.000,38867,3,PG,1,100,8143
1735116837.103402,1055417.000,38867,3,PG,1,100,8159
1735116837.143402,1055457.000,38884,2,PG,1,100,8137
1735116837.183402,1055497.000,38884,2,PG,1,100,8139
1735116837.223402,1055537.000,38899,3,PG,1,100,8153
1735116837.263402,1055577.000,38899,3,PG,1,100,8139
1735116837.303402,1055617.000,38899,3,PG,1,100,8142
1735116837.343402,1055657.000,38916,2,PG,1,100,8168
1735116837.383402,1055697.000,38916,2,PG,1,100,8145
1735116837.427736,1055741.333,38932,3,PG,1,100,8146
1735116837.472069,1055785.667,38932,3,PG,1,100,8137
1735116837.516402,1055830.000,38932,3,PG,1,100,8124
1735116837.556402,1055870.000,38949,2,PG,1,100,8143
1735116837.596403,1055910.000,38949,2,PG,1,100,8129
1735116837.636403,1055950.000,38966,3,PG,1,100,8134
1735116837.676403,1055990.000,38966,3,PG,1,100,8141
1735116837.716403,1056030.000,38966,3,PG,1,100,8141
1735116837.756403,1056070.000,38983,2,PG,1,100,8129
1735116837.796403,1056110.000,38983,2,PG,1,100,8135
1735116837.836403,1056150.000,38999,3,PG,1,100,8134
1735116837.876403,1056190.000,38999,3,PG,1,100,8138
1735116837.916403,1056230.000,38999,3,PG,1,100,8142
1735116837.956403,1056270.000,39017,2,PG,1,100,8151
1735116837.996403,1056310.000,39017,2,PG,1,100,8154
1735116838.036403,1056350.000,39033,3,PG,1,100,8157
1735116838.076403,1056390.000,39033,3,PG,1,100,8137
1735116838.116404,1056430.000,39033,3,PG,1,100,8148
1735116838.156404,1056470.000,39048,3,PG,1,100,8157
1735116838.196404,1056510.000,39048,3,PG,1,100,8159
1735116838.236404,1056550.000,39048,3,PG,1,100,8166
1735116838.276404,1056590.000,39064,2,PG,1,100,8177
1735116838.316404,1056630.000,39064,2,PG,1,100,8165
1735116838.356404,1056670.000,39082,3,PG,1,100,8150
1735116838.396404,1056710.000,39082,3,PG,1,100,8148
1735116838.436404,1056750.000,39082,3,PG,1,100,8157
1735116838.476404,1056790.000,39098,2,PG,1,100,8152
1735116838.516404,1056830.000,39098,2,PG,1,100,8153
1735116838.556404,1056870.000,39115,3,PG,1,100,8138
1735116838.596404,1056910.000,39115,3,PG,1,100,8157
1735116838.636405,1056950.000,39115,3,PG,1,100,8153
1735116838.676404,1056990.000,39132,2,PG,1,100,8159
1735116838.716405,1057030.000,39132,2,PG,1,100,8158
1735116838.756405,1057070.000,39149,3,PG,1,100,8154
1735116838.796405,1057110.000,39149,3,PG,1,100,8150
1735116838.836405,1057150.000,39149,3,PG,1,100,8159
