LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1735116834.983398,1053297.000,38530,1,PR,1,100,131905
1735116835.023398,1053337.000,38534,2,PR,1,100,131921
1735116835.063398,1053377.000,38534,2,PR,1,100,131923
1735116835.103398,1053417.000,38550,3,PR,1,100,131920
1735116835.143398,1053457.000,38550,3,PR,1,100,131930
1735116835.183398,1053497.000,38550,3,PR,1,100,131930
1735116835.223398,1053537.000,38565,2,PR,1,100,131925
1735116835.263399,1053577.000,38565,2,PR,1,100,131947
1735116835.303399,1053617.000,38583,3,PR,1,100,131923
1735116835.343399,1053657.000,38583,3,PR,1,100,131941
1735116835.383399,1053697.000,38583,3,PR,1,100,131924
1735116835.423399,1053737.000,38599,2,PR,1,100,131922
1735116835.463399,1053777.000,38599,2,PR,1,100,131891
1735116835.503399,1053817.000,38616,3,PR,1,100,131884
1735116835.543399,1053857.000,38616,3,PR,1,100,131916
1735116835.583399,1053897.000,38616,3,PR,1,100,131917
1735116835.623399,1053937.000,38633,2,PR,1,100,131917
1735116835.663399,1053977.000,38633,2,PR,1,100,131935
1735116835.703399,1054017.000,38650,3,PR,1,100,131909
1735116835.743399,1054057.000,38650,3,PR,1,100,131905
1735116835.783399,1054097.000,38650,3,PR,1,100,131894
1735116835.823400,1054137.000,38666,2,PR,1,100,131913
1735116835.863400,1054177.000,38666,2,PR,1,100,131899
1735116835.903400,1054217.000,38683,3,PR,1,100,131905
1735116835.943400,1054257.000,38683,3,PR,1,100,131897
1735116835.983400,1054297.000,38683,3,PR,1,100,131892
1735116836.023400,1054337.000,38698,2,PR,1,100,131894
1735116836.063400,1054377.000,38698,2,PR,1,100,131928
1735116836.103400,1054417.000,38715,3,PR,1,100,131901
1735116836.143400,1054457.000,38715,3,PR,1,100,131896
1735116836.183400,1054497.000,38715,3,PR,1,100,131900
1735116836.223400,1054537.000,38731,3,PR,1,100,131904
1735116836.263400,1054577.000,38731,3,PR,1,100,131910
1735116836.303400,1054617.000,38731,3,PR,1,100,131900
1735116836.343400,1054657.000,38751,2,PR,1,100,131904
1735116836.383400,1054697.000,38751,2,PR,1,100,131902
1735116836.423401,1054737.000,38765,3,PR,1,100,131886
1735116836.463401,1054777.000,38765,3,PR,1,100,131867
1735116836.503401,1054817.000,38765,3,PR,1,100,131879
1735116836.543401,1054857.000,38782,2,PR,1,100,131869
1735116836.583401,1054897.000,38782,2,PR,1,100,131889
1735116836.623401,1054937.000,38801,3,PR,1,100,131893
1735116836.663401,1054977.000,38801,3,PR,1,100,131869
1735116836.703401,1055017.000,38801,3,PR,1,100,131868
1735116836.743401,1055057.000,38818,2,PR,1,100,131869
1735116836.783401,1055097.000,38818,2,PR,1,100,131871
1735116836.823401,1055137.000,38832,3,PR,1,100,131885
1735116836.863401,1055177.000,38832,3,PR,1,100,131880
1735116836.903401,1055217.000,38832,3,PR,1,100,131878
