LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1735116839.119405,1057433.000,39197,2,RD,1,100,TL
1735116839.119405,1057433.000,39197,2,RD,1,100,TU
1735116841.688410,1060002.000,40030,2,RD,1,100,TL
1735116844.257414,1062571.000,40030,2,RD,1,100,TU
1735116846.820919,1065134.500,40871,2,RD,1,100,TL
1735116849.384423,1067698.000,40871,2,RD,1,100,TU
1735116851.946928,1070260.500,41703,2,RD,1,100,TL
1735116854.509432,1072823.000,41703,2,RD,1,100,TU
1735116857.063437,1075377.000,42524,2,RD,1,100,TL
1735116859.617441,1077931.000,42524,2,RD,1,100,TU
1735116862.181946,1080495.500,43362,2,RD,1,100,TL
1735116864.746450,1083060.000,43362,2,RD,1,100,TU
1735116867.312954,1085626.500,44199,2,RD,1,100,TL
1735116869.879459,1088193.000,44199,2,RD,1,100,TU
1735116872.439463,1090753.000,45036,2,RD,1,100,TL
1735116874.999468,1093313.000,45036,2,RD,1,100,TU
1735116877.557472,1095871.000,45870,2,RD,1,100,TL
1735116880.115477,1098429.000,45870,2,RD,1,100,TU
1735116882.690981,1101004.500,46701,2,RD,1,100,TL
1735116885.266486,1103580.000,46701,2,RD,1,100,TU
1735116887.827490,1106141.000,47535,2,RD,1,100,TL
1735116890.388495,1108702.000,47535,2,RD,1,100,TU
1735116892.943999,1111257.500,48362,2,RD,1,100,TL
1735116895.499504,1113813.000,48362,2,RD,1,100,TU
1735116898.053508,1116367.000,49195,2,RD,1,100,TL
1735116900.607513,1118921.000,49195,2,RD,1,100,TU
1735116903.166517,1121480.000,50025,2,RD,1,100,TL
1735116905.725522,1124039.000,50025,2,RD,1,100,TU
1735116908.278026,1126591.500,50844,2,RD,1,100,TL
1735116910.830530,1129144.000,50844,2,RD,1,100,TU
1735116913.396535,1131710.000,51681,2,RD,1,100,TL
1735116915.962539,1134276.000,51681,2,RD,1,100,TU
1735116918.527044,1136840.500,52511,2,RD,1,100,TL
1735116921.091548,1139405.000,52511,2,RD,1,100,TU
1735116923.667553,1141981.000,53346,2,RD,1,100,TL
1735116926.243557,1144557.000,53346,2,RD,1,100,TU
1735116928.800562,1147114.000,54165,2,RD,1,100,TL
1735116931.357566,1149671.000,54165,2,RD,1,100,TU
1735116933.925571,1152239.000,54997,2,RD,1,100,TL
1735116936.493575,1154807.000,54997,2,RD,1,100,TU
1735116939.054580,1157368.000,55830,2,RD,1,100,TL
1735116941.615584,1159929.000,55830,2,RD,1,100,TU
1735116944.182589,1162496.000,56666,2,RD,1,100,TL
1735116946.749593,1165063.000,56666,2,RD,1,100,TU
1735116949.321098,1167634.500,57499,2,RD,1,100,TL
1735116951.892602,1170206.000,57499,2,RD,1,100,TU
1735116954.456607,1172770.000,58334,2,RD,1,100,TL
1735116957.020611,1175334.000,58334,2,RD,1,100,TU
1735116959.587116,1177900.500,59155,2,RD,1,100,TL
1735116962.153620,1180467.000,59155,2,RD,1,100,TU
1735116964.705124,1183018.500,59978,2,RD,1,100,TL
1735116967.256629,1185570.000,59978,2,RD,1,100,TU
1735116969.808633,1188122.000,60801,2,RD,1,100,TL
1735116972.360638,1190674.000,60801,2,RD,1,100,TU
1735116975.027642,1193341.000,61604,2,RD,1,100,TL
1735116977.694647,1196008.000,61604,2,RD,1,100,TU
1735116980.249152,1198562.500,62412,2,RD,1,100,TL
1735116982.803656,1201117.000,62412,2,RD,1,100,TU
1735116985.364661,1203678.000,63249,2,RD,1,100,TL
1735116987.925665,1206239.000,63249,2,RD,1,100,TU
1735116990.491669,1208805.000,64081,2,RD,1,100,TL
1735116993.057674,1211371.000,64081,2,RD,1,100,TU
1735116995.614678,1213928.000,64901,2,RD,1,100,TL
1735116998.171683,1216485.000,64901,2,RD,1,100,TU
1735117000.733687,1219047.000,198,2,RD,1,100,TL
1735117003.295692,1221609.000,198,2,RD,1,100,TU
1735117005.848696,1224162.000,1031,2,RD,1,100,TL
1735117008.401701,1226715.000,1031,2,RD,1,100,TU
1735117010.955705,1229269.000,1869,2,RD,1,100,TL
1735117013.509710,1231823.000,1869,2,RD,1,100,TU
1735117016.071714,1234385.000,2718,2,RD,1,100,TL
1735117018.633718,1236947.000,2718,2,RD,1,100,TU
1735117021.190723,1239504.000,3553,2,RD,1,100,TL
1735117023.747728,1242061.000,3553,2,RD,1,100,TU
1735117026.299732,1244613.000,4386,2,RD,1,100,TL
1735117028.851737,1247165.000,4386,2,RD,1,100,TU
1735117031.422241,1249735.500,5235,2,RD,1,100,TL
1735117033.992745,1252306.000,5235,2,RD,1,100,TU
1735117036.546250,1254859.500,6069,2,RD,1,100,TL
1735117039.099754,1257413.000,6069,2,RD,1,100,TU
1735117041.653759,1259967.000,6902,2,RD,1,100,TL
1735117044.207763,1262521.000,6902,2,RD,1,100,TU
1735117046.773268,1265086.500,7751,2,RD,1,100,TL
1735117049.338772,1267652.000,7751,2,RD,1,100,TU
1735117051.891777,1270205.000,8586,2,RD,1,100,TL
1735117054.444781,1272758.000,8586,2,RD,1,100,TU
1735117056.999285,1275312.500,9417,2,RD,1,100,TL
1735117059.553790,1277867.000,9417,2,RD,1,100,TU
1735117062.118794,1280432.000,10266,2,RD,1,100,TL
1735117064.683799,1282997.000,10266,2,RD,1,100,TU
1735117067.249804,1285563.000,11100,2,RD,1,100,TL
1735117069.815808,1288129.000,11100,2,RD,1,100,TU
1735117072.369312,1290682.500,11933,2,RD,1,100,TL
1735117074.922817,1293236.000,11933,2,RD,1,100,TU
1735117077.495321,1295808.500,12783,2,RD,1,100,TL
1735117080.067826,1298381.000,12783,2,RD,1,100,TU
1735117082.621330,1300934.500,13615,2,RD,1,100,TL
1735117085.174835,1303488.000,13615,2,RD,1,100,TU
1735117087.747339,1306060.500,14462,2,RD,1,100,TL
1735117090.319844,1308633.000,14462,2,RD,1,100,TU
1735117092.873348,1311186.500,15294,2,RD,1,100,TL
1735117095.426853,1313740.000,15294,2,RD,1,100,TU
1735117097.995857,1316309.000,16142,2,RD,1,100,TL
1735117100.564862,1318878.000,16142,2,RD,1,100,TU
1735117103.123866,1321437.000,16976,2,RD,1,100,TL
1735117105.682871,1323996.000,16976,2,RD,1,100,TU
1735117108.237375,1326550.500,17811,2,RD,1,100,TL
1735117110.791879,1329105.000,17811,2,RD,1,100,TU
1735117113.345884,1331659.000,18644,2,RD,1,100,TL
1735117115.899888,1334213.000,18644,2,RD,1,100,TU
1735117118.464893,1336778.000,19496,2,RD,1,100,TL
1735117121.029897,1339343.000,19496,2,RD,1,100,TU
1735117123.586402,1341899.500,20331,2,RD,1,100,TL
1735117126.142906,1344456.000,20331,2,RD,1,100,TU
1735117128.697411,1347010.500,21164,2,RD,1,100,TL
1735117131.251915,1349565.000,21164,2,RD,1,100,TU
1735117133.804920,1352118.000,21983,2,RD,1,100,TL
1735117136.357924,1354671.000,21983,2,RD,1,100,TU
1735117138.916429,1357229.500,22820,2,RD,1,100,TL
1735117141.474933,1359788.000,22820,2,RD,1,100,TU
1735117144.024937,1362338.000,23639,2,RD,1,100,TL
1735117146.574942,1364888.000,23639,2,RD,1,100,TU
1735117149.130946,1367444.000,24424,2,RD,1,100,TL
1735117151.686951,1370000.000,24424,2,RD,1,100,TU
