LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1735116835.488399,1053802,38747,1,SA,1,100,0.402984
1735116845.754417,1064068,40368,1,SA,1,100,0.125936
1735116846.954419,1065268,40651,1,SA,1,100,0.409778
1735116849.687424,1068001,41024,1,SA,1,100,0.127042
1735116861.219444,1079533,42879,1,SA,1,100,0.103377
1735116865.086451,1083400,43514,1,SA,1,100,0.102240
1735116874.085466,1092399,45072,1,SA,1,100,0.728099
1735116876.684471,1094998,45487,1,SA,1,100,0.517764
1735116883.684483,1101998,46599,1,SA,1,100,1.147613
1735116888.016491,1106330,47233,1,SA,1,100,0.256750
1735116892.016498,1110330,47974,1,SA,1,100,1.044735
1735116895.416503,1113730,48418,1,SA,1,100,0.126824
1735116914.414537,1132728,51528,1,SA,1,100,0.159009
1735116928.945562,1147259,53865,1,SA,1,100,0.094583
1735116963.142622,1181456,59363,1,SA,1,100,0.018691
1735116970.741635,1189055,60680,1,SA,1,100,0.199072
1735116996.605680,1214919,64798,1,SA,1,100,0.217457
1735116999.272685,1217586,65153,1,SA,1,100,0.061470
1735117005.071695,1223385,616,1,SA,1,100,0.207966
1735117017.470716,1235784,2650,1,SA,1,100,0.165681
1735117050.267774,1268581,8066,1,SA,1,100,0.224226
1735117115.260887,1333574,18665,1,SA,1,100,0.069247
1735117125.326905,1343640,20277,1,SA,1,100,0.050813
1735117137.525926,1355839,22251,1,SA,1,100,0.072914
