LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1735116835.022398,1053336.000,38532,1,SF,1,100,11.2779
1735116835.355399,1053669.000,38581,1,SF,1,100,11.1475
1735116835.688399,1054002.000,38631,1,SF,1,100,11.0185
1735116836.088400,1054402.000,38696,1,SF,1,100,10.8910
1735116836.355401,1054669.000,38749,1,SF,1,100,12.8473
1735116836.688401,1055002.000,38799,1,SF,1,100,12.6987
1735116837.088402,1055402.000,38864,1,SF,1,100,12.5518
1735116837.355402,1055669.000,38913,1,SF,1,100,12.4066
1735116837.688403,1056002.000,38963,1,SF,1,100,12.2631
1735116838.021403,1056335.000,39014,1,SF,1,100,12.1212
1735116838.421404,1056735.000,39079,1,SF,1,100,11.9810
1735116838.688405,1057002.000,39129,1,SF,1,100,11.8424
1735116839.021405,1057335.000,39179,1,SF,1,100,11.7054
1735116839.421406,1057735.000,39234,1,SF,1,100,11.5700
1735116839.688406,1058002.000,39284,1,SF,1,100,11.4361
1735116840.021407,1058335.000,39335,1,SF,1,100,11.3039
1735116840.354407,1058668.000,39383,1,SF,1,100,11.1731
1735116840.754408,1059068.000,39448,1,SF,1,100,11.0438
1735116841.021409,1059335.000,39501,1,SF,1,100,10.9161
1735116841.354409,1059668.000,39549,1,SF,1,100,10.7898
1735116841.754410,1060068.000,39616,1,SF,1,100,10.6650
1735116842.021410,1060335.000,39665,1,SF,1,100,10.5416
1735116842.354411,1060668.000,39714,1,SF,1,100,10.4197
1735116842.687412,1061001.000,39764,1,SF,1,100,10.2991
1735116843.087412,1061401.000,39831,1,SF,1,100,10.1800
1735116843.354413,1061668.000,39879,1,SF,1,100,10.0622
1735116843.687413,1062001.000,39930,1,SF,1,100,9.9458
1735116844.087414,1062401.000,39995,1,SF,1,100,9.8308
1735116844.354414,1062668.000,40034,1,SF,1,100,9.7171
1735116844.754415,1063068.000,40103,1,SF,1,100,9.6046
1735116845.021415,1063335.000,40153,1,SF,1,100,9.4935
1735116845.354416,1063668.000,40202,1,SF,1,100,9.3837
1735116845.754417,1064068.000,40269,1,SF,1,100,9.2752
1735116846.087417,1064401.000,40317,1,SF,1,100,9.1679
1735116846.354418,1064668.000,40370,1,SF,1,100,11.1441
1735116846.687418,1065001.000,40418,1,SF,1,100,11.0151
1735116847.087419,1065401.000,40485,1,SF,1,100,10.8877
1735116847.354420,1065668.000,40534,1,SF,1,100,10.7618
1735116847.687420,1066001.000,40584,1,SF,1,100,10.6373
1735116848.087421,1066401.000,40650,1,SF,1,100,10.5142
1735116848.420422,1066734.000,40704,1,SF,1,100,12.4749
1735116848.687422,1067001.000,40752,1,SF,1,100,12.3305
1735116849.020422,1067334.000,40801,1,SF,1,100,12.1879
1735116849.487423,1067801.000,40875,1,SF,1,100,12.0469
1735116849.687424,1068001.000,40907,1,SF,1,100,11.9076
1735116850.087425,1068401.000,40972,1,SF,1,100,11.7698
1735116850.353425,1068667.000,41026,1,SF,1,100,13.7159
1735116850.687425,1069001.000,41075,1,SF,1,100,13.5572
1735116851.020426,1069334.000,41123,1,SF,1,100,13.4004
1735116851.420427,1069734.000,41188,1,SF,1,100,13.2454
1735116851.687427,1070001.000,41239,1,SF,1,100,13.0922
1735116852.020428,1070334.000,41289,1,SF,1,100,12.9407
1735116852.420429,1070734.000,41354,1,SF,1,100,12.7910
1735116852.687429,1071001.000,41403,1,SF,1,100,12.6430
1735116853.020430,1071334.000,41453,1,SF,1,100,12.4968
1735116853.353430,1071667.000,41504,1,SF,1,100,12.3522
1735116853.753431,1072067.000,41569,1,SF,1,100,12.2093
1735116854.020431,1072334.000,41617,1,SF,1,100,12.0681
1735116854.353432,1072667.000,41666,1,SF,1,100,11.9285
1735116854.686432,1073000.000,41723,1,SF,1,100,11.7905
1735116855.020433,1073334.000,41774,1,SF,1,100,11.6541
1735116855.420434,1073734.000,41841,1,SF,1,100,11.5193
1735116855.686434,1074000.000,41891,1,SF,1,100,11.3860
1735116856.019435,1074333.000,41940,1,SF,1,100,11.2543
1735116856.419436,1074733.000,42007,1,SF,1,100,11.1241
1735116856.686436,1075000.000,42055,1,SF,1,100,10.9954
1735116857.019437,1075333.000,42105,1,SF,1,100,10.8683
1735116857.353437,1075667.000,42156,1,SF,1,100,10.7425
1735116857.753438,1076067.000,42221,1,SF,1,100,10.6183
1735116858.019438,1076333.000,42270,1,SF,1,100,10.4954
1735116858.353439,1076667.000,42320,1,SF,1,100,10.3740
1735116858.752439,1077066.000,42387,1,SF,1,100,10.2540
1735116859.086440,1077400.000,42438,1,SF,1,100,10.1354
1735116859.353441,1077667.000,42486,1,SF,1,100,10.0181
1735116859.686441,1078000.000,42530,1,SF,1,100,9.9022
1735116860.019442,1078333.000,42580,1,SF,1,100,9.7877
1735116860.419442,1078733.000,42647,1,SF,1,100,9.6745
1735116860.686443,1079000.000,42696,1,SF,1,100,9.5626
1735116861.019444,1079333.000,42745,1,SF,1,100,9.4519
1735116861.352444,1079666.000,42795,1,SF,1,100,9.3426
1735116861.752445,1080066.000,42862,1,SF,1,100,9.2345
1735116862.019445,1080333.000,42912,1,SF,1,100,11.2099
1735116862.352446,1080666.000,42961,1,SF,1,100,11.0803
1735116862.752446,1081066.000,43028,1,SF,1,100,10.9521
1735116863.019447,1081333.000,43078,1,SF,1,100,10.8254
1735116863.352448,1081666.000,43127,1,SF,1,100,10.7002
1735116863.685448,1081999.000,43177,1,SF,1,100,10.5764
1735116864.085449,1082399.000,43242,1,SF,1,100,10.4540
1735116864.352449,1082666.000,43293,1,SF,1,100,10.3331
1735116864.685450,1082999.000,43343,1,SF,1,100,10.2136
1735116865.019450,1083333.000,43399,1,SF,1,100,10.0954
1735116865.352451,1083666.000,43449,1,SF,1,100,9.9786
1735116865.752452,1084066.000,43516,1,SF,1,100,11.9455
1735116866.018452,1084332.000,43565,1,SF,1,100,11.8073
1735116866.352453,1084666.000,43616,1,SF,1,100,11.6707
1735116866.685453,1084999.000,43666,1,SF,1,100,11.5357
1735116867.085454,1085399.000,43731,1,SF,1,100,11.4022
1735116867.352455,1085666.000,43781,1,SF,1,100,11.2703
1735116867.685455,1085999.000,43830,1,SF,1,100,11.1400
1735116868.085456,1086399.000,43895,1,SF,1,100,11.0111
1735116868.352456,1086666.000,43945,1,SF,1,100,10.8837
1735116868.685457,1086999.000,43994,1,SF,1,100,10.7578
1735116869.018457,1087332.000,44044,1,SF,1,100,10.6334
1735116869.418458,1087732.000,44113,1,SF,1,100,10.5104
1735116869.685459,1087999.000,44164,1,SF,1,100,10.3888
1735116870.085459,1088399.000,44219,1,SF,1,100,10.2686
1735116870.351460,1088665.000,44270,1,SF,1,100,10.1498
1735116870.685460,1088999.000,44318,1,SF,1,100,10.0324
1735116871.085461,1089399.000,44385,1,SF,1,100,9.9163
1735116871.351461,1089665.000,44436,1,SF,1,100,9.8016
1735116871.685462,1089999.000,44484,1,SF,1,100,9.6882
1735116872.084463,1090398.000,44552,1,SF,1,100,9.5762
1735116872.418463,1090732.000,44604,1,SF,1,100,9.4654
1735116872.685464,1090999.000,44652,1,SF,1,100,9.3559
1735116873.018464,1091332.000,44703,1,SF,1,100,9.2477
1735116873.418465,1091732.000,44770,1,SF,1,100,9.1407
1735116873.684466,1091998.000,44820,1,SF,1,100,9.0349
1735116874.018466,1092332.000,44869,1,SF,1,100,8.9304
1735116874.418467,1092732.000,44936,1,SF,1,100,8.8271
1735116874.751467,1093065.000,44984,1,SF,1,100,8.7250
1735116875.084468,1093398.000,45040,1,SF,1,100,8.6241
1735116875.351469,1093665.000,45090,1,SF,1,100,10.6066
1735116875.684469,1093998.000,45140,1,SF,1,100,10.4839
