LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1735116835.488399,1053802,38748,1,SR,1,100,0.800000
1735116845.754417,1064068,40369,1,SR,1,100,0.533333
1735116846.954419,1065268,40652,1,SR,1,100,1.066667
1735116849.687424,1068001,41025,1,SR,1,100,0.600000
1735116861.219444,1079533,42880,1,SR,1,100,0.533333
1735116865.086451,1083400,43515,1,SR,1,100,0.533333
1735116874.085466,1092399,45073,1,SR,1,100,1.133333
1735116876.684471,1094998,45488,1,SR,1,100,1.000000
1735116883.684483,1101998,46600,1,SR,1,100,0.866667
1735116888.016491,1106330,47234,1,SR,1,100,0.466667
1735116892.016498,1110330,47975,1,SR,1,100,1.000000
1735116895.416503,1113730,48419,1,SR,1,100,0.333333
1735116914.414537,1132728,51529,1,SR,1,100,0.533333
1735116928.945562,1147259,53866,1,SR,1,100,0.533333
1735116963.142622,1181456,59364,1,SR,1,100,0.200000
1735116970.741635,1189055,60681,1,SR,1,100,0.800000
1735116996.605680,1214919,64799,1,SR,1,100,0.866667
1735116999.272685,1217586,65154,1,SR,1,100,0.400000
1735117005.071695,1223385,617,1,SR,1,100,0.666667
1735117017.470716,1235784,2651,1,SR,1,100,0.666667
1735117050.267774,1268581,8067,1,SR,1,100,0.933333
1735117115.260887,1333574,18666,1,SR,1,100,0.600000
1735117125.326905,1343640,20278,1,SR,1,100,0.466667
1735117137.525926,1355839,22252,1,SR,1,100,0.466667
