LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1735116835.081398,1053395.000,38538,1,T1,1,100,38.478
1735116835.215399,1053529.000,38569,1,T1,1,100,38.349
1735116835.348399,1053662.000,38587,1,T1,1,100,38.434
1735116835.481399,1053795.000,38603,1,T1,1,100,38.401
1735116835.615399,1053929.000,38637,1,T1,1,100,38.386
1735116835.748399,1054062.000,38654,1,T1,1,100,38.486
1735116835.881400,1054195.000,38670,1,T1,1,100,38.494
1735116836.015400,1054329.000,38702,1,T1,1,100,38.391
1735116836.148400,1054462.000,38719,1,T1,1,100,38.417
1735116836.281400,1054595.000,38735,1,T1,1,100,38.393
1735116836.415401,1054729.000,38769,1,T1,1,100,38.312
1735116836.548401,1054862.000,38786,1,T1,1,100,38.277
1735116836.681401,1054995.000,38805,1,T1,1,100,38.297
1735116836.815401,1055129.000,38836,1,T1,1,100,38.377
1735116836.948401,1055262.000,38853,1,T1,1,100,38.411
1735116837.081402,1055395.000,38870,1,T1,1,100,38.320
1735116837.215402,1055529.000,38887,1,T1,1,100,38.316
1735116837.348402,1055662.000,38919,1,T1,1,100,38.314
1735116837.481402,1055795.000,38935,1,T1,1,100,38.384
1735116837.614403,1055928.000,38952,1,T1,1,100,38.414
1735116837.748403,1056062.000,38986,1,T1,1,100,38.357
1735116837.881403,1056195.000,39002,1,T1,1,100,38.296
1735116838.014403,1056328.000,39020,1,T1,1,100,38.483
1735116838.148404,1056462.000,39051,1,T1,1,100,38.457
1735116838.281404,1056595.000,39067,1,T1,1,100,38.411
1735116838.414404,1056728.000,39085,1,T1,1,100,38.497
1735116838.548404,1056862.000,39118,1,T1,1,100,38.428
1735116838.681405,1056995.000,39135,1,T1,1,100,38.504
1735116838.814405,1057128.000,39152,1,T1,1,100,38.466
1735116838.948405,1057262.000,39168,1,T1,1,100,38.415
1735116839.081405,1057395.000,39206,2,T1,1,100,38.498
1735116839.214406,1057528.000,39206,2,T1,1,100,38.535
1735116839.348406,1057662.000,39240,1,T1,1,100,38.338
1735116839.481406,1057795.000,39256,1,T1,1,100,38.323
1735116839.614406,1057928.000,39273,1,T1,1,100,38.424
1735116839.748406,1058062.000,39305,1,T1,1,100,38.219
1735116839.881407,1058195.000,39321,1,T1,1,100,38.414
1735116840.014407,1058328.000,39341,1,T1,1,100,38.321
1735116840.148407,1058462.000,39357,1,T1,1,100,38.316
1735116840.281407,1058595.000,39389,1,T1,1,100,38.385
1735116840.414407,1058728.000,39406,1,T1,1,100,38.379
1735116840.548408,1058862.000,39422,1,T1,1,100,38.341
1735116840.681408,1058995.000,39454,1,T1,1,100,38.254
1735116840.814408,1059128.000,39471,1,T1,1,100,38.323
1735116840.947408,1059261.000,39489,1,T1,1,100,38.211
1735116841.081409,1059395.000,39521,1,T1,1,100,38.339
1735116841.214409,1059528.000,39538,1,T1,1,100,38.324
1735116841.347409,1059661.000,39555,1,T1,1,100,38.318
1735116841.481409,1059795.000,39586,1,T1,1,100,38.279
1735116841.614410,1059928.000,39603,1,T1,1,100,38.369
1735116841.747410,1060061.000,39622,1,T1,1,100,38.443
1735116841.881410,1060195.000,39653,1,T1,1,100,38.334
1735116842.014410,1060328.000,39671,1,T1,1,100,38.322
1735116842.147411,1060461.000,39687,1,T1,1,100,38.387
1735116842.281411,1060595.000,39704,1,T1,1,100,38.345
1735116842.414411,1060728.000,39736,1,T1,1,100,38.433
1735116842.547411,1060861.000,39752,1,T1,1,100,38.506
1735116842.681412,1060995.000,39770,1,T1,1,100,38.432
1735116842.814412,1061128.000,39803,1,T1,1,100,38.435
1735116842.947412,1061261.000,39819,1,T1,1,100,38.472
1735116843.081412,1061395.000,39837,1,T1,1,100,38.417
1735116843.214412,1061528.000,39868,1,T1,1,100,38.358
1735116843.347413,1061661.000,39885,1,T1,1,100,38.474
1735116843.481413,1061795.000,39902,1,T1,1,100,38.382
1735116843.614413,1061928.000,39936,1,T1,1,100,38.378
1735116843.747413,1062061.000,39952,1,T1,1,100,38.483
1735116843.881414,1062195.000,39969,1,T1,1,100,38.457
1735116844.014414,1062328.000,40001,1,T1,1,100,38.446
1735116844.147414,1062461.000,40017,1,T1,1,100,38.512
1735116844.281414,1062595.000,40040,1,T1,1,100,38.363
1735116844.414414,1062728.000,40058,1,T1,1,100,38.335
1735116844.547415,1062861.000,40075,1,T1,1,100,38.499
1735116844.680415,1062994.000,40109,1,T1,1,100,38.393
1735116844.814415,1063128.000,40125,1,T1,1,100,38.347
1735116844.947415,1063261.000,40142,1,T1,1,100,38.434
1735116845.080416,1063394.000,40174,1,T1,1,100,38.401
1735116845.214416,1063528.000,40190,1,T1,1,100,38.386
1735116845.347416,1063661.000,40208,1,T1,1,100,38.344
1735116845.480416,1063794.000,40224,1,T1,1,100,38.504
1735116845.614417,1063928.000,40255,1,T1,1,100,38.360
1735116845.747417,1064061.000,40275,1,T1,1,100,38.368
1735116845.880417,1064194.000,40291,1,T1,1,100,38.408
1735116846.014417,1064328.000,40323,1,T1,1,100,38.354
1735116846.147418,1064461.000,40340,1,T1,1,100,38.259
1735116846.280418,1064594.000,40356,1,T1,1,100,38.360
1735116846.414418,1064728.000,40390,1,T1,1,100,38.369
1735116846.547418,1064861.000,40407,1,T1,1,100,38.337
1735116846.680418,1064994.000,40424,1,T1,1,100,38.394
1735116846.814419,1065128.000,40457,1,T1,1,100,38.312
1735116846.947419,1065261.000,40474,1,T1,1,100,38.490
1735116847.080419,1065394.000,40491,1,T1,1,100,38.531
1735116847.214419,1065528.000,40522,1,T1,1,100,38.372
1735116847.347420,1065661.000,40540,1,T1,1,100,38.480
1735116847.480420,1065794.000,40556,1,T1,1,100,38.420
1735116847.614420,1065928.000,40590,1,T1,1,100,38.359
1735116847.747420,1066061.000,40607,1,T1,1,100,38.475
1735116847.880420,1066194.000,40623,1,T1,1,100,38.454
1735116848.013421,1066327.000,40640,1,T1,1,100,38.338
1735116848.147421,1066461.000,40674,1,T1,1,100,38.324
1735116848.280421,1066594.000,40690,1,T1,1,100,38.424
1735116848.413421,1066727.000,40710,1,T1,1,100,38.502
1735116848.547422,1066861.000,40741,1,T1,1,100,38.395
1735116848.680422,1066994.000,40758,1,T1,1,100,38.313
1735116848.813422,1067127.000,40775,1,T1,1,100,38.277
1735116848.947423,1067261.000,40807,1,T1,1,100,38.226
1735116849.080423,1067394.000,40823,1,T1,1,100,38.452
1735116849.213423,1067527.000,40840,1,T1,1,100,38.479
1735116849.346923,1067660.500,40881,2,T1,1,100,38.314
1735116849.480423,1067794.000,40881,2,T1,1,100,38.384
1735116849.613424,1067927.000,40913,1,T1,1,100,38.343
1735116849.747424,1068061.000,40929,1,T1,1,100,38.397
1735116849.880424,1068194.000,40946,1,T1,1,100,38.349
1735116850.013424,1068327.000,40978,1,T1,1,100,38.399
1735116850.147424,1068461.000,40994,1,T1,1,100,38.350
1735116850.280425,1068594.000,41011,1,T1,1,100,38.364
1735116850.413425,1068727.000,41032,1,T1,1,100,38.370
1735116850.547425,1068861.000,41063,1,T1,1,100,38.373
1735116850.680425,1068994.000,41081,1,T1,1,100,38.374
1735116850.813426,1069127.000,41097,1,T1,1,100,38.304
1735116850.946426,1069260.000,41129,1,T1,1,100,38.238
1735116851.080426,1069394.000,41146,1,T1,1,100,38.387
1735116851.213426,1069527.000,41162,1,T1,1,100,38.380
1735116851.347427,1069661.000,41194,1,T1,1,100,38.377
1735116851.480427,1069794.000,41211,1,T1,1,100,38.340
1735116851.613427,1069927.000,41227,1,T1,1,100,38.360
1735116851.746427,1070060.000,41261,1,T1,1,100,38.333
1735116851.880428,1070194.000,41278,1,T1,1,100,38.286
1735116852.013428,1070327.000,41295,1,T1,1,100,38.336
1735116852.146428,1070460.000,41326,1,T1,1,100,38.500
1735116852.280428,1070594.000,41343,1,T1,1,100,38.465
1735116852.413429,1070727.000,41360,1,T1,1,100,38.378
1735116852.546429,1070860.000,41391,1,T1,1,100,38.306
1735116852.680429,1070994.000,41409,1,T1,1,100,38.309
1735116852.813429,1071127.000,41425,1,T1,1,100,38.276
1735116852.946429,1071260.000,41442,1,T1,1,100,38.332
1735116853.080430,1071394.000,41474,1,T1,1,100,38.463
1735116853.213430,1071527.000,41492,1,T1,1,100,38.448
1735116853.346430,1071660.000,41510,1,T1,1,100,38.407
1735116853.480430,1071794.000,41541,1,T1,1,100,38.318
1735116853.613431,1071927.000,41557,1,T1,1,100,38.244
1735116853.746431,1072060.000,41575,1,T1,1,100,38.389
1735116853.879431,1072193.000,41606,1,T1,1,100,38.417
1735116854.013431,1072327.000,41623,1,T1,1,100,38.358
1735116854.146431,1072460.000,41640,1,T1,1,100,38.367
