LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1735116835.096398,1053410.000,38554,1,TH,1,100,35.080
1735116835.230398,1053544.000,38570,1,TH,1,100,35.067
1735116835.363399,1053677.000,38588,1,TH,1,100,35.067
1735116835.496399,1053810.000,38604,1,TH,1,100,35.077
1735116835.630399,1053944.000,38638,1,TH,1,100,35.077
1735116835.763399,1054077.000,38655,1,TH,1,100,35.115
1735116835.896400,1054210.000,38671,1,TH,1,100,35.115
1735116836.030400,1054344.000,38703,1,TH,1,100,35.085
1735116836.163400,1054477.000,38720,1,TH,1,100,35.085
1735116836.296400,1054610.000,38736,1,TH,1,100,35.059
1735116836.429401,1054743.000,38770,1,TH,1,100,35.059
1735116836.563401,1054877.000,38787,1,TH,1,100,35.095
1735116836.696401,1055010.000,38806,1,TH,1,100,35.095
1735116836.829401,1055143.000,38837,1,TH,1,100,35.044
1735116836.963402,1055277.000,38854,1,TH,1,100,35.044
1735116837.096402,1055410.000,38871,1,TH,1,100,35.039
1735116837.229402,1055543.000,38902,1,TH,1,100,35.039
1735116837.363402,1055677.000,38920,1,TH,1,100,35.049
1735116837.496403,1055810.000,38936,1,TH,1,100,35.049
1735116837.629403,1055943.000,38953,1,TH,1,100,35.021
1735116837.763403,1056077.000,38987,1,TH,1,100,35.021
1735116837.896403,1056210.000,39003,1,TH,1,100,35.080
1735116838.029403,1056343.000,39021,1,TH,1,100,35.080
1735116838.163404,1056477.000,39052,1,TH,1,100,35.075
1735116838.296404,1056610.000,39068,1,TH,1,100,35.075
1735116838.429404,1056743.000,39086,1,TH,1,100,35.075
1735116838.563404,1056877.000,39119,1,TH,1,100,35.075
1735116838.696404,1057010.000,39136,1,TH,1,100,35.039
1735116838.829405,1057143.000,39153,1,TH,1,100,35.039
1735116838.962405,1057276.000,39185,1,TH,1,100,35.075
1735116839.095905,1057409.500,39207,2,TH,1,100,35.075
1735116839.229405,1057543.000,39207,2,TH,1,100,35.090
1735116839.363406,1057677.000,39241,1,TH,1,100,35.090
1735116839.496406,1057810.000,39257,1,TH,1,100,35.067
1735116839.629406,1057943.000,39274,1,TH,1,100,35.067
1735116839.763406,1058077.000,39306,1,TH,1,100,35.136
1735116839.896407,1058210.000,39322,1,TH,1,100,35.136
1735116840.029407,1058343.000,39342,1,TH,1,100,35.085
1735116840.162407,1058476.000,39373,1,TH,1,100,35.085
1735116840.296407,1058610.000,39390,1,TH,1,100,35.024
1735116840.429408,1058743.000,39407,1,TH,1,100,35.024
1735116840.562408,1058876.000,39423,1,TH,1,100,35.024
1735116840.696408,1059010.000,39455,1,TH,1,100,35.024
1735116840.829408,1059143.000,39472,1,TH,1,100,35.072
1735116840.962409,1059276.000,39490,1,TH,1,100,35.072
1735116841.096409,1059410.000,39522,1,TH,1,100,35.112
1735116841.229409,1059543.000,39539,1,TH,1,100,35.120
1735116841.362409,1059676.000,39556,1,TH,1,100,35.120
1735116841.496409,1059810.000,39587,1,TH,1,100,35.120
1735116841.629410,1059943.000,39604,1,TH,1,100,35.123
1735116841.762410,1060076.000,39623,1,TH,1,100,35.123
1735116841.896410,1060210.000,39654,1,TH,1,100,35.074
1735116842.029410,1060343.000,39672,1,TH,1,100,35.074
1735116842.162410,1060476.000,39688,1,TH,1,100,35.036
1735116842.296411,1060610.000,39720,1,TH,1,100,35.036
1735116842.429411,1060743.000,39737,1,TH,1,100,35.120
1735116842.562411,1060876.000,39753,1,TH,1,100,35.120
1735116842.696412,1061010.000,39771,1,TH,1,100,35.036
1735116842.829412,1061143.000,39804,1,TH,1,100,35.036
1735116842.962412,1061276.000,39820,1,TH,1,100,35.064
1735116843.095412,1061409.000,39838,1,TH,1,100,35.064
1735116843.229413,1061543.000,39869,1,TH,1,100,35.008
1735116843.362413,1061676.000,39886,1,TH,1,100,35.008
1735116843.495413,1061809.000,39903,1,TH,1,100,35.062
1735116843.629413,1061943.000,39937,1,TH,1,100,35.062
1735116843.762413,1062076.000,39953,1,TH,1,100,35.102
1735116843.895414,1062209.000,39970,1,TH,1,100,35.102
1735116844.029414,1062343.000,40002,1,TH,1,100,34.982
1735116844.162414,1062476.000,40018,1,TH,1,100,34.982
1735116844.295414,1062609.000,40041,1,TH,1,100,35.031
1735116844.429415,1062743.000,40059,1,TH,1,100,35.031
1735116844.562415,1062876.000,40076,1,TH,1,100,35.023
1735116844.695415,1063009.000,40110,1,TH,1,100,35.023
1735116844.829415,1063143.000,40126,1,TH,1,100,35.099
1735116844.962415,1063276.000,40143,1,TH,1,100,35.099
1735116845.095416,1063409.000,40175,1,TH,1,100,35.041
1735116845.229416,1063543.000,40191,1,TH,1,100,35.041
1735116845.362416,1063676.000,40209,1,TH,1,100,35.102
1735116845.495416,1063809.000,40240,1,TH,1,100,35.102
1735116845.629417,1063943.000,40256,1,TH,1,100,35.091
1735116845.762417,1064076.000,40276,1,TH,1,100,35.091
1735116845.895417,1064209.000,40292,1,TH,1,100,35.110
1735116846.029417,1064343.000,40324,1,TH,1,100,35.110
1735116846.162418,1064476.000,40341,1,TH,1,100,35.054
1735116846.295418,1064609.000,40357,1,TH,1,100,35.054
1735116846.428418,1064742.000,40391,1,TH,1,100,35.066
1735116846.562418,1064876.000,40408,1,TH,1,100,35.066
1735116846.695419,1065009.000,40425,1,TH,1,100,35.041
1735116846.828419,1065142.000,40458,1,TH,1,100,35.041
1735116846.962419,1065276.000,40475,1,TH,1,100,35.043
1735116847.095419,1065409.000,40492,1,TH,1,100,35.043
1735116847.228420,1065542.000,40523,1,TH,1,100,35.074
1735116847.362420,1065676.000,40541,1,TH,1,100,35.074
1735116847.495420,1065809.000,40557,1,TH,1,100,34.974
1735116847.628420,1065942.000,40591,1,TH,1,100,34.974
1735116847.762420,1066076.000,40608,1,TH,1,100,34.987
1735116847.895421,1066209.000,40624,1,TH,1,100,34.987
1735116848.028421,1066342.000,40658,1,TH,1,100,34.957
1735116848.162421,1066476.000,40675,1,TH,1,100,34.957
1735116848.295421,1066609.000,40691,1,TH,1,100,35.064
1735116848.428421,1066742.000,40711,1,TH,1,100,35.064
1735116848.562422,1066876.000,40742,1,TH,1,100,35.043
1735116848.695422,1067009.000,40759,1,TH,1,100,35.051
1735116848.828422,1067142.000,40776,1,TH,1,100,35.033
1735116848.962422,1067276.000,40808,1,TH,1,100,35.026
1735116849.095423,1067409.000,40824,1,TH,1,100,35.043
1735116849.228423,1067542.000,40841,1,TH,1,100,35.051
1735116849.361923,1067675.500,40882,2,TH,1,100,35.017
1735116849.495423,1067809.000,40882,2,TH,1,100,35.017
1735116849.628424,1067942.000,40914,1,TH,1,100,35.094
1735116849.761424,1068075.000,40930,1,TH,1,100,35.094
1735116849.895424,1068209.000,40947,1,TH,1,100,35.053
1735116850.028424,1068342.000,40979,1,TH,1,100,35.053
1735116850.162425,1068476.000,40995,1,TH,1,100,35.030
1735116850.295425,1068609.000,41012,1,TH,1,100,35.030
1735116850.428425,1068742.000,41048,1,TH,1,100,35.094
1735116850.562425,1068876.000,41064,1,TH,1,100,35.094
1735116850.695426,1069009.000,41082,1,TH,1,100,35.012
1735116850.828426,1069142.000,41113,1,TH,1,100,35.012
1735116850.961426,1069275.000,41130,1,TH,1,100,35.043
1735116851.095426,1069409.000,41147,1,TH,1,100,35.043
1735116851.228426,1069542.000,41163,1,TH,1,100,35.058
1735116851.361427,1069675.000,41195,1,TH,1,100,35.058
1735116851.495427,1069809.000,41212,1,TH,1,100,35.012
1735116851.628427,1069942.000,41228,1,TH,1,100,35.012
1735116851.761427,1070075.000,41262,1,TH,1,100,35.053
1735116851.895427,1070209.000,41279,1,TH,1,100,35.053
1735116852.028428,1070342.000,41296,1,TH,1,100,35.045
1735116852.161428,1070475.000,41327,1,TH,1,100,35.045
1735116852.295428,1070609.000,41344,1,TH,1,100,35.028
1735116852.428428,1070742.000,41361,1,TH,1,100,35.028
1735116852.561429,1070875.000,41392,1,TH,1,100,35.022
1735116852.695429,1071009.000,41410,1,TH,1,100,35.022
1735116852.828429,1071142.000,41426,1,TH,1,100,34.969
1735116852.961429,1071275.000,41443,1,TH,1,100,34.969
1735116853.095430,1071409.000,41475,1,TH,1,100,34.951
1735116853.228430,1071542.000,41493,1,TH,1,100,34.951
1735116853.361430,1071675.000,41511,1,TH,1,100,35.027
1735116853.494430,1071808.000,41542,1,TH,1,100,35.028
1735116853.628431,1071942.000,41558,1,TH,1,100,35.014
1735116853.761431,1072075.000,41576,1,TH,1,100,35.014
1735116853.894431,1072208.000,41607,1,TH,1,100,35.036
1735116854.028431,1072342.000,41624,1,TH,1,100,35.036
1735116854.161432,1072475.000,41641,1,TH,1,100,34.958
1735116854.294432,1072608.000,41673,1,TH,1,100,34.958
1735116854.428432,1072742.000,41691,1,TH,1,100,35.048
1735116854.561432,1072875.000,41713,1,TH,1,100,35.048
1735116854.695432,1073009.000,41730,1,TH,1,100,35.076
1735116854.828433,1073142.000,41761,1,TH,1,100,35.076
1735116854.961433,1073275.000,41781,1,TH,1,100,35.076
1735116855.094433,1073408.000,41797,1,TH,1,100,35.076
1735116855.228433,1073542.000,41814,1,TH,1,100,35.033
1735116855.361434,1073675.000,41848,1,TH,1,100,35.033
1735116855.494434,1073808.000,41864,1,TH,1,100,35.030
1735116855.628434,1073942.000,41881,1,TH,1,100,35.030
1735116855.761434,1074075.000,41913,1,TH,1,100,35.091
1735116855.894434,1074208.000,41929,1,TH,1,100,35.091
1735116856.028435,1074342.000,41947,1,TH,1,100,35.020
1735116856.161435,1074475.000,41978,1,TH,1,100,35.020
1735116856.294435,1074608.000,41994,1,TH,1,100,35.030
1735116856.427435,1074741.000,42014,1,TH,1,100,35.030
1735116856.561436,1074875.000,42045,1,TH,1,100,34.958
1735116856.694436,1075008.000,42062,1,TH,1,100,34.958
1735116856.827436,1075141.000,42079,1,TH,1,100,34.999
1735116856.961437,1075275.000,42111,1,TH,1,100,34.999
1735116857.094437,1075408.000,42127,1,TH,1,100,35.004
1735116857.227437,1075541.000,42146,1,TH,1,100,35.004
1735116857.361437,1075675.000,42163,1,TH,1,100,35.004
1735116857.494437,1075808.000,42194,1,TH,1,100,35.004
1735116857.627438,1075941.000,42211,1,TH,1,100,35.070
1735116857.761438,1076075.000,42228,1,TH,1,100,35.078
1735116857.894438,1076208.000,42259,1,TH,1,100,35.081
1735116858.027438,1076341.000,42277,1,TH,1,100,35.081
1735116858.161438,1076475.000,42293,1,TH,1,100,35.068
1735116858.294439,1076608.000,42327,1,TH,1,100,35.068
1735116858.427439,1076741.000,42346,1,TH,1,100,35.049
1735116858.561439,1076875.000,42362,1,TH,1,100,35.049
1735116858.694439,1077008.000,42394,1,TH,1,100,34.976
1735116858.827440,1077141.000,42411,1,TH,1,100,34.976
1735116858.961440,1077275.000,42427,1,TH,1,100,35.017
1735116859.094440,1077408.000,42445,1,TH,1,100,35.017
1735116859.227440,1077541.000,42476,1,TH,1,100,35.063
1735116859.361441,1077675.000,42493,1,TH,1,100,35.063
1735116859.494441,1077808.000,42512,1,TH,1,100,35.073
1735116859.627441,1077941.000,42537,1,TH,1,100,35.073
1735116859.760441,1078074.000,42553,1,TH,1,100,35.088
1735116859.894442,1078208.000,42570,1,TH,1,100,35.088
1735116860.027442,1078341.000,42587,1,TH,1,100,34.986
1735116860.160442,1078474.000,42618,1,TH,1,100,34.986
1735116860.294442,1078608.000,42637,1,TH,1,100,35.007
1735116860.427443,1078741.000,42654,1,TH,1,100,35.007
1735116860.560443,1078874.000,42685,1,TH,1,100,35.012
1735116860.694443,1079008.000,42703,1,TH,1,100,35.012
1735116860.827443,1079141.000,42719,1,TH,1,100,35.001
1735116860.960443,1079274.000,42751,1,TH,1,100,35.001
1735116861.094444,1079408.000,42768,1,TH,1,100,35.001
1735116861.227444,1079541.000,42784,1,TH,1,100,35.001
1735116861.360444,1079674.000,42802,1,TH,1,100,35.039
1735116861.494444,1079808.000,42835,1,TH,1,100,35.039
1735116861.627445,1079941.000,42851,1,TH,1,100,35.024
1735116861.760445,1080074.000,42869,1,TH,1,100,35.024
1735116861.894445,1080208.000,42902,1,TH,1,100,34.951
1735116862.027445,1080341.000,42919,1,TH,1,100,34.950
1735116862.160445,1080474.000,42936,1,TH,1,100,35.012
1735116862.294446,1080608.000,42968,1,TH,1,100,35.012
1735116862.427446,1080741.000,42984,1,TH,1,100,34.951
1735116862.560446,1080874.000,43001,1,TH,1,100,34.950
1735116862.693446,1081007.000,43035,1,TH,1,100,34.983
1735116862.827447,1081141.000,43051,1,TH,1,100,34.983
1735116862.960447,1081274.000,43068,1,TH,1,100,34.912
1735116863.093447,1081407.000,43100,1,TH,1,100,34.912
1735116863.227447,1081541.000,43116,1,TH,1,100,34.998
1735116863.360448,1081674.000,43134,1,TH,1,100,34.999
1735116863.493448,1081807.000,43150,1,TH,1,100,35.007
1735116863.627448,1081941.000,43184,1,TH,1,100,35.007
1735116863.760448,1082074.000,43201,1,TH,1,100,35.021
1735116863.893449,1082207.000,43217,1,TH,1,100,35.021
1735116864.027449,1082341.000,43249,1,TH,1,100,34.940
1735116864.160449,1082474.000,43266,1,TH,1,100,34.940
1735116864.293449,1082607.000,43282,1,TH,1,100,34.963
1735116864.427449,1082741.000,43316,1,TH,1,100,34.963
1735116864.560450,1082874.000,43333,1,TH,1,100,35.029
1735116864.693450,1083007.000,43350,1,TH,1,100,35.029
1735116864.827450,1083141.000,43372,1,TH,1,100,35.021
1735116864.960450,1083274.000,43388,1,TH,1,100,35.021
1735116865.093451,1083407.000,43420,1,TH,1,100,34.943
1735116865.227451,1083541.000,43437,1,TH,1,100,34.942
1735116865.360451,1083674.000,43456,1,TH,1,100,35.019
1735116865.493451,1083807.000,43487,1,TH,1,100,35.019
1735116865.627451,1083941.000,43504,1,TH,1,100,34.993
1735116865.760452,1084074.000,43523,1,TH,1,100,34.993
1735116865.893452,1084207.000,43554,1,TH,1,100,34.973
1735116866.026452,1084340.000,43572,1,TH,1,100,34.973
1735116866.160452,1084474.000,43590,1,TH,1,100,35.060
1735116866.293453,1084607.000,43622,1,TH,1,100,35.060
1735116866.426453,1084740.000,43639,1,TH,1,100,35.001
1735116866.560453,1084874.000,43655,1,TH,1,100,35.008
1735116866.693453,1085007.000,43673,1,TH,1,100,35.054
1735116866.826454,1085140.000,43704,1,TH,1,100,35.047
1735116866.960454,1085274.000,43720,1,TH,1,100,34.953
1735116867.093454,1085407.000,43738,1,TH,1,100,34.953
1735116867.226454,1085540.000,43769,1,TH,1,100,34.973
1735116867.360455,1085674.000,43788,1,TH,1,100,34.980
1735116867.493455,1085807.000,43805,1,TH,1,100,35.006
1735116867.626455,1085940.000,43837,1,TH,1,100,35.006
1735116867.760455,1086074.000,43853,1,TH,1,100,35.001
1735116867.893456,1086207.000,43870,1,TH,1,100,34.993
1735116868.026456,1086340.000,43902,1,TH,1,100,35.060
1735116868.160456,1086474.000,43918,1,TH,1,100,35.067
1735116868.293456,1086607.000,43935,1,TH,1,100,35.098
1735116868.426456,1086740.000,43967,1,TH,1,100,35.098
1735116868.560457,1086874.000,43983,1,TH,1,100,34.993
1735116868.693457,1087007.000,44001,1,TH,1,100,34.993
1735116868.826457,1087140.000,44034,1,TH,1,100,34.972
1735116868.960457,1087274.000,44051,1,TH,1,100,34.972
1735116869.093458,1087407.000,44068,1,TH,1,100,35.013
1735116869.226458,1087540.000,44084,1,TH,1,100,35.013
1735116869.360458,1087674.000,44120,1,TH,1,100,34.983
1735116869.493458,1087807.000,44137,1,TH,1,100,34.983
1735116869.626458,1087940.000,44153,1,TH,1,100,35.059
1735116869.760459,1088074.000,44185,1,TH,1,100,35.059
1735116869.893459,1088207.000,44209,1,TH,1,100,34.922
1735116870.026459,1088340.000,44226,1,TH,1,100,34.921
1735116870.159459,1088473.000,44243,1,TH,1,100,35.011
1735116870.293460,1088607.000,44259,1,TH,1,100,35.011
1735116870.426460,1088740.000,44291,1,TH,1,100,35.072
1735116870.559460,1088873.000,44308,1,TH,1,100,35.072
1735116870.693460,1089007.000,44325,1,TH,1,100,35.054
1735116870.826461,1089140.000,44358,1,TH,1,100,35.054
1735116870.959461,1089273.000,44375,1,TH,1,100,34.929
1735116871.093461,1089407.000,44392,1,TH,1,100,34.929
1735116871.226461,1089540.000,44425,1,TH,1,100,35.031
1735116871.359462,1089673.000,44443,1,TH,1,100,35.031
1735116871.493462,1089807.000,44459,1,TH,1,100,35.031
1735116871.626462,1089940.000,44491,1,TH,1,100,35.031
1735116871.759462,1090073.000,44508,1,TH,1,100,34.906
1735116871.893462,1090207.000,44524,1,TH,1,100,34.906
1735116872.026463,1090340.000,44558,1,TH,1,100,35.074
1735116872.159463,1090473.000,44577,1,TH,1,100,35.074
1735116872.293463,1090607.000,44593,1,TH,1,100,34.947
1735116872.426463,1090740.000,44611,1,TH,1,100,34.947
1735116872.559464,1090873.000,44642,1,TH,1,100,35.039
1735116872.693464,1091007.000,44659,1,TH,1,100,35.039
1735116872.826464,1091140.000,44676,1,TH,1,100,34.955
1735116872.959464,1091273.000,44710,1,TH,1,100,34.955
1735116873.092465,1091406.000,44726,1,TH,1,100,34.947
1735116873.226465,1091540.000,44743,1,TH,1,100,34.947
1735116873.359465,1091673.000,44777,1,TH,1,100,35.064
1735116873.493465,1091807.000,44793,1,TH,1,100,35.064
1735116873.626466,1091940.000,44810,1,TH,1,100,34.950
1735116873.759466,1092073.000,44842,1,TH,1,100,34.950
1735116873.892466,1092206.000,44858,1,TH,1,100,35.056
1735116874.026466,1092340.000,44876,1,TH,1,100,35.056
1735116874.159467,1092473.000,44907,1,TH,1,100,35.064
1735116874.293467,1092607.000,44923,1,TH,1,100,35.064
1735116874.426467,1092740.000,44943,1,TH,1,100,35.003
1735116874.559467,1092873.000,44959,1,TH,1,100,35.010
1735116874.692467,1093006.000,44991,1,TH,1,100,35.087
1735116874.826468,1093140.000,45008,1,TH,1,100,35.079
1735116874.959468,1093273.000,45024,1,TH,1,100,34.957
1735116875.092468,1093406.000,45047,1,TH,1,100,34.957
1735116875.226468,1093540.000,45080,1,TH,1,100,34.996
1735116875.359468,1093673.000,45097,1,TH,1,100,34.996
1735116875.492469,1093806.000,45114,1,TH,1,100,34.922
1735116875.626469,1093940.000,45146,1,TH,1,100,34.921
1735116875.759469,1094073.000,45162,1,TH,1,100,35.074
1735116875.892469,1094206.000,45179,1,TH,1,100,35.074
1735116876.026470,1094340.000,45196,1,TH,1,100,35.034
1735116876.159470,1094473.000,45227,1,TH,1,100,35.034
1735116876.292470,1094606.000,45244,1,TH,1,100,34.993
1735116876.426470,1094740.000,45261,1,TH,1,100,34.993
1735116876.559471,1094873.000,45294,1,TH,1,100,34.965
1735116876.692471,1095006.000,45312,1,TH,1,100,34.973
1735116876.825471,1095139.000,45328,1,TH,1,100,35.000
1735116876.959471,1095273.000,45360,1,TH,1,100,35.000
1735116877.092472,1095406.000,45377,1,TH,1,100,35.002
1735116877.225472,1095539.000,45393,1,TH,1,100,35.002
1735116877.359472,1095673.000,45427,1,TH,1,100,35.008
1735116877.492472,1095806.000,45444,1,TH,1,100,35.001
1735116877.625473,1095939.000,45460,1,TH,1,100,34.959
1735116877.759473,1096073.000,45494,1,TH,1,100,34.959
1735116877.892473,1096206.000,45511,1,TH,1,100,34.906
1735116878.025473,1096339.000,45528,1,TH,1,100,34.906
1735116878.159473,1096473.000,45545,1,TH,1,100,34.932
1735116878.292474,1096606.000,45577,1,TH,1,100,34.932
1735116878.426474,1096740.000,45593,1,TH,1,100,34.967
1735116878.559474,1096873.000,45610,1,TH,1,100,34.975
1735116878.692474,1097006.000,45642,1,TH,1,100,34.921
1735116878.825475,1097139.000,45660,1,TH,1,100,34.913
1735116878.959475,1097273.000,45677,1,TH,1,100,34.932
1735116879.092475,1097406.000,45709,1,TH,1,100,34.932
1735116879.225475,1097539.000,45725,1,TH,1,100,34.967
1735116879.358475,1097672.000,45743,1,TH,1,100,34.967
1735116879.492476,1097806.000,45776,1,TH,1,100,34.911
1735116879.625476,1097939.000,45792,1,TH,1,100,34.919
1735116879.758476,1098072.000,45810,1,TH,1,100,35.089
1735116879.892476,1098206.000,45841,1,TH,1,100,35.089
1735116880.025477,1098339.000,45858,1,TH,1,100,35.038
1735116880.158477,1098472.000,45882,1,TH,1,100,35.038
1735116880.292477,1098606.000,45898,1,TH,1,100,34.941
1735116880.425477,1098739.000,45916,1,TH,1,100,34.941
1735116880.558478,1098872.000,45947,1,TH,1,100,34.924
1735116880.692478,1099006.000,45964,1,TH,1,100,34.924
1735116880.825478,1099139.000,45981,1,TH,1,100,35.020
1735116880.958478,1099272.000,46013,1,TH,1,100,35.021
1735116881.092479,1099406.000,46029,1,TH,1,100,34.929
1735116881.225479,1099539.000,46048,1,TH,1,100,34.929
1735116881.358479,1099672.000,46080,1,TH,1,100,34.982
1735116881.492479,1099806.000,46096,1,TH,1,100,34.982
1735116881.625479,1099939.000,46113,1,TH,1,100,35.002
1735116881.758480,1100072.000,46130,1,TH,1,100,35.002
1735116881.892480,1100206.000,46161,1,TH,1,100,35.071
1735116882.025480,1100339.000,46179,1,TH,1,100,35.071
1735116882.158480,1100472.000,46195,1,TH,1,100,35.028
1735116882.292481,1100606.000,46227,1,TH,1,100,35.028
1735116882.425481,1100739.000,46244,1,TH,1,100,34.926
1735116882.558481,1100872.000,46260,1,TH,1,100,34.926
1735116882.692481,1101006.000,46292,1,TH,1,100,34.962
1735116882.825482,1101139.000,46309,1,TH,1,100,34.962
1735116882.958482,1101272.000,46325,1,TH,1,100,34.898
1735116883.092482,1101406.000,46357,1,TH,1,100,34.898
1735116883.225482,1101539.000,46374,1,TH,1,100,34.934
1735116883.358483,1101672.000,46391,1,TH,1,100,34.934
1735116883.491483,1101805.000,46422,1,TH,1,100,34.997
