LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1735116839.117405,1057431.000,39195,1,TL,1,100,2024-12-25_15-53-54-168501
1735116839.130405,1057444.000,39198,1,TL,1,100,2024-12-25_15-53-59-126994
1735116844.254414,1062568.000,40028,1,TL,1,100,2024-12-25_15-53-59-295228
1735116844.278414,1062592.000,40031,1,TL,1,100,2024-12-25_15-54-04-272602
1735116849.382423,1067696.000,40869,1,TL,1,100,2024-12-25_15-54-04-394478
1735116849.396423,1067710.000,40872,1,TL,1,100,2024-12-25_15-54-09-389225
1735116854.507432,1072821.000,41701,1,TL,1,100,2024-12-25_15-54-09-569473
1735116854.519432,1072833.000,41704,1,TL,1,100,2024-12-25_15-54-14-515926
1735116859.615441,1077929.000,42522,1,TL,1,100,2024-12-25_15-54-14-643874
1735116859.630441,1077944.000,42525,1,TL,1,100,2024-12-25_15-54-19-622724
1735116864.744450,1083058.000,43360,1,TL,1,100,2024-12-25_15-54-19-777593
1735116869.870459,1088184.000,44195,1,TL,1,100,2024-12-25_15-54-24-886191
1735116869.875459,1088189.000,44197,1,TL,1,100,2024-12-25_15-54-24-889943
1735116869.889459,1088203.000,44200,1,TL,1,100,2024-12-25_15-54-29-885010
1735116874.996468,1093310.000,45034,1,TL,1,100,2024-12-25_15-54-30-013465
1735116875.008468,1093322.000,45037,1,TL,1,100,2024-12-25_15-54-35-003968
1735116880.112477,1098426.000,45868,1,TL,1,100,2024-12-25_15-54-35-134433
1735116880.126477,1098440.000,45871,1,TL,1,100,2024-12-25_15-54-40-120504
1735116885.263486,1103577.000,46699,1,TL,1,100,2024-12-25_15-54-40-247532
1735116885.301486,1103615.000,46702,1,TL,1,100,2024-12-25_15-54-45-297513
1735116890.386495,1108700.000,47533,1,TL,1,100,2024-12-25_15-54-45-405306
1735116890.401495,1108715.000,47536,1,TL,1,100,2024-12-25_15-54-50-397126
1735116895.494504,1113808.000,48360,1,TL,1,100,2024-12-25_15-54-50-525266
1735116895.513504,1113827.000,48363,1,TL,1,100,2024-12-25_15-54-55-507590
1735116900.605513,1118919.000,49193,1,TL,1,100,2024-12-25_15-54-55-638464
1735116905.716522,1124030.000,50021,1,TL,1,100,2024-12-25_15-55-00-678940
1735116905.720521,1124034.000,50023,1,TL,1,100,2024-12-25_15-55-00-777841
1735116905.786522,1124100.000,50026,1,TL,1,100,2024-12-25_15-55-05-779365
1735116910.825531,1129139.000,50842,1,TL,1,100,2024-12-25_15-55-05-859513
1735116910.843530,1129157.000,50845,1,TL,1,100,2024-12-25_15-55-10-836343
1735116915.958539,1134272.000,51679,1,TL,1,100,2024-12-25_15-55-10-971729
1735116915.990540,1134304.000,51682,1,TL,1,100,2024-12-25_15-55-15-986027
1735116921.085548,1139399.000,52509,1,TL,1,100,2024-12-25_15-55-16-093593
1735116921.104548,1139418.000,52512,1,TL,1,100,2024-12-25_15-55-21-100022
1735116926.237557,1144551.000,53344,1,TL,1,100,2024-12-25_15-55-21-311899
1735116926.321558,1144635.000,53347,1,TL,1,100,2024-12-25_15-55-26-304823
1735116931.350566,1149664.000,54163,1,TL,1,100,2024-12-25_15-55-26-385791
1735116931.382566,1149696.000,54166,1,TL,1,100,2024-12-25_15-55-31-369026
1735116936.489575,1154803.000,54995,1,TL,1,100,2024-12-25_15-55-31-507954
1735116936.510575,1154824.000,54998,1,TL,1,100,2024-12-25_15-55-36-506241
1735116941.614584,1159928.000,55828,1,TL,1,100,2024-12-25_15-55-36-626600
1735116941.635584,1159949.000,55831,1,TL,1,100,2024-12-25_15-55-41-626974
1735116946.747593,1165061.000,56664,1,TL,1,100,2024-12-25_15-55-41-793922
1735116946.767593,1165081.000,56667,1,TL,1,100,2024-12-25_15-55-46-762667
1735116951.887602,1170201.000,57497,1,TL,1,100,2024-12-25_15-55-46-880404
1735116951.906602,1170220.000,57500,1,TL,1,100,2024-12-25_15-55-51-897947
1735116957.018611,1175332.000,58332,1,TL,1,100,2024-12-25_15-55-52-031293
1735116962.141620,1180455.000,59151,1,TL,1,100,2024-12-25_15-55-57-088960
1735116962.147620,1180461.000,59153,1,TL,1,100,2024-12-25_15-55-57-200848
1735116962.164620,1180478.000,59156,1,TL,1,100,2024-12-25_15-56-02-160510
1735116967.253629,1185567.000,59976,1,TL,1,100,2024-12-25_15-56-02-299055
1735116967.268629,1185582.000,59979,1,TL,1,100,2024-12-25_15-56-07-264354
1735116972.358638,1190672.000,60799,1,TL,1,100,2024-12-25_15-56-07-396771
1735116972.373638,1190687.000,60802,1,TL,1,100,2024-12-25_15-56-12-367387
1735116977.692647,1196006.000,61602,1,TL,1,100,2024-12-25_15-56-12-493671
1735116977.716647,1196030.000,61605,1,TL,1,100,2024-12-25_15-56-17-711818
1735116982.801656,1201115.000,62410,1,TL,1,100,2024-12-25_15-56-17-837047
1735116982.817656,1201131.000,62413,1,TL,1,100,2024-12-25_15-56-22-809153
1735116987.923665,1206237.000,63247,1,TL,1,100,2024-12-25_15-56-22-936755
1735116987.942665,1206256.000,63250,1,TL,1,100,2024-12-25_15-56-27-935075
1735116993.055674,1211369.000,64079,1,TL,1,100,2024-12-25_15-56-28-113467
1735116998.163683,1216477.000,64897,1,TL,1,100,2024-12-25_15-56-33-130280
1735116998.168683,1216482.000,64899,1,TL,1,100,2024-12-25_15-56-33-211505
1735117003.291692,1221605.000,194,1,TL,1,100,2024-12-25_15-56-38-279506
1735117003.294692,1221608.000,196,1,TL,1,100,2024-12-25_15-56-38-312992
1735117003.313692,1221627.000,199,1,TL,1,100,2024-12-25_15-56-43-303882
1735117008.399701,1226713.000,1029,1,TL,1,100,2024-12-25_15-56-43-381428
1735117008.414701,1226728.000,1032,1,TL,1,100,2024-12-25_15-56-48-407170
1735117013.507710,1231821.000,1867,1,TL,1,100,2024-12-25_15-56-48-459403
1735117013.525710,1231839.000,1870,1,TL,1,100,2024-12-25_15-56-53-518484
1735117018.631719,1236945.000,2716,1,TL,1,100,2024-12-25_15-56-53-550300
1735117018.646719,1236960.000,2719,1,TL,1,100,2024-12-25_15-56-58-640141
1735117023.740727,1242054.000,3551,1,TL,1,100,2024-12-25_15-56-58-742507
1735117023.766727,1242080.000,3554,1,TL,1,100,2024-12-25_15-57-03-762104
1735117028.849736,1247163.000,4384,1,TL,1,100,2024-12-25_15-57-03-803665
1735117028.859736,1247173.000,4387,1,TL,1,100,2024-12-25_15-57-08-857546
1735117033.990745,1252304.000,5233,1,TL,1,100,2024-12-25_15-57-08-885291
1735117034.007746,1252321.000,5236,1,TL,1,100,2024-12-25_15-57-14-003242
1735117039.097754,1257411.000,6067,1,TL,1,100,2024-12-25_15-57-14-081817
1735117039.111754,1257425.000,6070,1,TL,1,100,2024-12-25_15-57-19-104973
1735117044.205763,1262519.000,6900,1,TL,1,100,2024-12-25_15-57-19-158525
1735117044.230763,1262544.000,6903,1,TL,1,100,2024-12-25_15-57-24-214400
1735117049.336772,1267650.000,7749,1,TL,1,100,2024-12-25_15-57-24-304418
1735117049.350772,1267664.000,7752,1,TL,1,100,2024-12-25_15-57-29-345363
1735117054.442781,1272756.000,8584,1,TL,1,100,2024-12-25_15-57-29-429975
1735117054.456781,1272770.000,8587,1,TL,1,100,2024-12-25_15-57-34-451385
1735117059.551790,1277865.000,9415,1,TL,1,100,2024-12-25_15-57-34-502445
1735117059.566790,1277880.000,9418,1,TL,1,100,2024-12-25_15-57-39-561918
1735117064.681799,1282995.000,10264,1,TL,1,100,2024-12-25_15-57-39-596704
1735117064.728799,1283042.000,10267,1,TL,1,100,2024-12-25_15-57-44-712211
