RD,TS_received,TS_sent,AK,RoundTrip,
1057433,1057444,2024-12-25_15-53-59-126994,1057446,11,
1062571,1062592,2024-12-25_15-54-04-272602,1062595,21,
1067698,1067710,2024-12-25_15-54-09-389225,1067711,12,
1072823,1072833,2024-12-25_15-54-14-515926,1072835,10,
1077931,1077944,2024-12-25_15-54-19-622724,1077945,13,
1083060,1088184,2024-12-25_15-54-24-886191,1088188,5124,
1088193,1088203,2024-12-25_15-54-29-885010,1088209,10,
1093313,1093322,2024-12-25_15-54-35-003968,1093324,9,
1098429,1098440,2024-12-25_15-54-40-120504,1098441,11,
1103580,1103615,2024-12-25_15-54-45-297513,1103617,35,
1108702,1108715,2024-12-25_15-54-50-397126,1108720,13,
1113813,1113827,2024-12-25_15-54-55-507590,1113828,14,
1118921,1124030,2024-12-25_15-55-00-678940,1124032,5109,
1124039,1124100,2024-12-25_15-55-05-779365,1124104,61,
1129144,1129157,2024-12-25_15-55-10-836343,1129159,13,
1134276,1134304,2024-12-25_15-55-15-986027,1134306,28,
1139405,1139418,2024-12-25_15-55-21-100022,1139419,13,
1144557,1144635,2024-12-25_15-55-26-304823,1144637,78,
1149671,1149696,2024-12-25_15-55-31-369026,1149697,25,
1154807,1154824,2024-12-25_15-55-36-506241,1154826,17,
1159929,1159949,2024-12-25_15-55-41-626974,1159950,20,
1165063,1165081,2024-12-25_15-55-46-762667,1165082,18,
1170206,1170220,2024-12-25_15-55-51-897947,1170221,14,
1175334,1180455,2024-12-25_15-55-57-088960,1180460,5121,
1180467,1180478,2024-12-25_15-56-02-160510,1180480,11,
1185570,1185582,2024-12-25_15-56-07-264354,1185583,12,
1190674,1190687,2024-12-25_15-56-12-367387,1190688,13,
1196008,1196030,2024-12-25_15-56-17-711818,1196031,22,
1201117,1201131,2024-12-25_15-56-22-809153,1201133,14,
1206239,1206256,2024-12-25_15-56-27-935075,1206257,17,
1211371,1216477,2024-12-25_15-56-33-130280,1216478,5106,
1216485,1221605,2024-12-25_15-56-38-279506,1221606,5120,
1221609,1221627,2024-12-25_15-56-43-303882,1221629,18,
1226715,1226728,2024-12-25_15-56-48-407170,1226730,13,
1231823,1231839,2024-12-25_15-56-53-518484,1231841,16,
1236947,1236960,2024-12-25_15-56-58-640141,1236961,13,
1242061,1242080,2024-12-25_15-57-03-762104,1242082,19,
1247165,1247173,2024-12-25_15-57-08-857546,1247178,8,
1252306,1252321,2024-12-25_15-57-14-003242,1252327,15,
1257413,1257425,2024-12-25_15-57-19-104973,1257427,12,
1262521,1262544,2024-12-25_15-57-24-214400,1262545,23,
1267652,1267664,2024-12-25_15-57-29-345363,1267665,12,
1272758,1272770,2024-12-25_15-57-34-451385,1272772,12,
1277867,1277880,2024-12-25_15-57-39-561918,1277881,13,
1282997,1283042,2024-12-25_15-57-44-712211,1283044,45,
1288129,1288157,2024-12-25_15-57-49-836889,1288159,28,
1293236,1293248,2024-12-25_15-57-54-928764,1293249,12,
1298381,1298393,2024-12-25_15-58-00-073838,1298394,12,
1303488,1303513,2024-12-25_15-58-05-188700,1303515,25,
1308633,1308660,2024-12-25_15-58-10-333044,1308661,27,
1313740,1313753,2024-12-25_15-58-15-432897,1313754,13,
1318878,1318889,2024-12-25_15-58-20-570980,1318891,11,
1323996,1324008,2024-12-25_15-58-25-689172,1324009,12,
1329105,1329119,2024-12-25_15-58-30-798282,1329120,14,
1334213,1334231,2024-12-25_15-58-35-909980,1334232,18,
1339343,1339357,2024-12-25_15-58-41-039099,1339359,14,
1344456,1344469,2024-12-25_15-58-46-150349,1344471,13,
1349565,1349634,2024-12-25_15-58-51-312070,1349635,69,
1354671,1354686,2024-12-25_15-58-56-365676,1354687,15,
1359788,1359801,2024-12-25_15-59-01-481488,1359802,13,
1364888,1364897,2024-12-25_15-59-06-579442,1364898,9,
1370000,1370048,2024-12-25_15-59-11-706418,1370052,48,
