LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1735117622.012110,155731.000,22672,2,AK,1,100,22670
1735117622.012110,155731.000,22672,2,AK,1,100,RD
1735117624.572612,158291.500,23505,2,AK,1,100,22670
1735117627.133115,160852.000,23505,2,AK,1,100,RD
1735117627.137115,160856.000,23508,2,AK,1,100,23506
1735117627.141115,160860.000,23508,2,AK,1,100,RD
1735117629.700618,163419.500,24334,2,AK,1,100,23506
1735117632.260120,165979.000,24334,2,AK,1,100,RD
1735117632.273120,165992.000,24337,2,AK,1,100,24335
1735117632.286120,166005.000,24337,2,AK,1,100,RD
1735117634.833123,168552.000,25108,2,AK,1,100,24335
1735117637.380126,171099.000,25108,2,AK,1,100,RD
1735117637.386626,171105.500,25111,2,AK,1,100,25109
1735117637.393126,171112.000,25111,2,AK,1,100,RD
1735117639.953129,173672.000,25952,2,AK,1,100,25109
1735117642.513131,176232.000,25952,2,AK,1,100,RD
1735117642.525631,176244.500,25955,2,AK,1,100,25953
1735117642.538131,176257.000,25955,2,AK,1,100,RD
1735117645.078634,178797.500,26784,2,AK,1,100,25953
1735117647.619137,181338.000,26784,2,AK,1,100,RD
1735117647.625637,181344.500,26787,2,AK,1,100,26785
1735117647.632137,181351.000,26787,2,AK,1,100,RD
1735117650.179639,183898.500,27627,2,AK,1,100,26785
1735117652.727142,186446.000,27627,2,AK,1,100,RD
1735117652.734142,186453.000,27630,2,AK,1,100,27628
1735117652.741142,186460.000,27630,2,AK,1,100,RD
1735117655.299145,189018.000,28479,2,AK,1,100,27628
1735117657.857147,191576.000,28479,2,AK,1,100,RD
1735117657.864147,191583.000,28482,2,AK,1,100,28480
1735117657.871147,191590.000,28482,2,AK,1,100,RD
1735117660.417650,194136.500,29316,2,AK,1,100,28480
1735117662.964153,196683.000,29316,2,AK,1,100,RD
1735117662.971653,196690.500,29319,2,AK,1,100,29317
1735117662.979153,196698.000,29319,2,AK,1,100,RD
1735117665.525655,199244.500,30151,2,AK,1,100,29317
1735117668.072158,201791.000,30151,2,AK,1,100,RD
1735117668.079158,201798.000,30154,2,AK,1,100,30152
1735117668.086158,201805.000,30154,2,AK,1,100,RD
1735117670.634161,204353.000,30989,2,AK,1,100,30152
1735117673.182163,206901.000,30989,2,AK,1,100,RD
1735117673.199663,206918.500,30992,2,AK,1,100,30990
1735117673.217163,206936.000,30992,2,AK,1,100,RD
1735117675.752666,209471.500,31830,2,AK,1,100,30990
1735117678.288169,212007.000,31830,2,AK,1,100,RD
1735117678.298669,212017.500,31833,2,AK,1,100,31831
1735117678.309169,212028.000,31833,2,AK,1,100,RD
1735117680.864671,214583.500,32682,2,AK,1,100,31831
1735117683.420174,217139.000,32682,2,AK,1,100,RD
1735117683.426674,217145.500,32685,2,AK,1,100,32683
1735117683.433174,217152.000,32685,2,AK,1,100,RD
1735117685.983177,219702.000,33512,2,AK,1,100,32683
1735117688.533180,222252.000,33512,2,AK,1,100,RD
1735117688.540179,222259.000,33515,2,AK,1,100,33513
1735117688.547179,222266.000,33515,2,AK,1,100,RD
1735117691.097182,224816.000,34347,2,AK,1,100,33513
1735117693.647185,227366.000,34347,2,AK,1,100,RD
1735117693.653185,227372.000,34350,2,AK,1,100,34348
1735117693.659185,227378.000,34350,2,AK,1,100,RD
