LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
1735117619.913107,153632.000,22328,1,AY,1,100,-0.078
1735117619.953107,153672.000,22345,2,AY,1,100,-0.080
1735117619.993108,153712.000,22345,2,AY,1,100,-0.081
1735117620.033108,153752.000,22363,3,AY,1,100,-0.081
1735117620.073108,153792.000,22363,3,AY,1,100,-0.086
1735117620.113108,153832.000,22363,3,AY,1,100,-0.081
1735117620.153108,153872.000,22378,2,AY,1,100,-0.083
1735117620.193108,153912.000,22378,2,AY,1,100,-0.078
1735117620.233108,153952.000,22395,3,AY,1,100,-0.079
1735117620.273108,153992.000,22395,3,AY,1,100,-0.084
1735117620.313108,154032.000,22395,3,AY,1,100,-0.085
1735117620.353108,154072.000,22412,2,AY,1,100,-0.080
1735117620.393108,154112.000,22412,2,AY,1,100,-0.083
1735117620.433108,154152.000,22429,3,AY,1,100,-0.083
1735117620.473108,154192.000,22429,3,AY,1,100,-0.085
1735117620.513108,154232.000,22429,3,AY,1,100,-0.083
1735117620.553108,154272.000,22443,2,AY,1,100,-0.077
1735117620.593108,154312.000,22443,2,AY,1,100,-0.076
1735117620.633108,154352.000,22461,3,AY,1,100,-0.088
1735117620.673108,154392.000,22461,3,AY,1,100,-0.090
1735117620.713108,154432.000,22461,3,AY,1,100,-0.080
1735117620.753108,154472.000,22477,2,AY,1,100,-0.079
1735117620.793108,154512.000,22477,2,AY,1,100,-0.087
1735117620.832775,154551.667,22494,3,AY,1,100,-0.082
1735117620.872442,154591.333,22494,3,AY,1,100,-0.075
1735117620.912108,154631.000,22494,3,AY,1,100,-0.078
1735117620.952609,154671.500,22511,2,AY,1,100,-0.084
1735117620.993109,154712.000,22511,2,AY,1,100,-0.083
1735117621.032775,154751.667,22528,3,AY,1,100,-0.077
1735117621.072442,154791.333,22528,3,AY,1,100,-0.079
1735117621.112109,154831.000,22528,3,AY,1,100,-0.082
1735117621.147775,154866.667,22544,3,AY,1,100,-0.088
1735117621.183442,154902.333,22544,3,AY,1,100,-0.084
1735117621.219109,154938.000,22544,3,AY,1,100,-0.077
1735117621.259109,154978.000,22562,2,AY,1,100,-0.079
1735117621.299109,155018.000,22562,2,AY,1,100,-0.083
1735117621.338776,155057.667,22576,3,AY,1,100,-0.086
1735117621.378442,155097.333,22576,3,AY,1,100,-0.083
1735117621.418109,155137.000,22576,3,AY,1,100,-0.081
1735117621.458442,155177.333,22593,3,AY,1,100,-0.075
1735117621.498776,155217.667,22593,3,AY,1,100,-0.086
1735117621.539109,155258.000,22593,3,AY,1,100,-0.083
1735117621.578609,155297.500,22609,2,AY,1,100,-0.075
1735117621.618109,155337.000,22609,2,AY,1,100,-0.084
1735117621.658442,155377.333,22629,3,AY,1,100,-0.082
1735117621.698776,155417.667,22629,3,AY,1,100,-0.074
1735117621.739109,155458.000,22629,3,AY,1,100,-0.082
1735117621.779109,155498.000,22643,2,AY,1,100,-0.081
1735117621.819109,155538.000,22643,2,AY,1,100,-0.091
1735117621.858776,155577.667,22660,3,AY,1,100,-0.080
1735117621.898443,155617.333,22660,3,AY,1,100,-0.079
1735117621.938110,155657.000,22660,3,AY,1,100,-0.082
1735117621.978110,155697.000,22682,3,AY,1,100,-0.087
1735117622.018110,155737.000,22682,3,AY,1,100,-0.081
1735117622.058110,155777.000,22682,3,AY,1,100,-0.083
1735117622.098610,155817.500,22699,2,AY,1,100,-0.082
1735117622.139110,155858.000,22699,2,AY,1,100,-0.083
1735117622.179110,155898.000,22715,3,AY,1,100,-0.081
1735117622.219110,155938.000,22715,3,AY,1,100,-0.081
1735117622.259110,155978.000,22715,3,AY,1,100,-0.084
1735117622.294443,156013.333,22731,3,AY,1,100,-0.083
1735117622.329777,156048.667,22731,3,AY,1,100,-0.079
1735117622.365110,156084.000,22731,3,AY,1,100,-0.083
1735117622.405110,156124.000,22747,2,AY,1,100,-0.080
1735117622.445110,156164.000,22747,2,AY,1,100,-0.081
1735117622.485110,156204.000,22764,3,AY,1,100,-0.086
1735117622.525110,156244.000,22764,3,AY,1,100,-0.087
1735117622.565110,156284.000,22764,3,AY,1,100,-0.083
1735117622.605110,156324.000,22781,2,AY,1,100,-0.083
1735117622.645110,156364.000,22781,2,AY,1,100,-0.081
1735117622.685110,156404.000,22796,3,AY,1,100,-0.085
1735117622.725110,156444.000,22796,3,AY,1,100,-0.087
1735117622.765110,156484.000,22796,3,AY,1,100,-0.084
1735117622.805110,156524.000,22812,2,AY,1,100,-0.084
1735117622.845110,156564.000,22812,2,AY,1,100,-0.090
1735117622.885111,156604.000,22831,3,AY,1,100,-0.087
1735117622.925111,156644.000,22831,3,AY,1,100,-0.081
1735117622.965111,156684.000,22831,3,AY,1,100,-0.096
1735117623.005111,156724.000,22848,2,AY,1,100,-0.100
1735117623.045111,156764.000,22848,2,AY,1,100,-0.082
1735117623.085111,156804.000,22863,3,AY,1,100,-0.089
1735117623.125111,156844.000,22863,3,AY,1,100,-0.086
1735117623.165111,156884.000,22863,3,AY,1,100,-0.092
1735117623.205111,156924.000,22879,2,AY,1,100,-0.089
1735117623.245111,156964.000,22879,2,AY,1,100,-0.085
1735117623.285111,157004.000,22897,3,AY,1,100,-0.091
1735117623.325111,157044.000,22897,3,AY,1,100,-0.087
1735117623.365111,157084.000,22897,3,AY,1,100,-0.087
1735117623.400778,157119.667,22913,3,AY,1,100,-0.088
1735117623.436445,157155.333,22913,3,AY,1,100,-0.090
1735117623.472111,157191.000,22913,3,AY,1,100,-0.088
1735117623.512111,157231.000,22929,2,AY,1,100,-0.086
1735117623.552111,157271.000,22929,2,AY,1,100,-0.091
1735117623.592111,157311.000,22945,3,AY,1,100,-0.090
1735117623.632111,157351.000,22945,3,AY,1,100,-0.087
1735117623.672111,157391.000,22945,3,AY,1,100,-0.090
