LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1735117621.957110,155676.000,22669,1,B%,1,100,87
1735117626.957115,160676.000,23486,1,B%,1,100,87
1735117631.956120,165675.000,24301,1,B%,1,100,87
1735117636.956125,170675.000,25056,1,B%,1,100,87
1735117641.955131,175674.000,25868,1,B%,1,100,87
1735117646.955136,180674.000,26698,1,B%,1,100,86
1735117651.954141,185673.000,27522,1,B%,1,100,86
1735117656.954146,190673.000,28345,1,B%,1,100,86
1735117661.953151,195672.000,29163,1,B%,1,100,85
1735117666.953157,200672.000,29985,1,B%,1,100,85
1735117671.952162,205671.000,30821,1,B%,1,100,85
1735117676.952167,210671.000,31626,1,B%,1,100,85
1735117681.951173,215670.000,32448,1,B%,1,100,85
1735117686.951178,220670.000,33276,1,B%,1,100,86
1735117691.950183,225669.000,34081,1,B%,1,100,85
1735117696.950188,230669.000,34900,1,B%,1,100,85
1735117701.949193,235668.000,35718,1,B%,1,100,84
1735117706.949199,240668.000,36540,1,B%,1,100,85
1735117711.948204,245667.000,37326,1,B%,1,100,84
1735117716.948209,250667.000,38142,1,B%,1,100,85
1735117721.947215,255666.000,38964,1,B%,1,100,85
1735117726.947220,260666.000,39778,1,B%,1,100,85
1735117731.946225,265665.000,40579,1,B%,1,100,85
1735117736.946230,270665.000,41400,1,B%,1,100,85
1735117741.945235,275664.000,42218,1,B%,1,100,84
1735117746.945241,280664.000,43017,1,B%,1,100,85
1735117751.944246,285663.000,43831,1,B%,1,100,84
1735117756.944251,290663.000,44651,1,B%,1,100,84
1735117761.943257,295662.000,45443,1,B%,1,100,85
1735117766.943262,300662.000,46260,1,B%,1,100,84
1735117771.942267,305661.000,47081,1,B%,1,100,84
1735117776.942272,310661.000,47882,1,B%,1,100,85
1735117781.941278,315660.000,48694,1,B%,1,100,84
1735117786.941283,320660.000,49514,1,B%,1,100,84
1735117791.940288,325659.000,50312,1,B%,1,100,84
1735117796.940293,330659.000,51133,1,B%,1,100,84
1735117801.939299,335658.000,51956,1,B%,1,100,84
1735117806.939304,340658.000,52771,1,B%,1,100,84
1735117811.938309,345657.000,53579,1,B%,1,100,84
1735117816.938314,350657.000,54396,1,B%,1,100,85
1735117821.937320,355656.000,55199,1,B%,1,100,84
1735117826.937325,360656.000,56017,1,B%,1,100,84
1735117831.936330,365655.000,56834,1,B%,1,100,84
1735117836.936335,370655.000,57642,1,B%,1,100,84
1735117841.935341,375654.000,58462,1,B%,1,100,84
1735117846.935346,380654.000,59263,1,B%,1,100,83
1735117851.934351,385653.000,60067,1,B%,1,100,83
1735117856.934356,390653.000,60864,1,B%,1,100,84
1735117861.933362,395652.000,61662,1,B%,1,100,84
1735117866.933367,400652.000,62430,1,B%,1,100,83
1735117871.932372,405651.000,63252,1,B%,1,100,83
1735117876.932377,410651.000,64067,1,B%,1,100,83
1735117881.931383,415650.000,64885,1,B%,1,100,83
1735117886.931388,420650.000,152,1,B%,1,100,83
1735117891.930393,425649.000,970,1,B%,1,100,84
1735117896.930398,430649.000,1784,1,B%,1,100,83
1735117901.929404,435648.000,2602,1,B%,1,100,83
1735117906.929409,440648.000,3439,1,B%,1,100,82
1735117911.928414,445647.000,4259,1,B%,1,100,83
1735117916.928419,450647.000,5074,1,B%,1,100,84
1735117921.927425,455646.000,5896,1,B%,1,100,83
1735117926.927430,460646.000,6714,1,B%,1,100,82
1735117931.926435,465645.000,7528,1,B%,1,100,82
1735117936.926440,470645.000,8346,1,B%,1,100,83
1735117941.925446,475644.000,9164,1,B%,1,100,82
1735117946.925451,480644.000,9980,1,B%,1,100,83
1735117951.924456,485643.000,10818,1,B%,1,100,82
1735117956.924461,490643.000,11616,1,B%,1,100,83
1735117961.923466,495642.000,12450,1,B%,1,100,82
1735117966.923472,500642.000,13272,1,B%,1,100,82
1735117971.922477,505641.000,14093,1,B%,1,100,82
1735117976.922482,510641.000,14916,1,B%,1,100,82
1735117981.921488,515640.000,15731,1,B%,1,100,82
1735117986.921493,520640.000,16534,1,B%,1,100,83
1735117991.920498,525639.000,17349,1,B%,1,100,82
