LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1735117620.113108,153832,22354,1,BI,1,100,920
1735117620.992109,154711,22502,1,BI,1,100,880
1735117621.713109,155432,22618,1,BI,1,100,720
1735117622.912111,156631,22821,1,BI,1,100,1200
1735117624.205112,157924,23019,1,BI,1,100,1280
1735117625.045113,158764,23168,1,BI,1,100,840
1735117626.125114,159844,23334,1,BI,1,100,1080
1735117626.805115,160524,23452,1,BI,1,100,680
1735117628.818117,162537,23770,1,BI,1,100,2000
1735117629.698118,163417,23919,1,BI,1,100,880
1735117630.898119,164617,24117,1,BI,1,100,1200
1735117633.351121,167070,24520,1,BI,1,100,2440
1735117634.885123,168604,24767,1,BI,1,100,1520
1735117635.764124,169483,24853,1,BI,1,100,880
1735117637.124125,170843,25074,1,BI,1,100,1360
1735117637.804126,171523,25178,1,BI,1,100,680
1735117639.977129,173696,25539,1,BI,1,100,2160
1735117645.190134,178909,26382,1,BI,1,100,5200
1735117646.363135,180082,26580,1,BI,1,100,1160
1735117646.563135,180282,26615,1,BI,1,100,200
1735117647.883137,181602,26837,1,BI,1,100,1320
1735117648.843138,182562,26986,1,BI,1,100,960
1735117649.856139,183575,27152,1,BI,1,100,1000
1735117650.736140,184455,27303,1,BI,1,100,880
1735117651.336140,185055,27401,1,BI,1,100,600
1735117651.736141,185455,27469,1,BI,1,100,400
1735117652.136141,185855,27539,1,BI,1,100,400
1735117652.536142,186255,27607,1,BI,1,100,400
1735117653.389143,187108,27747,1,BI,1,100,840
1735117654.229143,187948,27879,1,BI,1,100,840
1735117654.549144,188268,27930,1,BI,1,100,320
1735117656.109145,189828,28193,1,BI,1,100,1560
1735117656.922146,190641,28325,1,BI,1,100,800
1735117657.482147,191201,28411,1,BI,1,100,560
1735117658.402148,192121,28568,1,BI,1,100,920
1735117659.442149,193161,28734,1,BI,1,100,1040
1735117660.162150,193881,28866,1,BI,1,100,720
1735117661.055151,194774,28998,1,BI,1,100,880
1735117662.135152,195854,29181,1,BI,1,100,1080
1735117662.855153,196574,29299,1,BI,1,100,720
1735117663.575153,197294,29419,1,BI,1,100,720
1735117664.748154,198467,29617,1,BI,1,100,1160
1735117665.388155,199107,29718,1,BI,1,100,640
1735117665.988156,199707,29816,1,BI,1,100,600
1735117666.828157,200547,29949,1,BI,1,100,840
1735117667.828158,201547,30117,1,BI,1,100,1000
1735117668.841159,202560,30288,1,BI,1,100,1000
1735117669.721160,203440,30436,1,BI,1,100,880
1735117670.281160,204000,30519,1,BI,1,100,560
1735117671.081161,204800,30652,1,BI,1,100,800
1735117672.054162,205773,30801,1,BI,1,100,960
1735117672.854163,206573,30938,1,BI,1,100,800
1735117673.694164,207413,31075,1,BI,1,100,840
1735117674.134164,207853,31143,1,BI,1,100,440
1735117675.254166,208973,31340,1,BI,1,100,1120
1735117675.867166,209586,31443,1,BI,1,100,600
1735117676.667167,210386,31558,1,BI,1,100,800
1735117677.227168,210946,31662,1,BI,1,100,560
1735117678.027169,211746,31796,1,BI,1,100,800
1735117679.160170,212879,31984,1,BI,1,100,1120
1735117680.560171,214279,32215,1,BI,1,100,1400
1735117681.400172,215119,32348,1,BI,1,100,840
1735117681.800172,215519,32415,1,BI,1,100,400
1735117682.853173,216572,32582,1,BI,1,100,1040
1735117683.613174,217332,32720,1,BI,1,100,760
1735117687.666178,221385,33376,1,BI,1,100,4040
1735117688.506180,222225,33516,1,BI,1,100,840
1735117690.519181,224238,33830,1,BI,1,100,2000
1735117691.639183,225358,34011,1,BI,1,100,1120
1735117692.599184,226318,34162,1,BI,1,100,960
1735117693.119184,226838,34263,1,BI,1,100,520
1735117694.092185,227811,34418,1,BI,1,100,960
1735117695.132186,228851,34584,1,BI,1,100,1040
1735117696.012187,229731,34733,1,BI,1,100,880
1735117696.852188,230571,34865,1,BI,1,100,840
1735117698.385190,232104,35114,1,BI,1,100,1520
1735117699.065191,232784,35220,1,BI,1,100,680
1735117700.185192,233904,35400,1,BI,1,100,1120
1735117701.358193,235077,35602,1,BI,1,100,1160
1735117702.318194,236037,35751,1,BI,1,100,960
1735117703.318195,237037,35917,1,BI,1,100,1000
1735117704.637196,238356,36138,1,BI,1,100,1320
1735117705.291197,239010,36239,1,BI,1,100,640
1735117705.691197,239410,36306,1,BI,1,100,400
1735117706.851199,240570,36504,1,BI,1,100,1160
1735117708.211200,241930,36704,1,BI,1,100,1360
