LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1735117621.957110,155676.000,22668,1,BV,1,100,3.97
1735117626.957115,160676.000,23485,1,BV,1,100,3.97
1735117631.956120,165675.000,24300,1,BV,1,100,3.97
1735117636.956125,170675.000,25055,1,BV,1,100,3.97
1735117641.955131,175674.000,25867,1,BV,1,100,3.97
1735117646.955136,180674.000,26697,1,BV,1,100,3.96
1735117651.954141,185673.000,27521,1,BV,1,100,3.96
1735117656.954146,190673.000,28344,1,BV,1,100,3.96
1735117661.953151,195672.000,29162,1,BV,1,100,3.96
1735117666.953157,200672.000,29984,1,BV,1,100,3.96
1735117671.952162,205671.000,30820,1,BV,1,100,3.96
1735117676.952167,210671.000,31625,1,BV,1,100,3.96
1735117681.951173,215670.000,32447,1,BV,1,100,3.96
1735117686.951178,220670.000,33275,1,BV,1,100,3.96
1735117691.950183,225669.000,34080,1,BV,1,100,3.95
1735117696.950188,230669.000,34899,1,BV,1,100,3.96
1735117701.949193,235668.000,35717,1,BV,1,100,3.95
1735117706.949199,240668.000,36539,1,BV,1,100,3.96
1735117711.948204,245667.000,37325,1,BV,1,100,3.95
1735117716.948209,250667.000,38141,1,BV,1,100,3.95
1735117721.947215,255666.000,38963,1,BV,1,100,3.96
1735117726.947220,260666.000,39777,1,BV,1,100,3.96
1735117731.946225,265665.000,40578,1,BV,1,100,3.95
1735117736.946230,270665.000,41399,1,BV,1,100,3.95
1735117741.945235,275664.000,42217,1,BV,1,100,3.95
1735117746.945241,280664.000,43016,1,BV,1,100,3.95
1735117751.944246,285663.000,43830,1,BV,1,100,3.95
1735117756.944251,290663.000,44650,1,BV,1,100,3.95
1735117761.943257,295662.000,45442,1,BV,1,100,3.96
1735117766.943262,300662.000,46259,1,BV,1,100,3.95
1735117771.942267,305661.000,47080,1,BV,1,100,3.95
1735117776.942272,310661.000,47881,1,BV,1,100,3.95
1735117781.941278,315660.000,48693,1,BV,1,100,3.95
1735117786.941283,320660.000,49513,1,BV,1,100,3.95
1735117791.940288,325659.000,50311,1,BV,1,100,3.95
1735117796.940293,330659.000,51132,1,BV,1,100,3.95
1735117801.939299,335658.000,51955,1,BV,1,100,3.95
1735117806.939304,340658.000,52770,1,BV,1,100,3.95
1735117811.938309,345657.000,53578,1,BV,1,100,3.95
1735117816.938314,350657.000,54395,1,BV,1,100,3.96
1735117821.937320,355656.000,55198,1,BV,1,100,3.95
1735117826.937325,360656.000,56016,1,BV,1,100,3.95
1735117831.936330,365655.000,56833,1,BV,1,100,3.95
1735117836.936335,370655.000,57641,1,BV,1,100,3.95
1735117841.935341,375654.000,58461,1,BV,1,100,3.95
1735117846.935346,380654.000,59262,1,BV,1,100,3.94
1735117851.934351,385653.000,60066,1,BV,1,100,3.95
1735117856.934356,390653.000,60863,1,BV,1,100,3.95
1735117861.933362,395652.000,61661,1,BV,1,100,3.95
1735117866.933367,400652.000,62429,1,BV,1,100,3.94
1735117871.932372,405651.000,63251,1,BV,1,100,3.94
1735117876.932377,410651.000,64066,1,BV,1,100,3.94
1735117881.931383,415650.000,64884,1,BV,1,100,3.94
1735117886.931388,420650.000,151,1,BV,1,100,3.94
1735117891.930393,425649.000,969,1,BV,1,100,3.95
1735117896.930398,430649.000,1783,1,BV,1,100,3.95
1735117901.929404,435648.000,2601,1,BV,1,100,3.94
1735117906.929409,440648.000,3438,1,BV,1,100,3.94
1735117911.928414,445647.000,4258,1,BV,1,100,3.94
1735117916.928419,450647.000,5073,1,BV,1,100,3.95
1735117921.927425,455646.000,5895,1,BV,1,100,3.94
1735117926.927430,460646.000,6713,1,BV,1,100,3.94
1735117931.926435,465645.000,7527,1,BV,1,100,3.94
1735117936.926440,470645.000,8345,1,BV,1,100,3.94
1735117941.925446,475644.000,9163,1,BV,1,100,3.94
1735117946.925451,480644.000,9979,1,BV,1,100,3.94
1735117951.924456,485643.000,10817,1,BV,1,100,3.94
1735117956.924461,490643.000,11615,1,BV,1,100,3.94
1735117961.923466,495642.000,12449,1,BV,1,100,3.94
1735117966.923472,500642.000,13271,1,BV,1,100,3.94
1735117971.922477,505641.000,14092,1,BV,1,100,3.93
1735117976.922482,510641.000,14915,1,BV,1,100,3.94
1735117981.921488,515640.000,15730,1,BV,1,100,3.93
1735117986.921493,520640.000,16533,1,BV,1,100,3.94
1735117991.920498,525639.000,17348,1,BV,1,100,3.94
