LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1735117619.991107,153710.000,22340,2,EA,1,100,2.917721
1735117619.991107,153710.000,22340,2,EA,1,100,2.916495
1735117620.058108,153777.000,22359,1,EA,1,100,2.916495
1735117620.124608,153843.500,22374,2,EA,1,100,2.914057
1735117620.191108,153910.000,22374,2,EA,1,100,2.914057
1735117620.258108,153977.000,22390,1,EA,1,100,2.914057
1735117620.324608,154043.500,22407,2,EA,1,100,2.912845
1735117620.391108,154110.000,22407,2,EA,1,100,2.912845
1735117620.458108,154177.000,22424,2,EA,1,100,2.912845
1735117620.525108,154244.000,22424,2,EA,1,100,2.911635
1735117620.591108,154310.000,22440,1,EA,1,100,2.910413
1735117620.658108,154377.000,22456,2,EA,1,100,2.907985
1735117620.725108,154444.000,22456,2,EA,1,100,2.909205
1735117620.791108,154510.000,22472,1,EA,1,100,2.907985
1735117620.858109,154577.000,22489,2,EA,1,100,2.907985
1735117620.925108,154644.000,22489,2,EA,1,100,2.906779
1735117620.991109,154710.000,22508,1,EA,1,100,2.905574
1735117621.058109,154777.000,22523,2,EA,1,100,2.906779
1735117621.125109,154844.000,22523,2,EA,1,100,2.906779
1735117621.191109,154910.000,22539,1,EA,1,100,2.905574
1735117621.258109,154977.000,22557,2,EA,1,100,2.904357
1735117621.325109,155044.000,22557,2,EA,1,100,2.900738
1735117621.391109,155110.000,22573,1,EA,1,100,2.900738
1735117621.457609,155176.500,22588,2,EA,1,100,2.900738
1735117621.524109,155243.000,22588,2,EA,1,100,2.900738
1735117621.591109,155310.000,22604,1,EA,1,100,2.900738
1735117621.658109,155377.000,22624,2,EA,1,100,2.900738
1735117621.725109,155444.000,22624,2,EA,1,100,2.898327
1735117621.791109,155510.000,22640,1,EA,1,100,2.898327
1735117621.857610,155576.500,22655,2,EA,1,100,2.900738
1735117621.924109,155643.000,22655,2,EA,1,100,2.894722
1735117621.991110,155710.000,22677,2,EA,1,100,2.895919
1735117622.058110,155777.000,22677,2,EA,1,100,2.897128
1735117622.124110,155843.000,22694,1,EA,1,100,2.900738
1735117622.191110,155910.000,22710,2,EA,1,100,2.900738
1735117622.258110,155977.000,22710,2,EA,1,100,2.900738
1735117622.324110,156043.000,22728,1,EA,1,100,2.901939
1735117622.391110,156110.000,22742,2,EA,1,100,2.906779
1735117622.458110,156177.000,22742,2,EA,1,100,2.907985
1735117622.524110,156243.000,22759,1,EA,1,100,2.911635
1735117622.591110,156310.000,22776,2,EA,1,100,2.914057
1735117622.658110,156377.000,22776,2,EA,1,100,2.918936
1735117622.725110,156444.000,22793,1,EA,1,100,2.918936
1735117622.791610,156510.500,22807,2,EA,1,100,2.922601
1735117622.858110,156577.000,22807,2,EA,1,100,2.925053
1735117622.924111,156643.000,22826,1,EA,1,100,2.925053
1735117622.991111,156710.000,22843,2,EA,1,100,2.928734
1735117623.058111,156777.000,22843,2,EA,1,100,2.931196
1735117623.124111,156843.000,22860,1,EA,1,100,2.931196
1735117623.191111,156910.000,22874,2,EA,1,100,2.931196
1735117623.258111,156977.000,22874,2,EA,1,100,2.931196
1735117623.324111,157043.000,22892,1,EA,1,100,2.931196
1735117623.391111,157110.000,22908,2,EA,1,100,2.931196
1735117623.458111,157177.000,22908,2,EA,1,100,2.932423
1735117623.524111,157243.000,22925,1,EA,1,100,2.929971
1735117623.591111,157310.000,22941,2,EA,1,100,2.929971
1735117623.658111,157377.000,22941,2,EA,1,100,2.925053
1735117623.724612,157443.500,22957,2,EA,1,100,2.925053
1735117623.791111,157510.000,22957,2,EA,1,100,2.925053
1735117623.858112,157577.000,22973,1,EA,1,100,2.923833
1735117623.924612,157643.500,22991,2,EA,1,100,2.925053
1735117623.991112,157710.000,22991,2,EA,1,100,2.921382
1735117624.058112,157777.000,23007,1,EA,1,100,2.920153
1735117624.124612,157843.500,23024,2,EA,1,100,2.918936
1735117624.191112,157910.000,23024,2,EA,1,100,2.915281
1735117624.257612,157976.500,23041,2,EA,1,100,2.914057
1735117624.324112,158043.000,23041,2,EA,1,100,2.912845
1735117624.391112,158110.000,23058,1,EA,1,100,2.911635
1735117624.457612,158176.500,23074,2,EA,1,100,2.911635
1735117624.524112,158243.000,23074,2,EA,1,100,2.907985
1735117624.591112,158310.000,23091,1,EA,1,100,2.907985
1735117624.657612,158376.500,23106,2,EA,1,100,2.906779
1735117624.724113,158443.000,23106,2,EA,1,100,2.906779
1735117624.791113,158510.000,23123,1,EA,1,100,2.906779
1735117624.857613,158576.500,23139,2,EA,1,100,2.906779
1735117624.924113,158643.000,23139,2,EA,1,100,2.906779
1735117624.991113,158710.000,23157,1,EA,1,100,2.904357
1735117625.057613,158776.500,23173,2,EA,1,100,2.904357
1735117625.124113,158843.000,23173,2,EA,1,100,2.905574
1735117625.191113,158910.000,23190,1,EA,1,100,2.903154
1735117625.257613,158976.500,23207,2,EA,1,100,2.904357
1735117625.324113,159043.000,23207,2,EA,1,100,2.903154
1735117625.391113,159110.000,23224,1,EA,1,100,2.900738
1735117625.457613,159176.500,23238,2,EA,1,100,2.900738
1735117625.524113,159243.000,23238,2,EA,1,100,2.900738
1735117625.591113,159310.000,23255,1,EA,1,100,2.899538
1735117625.657614,159376.500,23272,2,EA,1,100,2.900738
1735117625.724113,159443.000,23272,2,EA,1,100,2.900738
1735117625.791114,159510.000,23289,1,EA,1,100,2.900738
1735117625.857614,159576.500,23304,2,EA,1,100,2.895919
1735117625.924114,159643.000,23304,2,EA,1,100,2.894722
1735117625.991114,159710.000,23321,1,EA,1,100,2.894722
1735117626.057614,159776.500,23339,2,EA,1,100,2.892321
1735117626.124114,159843.000,23339,2,EA,1,100,2.888731
1735117626.191114,159910.000,23356,1,EA,1,100,2.888731
1735117626.257614,159976.500,23372,2,EA,1,100,2.888731
1735117626.324114,160043.000,23372,2,EA,1,100,2.885151
1735117626.390614,160109.500,23389,2,EA,1,100,2.882765
1735117626.457114,160176.000,23389,2,EA,1,100,2.883952
1735117626.524114,160243.000,23404,1,EA,1,100,2.882765
1735117626.590615,160309.500,23422,2,EA,1,100,2.882765
1735117626.657115,160376.000,23422,2,EA,1,100,2.882765
1735117626.724115,160443.000,23438,2,EA,1,100,2.881580
1735117626.791115,160510.000,23438,2,EA,1,100,2.879200
1735117626.857115,160576.000,23457,1,EA,1,100,2.878005
1735117626.924115,160643.000,23472,2,EA,1,100,2.876824
1735117626.991115,160710.000,23472,2,EA,1,100,2.876824
1735117627.057115,160776.000,23491,1,EA,1,100,2.876824
1735117627.124115,160843.000,23512,2,EA,1,100,2.876824
1735117627.191115,160910.000,23512,2,EA,1,100,2.875643
1735117627.257115,160976.000,23529,1,EA,1,100,2.873273
1735117627.324115,161043.000,23544,2,EA,1,100,2.870907
1735117627.391115,161110.000,23544,2,EA,1,100,2.873273
1735117627.457115,161176.000,23561,1,EA,1,100,2.872083
1735117627.524115,161243.000,23577,2,EA,1,100,2.870907
1735117627.591115,161310.000,23577,2,EA,1,100,2.870907
1735117627.657115,161376.000,23595,1,EA,1,100,2.872083
1735117627.724116,161443.000,23609,2,EA,1,100,2.870907
1735117627.791116,161510.000,23609,2,EA,1,100,2.872083
1735117627.857116,161576.000,23626,1,EA,1,100,2.870907
1735117627.923616,161642.500,23643,2,EA,1,100,2.870907
1735117627.990116,161709.000,23643,2,EA,1,100,2.870907
1735117628.057116,161776.000,23660,1,EA,1,100,2.870907
1735117628.124116,161843.000,23674,2,EA,1,100,2.870907
1735117628.191116,161910.000,23674,2,EA,1,100,2.870907
1735117628.257116,161976.000,23691,1,EA,1,100,2.870907
1735117628.323616,162042.500,23708,2,EA,1,100,2.870907
1735117628.390116,162109.000,23708,2,EA,1,100,2.872083
1735117628.457116,162176.000,23725,1,EA,1,100,2.870907
1735117628.523617,162242.500,23739,2,EA,1,100,2.873273
1735117628.590117,162309.000,23739,2,EA,1,100,2.870907
1735117628.657117,162376.000,23757,2,EA,1,100,2.873273
1735117628.724117,162443.000,23757,2,EA,1,100,2.876824
1735117628.790117,162509.000,23775,1,EA,1,100,2.876824
1735117628.857117,162576.000,23792,2,EA,1,100,2.876824
1735117628.924117,162643.000,23792,2,EA,1,100,2.873273
1735117628.990117,162709.000,23809,1,EA,1,100,2.870907
1735117629.057117,162776.000,23824,2,EA,1,100,2.872083
1735117629.124117,162843.000,23824,2,EA,1,100,2.870907
1735117629.190117,162909.000,23840,1,EA,1,100,2.872083
1735117629.257117,162976.000,23858,2,EA,1,100,2.870907
1735117629.324117,163043.000,23858,2,EA,1,100,2.870907
1735117629.391117,163110.000,23874,1,EA,1,100,2.870907
1735117629.457618,163176.500,23889,2,EA,1,100,2.867370
1735117629.524117,163243.000,23889,2,EA,1,100,2.866186
1735117629.590118,163309.000,23905,1,EA,1,100,2.865014
1735117629.657118,163376.000,23925,2,EA,1,100,2.865014
1735117629.724118,163443.000,23925,2,EA,1,100,2.863843
1735117629.790118,163509.000,23941,1,EA,1,100,2.863843
1735117629.857118,163576.000,23957,2,EA,1,100,2.859145
1735117629.924118,163643.000,23957,2,EA,1,100,2.859145
1735117629.990618,163709.500,23973,2,EA,1,100,2.859145
1735117630.057118,163776.000,23973,2,EA,1,100,2.857979
1735117630.124118,163843.000,23990,1,EA,1,100,2.854463
1735117630.190618,163909.500,24006,2,EA,1,100,2.853300
1735117630.257118,163976.000,24006,2,EA,1,100,2.853300
1735117630.324118,164043.000,24024,1,EA,1,100,2.850967
1735117630.390618,164109.500,24038,2,EA,1,100,2.849808
1735117630.457119,164176.000,24038,2,EA,1,100,2.849808
1735117630.524119,164243.000,24055,1,EA,1,100,2.847480
1735117630.590619,164309.500,24072,2,EA,1,100,2.847480
1735117630.657119,164376.000,24072,2,EA,1,100,2.847480
1735117630.724119,164443.000,24089,1,EA,1,100,2.846323
1735117630.790619,164509.500,24103,2,EA,1,100,2.845156
1735117630.857119,164576.000,24103,2,EA,1,100,2.841682
1735117630.924119,164643.000,24122,1,EA,1,100,2.841682
1735117630.990619,164709.500,24139,2,EA,1,100,2.844001
1735117631.057119,164776.000,24139,2,EA,1,100,2.842835
1735117631.124119,164843.000,24156,1,EA,1,100,2.841682
1735117631.190619,164909.500,24171,2,EA,1,100,2.841682
1735117631.257119,164976.000,24171,2,EA,1,100,2.837057
1735117631.323619,165042.500,24188,2,EA,1,100,2.837057
1735117631.390120,165109.000,24188,2,EA,1,100,2.835909
1735117631.457119,165176.000,24204,1,EA,1,100,2.835909
1735117631.523620,165242.500,24221,2,EA,1,100,2.835909
1735117631.590120,165309.000,24221,2,EA,1,100,2.834761
1735117631.657120,165376.000,24238,1,EA,1,100,2.832458
1735117631.723620,165442.500,24253,2,EA,1,100,2.833604
1735117631.790120,165509.000,24253,2,EA,1,100,2.832458
1735117631.857120,165576.000,24269,1,EA,1,100,2.830158
1735117631.923620,165642.500,24287,2,EA,1,100,2.830158
1735117631.990120,165709.000,24287,2,EA,1,100,2.835909
1735117632.057120,165776.000,24305,1,EA,1,100,2.894722
1735117632.123620,165842.500,24320,2,EA,1,100,2.939842
