LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1735117619.991107,153710.000,22341,2,EL,1,100,-19130.800781
1735117619.991107,153710.000,22341,2,EL,1,100,-19130.599609
1735117620.058108,153777.000,22360,1,EL,1,100,-19130.599609
1735117620.124608,153843.500,22375,2,EL,1,100,-19130.199219
1735117620.191108,153910.000,22375,2,EL,1,100,-19130.199219
1735117620.258108,153977.000,22391,1,EL,1,100,-19130.199219
1735117620.324608,154043.500,22408,2,EL,1,100,-19130.000000
1735117620.391108,154110.000,22408,2,EL,1,100,-19130.000000
1735117620.458108,154177.000,22425,2,EL,1,100,-19130.000000
1735117620.525108,154244.000,22425,2,EL,1,100,-19129.800781
1735117620.591108,154310.000,22441,1,EL,1,100,-19129.599609
1735117620.658108,154377.000,22457,2,EL,1,100,-19129.199219
1735117620.725108,154444.000,22457,2,EL,1,100,-19129.400391
1735117620.791108,154510.000,22473,1,EL,1,100,-19129.199219
1735117620.858109,154577.000,22490,2,EL,1,100,-19129.199219
1735117620.925108,154644.000,22490,2,EL,1,100,-19129.000000
1735117620.991109,154710.000,22509,1,EL,1,100,-19128.800781
1735117621.058109,154777.000,22524,2,EL,1,100,-19129.000000
1735117621.125109,154844.000,22524,2,EL,1,100,-19129.000000
1735117621.191109,154910.000,22540,1,EL,1,100,-19128.800781
1735117621.258109,154977.000,22558,2,EL,1,100,-19128.599609
1735117621.325109,155044.000,22558,2,EL,1,100,-19128.000000
1735117621.391109,155110.000,22574,1,EL,1,100,-19128.000000
1735117621.457609,155176.500,22589,2,EL,1,100,-19128.000000
1735117621.524109,155243.000,22589,2,EL,1,100,-19128.000000
1735117621.591109,155310.000,22605,1,EL,1,100,-19128.000000
1735117621.658109,155377.000,22625,2,EL,1,100,-19128.000000
1735117621.725109,155444.000,22625,2,EL,1,100,-19127.599609
1735117621.791109,155510.000,22641,1,EL,1,100,-19127.599609
1735117621.857610,155576.500,22656,2,EL,1,100,-19128.000000
1735117621.924109,155643.000,22656,2,EL,1,100,-19127.000000
1735117621.991110,155710.000,22678,2,EL,1,100,-19127.199219
1735117622.058110,155777.000,22678,2,EL,1,100,-19127.400391
1735117622.124110,155843.000,22695,1,EL,1,100,-19128.000000
1735117622.191110,155910.000,22711,2,EL,1,100,-19128.000000
1735117622.258110,155977.000,22711,2,EL,1,100,-19128.000000
1735117622.324110,156043.000,22729,1,EL,1,100,-19128.199219
1735117622.391110,156110.000,22743,2,EL,1,100,-19129.000000
1735117622.458110,156177.000,22743,2,EL,1,100,-19129.199219
1735117622.524110,156243.000,22760,1,EL,1,100,-19129.800781
1735117622.591110,156310.000,22777,2,EL,1,100,-19130.199219
1735117622.658110,156377.000,22777,2,EL,1,100,-19131.000000
1735117622.725110,156444.000,22794,1,EL,1,100,-19131.000000
1735117622.791610,156510.500,22808,2,EL,1,100,-19131.599609
1735117622.858110,156577.000,22808,2,EL,1,100,-19132.000000
1735117622.924111,156643.000,22827,1,EL,1,100,-19132.000000
1735117622.991111,156710.000,22844,2,EL,1,100,-19132.599609
1735117623.058111,156777.000,22844,2,EL,1,100,-19133.000000
1735117623.124111,156843.000,22861,1,EL,1,100,-19133.000000
1735117623.191111,156910.000,22875,2,EL,1,100,-19133.000000
1735117623.258111,156977.000,22875,2,EL,1,100,-19133.000000
1735117623.324111,157043.000,22893,1,EL,1,100,-19133.000000
1735117623.391111,157110.000,22909,2,EL,1,100,-19133.000000
1735117623.458111,157177.000,22909,2,EL,1,100,-19133.199219
1735117623.524111,157243.000,22926,1,EL,1,100,-19132.800781
1735117623.591111,157310.000,22942,2,EL,1,100,-19132.800781
1735117623.658111,157377.000,22942,2,EL,1,100,-19132.000000
1735117623.724612,157443.500,22958,2,EL,1,100,-19132.000000
1735117623.791111,157510.000,22958,2,EL,1,100,-19132.000000
1735117623.858112,157577.000,22974,1,EL,1,100,-19131.800781
1735117623.924612,157643.500,22992,2,EL,1,100,-19132.000000
1735117623.991112,157710.000,22992,2,EL,1,100,-19131.400391
1735117624.058112,157777.000,23008,1,EL,1,100,-19131.199219
1735117624.124612,157843.500,23025,2,EL,1,100,-19131.000000
1735117624.191112,157910.000,23025,2,EL,1,100,-19130.400391
1735117624.257612,157976.500,23042,2,EL,1,100,-19130.199219
1735117624.324112,158043.000,23042,2,EL,1,100,-19130.000000
1735117624.391112,158110.000,23059,1,EL,1,100,-19129.800781
1735117624.457612,158176.500,23075,2,EL,1,100,-19129.800781
1735117624.524112,158243.000,23075,2,EL,1,100,-19129.199219
1735117624.591112,158310.000,23092,1,EL,1,100,-19129.199219
1735117624.657612,158376.500,23107,2,EL,1,100,-19129.000000
1735117624.724113,158443.000,23107,2,EL,1,100,-19129.000000
1735117624.791113,158510.000,23124,1,EL,1,100,-19129.000000
1735117624.857613,158576.500,23140,2,EL,1,100,-19129.000000
1735117624.924113,158643.000,23140,2,EL,1,100,-19129.000000
1735117624.991113,158710.000,23158,1,EL,1,100,-19128.599609
1735117625.057613,158776.500,23174,2,EL,1,100,-19128.599609
1735117625.124113,158843.000,23174,2,EL,1,100,-19128.800781
1735117625.191113,158910.000,23191,1,EL,1,100,-19128.400391
1735117625.257613,158976.500,23208,2,EL,1,100,-19128.599609
1735117625.324113,159043.000,23208,2,EL,1,100,-19128.400391
1735117625.391113,159110.000,23225,1,EL,1,100,-19128.000000
1735117625.457613,159176.500,23239,2,EL,1,100,-19128.000000
1735117625.524113,159243.000,23239,2,EL,1,100,-19128.000000
1735117625.591113,159310.000,23256,1,EL,1,100,-19127.800781
1735117625.657614,159376.500,23273,2,EL,1,100,-19128.000000
1735117625.724113,159443.000,23273,2,EL,1,100,-19128.000000
1735117625.791114,159510.000,23290,1,EL,1,100,-19128.000000
1735117625.857614,159576.500,23305,2,EL,1,100,-19127.199219
1735117625.924114,159643.000,23305,2,EL,1,100,-19127.000000
1735117625.991114,159710.000,23322,1,EL,1,100,-19127.000000
1735117626.057614,159776.500,23340,2,EL,1,100,-19126.599609
1735117626.124114,159843.000,23340,2,EL,1,100,-19126.000000
1735117626.191114,159910.000,23357,1,EL,1,100,-19126.000000
1735117626.257614,159976.500,23373,2,EL,1,100,-19126.000000
1735117626.324114,160043.000,23373,2,EL,1,100,-19125.400391
1735117626.390614,160109.500,23390,2,EL,1,100,-19125.000000
1735117626.457114,160176.000,23390,2,EL,1,100,-19125.199219
1735117626.524114,160243.000,23405,1,EL,1,100,-19125.000000
1735117626.590615,160309.500,23423,2,EL,1,100,-19125.000000
1735117626.657115,160376.000,23423,2,EL,1,100,-19125.000000
1735117626.724115,160443.000,23439,2,EL,1,100,-19124.800781
1735117626.791115,160510.000,23439,2,EL,1,100,-19124.400391
1735117626.857115,160576.000,23458,1,EL,1,100,-19124.199219
1735117626.924115,160643.000,23473,2,EL,1,100,-19124.000000
1735117626.991115,160710.000,23473,2,EL,1,100,-19124.000000
1735117627.057115,160776.000,23492,1,EL,1,100,-19124.000000
1735117627.124115,160843.000,23513,2,EL,1,100,-19124.000000
1735117627.191115,160910.000,23513,2,EL,1,100,-19123.800781
1735117627.257115,160976.000,23530,1,EL,1,100,-19123.400391
1735117627.324115,161043.000,23545,2,EL,1,100,-19123.000000
1735117627.391115,161110.000,23545,2,EL,1,100,-19123.400391
1735117627.457115,161176.000,23562,1,EL,1,100,-19123.199219
1735117627.524115,161243.000,23578,2,EL,1,100,-19123.000000
1735117627.591115,161310.000,23578,2,EL,1,100,-19123.000000
1735117627.657115,161376.000,23596,1,EL,1,100,-19123.199219
1735117627.724116,161443.000,23610,2,EL,1,100,-19123.000000
1735117627.791116,161510.000,23610,2,EL,1,100,-19123.199219
1735117627.857116,161576.000,23627,1,EL,1,100,-19123.000000
1735117627.923616,161642.500,23644,2,EL,1,100,-19123.000000
1735117627.990116,161709.000,23644,2,EL,1,100,-19123.000000
1735117628.057116,161776.000,23661,1,EL,1,100,-19123.000000
1735117628.124116,161843.000,23675,2,EL,1,100,-19123.000000
1735117628.191116,161910.000,23675,2,EL,1,100,-19123.000000
1735117628.257116,161976.000,23692,1,EL,1,100,-19123.000000
1735117628.323616,162042.500,23709,2,EL,1,100,-19123.000000
1735117628.390116,162109.000,23709,2,EL,1,100,-19123.199219
1735117628.457116,162176.000,23726,1,EL,1,100,-19123.000000
1735117628.523617,162242.500,23740,2,EL,1,100,-19123.400391
1735117628.590117,162309.000,23740,2,EL,1,100,-19123.000000
1735117628.657117,162376.000,23758,2,EL,1,100,-19123.400391
1735117628.724117,162443.000,23758,2,EL,1,100,-19124.000000
1735117628.790117,162509.000,23776,1,EL,1,100,-19124.000000
1735117628.857117,162576.000,23793,2,EL,1,100,-19124.000000
1735117628.924117,162643.000,23793,2,EL,1,100,-19123.400391
1735117628.990117,162709.000,23810,1,EL,1,100,-19123.000000
1735117629.057117,162776.000,23825,2,EL,1,100,-19123.199219
1735117629.124117,162843.000,23825,2,EL,1,100,-19123.000000
1735117629.190117,162909.000,23841,1,EL,1,100,-19123.199219
1735117629.257117,162976.000,23859,2,EL,1,100,-19123.000000
1735117629.324117,163043.000,23859,2,EL,1,100,-19123.000000
1735117629.391117,163110.000,23875,1,EL,1,100,-19123.000000
1735117629.457618,163176.500,23890,2,EL,1,100,-19122.400391
1735117629.524117,163243.000,23890,2,EL,1,100,-19122.199219
1735117629.590118,163309.000,23906,1,EL,1,100,-19122.000000
1735117629.657118,163376.000,23926,2,EL,1,100,-19122.000000
1735117629.724118,163443.000,23926,2,EL,1,100,-19121.800781
1735117629.790118,163509.000,23942,1,EL,1,100,-19121.800781
1735117629.857118,163576.000,23958,2,EL,1,100,-19121.000000
1735117629.924118,163643.000,23958,2,EL,1,100,-19121.000000
1735117629.990618,163709.500,23974,2,EL,1,100,-19121.000000
1735117630.057118,163776.000,23974,2,EL,1,100,-19120.800781
1735117630.124118,163843.000,23991,1,EL,1,100,-19120.199219
1735117630.190618,163909.500,24007,2,EL,1,100,-19120.000000
