LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1735117619.916107,153635.000,22323,4,EM,1,100,RS
1735117619.916107,153635.000,22323,4,EM,1,100,RB
1735117619.916107,153635.000,22323,4,EM,1,100,2024-12-25_16-06-59-397187.csv
1735117619.916107,153635.000,22323,4,EM,1,100,PS
1735117619.966608,153685.500,22353,4,EM,1,100,RS
1735117620.017107,153736.000,22353,4,EM,1,100,RB
1735117620.067608,153786.500,22353,4,EM,1,100,2024-12-25_16-06-59-397187.csv
1735117620.118108,153837.000,22353,4,EM,1,100,PS
1735117620.168108,153887.000,22386,4,EM,1,100,RS
1735117620.218108,153937.000,22386,4,EM,1,100,RB
1735117620.268108,153987.000,22386,4,EM,1,100,2024-12-25_16-06-59-397187.csv
1735117620.318108,154037.000,22386,4,EM,1,100,PS
1735117620.368358,154087.250,22420,4,EM,1,100,RS
1735117620.418608,154137.500,22420,4,EM,1,100,RB
1735117620.468858,154187.750,22420,4,EM,1,100,2024-12-25_16-06-59-397187.csv
1735117620.519108,154238.000,22420,4,EM,1,100,PS
1735117620.569358,154288.250,22451,4,EM,1,100,RS
1735117620.619608,154338.500,22451,4,EM,1,100,RB
1735117620.669858,154388.750,22451,4,EM,1,100,2024-12-25_16-06-59-397187.csv
1735117620.720108,154439.000,22451,4,EM,1,100,PS
1735117620.770358,154489.250,22485,4,EM,1,100,RS
1735117620.820608,154539.500,22485,4,EM,1,100,RB
1735117620.870858,154589.750,22485,4,EM,1,100,2024-12-25_16-06-59-397187.csv
1735117620.921108,154640.000,22485,4,EM,1,100,PS
1735117620.971359,154690.250,22519,4,EM,1,100,RS
1735117621.021609,154740.500,22519,4,EM,1,100,RB
1735117621.071859,154790.750,22519,4,EM,1,100,2024-12-25_16-06-59-397187.csv
1735117621.122109,154841.000,22519,4,EM,1,100,PS
1735117621.172359,154891.250,22552,4,EM,1,100,RS
1735117621.222609,154941.500,22552,4,EM,1,100,RB
1735117621.272859,154991.750,22552,4,EM,1,100,2024-12-25_16-06-59-397187.csv
1735117621.323109,155042.000,22552,4,EM,1,100,PS
1735117621.373859,155092.750,22584,4,EM,1,100,RS
1735117621.424609,155143.500,22584,4,EM,1,100,RB
1735117621.475359,155194.250,22584,4,EM,1,100,2024-12-25_16-06-59-397187.csv
1735117621.526109,155245.000,22584,4,EM,1,100,PS
1735117621.576359,155295.250,22617,4,EM,1,100,RS
1735117621.626609,155345.500,22617,4,EM,1,100,RB
1735117621.676859,155395.750,22617,4,EM,1,100,2024-12-25_16-06-59-397187.csv
1735117621.727109,155446.000,22617,4,EM,1,100,PS
1735117621.785609,155504.500,22651,4,EM,1,100,RS
1735117621.844110,155563.000,22651,4,EM,1,100,RB
1735117621.902610,155621.500,22651,4,EM,1,100,2024-12-25_16-06-59-397187.csv
1735117621.961110,155680.000,22651,4,EM,1,100,PS
1735117622.011110,155730.000,22690,4,EM,1,100,RS
1735117622.061110,155780.000,22690,4,EM,1,100,RB
1735117622.111110,155830.000,22690,4,EM,1,100,2024-12-25_16-06-59-397187.csv
1735117622.161110,155880.000,22690,4,EM,1,100,PS
1735117622.211360,155930.250,22723,4,EM,1,100,RS
1735117622.261610,155980.500,22723,4,EM,1,100,RB
1735117622.311860,156030.750,22723,4,EM,1,100,2024-12-25_16-06-59-397187.csv
1735117622.362110,156081.000,22723,4,EM,1,100,PS
1735117622.412360,156131.250,22755,4,EM,1,100,RS
1735117622.462610,156181.500,22755,4,EM,1,100,RB
1735117622.512860,156231.750,22755,4,EM,1,100,2024-12-25_16-06-59-397187.csv
