LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1735117620.113108,153832,22355,1,HR,1,100,63
1735117620.992109,154711,22503,1,HR,1,100,64
1735117621.713109,155432,22619,1,HR,1,100,69
1735117622.912111,156631,22822,1,HR,1,100,64
1735117624.205112,157924,23020,1,HR,1,100,61
1735117625.045113,158764,23169,1,HR,1,100,63
1735117626.125114,159844,23335,1,HR,1,100,61
1735117626.805115,160524,23453,1,HR,1,100,67
1735117628.818117,162537,23771,1,HR,1,100,59
1735117629.698118,163417,23920,1,HR,1,100,61
1735117630.898119,164617,24118,1,HR,1,100,59
1735117633.351121,167070,24521,1,HR,1,100,51
1735117634.885123,168604,24768,1,HR,1,100,48
1735117635.764124,169483,24854,1,HR,1,100,53
1735117637.124125,170843,25075,1,HR,1,100,51
1735117637.804126,171523,25179,1,HR,1,100,59
1735117639.977129,173696,25540,1,HR,1,100,52
1735117645.190134,178909,26383,1,HR,1,100,43
1735117646.363135,180082,26581,1,HR,1,100,45
1735117646.563135,180282,26616,1,HR,1,100,102
1735117647.883137,181602,26838,1,HR,1,100,89
1735117648.843138,182562,26987,1,HR,1,100,83
1735117649.856139,183575,27153,1,HR,1,100,78
1735117650.736140,184455,27304,1,HR,1,100,76
1735117651.336140,185055,27402,1,HR,1,100,81
1735117651.736141,185455,27470,1,HR,1,100,97
1735117652.136141,185855,27540,1,HR,1,100,108
1735117652.536142,186255,27608,1,HR,1,100,118
1735117653.389143,187108,27748,1,HR,1,100,107
1735117654.229143,187948,27880,1,HR,1,100,99
1735117654.549144,188268,27931,1,HR,1,100,119
1735117656.109145,189828,28194,1,HR,1,100,101
1735117656.922146,190641,28326,1,HR,1,100,95
1735117657.482147,191201,28412,1,HR,1,100,98
1735117658.402148,192121,28569,1,HR,1,100,91
1735117659.442149,193161,28735,1,HR,1,100,83
1735117660.162150,193881,28867,1,HR,1,100,83
1735117661.055151,194774,28999,1,HR,1,100,80
1735117662.135152,195854,29182,1,HR,1,100,75
1735117662.855153,196574,29300,1,HR,1,100,76
1735117663.575153,197294,29420,1,HR,1,100,78
1735117664.748154,198467,29618,1,HR,1,100,72
1735117665.388155,199107,29719,1,HR,1,100,77
1735117665.988156,199707,29817,1,HR,1,100,82
1735117666.828157,200547,29950,1,HR,1,100,80
1735117667.828158,201547,30118,1,HR,1,100,75
1735117668.841159,202560,30289,1,HR,1,100,72
1735117669.721160,203440,30437,1,HR,1,100,71
1735117670.281160,204000,30520,1,HR,1,100,79
1735117671.081161,204800,30653,1,HR,1,100,78
1735117672.054162,205773,30802,1,HR,1,100,75
1735117672.854163,206573,30939,1,HR,1,100,75
1735117673.694164,207413,31076,1,HR,1,100,74
1735117674.134164,207853,31144,1,HR,1,100,88
1735117675.254166,208973,31341,1,HR,1,100,80
1735117675.867166,209586,31444,1,HR,1,100,85
1735117676.667167,210386,31559,1,HR,1,100,83
1735117677.227168,210946,31663,1,HR,1,100,88
1735117678.027169,211746,31797,1,HR,1,100,85
1735117679.160170,212879,31985,1,HR,1,100,78
1735117680.560171,214279,32216,1,HR,1,100,70
1735117681.400172,215119,32349,1,HR,1,100,71
1735117681.800172,215519,32416,1,HR,1,100,88
1735117682.853173,216572,32583,1,HR,1,100,81
1735117683.613174,217332,32721,1,HR,1,100,81
1735117687.666178,221385,33377,1,HR,1,100,66
1735117688.506180,222225,33517,1,HR,1,100,67
1735117690.519181,224238,33831,1,HR,1,100,59
1735117691.639183,225358,34012,1,HR,1,100,58
1735117692.599184,226318,34163,1,HR,1,100,59
1735117693.119184,226838,34264,1,HR,1,100,71
1735117694.092185,227811,34419,1,HR,1,100,69
1735117695.132186,228851,34585,1,HR,1,100,67
1735117696.012187,229731,34734,1,HR,1,100,67
1735117696.852188,230571,34866,1,HR,1,100,68
1735117698.385190,232104,35115,1,HR,1,100,62
1735117699.065191,232784,35221,1,HR,1,100,68
1735117700.185192,233904,35401,1,HR,1,100,64
1735117701.358193,235077,35603,1,HR,1,100,62
1735117702.318194,236037,35752,1,HR,1,100,62
1735117703.318195,237037,35918,1,HR,1,100,61
1735117704.637196,238356,36139,1,HR,1,100,58
1735117705.291197,239010,36240,1,HR,1,100,66
1735117705.691197,239410,36307,1,HR,1,100,85
1735117706.851199,240570,36505,1,HR,1,100,77
1735117708.211200,241930,36705,1,HR,1,100,70
1735117708.984201,242703,36845,1,HR,1,100,72
1735117709.784202,243503,36963,1,HR,1,100,73
1735117710.783203,244502,37127,1,HR,1,100,70
1735117711.744204,245463,37276,1,HR,1,100,68
1735117713.037205,246756,37492,1,HR,1,100,63
1735117714.157206,247876,37679,1,HR,1,100,61
1735117715.276208,248995,37861,1,HR,1,100,60
1735117716.090209,249809,37994,1,HR,1,100,63
1735117717.050210,250769,38145,1,HR,1,100,63
1735117718.129210,251848,38328,1,HR,1,100,61
1735117719.170212,252889,38494,1,HR,1,100,60
1735117720.503213,254222,38714,1,HR,1,100,57
1735117721.622214,255341,38896,1,HR,1,100,56
1735117723.716216,257435,39226,1,HR,1,100,50
1735117724.076217,257795,39294,1,HR,1,100,76
1735117725.035218,258754,39449,1,HR,1,100,73
1735117725.555218,259274,39532,1,HR,1,100,82
1735117727.849221,261568,39911,1,HR,1,100,70
1735117729.408222,263127,40159,1,HR,1,100,63
1735117730.368223,264087,40314,1,HR,1,100,63
1735117730.982224,264701,40414,1,HR,1,100,71
1735117732.221225,265940,40616,1,HR,1,100,66
1735117733.341227,267060,40796,1,HR,1,100,63
1735117734.301228,268020,40962,1,HR,1,100,63
1735117735.275229,268994,41117,1,HR,1,100,63
1735117735.994229,269713,41232,1,HR,1,100,68
1735117736.434230,270153,41300,1,HR,1,100,83
1735117737.474231,271193,41468,1,HR,1,100,77
1735117738.074232,271793,41569,1,HR,1,100,82
1735117739.287233,273006,41766,1,HR,1,100,75
1735117740.567234,274286,41968,1,HR,1,100,69
1735117741.407235,275126,42118,1,HR,1,100,69
1735117744.700238,278419,42648,1,HR,1,100,58
1735117745.420239,279139,42752,1,HR,1,100,64
1735117746.873241,280592,42983,1,HR,1,100,59
1735117747.753242,281472,43133,1,HR,1,100,61
1735117748.513242,282232,43267,1,HR,1,100,65
1735117749.606244,283325,43431,1,HR,1,100,63
1735117752.086246,285805,43834,1,HR,1,100,54
1735117754.019248,287738,44144,1,HR,1,100,49
1735117754.619249,288338,44245,1,HR,1,100,60
1735117755.579250,289298,44402,1,HR,1,100,61
1735117756.619251,290338,44568,1,HR,1,100,60
1735117764.458259,298177,45841,1,HR,1,100,49
1735117765.378260,299097,45996,1,HR,1,100,52
1735117766.178261,299897,46128,1,HR,1,100,57
1735117767.018262,300737,46263,1,HR,1,100,60
1735117769.351264,303070,46641,1,HR,1,100,53
1735117770.151265,303870,46775,1,HR,1,100,58
1735117771.191266,304910,46946,1,HR,1,100,58
1735117771.924267,305643,47062,1,HR,1,100,63
1735117773.524269,307243,47327,1,HR,1,100,58
1735117774.044269,307763,47411,1,HR,1,100,70
1735117775.497271,309216,47644,1,HR,1,100,64
1735117776.617272,310336,47830,1,HR,1,100,62
1735117778.617274,312336,48145,1,HR,1,100,55
1735117779.910275,313629,48360,1,HR,1,100,53
1735117782.310278,316029,48727,1,HR,1,100,47
1735117783.043279,316762,48861,1,HR,1,100,55
1735117783.603279,317322,48944,1,HR,1,100,66
1735117784.363280,318082,49077,1,HR,1,100,69
1735117784.843281,318562,49144,1,HR,1,100,82
1735117786.323282,320042,49397,1,HR,1,100,73
1735117786.736283,320455,49464,1,HR,1,100,90
1735117787.656284,321375,49615,1,HR,1,100,84
1735117788.936285,322655,49813,1,HR,1,100,76
1735117789.536286,323255,49914,1,HR,1,100,81
1735117791.189287,324908,50181,1,HR,1,100,71
1735117793.309289,327028,50527,1,HR,1,100,62
1735117794.042290,327761,50646,1,HR,1,100,67
1735117794.682291,328401,50744,1,HR,1,100,73
1735117795.562292,329281,50893,1,HR,1,100,72
1735117796.282293,330001,51016,1,HR,1,100,74
1735117796.962293,330681,51115,1,HR,1,100,77
1735117797.642294,331361,51234,1,HR,1,100,80
1735117798.335295,332054,51350,1,HR,1,100,82
1735117799.175296,332894,51485,1,HR,1,100,79
1735117799.935297,333654,51617,1,HR,1,100,79
1735117800.575297,334294,51718,1,HR,1,100,82
1735117801.428298,335147,51856,1,HR,1,100,80
1735117802.268299,335987,51990,1,HR,1,100,78
1735117803.228300,336947,52156,1,HR,1,100,75
1735117805.068302,338787,52451,1,HR,1,100,65
1735117806.361303,340080,52655,1,HR,1,100,61
1735117807.121304,340840,52792,1,HR,1,100,65
1735117809.054306,342773,53104,1,HR,1,100,58
1735117810.454308,344173,53324,1,HR,1,100,54
1735117811.134308,344853,53441,1,HR,1,100,62
1735117812.947310,346666,53728,1,HR,1,100,56
1735117813.747311,347466,53861,1,HR,1,100,60
1735117814.867312,348586,54041,1,HR,1,100,58
1735117815.506313,349225,54142,1,HR,1,100,66
1735117816.360314,350079,54274,1,HR,1,100,67
1735117817.160315,350879,54415,1,HR,1,100,69
1735117820.013318,353732,54880,1,HR,1,100,58
1735117820.812318,354531,55012,1,HR,1,100,62
1735117821.732319,355451,55149,1,HR,1,100,63
1735117822.772321,356491,55332,1,HR,1,100,62
1735117824.386322,358105,55597,1,HR,1,100,56
1735117825.106323,358825,55713,1,HR,1,100,62
1735117826.186324,359905,55881,1,HR,1,100,61
1735117827.185325,360904,56053,1,HR,1,100,61
1735117828.998327,362717,56349,1,HR,1,100,55
1735117829.078327,362797,56351,1,HR,1,100,209
1735117831.931330,365650,56815,1,HR,1,100,167
1735117832.771331,366490,56950,1,HR,1,100,146
1735117833.611332,367330,57098,1,HR,1,100,129
1735117835.584334,369303,57410,1,HR,1,100,107
1735117836.464335,370183,57559,1,HR,1,100,99
1735117837.304336,371023,57684,1,HR,1,100,93
1735117838.478337,372197,57884,1,HR,1,100,84
1735117839.397338,373116,58033,1,HR,1,100,79
1735117841.077340,374796,58313,1,HR,1,100,70
1735117841.997341,375716,58464,1,HR,1,100,69
1735117843.290342,377009,58665,1,HR,1,100,64
1735117843.850343,377569,58750,1,HR,1,100,74
1735117846.303345,380022,59147,1,HR,1,100,63
1735117848.023347,381742,59417,1,HR,1,100,56
1735117850.156349,383875,59766,1,HR,1,100,50
1735117850.796350,384515,59865,1,HR,1,100,60
1735117851.756351,385475,60015,1,HR,1,100,60
1735117853.849353,387568,60352,1,HR,1,100,53
1735117854.969354,388688,60535,1,HR,1,100,53
1735117856.729356,390448,60815,1,HR,1,100,49
1735117857.462357,391181,60938,1,HR,1,100,57
1735117858.022357,391741,61023,1,HR,1,100,68
1735117858.142358,391861,61041,1,HR,1,100,164
1735117858.942358,392661,61173,1,HR,1,100,144
1735117859.822359,393541,61325,1,HR,1,100,127
1735117860.995361,394714,61507,1,HR,1,100,111
1735117861.555361,395274,61606,1,HR,1,100,110
1735117861.915362,395634,61643,1,HR,1,100,122
1735117862.795362,396514,61754,1,HR,1,100,110
1735117863.475363,397194,61853,1,HR,1,100,105
1735117864.528364,398247,62036,1,HR,1,100,95
1735117865.368365,399087,62169,1,HR,1,100,90
1735117867.288367,401007,62481,1,HR,1,100,77
1735117868.181368,401900,62622,1,HR,1,100,75
1735117869.061369,402780,62769,1,HR,1,100,73
1735117869.741370,403460,62887,1,HR,1,100,77
1735117870.701371,404420,63036,1,HR,1,100,73
1735117871.621372,405340,63183,1,HR,1,100,72
1735117872.554373,406273,63334,1,HR,1,100,70
1735117873.354373,407073,63474,1,HR,1,100,71
1735117874.714375,408433,63689,1,HR,1,100,65
1735117875.567376,409286,63835,1,HR,1,100,67
1735117877.247378,410966,64102,1,HR,1,100,60
1735117877.687378,411406,64169,1,HR,1,100,77
1735117878.047379,411766,64242,1,HR,1,100,97
1735117879.540380,413259,64473,1,HR,1,100,84
1735117882.460383,416179,64953,1,HR,1,100,70
1735117883.273384,416992,65076,1,HR,1,100,71
1735117884.233385,417952,65225,1,HR,1,100,69
1735117885.233386,418952,65391,1,HR,1,100,67
1735117886.966388,420685,135,1,HR,1,100,60
1735117888.286389,422005,354,1,HR,1,100,57
1735117890.246391,423965,668,1,HR,1,100,51
