LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MZ
1735117619.913107,153632.000,22335,1,MZ,1,100, 9
1735117619.953107,153672.000,22352,2,MZ,1,100, 8
1735117619.993108,153712.000,22352,2,MZ,1,100, 8
1735117620.033108,153752.000,22370,3,MZ,1,100, 9
1735117620.073108,153792.000,22370,3,MZ,1,100, 8
1735117620.113108,153832.000,22370,3,MZ,1,100, 9
1735117620.153108,153872.000,22385,2,MZ,1,100, 7
1735117620.193108,153912.000,22385,2,MZ,1,100, 8
1735117620.233108,153952.000,22402,3,MZ,1,100, 7
1735117620.273108,153992.000,22402,3,MZ,1,100, 8
1735117620.313108,154032.000,22402,3,MZ,1,100, 8
1735117620.353108,154072.000,22419,2,MZ,1,100, 7
1735117620.393108,154112.000,22419,2,MZ,1,100, 8
1735117620.433108,154152.000,22436,3,MZ,1,100, 9
1735117620.473108,154192.000,22436,3,MZ,1,100, 8
1735117620.513108,154232.000,22436,3,MZ,1,100, 8
1735117620.553108,154272.000,22450,2,MZ,1,100, 8
1735117620.593108,154312.000,22450,2,MZ,1,100, 8
1735117620.633108,154352.000,22468,3,MZ,1,100, 9
1735117620.673108,154392.000,22468,3,MZ,1,100, 9
1735117620.713108,154432.000,22468,3,MZ,1,100, 8
1735117620.753108,154472.000,22484,2,MZ,1,100, 9
1735117620.793108,154512.000,22484,2,MZ,1,100, 8
1735117620.832775,154551.667,22501,3,MZ,1,100, 8
1735117620.872442,154591.333,22501,3,MZ,1,100, 9
1735117620.912108,154631.000,22501,3,MZ,1,100, 8
1735117620.952609,154671.500,22518,2,MZ,1,100, 8
1735117620.993109,154712.000,22518,2,MZ,1,100, 8
1735117621.032775,154751.667,22535,3,MZ,1,100, 9
1735117621.072442,154791.333,22535,3,MZ,1,100, 9
1735117621.112109,154831.000,22535,3,MZ,1,100, 8
1735117621.147775,154866.667,22551,3,MZ,1,100, 9
1735117621.183442,154902.333,22551,3,MZ,1,100, 7
1735117621.219109,154938.000,22551,3,MZ,1,100,10
1735117621.259109,154978.000,22569,2,MZ,1,100, 9
1735117621.299109,155018.000,22569,2,MZ,1,100, 9
1735117621.338776,155057.667,22583,3,MZ,1,100, 8
1735117621.378442,155097.333,22583,3,MZ,1,100, 8
1735117621.418109,155137.000,22583,3,MZ,1,100, 9
1735117621.458442,155177.333,22600,3,MZ,1,100, 7
1735117621.498776,155217.667,22600,3,MZ,1,100, 9
1735117621.539109,155258.000,22600,3,MZ,1,100, 8
1735117621.578609,155297.500,22616,2,MZ,1,100, 8
1735117621.618109,155337.000,22616,2,MZ,1,100, 9
1735117621.658442,155377.333,22636,3,MZ,1,100, 8
1735117621.698776,155417.667,22636,3,MZ,1,100, 9
1735117621.739109,155458.000,22636,3,MZ,1,100,10
1735117621.779109,155498.000,22650,2,MZ,1,100, 8
1735117621.819109,155538.000,22650,2,MZ,1,100, 8
1735117621.858776,155577.667,22667,3,MZ,1,100, 9
1735117621.898443,155617.333,22667,3,MZ,1,100, 8
1735117621.938110,155657.000,22667,3,MZ,1,100, 7
1735117621.978110,155697.000,22689,3,MZ,1,100, 8
1735117622.018110,155737.000,22689,3,MZ,1,100, 8
1735117622.058110,155777.000,22689,3,MZ,1,100, 8
1735117622.098610,155817.500,22706,2,MZ,1,100, 8
1735117622.139110,155858.000,22706,2,MZ,1,100, 9
1735117622.179110,155898.000,22722,3,MZ,1,100, 9
1735117622.219110,155938.000,22722,3,MZ,1,100, 8
