LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1735117619.913107,153632.000,22324,1,PI,1,100,151235
1735117619.953107,153672.000,22337,2,PI,1,100,151248
1735117619.993108,153712.000,22337,2,PI,1,100,151252
1735117620.033108,153752.000,22356,3,PI,1,100,151252
1735117620.073108,153792.000,22356,3,PI,1,100,151254
1735117620.113108,153832.000,22356,3,PI,1,100,151251
1735117620.153108,153872.000,22371,2,PI,1,100,151242
1735117620.193108,153912.000,22371,2,PI,1,100,151254
1735117620.233108,153952.000,22387,3,PI,1,100,151277
1735117620.273108,153992.000,22387,3,PI,1,100,151285
1735117620.313108,154032.000,22387,3,PI,1,100,151280
1735117620.353108,154072.000,22404,2,PI,1,100,151283
1735117620.393108,154112.000,22404,2,PI,1,100,151315
1735117620.433108,154152.000,22421,3,PI,1,100,151311
1735117620.473108,154192.000,22421,3,PI,1,100,151323
1735117620.513108,154232.000,22421,3,PI,1,100,151324
1735117620.553108,154272.000,22437,2,PI,1,100,151321
1735117620.593108,154312.000,22437,2,PI,1,100,151295
1735117620.633108,154352.000,22453,3,PI,1,100,151281
1735117620.673108,154392.000,22453,3,PI,1,100,151244
1735117620.713108,154432.000,22453,3,PI,1,100,151257
1735117620.753108,154472.000,22469,2,PI,1,100,151240
1735117620.793108,154512.000,22469,2,PI,1,100,151245
1735117620.832775,154551.667,22486,3,PI,1,100,151253
1735117620.872442,154591.333,22486,3,PI,1,100,151260
1735117620.912108,154631.000,22486,3,PI,1,100,151273
1735117620.952109,154671.000,22505,3,PI,1,100,151269
1735117620.992109,154711.000,22505,3,PI,1,100,151244
1735117621.032109,154751.000,22505,3,PI,1,100,151249
1735117621.072109,154791.000,22520,2,PI,1,100,151279
1735117621.112109,154831.000,22520,2,PI,1,100,151290
1735117621.152442,154871.333,22536,3,PI,1,100,151318
1735117621.192775,154911.667,22536,3,PI,1,100,151317
1735117621.233109,154952.000,22536,3,PI,1,100,151336
1735117621.272609,154991.500,22554,2,PI,1,100,151326
1735117621.312109,155031.000,22554,2,PI,1,100,151346
1735117621.352109,155071.000,22570,3,PI,1,100,151373
1735117621.392109,155111.000,22570,3,PI,1,100,151321
1735117621.432109,155151.000,22570,3,PI,1,100,151306
1735117621.472109,155191.000,22585,2,PI,1,100,151269
1735117621.512109,155231.000,22585,2,PI,1,100,151279
1735117621.552443,155271.333,22601,3,PI,1,100,151288
1735117621.592776,155311.667,22601,3,PI,1,100,151296
1735117621.633109,155352.000,22601,3,PI,1,100,151309
1735117621.673109,155392.000,22621,2,PI,1,100,151313
1735117621.713109,155432.000,22621,2,PI,1,100,151318
1735117621.752776,155471.667,22637,3,PI,1,100,151311
1735117621.792443,155511.333,22637,3,PI,1,100,151319
1735117621.832109,155551.000,22637,3,PI,1,100,151343
1735117621.872109,155591.000,22652,3,PI,1,100,151346
1735117621.912110,155631.000,22652,3,PI,1,100,151343
1735117621.952110,155671.000,22652,3,PI,1,100,151346
1735117621.992110,155711.000,22674,2,PI,1,100,151366
1735117622.032110,155751.000,22674,2,PI,1,100,151384
1735117622.072110,155791.000,22691,3,PI,1,100,151400
1735117622.112110,155831.000,22691,3,PI,1,100,151412
1735117622.152110,155871.000,22691,3,PI,1,100,151417
1735117622.192110,155911.000,22707,2,PI,1,100,151413
1735117622.232110,155951.000,22707,2,PI,1,100,151442
1735117622.272443,155991.333,22725,3,PI,1,100,151452
1735117622.312777,156031.667,22725,3,PI,1,100,151445
1735117622.353110,156072.000,22725,3,PI,1,100,151465
1735117622.392777,156111.667,22739,3,PI,1,100,151463
1735117622.432443,156151.333,22739,3,PI,1,100,151476
1735117622.472110,156191.000,22739,3,PI,1,100,151470
1735117622.512610,156231.500,22756,2,PI,1,100,151495
1735117622.553110,156272.000,22756,2,PI,1,100,151466
1735117622.593110,156312.000,22773,3,PI,1,100,151391
1735117622.633110,156352.000,22773,3,PI,1,100,151379
1735117622.673110,156392.000,22773,3,PI,1,100,151367
1735117622.712610,156431.500,22790,2,PI,1,100,151385
1735117622.752110,156471.000,22790,2,PI,1,100,151384
1735117622.792110,156511.000,22804,3,PI,1,100,151398
1735117622.832110,156551.000,22804,3,PI,1,100,151412
1735117622.872111,156591.000,22804,3,PI,1,100,151393
1735117622.912111,156631.000,22823,2,PI,1,100,151419
1735117622.952111,156671.000,22823,2,PI,1,100,151490
1735117622.992111,156711.000,22840,3,PI,1,100,151486
1735117623.032111,156751.000,22840,3,PI,1,100,151506
1735117623.072111,156791.000,22840,3,PI,1,100,151505
1735117623.112111,156831.000,22857,2,PI,1,100,151488
1735117623.152111,156871.000,22857,2,PI,1,100,151500
1735117623.192111,156911.000,22871,3,PI,1,100,151518
1735117623.232111,156951.000,22871,3,PI,1,100,151494
1735117623.272111,156991.000,22871,3,PI,1,100,151490
1735117623.312111,157031.000,22889,2,PI,1,100,151493
1735117623.352111,157071.000,22889,2,PI,1,100,151496
1735117623.392111,157111.000,22905,3,PI,1,100,151484
1735117623.432111,157151.000,22905,3,PI,1,100,151498
1735117623.472111,157191.000,22905,3,PI,1,100,151494
1735117623.512111,157231.000,22922,2,PI,1,100,151493
1735117623.552111,157271.000,22922,2,PI,1,100,151516
1735117623.592111,157311.000,22938,3,PI,1,100,151507
1735117623.632111,157351.000,22938,3,PI,1,100,151481
1735117623.672111,157391.000,22938,3,PI,1,100,151434
1735117623.719111,157438.000,22954,2,PI,1,100,151397
1735117623.766111,157485.000,22954,2,PI,1,100,151382
1735117623.806112,157525.000,22970,3,PI,1,100,151409
1735117623.846112,157565.000,22970,3,PI,1,100,151400
1735117623.886111,157605.000,22970,3,PI,1,100,151409
1735117623.926112,157645.000,22988,2,PI,1,100,151411
1735117623.966112,157685.000,22988,2,PI,1,100,151404
1735117624.006112,157725.000,23004,3,PI,1,100,151409
1735117624.046112,157765.000,23004,3,PI,1,100,151404
1735117624.086112,157805.000,23004,3,PI,1,100,151399
1735117624.125778,157844.667,23021,3,PI,1,100,151418
1735117624.165445,157884.333,23021,3,PI,1,100,151420
1735117624.205112,157924.000,23021,3,PI,1,100,151395
1735117624.245445,157964.333,23038,3,PI,1,100,151431
1735117624.285779,158004.667,23038,3,PI,1,100,151437
1735117624.326112,158045.000,23038,3,PI,1,100,151430
1735117624.365612,158084.500,23055,2,PI,1,100,151451
1735117624.405112,158124.000,23055,2,PI,1,100,151470
1735117624.445112,158164.000,23071,3,PI,1,100,151448
1735117624.485112,158204.000,23071,3,PI,1,100,151468
1735117624.525112,158244.000,23071,3,PI,1,100,151421
1735117624.565612,158284.500,23088,2,PI,1,100,151398
1735117624.606112,158325.000,23088,2,PI,1,100,151380
1735117624.646112,158365.000,23103,3,PI,1,100,151405
1735117624.686112,158405.000,23103,3,PI,1,100,151379
1735117624.726113,158445.000,23103,3,PI,1,100,151404
1735117624.765613,158484.500,23120,2,PI,1,100,151402
1735117624.805113,158524.000,23120,2,PI,1,100,151391
1735117624.845113,158564.000,23136,3,PI,1,100,151403
1735117624.885113,158604.000,23136,3,PI,1,100,151383
1735117624.925113,158644.000,23136,3,PI,1,100,151397
1735117624.965113,158684.000,23154,2,PI,1,100,151407
1735117625.005113,158724.000,23154,2,PI,1,100,151396
1735117625.045113,158764.000,23170,3,PI,1,100,151423
1735117625.085113,158804.000,23170,3,PI,1,100,151430
1735117625.125113,158844.000,23170,3,PI,1,100,151417
1735117625.165613,158884.500,23187,2,PI,1,100,151453
1735117625.206113,158925.000,23187,2,PI,1,100,151454
