LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1735117619.913107,153632.000,22325,1,PR,1,100,125129
1735117619.953107,153672.000,22338,2,PR,1,100,125133
1735117619.993108,153712.000,22338,2,PR,1,100,125138
1735117620.033108,153752.000,22357,3,PR,1,100,125139
1735117620.073108,153792.000,22357,3,PR,1,100,125134
1735117620.113108,153832.000,22357,3,PR,1,100,125146
1735117620.153108,153872.000,22372,2,PR,1,100,125155
1735117620.193108,153912.000,22372,2,PR,1,100,125152
1735117620.233108,153952.000,22388,3,PR,1,100,125166
1735117620.273108,153992.000,22388,3,PR,1,100,125174
1735117620.313108,154032.000,22388,3,PR,1,100,125201
1735117620.353108,154072.000,22405,2,PR,1,100,125205
1735117620.393108,154112.000,22405,2,PR,1,100,125189
1735117620.433108,154152.000,22422,3,PR,1,100,125207
1735117620.473108,154192.000,22422,3,PR,1,100,125211
1735117620.513108,154232.000,22422,3,PR,1,100,125211
1735117620.553108,154272.000,22438,2,PR,1,100,125206
1735117620.593108,154312.000,22438,2,PR,1,100,125203
1735117620.633108,154352.000,22454,3,PR,1,100,125186
1735117620.673108,154392.000,22454,3,PR,1,100,125188
1735117620.713108,154432.000,22454,3,PR,1,100,125206
1735117620.753108,154472.000,22470,2,PR,1,100,125187
1735117620.793108,154512.000,22470,2,PR,1,100,125218
1735117620.832775,154551.667,22487,3,PR,1,100,125238
1735117620.872442,154591.333,22487,3,PR,1,100,125255
1735117620.912108,154631.000,22487,3,PR,1,100,125256
1735117620.952109,154671.000,22506,3,PR,1,100,125245
1735117620.992109,154711.000,22506,3,PR,1,100,125259
1735117621.032109,154751.000,22506,3,PR,1,100,125265
1735117621.072109,154791.000,22521,2,PR,1,100,125275
1735117621.112109,154831.000,22521,2,PR,1,100,125294
1735117621.152442,154871.333,22537,3,PR,1,100,125311
1735117621.192775,154911.667,22537,3,PR,1,100,125313
1735117621.233109,154952.000,22537,3,PR,1,100,125319
1735117621.272609,154991.500,22555,2,PR,1,100,125329
1735117621.312109,155031.000,22555,2,PR,1,100,125345
1735117621.352109,155071.000,22571,3,PR,1,100,125359
1735117621.392109,155111.000,22571,3,PR,1,100,125338
1735117621.432109,155151.000,22571,3,PR,1,100,125337
1735117621.472109,155191.000,22586,2,PR,1,100,125327
1735117621.512109,155231.000,22586,2,PR,1,100,125357
1735117621.552443,155271.333,22602,3,PR,1,100,125366
1735117621.592776,155311.667,22602,3,PR,1,100,125384
1735117621.633109,155352.000,22602,3,PR,1,100,125403
1735117621.673109,155392.000,22622,2,PR,1,100,125389
1735117621.713109,155432.000,22622,2,PR,1,100,125398
1735117621.752776,155471.667,22638,3,PR,1,100,125433
1735117621.792443,155511.333,22638,3,PR,1,100,125424
1735117621.832109,155551.000,22638,3,PR,1,100,125450
1735117621.872109,155591.000,22653,3,PR,1,100,125454
1735117621.912110,155631.000,22653,3,PR,1,100,125461
1735117621.952110,155671.000,22653,3,PR,1,100,125473
1735117621.992110,155711.000,22675,2,PR,1,100,125480
1735117622.032110,155751.000,22675,2,PR,1,100,125491
1735117622.072110,155791.000,22692,3,PR,1,100,125490
1735117622.112110,155831.000,22692,3,PR,1,100,125508
1735117622.152110,155871.000,22692,3,PR,1,100,125519
1735117622.192110,155911.000,22708,2,PR,1,100,125507
1735117622.232110,155951.000,22708,2,PR,1,100,125539
1735117622.272443,155991.333,22726,3,PR,1,100,125520
1735117622.312777,156031.667,22726,3,PR,1,100,125553
