LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1735117622.002110,155721.000,22670,2,RD,1,100,TL
1735117622.002110,155721.000,22670,2,RD,1,100,TU
1735117624.568112,158287.000,23506,2,RD,1,100,TL
1735117627.134115,160853.000,23506,2,RD,1,100,TU
1735117629.697618,163416.500,24335,2,RD,1,100,TL
1735117632.261120,165980.000,24335,2,RD,1,100,TU
1735117634.821123,168540.000,25109,2,RD,1,100,TL
1735117637.381126,171100.000,25109,2,RD,1,100,TU
1735117639.947129,173666.000,25953,2,RD,1,100,TL
1735117642.513131,176232.000,25953,2,RD,1,100,TU
1735117645.066634,178785.500,26785,2,RD,1,100,TL
1735117647.620136,181339.000,26785,2,RD,1,100,TU
1735117650.173639,183892.500,27628,2,RD,1,100,TL
1735117652.727142,186446.000,27628,2,RD,1,100,TU
1735117655.292645,189011.500,28480,2,RD,1,100,TL
1735117657.858147,191577.000,28480,2,RD,1,100,TU
1735117660.411650,194130.500,29317,2,RD,1,100,TL
1735117662.965153,196684.000,29317,2,RD,1,100,TU
1735117665.519155,199238.000,30152,2,RD,1,100,TL
1735117668.073158,201792.000,30152,2,RD,1,100,TU
1735117670.628161,204347.000,30990,2,RD,1,100,TL
1735117673.183163,206902.000,30990,2,RD,1,100,TU
1735117675.735666,209454.500,31831,2,RD,1,100,TL
1735117678.288169,212007.000,31831,2,RD,1,100,TU
1735117680.854172,214573.000,32683,2,RD,1,100,TL
1735117683.420174,217139.000,32683,2,RD,1,100,TU
1735117685.977177,219696.000,33513,2,RD,1,100,TL
1735117688.534179,222253.000,33513,2,RD,1,100,TU
1735117691.091182,224810.000,34348,2,RD,1,100,TL
1735117693.648185,227367.000,34348,2,RD,1,100,TU
1735117696.211688,229930.500,35182,2,RD,1,100,TL
1735117698.775190,232494.000,35182,2,RD,1,100,TU
1735117701.333193,235052.000,36021,2,RD,1,100,TL
1735117703.891196,237610.000,36021,2,RD,1,100,TU
1735117706.445198,240164.000,36840,2,RD,1,100,TL
1735117708.999201,242718.000,36840,2,RD,1,100,TU
1735117711.563204,245282.000,37674,2,RD,1,100,TL
1735117714.127206,247846.000,37674,2,RD,1,100,TU
1735117716.692709,250411.500,38513,2,RD,1,100,TL
1735117719.258212,252977.000,38513,2,RD,1,100,TU
1735117721.815714,255534.500,39345,2,RD,1,100,TL
1735117724.373217,258092.000,39345,2,RD,1,100,TU
1735117726.939220,260658.000,40178,2,RD,1,100,TL
1735117729.505223,263224.000,40178,2,RD,1,100,TU
1735117732.064225,265783.000,41013,2,RD,1,100,TL
1735117734.623228,268342.000,41013,2,RD,1,100,TU
1735117737.186231,270905.000,41850,2,RD,1,100,TL
1735117739.749233,273468.000,41850,2,RD,1,100,TU
1735117742.302736,276021.500,42665,2,RD,1,100,TL
1735117744.856239,278575.000,42665,2,RD,1,100,TU
1735117747.416241,281135.000,43498,2,RD,1,100,TL
1735117749.976244,283695.000,43498,2,RD,1,100,TU
1735117752.541247,286260.000,44330,2,RD,1,100,TL
1735117755.106249,288825.000,44330,2,RD,1,100,TU
1735117757.665752,291384.500,45161,2,RD,1,100,TL
1735117760.225255,293944.000,45161,2,RD,1,100,TU
1735117762.791257,296510.000,45991,2,RD,1,100,TL
1735117765.357260,299076.000,45991,2,RD,1,100,TU
1735117767.912763,301631.500,46826,2,RD,1,100,TL
1735117770.468266,304187.000,46826,2,RD,1,100,TU
1735117773.024268,306743.000,47661,2,RD,1,100,TL
1735117775.580271,309299.000,47661,2,RD,1,100,TU
1735117778.133774,311852.500,48476,2,RD,1,100,TL
1735117780.687276,314406.000,48476,2,RD,1,100,TU
1735117783.248279,316967.000,49310,2,RD,1,100,TL
1735117785.809282,319528.000,49310,2,RD,1,100,TU
