LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1735117632.857121,166576,24619,1,SA,1,100,0.313473
1735117635.390124,169109,24923,1,SA,1,100,0.157321
1735117646.922136,180641,26765,1,SA,1,100,0.318008
1735117649.055138,182774,27236,1,SA,1,100,0.420894
1735117651.788141,185507,27609,1,SA,1,100,0.225918
1735117658.121148,191840,28548,1,SA,1,100,0.002984
1735117674.919165,208638,31359,1,SA,1,100,0.167169
1735117676.452167,210171,31645,1,SA,1,100,0.109274
1735117678.452169,212171,31884,1,SA,1,100,0.008014
1735117687.452178,221171,33492,1,SA,1,100,0.331074
1735117700.850192,234569,35550,1,SA,1,100,0.028745
1735117702.850194,236569,35919,1,SA,1,100,0.070899
1735117716.715209,250434,38147,1,SA,1,100,0.029355
1735117730.914224,264633,40495,1,SA,1,100,0.194160
1735117741.779235,275498,42285,1,SA,1,100,0.136740
1735117754.644249,288363,44350,1,SA,1,100,0.188898
1735117759.644254,293363,45141,1,SA,1,100,0.122732
1735117762.110257,295829,45543,1,SA,1,100,0.130444
1735117769.176264,302895,46707,1,SA,1,100,0.175249
1735117773.709269,307428,47429,1,SA,1,100,0.169284
1735117797.907294,331626,51351,1,SA,1,100,0.069051
1735117806.307303,340026,52772,1,SA,1,100,0.172782
1735117808.706306,342425,53155,1,SA,1,100,0.162578
1735117809.773307,343492,53254,1,SA,1,100,0.048431
1735117810.106307,343825,53289,1,SA,1,100,0.013063
1735117817.439315,351158,54515,1,SA,1,100,0.044760
1735117817.905315,351624,54647,1,SA,1,100,0.110203
1735117825.705323,359424,55861,1,SA,1,100,0.079324
1735117837.837336,371556,57864,1,SA,1,100,0.087846
1735117845.569344,379288,59111,1,SA,1,100,0.095711
1735117848.568347,382287,59583,1,SA,1,100,0.087249
1735117858.901358,392620,61273,1,SA,1,100,0.210461
1735117879.366380,413085,64490,1,SA,1,100,0.008390
1735117889.698391,423417,685,1,SA,1,100,0.082396
1735117923.894427,457613,6281,1,SA,1,100,0.070641
1735117929.960433,463679,7296,1,SA,1,100,0.103108
1735117942.093446,475812,9279,1,SA,1,100,0.070989
1735117971.423476,505142,14057,1,SA,1,100,0.054760
1735117974.223480,507942,14473,1,SA,1,100,0.007313
1735117974.489480,508208,14697,1,SA,1,100,0.310088
1735117985.555491,519274,16413,1,SA,1,100,0.179948
