LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1735117619.991107,153710.000,22336,1,SF,1,100,4.2722
1735117620.391108,154110.000,22403,1,SF,1,100,4.2227
1735117620.725108,154444.000,22452,1,SF,1,100,4.1739
1735117620.991109,154710.000,22504,1,SF,1,100,4.1256
1735117621.325109,155044.000,22553,1,SF,1,100,4.0779
1735117621.725109,155444.000,22620,1,SF,1,100,4.0307
1735117622.058110,155777.000,22673,1,SF,1,100,3.9841
1735117622.324110,156043.000,22724,1,SF,1,100,3.9380
1735117622.658110,156377.000,22772,1,SF,1,100,3.8924
1735117623.058111,156777.000,22839,1,SF,1,100,3.8474
1735117623.324111,157043.000,22888,1,SF,1,100,3.8029
1735117623.658111,157377.000,22937,1,SF,1,100,3.7589
1735117623.991112,157710.000,22987,1,SF,1,100,3.7154
1735117624.324112,158043.000,23037,1,SF,1,100,3.6725
1735117624.724113,158443.000,23102,1,SF,1,100,3.6300
1735117624.991113,158710.000,23153,1,SF,1,100,3.5880
1735117625.324113,159043.000,23203,1,SF,1,100,3.5465
1735117625.724113,159443.000,23268,1,SF,1,100,3.5054
1735117625.991114,159710.000,23317,1,SF,1,100,3.4649
1735117626.324114,160043.000,23368,1,SF,1,100,3.4248
1735117626.657115,160376.000,23418,1,SF,1,100,3.3852
1735117626.991115,160710.000,23468,1,SF,1,100,3.3460
1735117627.391115,161110.000,23540,1,SF,1,100,3.3073
1735117627.657115,161376.000,23591,1,SF,1,100,3.2691
1735117627.990116,161709.000,23639,1,SF,1,100,3.2312
1735117628.390116,162109.000,23704,1,SF,1,100,3.1939
1735117628.724117,162443.000,23753,1,SF,1,100,3.1569
1735117628.990117,162709.000,23805,1,SF,1,100,3.1204
1735117629.324117,163043.000,23854,1,SF,1,100,3.0843
1735117629.724118,163443.000,23921,1,SF,1,100,3.0486
1735117630.057118,163776.000,23969,1,SF,1,100,3.0134
1735117630.324118,164043.000,24020,1,SF,1,100,2.9785
1735117630.657119,164376.000,24068,1,SF,1,100,2.9440
1735117631.057119,164776.000,24135,1,SF,1,100,2.9100
1735117631.390120,165109.000,24184,1,SF,1,100,2.8763
1735117631.657120,165376.000,24234,1,SF,1,100,2.8431
1735117631.990120,165709.000,24283,1,SF,1,100,2.8102
1735117632.390121,166109.000,24355,1,SF,1,100,2.7777
1735117632.657121,166376.000,24403,1,SF,1,100,2.7455
1735117632.990121,166709.000,24453,1,SF,1,100,2.7138
1735117633.323122,167042.000,24502,1,SF,1,100,2.6824
1735117633.723122,167442.000,24569,1,SF,1,100,2.6513
1735117634.057122,167776.000,24618,1,SF,1,100,2.6207
1735117634.323123,168042.000,24670,1,SF,1,100,4.6726
1735117634.656123,168375.000,24719,1,SF,1,100,4.6186
1735117635.056123,168775.000,24786,1,SF,1,100,4.5651
1735117635.456124,169175.000,24835,1,SF,1,100,4.5123
1735117635.790124,169509.000,24855,1,SF,1,100,4.4601
1735117636.056124,169775.000,24889,1,SF,1,100,4.4085
1735117636.323125,170042.000,24941,1,SF,1,100,6.4398
1735117636.656125,170375.000,24990,1,SF,1,100,6.3653
1735117636.990125,170709.000,25038,1,SF,1,100,6.2916
1735117637.390126,171109.000,25112,1,SF,1,100,6.2189
1735117637.656126,171375.000,25163,1,SF,1,100,6.1469
1735117637.990126,171709.000,25213,1,SF,1,100,6.0758
1735117638.389127,172108.000,25278,1,SF,1,100,6.0055
1735117638.723127,172442.000,25327,1,SF,1,100,5.9361
1735117638.989127,172708.000,25377,1,SF,1,100,5.8674
1735117639.323128,173042.000,25426,1,SF,1,100,5.7995
1735117639.723128,173442.000,25491,1,SF,1,100,5.7324
1735117639.989129,173708.000,25541,1,SF,1,100,5.6661
1735117640.323129,174042.000,25590,1,SF,1,100,5.6006
1735117640.723129,174442.000,25656,1,SF,1,100,5.5358
1735117641.056130,174775.000,25705,1,SF,1,100,5.4717
1735117641.322130,175041.000,25754,1,SF,1,100,5.4084
1735117641.656130,175375.000,25802,1,SF,1,100,5.3459
1735117642.056131,175775.000,25869,1,SF,1,100,5.2840
1735117642.322131,176041.000,25920,1,SF,1,100,5.2229
1735117642.656131,176375.000,25973,1,SF,1,100,5.1625
1735117643.056132,176775.000,26038,1,SF,1,100,5.1028
1735117643.389132,177108.000,26087,1,SF,1,100,5.0437
1735117643.656132,177375.000,26137,1,SF,1,100,4.9854
1735117643.989133,177708.000,26186,1,SF,1,100,4.9277
1735117644.389133,178108.000,26251,1,SF,1,100,4.8707
1735117644.656133,178375.000,26299,1,SF,1,100,4.8144
1735117644.989134,178708.000,26349,1,SF,1,100,4.7587
1735117645.389134,179108.000,26416,1,SF,1,100,4.7036
1735117645.722135,179441.000,26465,1,SF,1,100,4.6492
1735117645.989135,179708.000,26514,1,SF,1,100,4.5954
1735117646.322135,180041.000,26562,1,SF,1,100,4.5423
1735117646.722136,180441.000,26631,1,SF,1,100,4.4897
1735117646.989136,180708.000,26682,1,SF,1,100,4.4378
