LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1735117632.857121,166576,24620,1,SR,1,100,1.133333
1735117635.390124,169109,24924,1,SR,1,100,0.733333
1735117646.922136,180641,26766,1,SR,1,100,0.533333
1735117649.055138,182774,27237,1,SR,1,100,1.266667
1735117651.788141,185507,27610,1,SR,1,100,0.733333
1735117658.121148,191840,28549,1,SR,1,100,0.066667
1735117674.919165,208638,31360,1,SR,1,100,0.466667
1735117676.452167,210171,31646,1,SR,1,100,0.600000
1735117678.452169,212171,31885,1,SR,1,100,0.066667
1735117687.452178,221171,33493,1,SR,1,100,0.866667
1735117700.850192,234569,35551,1,SR,1,100,0.200000
1735117702.850194,236569,35920,1,SR,1,100,0.400000
1735117716.715209,250434,38148,1,SR,1,100,0.266667
1735117730.914224,264633,40496,1,SR,1,100,0.533333
1735117741.779235,275498,42286,1,SR,1,100,0.600000
1735117754.644249,288363,44351,1,SR,1,100,0.600000
1735117759.644254,293363,45142,1,SR,1,100,0.466667
1735117762.110257,295829,45544,1,SR,1,100,0.466667
1735117769.176264,302895,46708,1,SR,1,100,0.533333
1735117773.709269,307428,47430,1,SR,1,100,0.400000
1735117797.907294,331626,51352,1,SR,1,100,0.333333
1735117806.307303,340026,52773,1,SR,1,100,0.733333
1735117808.706306,342425,53156,1,SR,1,100,0.666667
1735117809.773307,343492,53255,1,SR,1,100,0.200000
1735117810.106307,343825,53290,1,SR,1,100,0.066667
1735117817.439315,351158,54516,1,SR,1,100,0.333333
1735117817.905315,351624,54648,1,SR,1,100,0.666667
1735117825.705323,359424,55862,1,SR,1,100,0.333333
1735117837.837336,371556,57865,1,SR,1,100,0.466667
1735117845.569344,379288,59112,1,SR,1,100,0.466667
1735117848.568347,382287,59584,1,SR,1,100,0.400000
1735117858.901358,392620,61274,1,SR,1,100,0.600000
1735117879.366380,413085,64491,1,SR,1,100,0.133333
1735117889.698391,423417,686,1,SR,1,100,0.533333
1735117923.894427,457613,6282,1,SR,1,100,0.466667
1735117929.960433,463679,7297,1,SR,1,100,0.533333
1735117942.093446,475812,9280,1,SR,1,100,0.600000
1735117971.423476,505142,14058,1,SR,1,100,0.400000
1735117974.223480,507942,14474,1,SR,1,100,0.133333
1735117974.489480,508208,14698,1,SR,1,100,1.133333
1735117985.555491,519274,16414,1,SR,1,100,0.600000
