LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1735117619.985107,153704.000,22342,1,T1,1,100,36.006
1735117620.118108,153837.000,22361,1,T1,1,100,36.002
1735117620.251108,153970.000,22392,1,T1,1,100,35.930
1735117620.384108,154103.000,22409,1,T1,1,100,36.041
1735117620.518108,154237.000,22426,1,T1,1,100,36.018
1735117620.651108,154370.000,22458,1,T1,1,100,36.008
1735117620.784108,154503.000,22474,1,T1,1,100,35.968
1735117620.918108,154637.000,22491,1,T1,1,100,36.022
1735117621.051109,154770.000,22525,1,T1,1,100,35.974
1735117621.185109,154904.000,22541,1,T1,1,100,35.882
1735117621.318109,155037.000,22559,1,T1,1,100,36.020
1735117621.451109,155170.000,22590,1,T1,1,100,36.009
1735117621.585109,155304.000,22606,1,T1,1,100,35.968
1735117621.718109,155437.000,22626,1,T1,1,100,36.057
1735117621.851110,155570.000,22657,1,T1,1,100,36.025
1735117621.984110,155703.000,22679,1,T1,1,100,35.940
1735117622.118110,155837.000,22696,1,T1,1,100,35.868
1735117622.251110,155970.000,22712,1,T1,1,100,35.836
1735117622.384110,156103.000,22744,1,T1,1,100,35.858
1735117622.518110,156237.000,22761,1,T1,1,100,35.939
1735117622.651110,156370.000,22778,1,T1,1,100,36.009
1735117622.784111,156503.000,22809,1,T1,1,100,35.897
1735117622.918111,156637.000,22828,1,T1,1,100,35.956
1735117623.051111,156770.000,22845,1,T1,1,100,36.016
1735117623.184111,156903.000,22876,1,T1,1,100,36.113
1735117623.318111,157037.000,22894,1,T1,1,100,36.155
1735117623.451111,157170.000,22910,1,T1,1,100,36.209
1735117623.584111,157303.000,22927,1,T1,1,100,36.090
1735117623.718112,157437.000,22959,1,T1,1,100,36.075
1735117623.851112,157570.000,22975,1,T1,1,100,36.032
1735117623.984112,157703.000,22993,1,T1,1,100,36.085
1735117624.117112,157836.000,23026,1,T1,1,100,36.072
1735117624.251112,157970.000,23043,1,T1,1,100,36.067
1735117624.384112,158103.000,23060,1,T1,1,100,36.029
1735117624.517112,158236.000,23076,1,T1,1,100,35.977
1735117624.651112,158370.000,23108,1,T1,1,100,35.990
1735117624.784112,158503.000,23125,1,T1,1,100,36.102
1735117624.917113,158636.000,23141,1,T1,1,100,35.973
1735117625.051113,158770.000,23175,1,T1,1,100,36.059
1735117625.184113,158903.000,23192,1,T1,1,100,36.026
1735117625.317113,159036.000,23209,1,T1,1,100,35.940
1735117625.451113,159170.000,23240,1,T1,1,100,35.974
1735117625.584113,159303.000,23257,1,T1,1,100,35.953
1735117625.717113,159436.000,23274,1,T1,1,100,35.944
1735117625.851114,159570.000,23291,1,T1,1,100,35.976
1735117625.984114,159703.000,23323,1,T1,1,100,35.954
1735117626.117114,159836.000,23341,1,T1,1,100,35.945
1735117626.250114,159969.000,23358,1,T1,1,100,35.976
1735117626.384114,160103.000,23374,1,T1,1,100,36.025
1735117626.517114,160236.000,23406,1,T1,1,100,36.046
1735117626.650115,160369.000,23424,1,T1,1,100,36.056
1735117626.784115,160503.000,23440,1,T1,1,100,36.059
1735117626.917115,160636.000,23474,1,T1,1,100,36.026
1735117627.050115,160769.000,23493,1,T1,1,100,36.011
1735117627.184115,160903.000,23514,1,T1,1,100,36.076
1735117627.317115,161036.000,23546,1,T1,1,100,35.997
1735117627.450115,161169.000,23563,1,T1,1,100,36.034
1735117627.584116,161303.000,23579,1,T1,1,100,35.979
1735117627.717116,161436.000,23611,1,T1,1,100,36.062
1735117627.850116,161569.000,23628,1,T1,1,100,35.956
1735117627.984116,161703.000,23645,1,T1,1,100,36.052
1735117628.117116,161836.000,23676,1,T1,1,100,36.058
1735117628.250116,161969.000,23693,1,T1,1,100,35.990
1735117628.384116,162103.000,23710,1,T1,1,100,35.925
1735117628.517117,162236.000,23741,1,T1,1,100,35.896
1735117628.650117,162369.000,23759,1,T1,1,100,35.742
1735117628.784117,162503.000,23777,1,T1,1,100,35.853
1735117628.917117,162636.000,23794,1,T1,1,100,36.043
1735117629.050117,162769.000,23826,1,T1,1,100,35.877
1735117629.184117,162903.000,23842,1,T1,1,100,35.876
1735117629.317117,163036.000,23860,1,T1,1,100,35.946
1735117629.450117,163169.000,23891,1,T1,1,100,35.941
1735117629.584118,163303.000,23907,1,T1,1,100,35.939
1735117629.717118,163436.000,23927,1,T1,1,100,35.974
1735117629.850118,163569.000,23943,1,T1,1,100,35.918
1735117629.984118,163703.000,23975,1,T1,1,100,36.000
1735117630.117118,163836.000,23992,1,T1,1,100,35.964
1735117630.250118,163969.000,24008,1,T1,1,100,35.985
1735117630.383118,164102.000,24040,1,T1,1,100,35.993
1735117630.517118,164236.000,24057,1,T1,1,100,35.997
1735117630.650119,164369.000,24074,1,T1,1,100,35.928
1735117630.783119,164502.000,24105,1,T1,1,100,36.004
1735117630.917119,164636.000,24124,1,T1,1,100,36.037
1735117631.050119,164769.000,24141,1,T1,1,100,35.910
1735117631.184119,164903.000,24158,1,T1,1,100,35.890
1735117631.317119,165036.000,24190,1,T1,1,100,36.023
1735117631.450119,165169.000,24206,1,T1,1,100,35.975
1735117631.583120,165302.000,24223,1,T1,1,100,35.918
1735117631.717120,165436.000,24255,1,T1,1,100,35.929
1735117631.850120,165569.000,24271,1,T1,1,100,35.934
1735117631.983120,165702.000,24289,1,T1,1,100,35.936
1735117632.117120,165836.000,24322,1,T1,1,100,35.866
1735117632.250120,165969.000,24343,1,T1,1,100,35.871
1735117632.383121,166102.000,24361,1,T1,1,100,35.838
1735117632.517121,166236.000,24392,1,T1,1,100,35.894
1735117632.650121,166369.000,24409,1,T1,1,100,35.954
1735117632.783121,166502.000,24426,1,T1,1,100,35.874
1735117632.917121,166636.000,24442,1,T1,1,100,35.910
1735117633.050121,166769.000,24474,1,T1,1,100,35.926
1735117633.183121,166902.000,24491,1,T1,1,100,35.861
1735117633.317122,167036.000,24508,1,T1,1,100,35.940
1735117633.450122,167169.000,24541,1,T1,1,100,35.974
1735117633.583122,167302.000,24558,1,T1,1,100,36.060
