LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1735117619.999108,153718.000,22343,1,TH,1,100,33.891
1735117620.133108,153852.000,22376,1,TH,1,100,33.891
1735117620.266108,153985.000,22393,1,TH,1,100,33.865
1735117620.399108,154118.000,22410,1,TH,1,100,33.865
1735117620.533108,154252.000,22427,1,TH,1,100,33.837
1735117620.666108,154385.000,22459,1,TH,1,100,33.837
1735117620.799108,154518.000,22475,1,TH,1,100,33.843
1735117620.933109,154652.000,22492,1,TH,1,100,33.843
1735117621.066109,154785.000,22526,1,TH,1,100,33.915
1735117621.200109,154919.000,22542,1,TH,1,100,33.907
1735117621.333109,155052.000,22560,1,TH,1,100,33.897
1735117621.466109,155185.000,22591,1,TH,1,100,33.904
1735117621.599109,155318.000,22607,1,TH,1,100,33.913
1735117621.733109,155452.000,22627,1,TH,1,100,33.913
1735117621.866109,155585.000,22658,1,TH,1,100,33.858
1735117621.999110,155718.000,22680,1,TH,1,100,33.851
1735117622.132110,155851.000,22697,1,TH,1,100,33.882
1735117622.266110,155985.000,22713,1,TH,1,100,33.882
1735117622.399110,156118.000,22745,1,TH,1,100,33.828
1735117622.533110,156252.000,22762,1,TH,1,100,33.828
1735117622.666110,156385.000,22779,1,TH,1,100,33.890
1735117622.799110,156518.000,22810,1,TH,1,100,33.890
1735117622.932111,156651.000,22829,1,TH,1,100,33.869
1735117623.066111,156785.000,22846,1,TH,1,100,33.869
1735117623.199111,156918.000,22877,1,TH,1,100,33.874
1735117623.332111,157051.000,22895,1,TH,1,100,33.874
1735117623.466111,157185.000,22911,1,TH,1,100,33.827
1735117623.599111,157318.000,22943,1,TH,1,100,33.827
1735117623.733111,157452.000,22960,1,TH,1,100,33.794
1735117623.866112,157585.000,22976,1,TH,1,100,33.794
1735117623.999112,157718.000,22994,1,TH,1,100,33.825
1735117624.132112,157851.000,23027,1,TH,1,100,33.825
1735117624.266112,157985.000,23044,1,TH,1,100,33.916
1735117624.399112,158118.000,23061,1,TH,1,100,33.916
1735117624.532112,158251.000,23077,1,TH,1,100,33.846
1735117624.666112,158385.000,23109,1,TH,1,100,33.846
1735117624.799113,158518.000,23126,1,TH,1,100,33.799
1735117624.932113,158651.000,23142,1,TH,1,100,33.799
1735117625.066113,158785.000,23176,1,TH,1,100,33.885
1735117625.199113,158918.000,23193,1,TH,1,100,33.885
1735117625.332113,159051.000,23210,1,TH,1,100,33.876
1735117625.466113,159185.000,23241,1,TH,1,100,33.876
1735117625.599113,159318.000,23258,1,TH,1,100,33.835
1735117625.732114,159451.000,23275,1,TH,1,100,33.835
1735117625.865114,159584.000,23306,1,TH,1,100,33.830
1735117625.999114,159718.000,23324,1,TH,1,100,33.830
1735117626.132114,159851.000,23342,1,TH,1,100,33.808
1735117626.265114,159984.000,23375,1,TH,1,100,33.807
1735117626.399114,160118.000,23391,1,TH,1,100,33.854
1735117626.532114,160251.000,23407,1,TH,1,100,33.854
1735117626.665115,160384.000,23425,1,TH,1,100,33.840
1735117626.799115,160518.000,23441,1,TH,1,100,33.840
1735117626.932115,160651.000,23475,1,TH,1,100,33.936
1735117627.065115,160784.000,23494,1,TH,1,100,33.936
1735117627.199115,160918.000,23515,1,TH,1,100,33.746
1735117627.332115,161051.000,23547,1,TH,1,100,33.746
1735117627.465115,161184.000,23564,1,TH,1,100,33.826
1735117627.599116,161318.000,23580,1,TH,1,100,33.819
1735117627.732116,161451.000,23612,1,TH,1,100,33.783
1735117627.865116,161584.000,23629,1,TH,1,100,33.790
1735117627.999116,161718.000,23646,1,TH,1,100,33.872
1735117628.132116,161851.000,23677,1,TH,1,100,33.865
1735117628.265116,161984.000,23694,1,TH,1,100,33.831
1735117628.399116,162118.000,23711,1,TH,1,100,33.831
1735117628.532116,162251.000,23742,1,TH,1,100,33.831
1735117628.665117,162384.000,23760,1,TH,1,100,33.831
1735117628.798117,162517.000,23778,1,TH,1,100,33.814
1735117628.932117,162651.000,23795,1,TH,1,100,33.814
1735117629.065117,162784.000,23827,1,TH,1,100,33.826
1735117629.198117,162917.000,23843,1,TH,1,100,33.833
1735117629.332117,163051.000,23861,1,TH,1,100,33.821
1735117629.465117,163184.000,23892,1,TH,1,100,33.814
1735117629.598118,163317.000,23908,1,TH,1,100,33.795
1735117629.732118,163451.000,23928,1,TH,1,100,33.795
1735117629.865118,163584.000,23959,1,TH,1,100,33.829
1735117629.998118,163717.000,23976,1,TH,1,100,33.829
1735117630.132118,163851.000,23993,1,TH,1,100,33.778
1735117630.265118,163984.000,24009,1,TH,1,100,33.778
1735117630.398118,164117.000,24041,1,TH,1,100,33.834
1735117630.532119,164251.000,24058,1,TH,1,100,33.834
1735117630.665119,164384.000,24075,1,TH,1,100,33.770
1735117630.798119,164517.000,24106,1,TH,1,100,33.770
1735117630.932119,164651.000,24125,1,TH,1,100,33.754
1735117631.065119,164784.000,24142,1,TH,1,100,33.754
1735117631.198119,164917.000,24173,1,TH,1,100,33.903
1735117631.332119,165051.000,24191,1,TH,1,100,33.903
1735117631.465120,165184.000,24207,1,TH,1,100,33.796
1735117631.598120,165317.000,24224,1,TH,1,100,33.796
1735117631.732120,165451.000,24256,1,TH,1,100,33.755
1735117631.865120,165584.000,24272,1,TH,1,100,33.755
1735117631.998120,165717.000,24290,1,TH,1,100,33.772
1735117632.132120,165851.000,24323,1,TH,1,100,33.772
1735117632.265121,165984.000,24344,1,TH,1,100,33.793
1735117632.398121,166117.000,24362,1,TH,1,100,33.793
1735117632.532121,166251.000,24393,1,TH,1,100,33.817
1735117632.665121,166384.000,24410,1,TH,1,100,33.817
1735117632.798121,166517.000,24427,1,TH,1,100,33.863
1735117632.931121,166650.000,24459,1,TH,1,100,33.863
1735117633.065121,166784.000,24475,1,TH,1,100,33.765
1735117633.198121,166917.000,24492,1,TH,1,100,33.765
1735117633.331121,167050.000,24509,1,TH,1,100,33.788
1735117633.465122,167184.000,24542,1,TH,1,100,33.788
1735117633.598122,167317.000,24559,1,TH,1,100,33.772
1735117633.731122,167450.000,24576,1,TH,1,100,33.772
1735117633.865122,167584.000,24607,1,TH,1,100,33.891
1735117633.998122,167717.000,24627,1,TH,1,100,33.891
1735117634.131122,167850.000,24643,1,TH,1,100,33.831
1735117634.265122,167984.000,24660,1,TH,1,100,33.831
1735117634.398123,168117.000,24692,1,TH,1,100,33.675
1735117634.531123,168250.000,24708,1,TH,1,100,33.674
1735117634.665123,168384.000,24726,1,TH,1,100,33.811
1735117634.798123,168517.000,24757,1,TH,1,100,33.811
1735117634.931123,168650.000,24775,1,TH,1,100,33.781
1735117635.065123,168784.000,24793,1,TH,1,100,33.781
1735117635.198123,168917.000,24824,1,TH,1,100,33.783
1735117635.331124,169050.000,24842,2,TH,1,100,33.783
1735117635.464124,169183.000,24842,2,TH,1,100,33.778
1735117635.597624,169316.500,24862,2,TH,1,100,33.778
1735117635.731124,169450.000,24862,2,TH,1,100,33.860
1735117635.864124,169583.000,24878,1,TH,1,100,33.860
1735117635.998124,169717.000,24896,1,TH,1,100,33.839
1735117636.131124,169850.000,24912,1,TH,1,100,33.832
1735117636.265125,169984.000,24931,1,TH,1,100,33.745
1735117636.398125,170117.000,24963,1,TH,1,100,33.745
1735117636.531125,170250.000,24979,1,TH,1,100,33.773
1735117636.664125,170383.000,24997,1,TH,1,100,33.781
1735117636.798125,170517.000,25013,1,TH,1,100,33.801
1735117636.931125,170650.000,25045,1,TH,1,100,33.794
1735117637.064126,170783.000,25064,1,TH,1,100,33.773
1735117637.198126,170917.000,25082,1,TH,1,100,33.773
1735117637.331126,171050.000,25119,1,TH,1,100,33.760
1735117637.464126,171183.000,25136,1,TH,1,100,33.767
1735117637.598126,171317.000,25152,1,TH,1,100,33.745
1735117637.731126,171450.000,25186,1,TH,1,100,33.737
1735117637.864126,171583.000,25203,1,TH,1,100,33.750
1735117637.998127,171717.000,25220,1,TH,1,100,33.757
1735117638.131127,171850.000,25251,1,TH,1,100,33.765
1735117638.264127,171983.000,25268,1,TH,1,100,33.765
1735117638.398127,172117.000,25285,1,TH,1,100,33.775
1735117638.531127,172250.000,25302,1,TH,1,100,33.768
1735117638.664127,172383.000,25334,1,TH,1,100,33.799
1735117638.797127,172516.000,25350,1,TH,1,100,33.806
1735117638.931127,172650.000,25367,1,TH,1,100,33.827
1735117639.064127,172783.000,25399,1,TH,1,100,33.827
1735117639.198128,172917.000,25415,1,TH,1,100,33.816
1735117639.331128,173050.000,25433,1,TH,1,100,33.816
1735117639.464128,173183.000,25464,1,TH,1,100,33.801
1735117639.597128,173316.000,25480,1,TH,1,100,33.801
1735117639.731128,173450.000,25498,1,TH,1,100,33.806
1735117639.864128,173583.000,25529,1,TH,1,100,33.806
1735117639.997128,173716.000,25548,1,TH,1,100,33.669
1735117640.131129,173850.000,25565,1,TH,1,100,33.669
1735117640.264129,173983.000,25597,1,TH,1,100,33.798
1735117640.397129,174116.000,25613,1,TH,1,100,33.798
1735117640.531129,174250.000,25630,1,TH,1,100,33.827
1735117640.664129,174383.000,25662,1,TH,1,100,33.827
1735117640.797129,174516.000,25678,1,TH,1,100,33.739
1735117640.931129,174650.000,25695,1,TH,1,100,33.739
1735117641.064130,174783.000,25712,1,TH,1,100,33.745
1735117641.197130,174916.000,25743,1,TH,1,100,33.737
1735117641.331130,175050.000,25761,1,TH,1,100,33.753
1735117641.464130,175183.000,25777,1,TH,1,100,33.760
1735117641.597130,175316.000,25809,1,TH,1,100,33.842
1735117641.731130,175450.000,25826,1,TH,1,100,33.842
1735117641.864130,175583.000,25842,1,TH,1,100,33.755
1735117641.997131,175716.000,25876,1,TH,1,100,33.748
1735117642.130131,175849.000,25893,1,TH,1,100,33.753
1735117642.264131,175983.000,25909,1,TH,1,100,33.760
1735117642.397131,176116.000,25941,1,TH,1,100,33.808
