LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1735117622.011110,155730.000,22671,1,TL,1,100,2024-12-25_16-07-02-006165
1735117627.132115,160851.000,23504,1,TL,1,100,2024-12-25_16-07-02-081700
1735117627.140115,160859.000,23507,1,TL,1,100,2024-12-25_16-07-07-137115
1735117632.255120,165974.000,24333,1,TL,1,100,2024-12-25_16-07-07-224877
1735117632.285120,166004.000,24336,1,TL,1,100,2024-12-25_16-07-12-268263
1735117637.379126,171098.000,25107,1,TL,1,100,2024-12-25_16-07-12-333292
1735117637.392126,171111.000,25110,1,TL,1,100,2024-12-25_16-07-17-386638
1735117642.511131,176230.000,25951,1,TL,1,100,2024-12-25_16-07-17-429608
1735117642.534131,176253.000,25954,1,TL,1,100,2024-12-25_16-07-22-524465
1735117647.618136,181337.000,26783,1,TL,1,100,2024-12-25_16-07-22-600175
1735117647.631137,181350.000,26786,1,TL,1,100,2024-12-25_16-07-27-626267
1735117652.726142,186445.000,27626,1,TL,1,100,2024-12-25_16-07-27-674522
1735117652.740142,186459.000,27629,1,TL,1,100,2024-12-25_16-07-32-734933
1735117657.856147,191575.000,28478,1,TL,1,100,2024-12-25_16-07-32-762721
1735117657.870147,191589.000,28481,1,TL,1,100,2024-12-25_16-07-37-864443
1735117662.963153,196682.000,29315,1,TL,1,100,2024-12-25_16-07-37-943480
1735117662.978153,196697.000,29318,1,TL,1,100,2024-12-25_16-07-42-973263
1735117668.071158,201790.000,30150,1,TL,1,100,2024-12-25_16-07-43-012995
1735117668.085158,201804.000,30153,1,TL,1,100,2024-12-25_16-07-48-079604
1735117673.181163,206900.000,30988,1,TL,1,100,2024-12-25_16-07-48-107745
1735117673.216163,206935.000,30991,1,TL,1,100,2024-12-25_16-07-53-189044
1735117678.287169,212006.000,31829,1,TL,1,100,2024-12-25_16-07-53-279362
1735117678.308169,212027.000,31832,1,TL,1,100,2024-12-25_16-07-58-295853
1735117683.419174,217138.000,32681,1,TL,1,100,2024-12-25_16-07-58-332230
1735117683.432174,217151.000,32684,1,TL,1,100,2024-12-25_16-08-03-426359
1735117688.529180,222248.000,33511,1,TL,1,100,2024-12-25_16-08-03-508886
1735117688.542180,222261.000,33514,1,TL,1,100,2024-12-25_16-08-08-538976
1735117693.646185,227365.000,34346,1,TL,1,100,2024-12-25_16-08-08-677240
1735117693.657185,227376.000,34349,1,TL,1,100,2024-12-25_16-08-13-653064
1735117698.773190,232492.000,35180,1,TL,1,100,2024-12-25_16-08-13-787058
1735117698.794190,232513.000,35183,1,TL,1,100,2024-12-25_16-08-18-788385
1735117703.887196,237606.000,36019,1,TL,1,100,2024-12-25_16-08-18-908248
1735117703.901196,237620.000,36022,1,TL,1,100,2024-12-25_16-08-23-896676
1735117708.997201,242716.000,36838,1,TL,1,100,2024-12-25_16-08-24-024428
1735117709.015201,242734.000,36841,1,TL,1,100,2024-12-25_16-08-29-010190
1735117714.120206,247839.000,37672,1,TL,1,100,2024-12-25_16-08-29-137050
1735117714.143206,247862.000,37675,1,TL,1,100,2024-12-25_16-08-34-135432
1735117719.256212,252975.000,38511,1,TL,1,100,2024-12-25_16-08-34-283970
