RD,TS_received,TS_sent,AK,RoundTrip,
155721,155730,2024-12-25_16-07-02-006165,155731,9,
160853,160859,2024-12-25_16-07-07-137115,160860,6,
165980,166004,2024-12-25_16-07-12-268263,166005,24,
171100,171111,2024-12-25_16-07-17-386638,171112,11,
176232,176253,2024-12-25_16-07-22-524465,176257,21,
181339,181350,2024-12-25_16-07-27-626267,181351,11,
186446,186459,2024-12-25_16-07-32-734933,186460,13,
191577,191589,2024-12-25_16-07-37-864443,191590,12,
196684,196697,2024-12-25_16-07-42-973263,196698,13,
201792,201804,2024-12-25_16-07-48-079604,201805,12,
206902,206935,2024-12-25_16-07-53-189044,206936,33,
212007,212027,2024-12-25_16-07-58-295853,212028,20,
217139,217151,2024-12-25_16-08-03-426359,217152,12,
222253,222261,2024-12-25_16-08-08-538976,222266,8,
227367,227376,2024-12-25_16-08-13-653064,227378,9,
232494,232513,2024-12-25_16-08-18-788385,232517,19,
237610,237620,2024-12-25_16-08-23-896676,237623,10,
242718,242734,2024-12-25_16-08-29-010190,242735,16,
247846,247862,2024-12-25_16-08-34-135432,247864,16,
252977,253003,2024-12-25_16-08-39-280688,253005,26,
258092,258105,2024-12-25_16-08-44-381345,258111,13,
263224,263235,2024-12-25_16-08-49-509914,263237,11,
268342,268354,2024-12-25_16-08-54-627676,268355,12,
273468,273480,2024-12-25_16-08-59-754961,273481,12,
278575,278588,2024-12-25_16-09-04-862868,278589,13,
283695,283708,2024-12-25_16-09-09-982181,283709,13,
288825,288835,2024-12-25_16-09-15-111799,288836,10,
293944,293954,2024-12-25_16-09-20-231231,293957,10,
299076,299085,2024-12-25_16-09-25-363089,299087,9,
304187,304205,2024-12-25_16-09-30-478597,304206,18,
309299,309311,2024-12-25_16-09-35-585812,309313,12,
314406,314449,2024-12-25_16-09-40-712687,314451,43,
319528,319537,2024-12-25_16-09-45-814379,319538,9,
324646,324658,2024-12-25_16-09-50-934421,324660,12,
329763,329775,2024-12-25_16-09-56-051088,329776,12,
334877,334969,2024-12-25_16-10-01-246587,334970,92,
340013,340022,2024-12-25_16-10-06-298577,340023,9,
345121,345129,2024-12-25_16-10-11-406488,345130,8,
350234,350247,2024-12-25_16-10-16-521638,350248,13,
355354,355373,2024-12-25_16-10-21-642813,355378,19,
360474,360492,2024-12-25_16-10-26-762181,360493,18,
365590,365599,2024-12-25_16-10-31-875912,365600,9,
370720,370732,2024-12-25_16-10-37-007803,370733,12,
375839,375854,2024-12-25_16-10-42-129628,375855,15,
380949,380975,2024-12-25_16-10-47-249056,380976,26,
386055,386092,2024-12-25_16-10-52-345535,386098,37,
391169,391178,2024-12-25_16-10-57-455108,391183,9,
396288,396304,2024-12-25_16-11-02-576227,396305,16,
401416,401462,2024-12-25_16-11-07-709486,401463,46,
406533,406542,2024-12-25_16-11-12-819750,406544,9,
411642,411654,2024-12-25_16-11-17-931548,411655,12,
416754,416766,2024-12-25_16-11-23-041225,416767,12,
421876,421890,2024-12-25_16-11-28-162710,421891,14,
426985,426997,2024-12-25_16-11-33-273391,426998,12,
432100,432112,2024-12-25_16-11-38-388982,432113,12,
437222,437233,2024-12-25_16-11-43-510411,437234,11,
442331,442343,2024-12-25_16-11-48-618757,442344,12,
447438,447458,2024-12-25_16-11-53-727800,447459,20,
452550,452566,2024-12-25_16-11-58-837552,452571,16,
457681,457725,2024-12-25_16-12-03-999251,457727,44,
462784,462794,2024-12-25_16-12-09-070432,462795,10,
467898,467948,2024-12-25_16-12-14-212937,467950,50,
473007,473048,2024-12-25_16-12-19-325925,473049,41,
478112,478125,2024-12-25_16-12-24-401124,478126,13,
483242,483256,2024-12-25_16-12-29-530716,483258,14,
488374,488387,2024-12-25_16-12-34-661183,488388,13,
493481,493506,2024-12-25_16-12-39-779016,493507,25,
498589,498604,2024-12-25_16-12-44-879446,498605,15,
503720,503734,2024-12-25_16-12-50-011680,503735,14,
508827,508838,2024-12-25_16-12-55-114928,508840,11,
513938,513971,2024-12-25_16-13-00-236643,513972,33,
519044,519121,2024-12-25_16-13-05-356168,519122,77,
524156,524170,2024-12-25_16-13-10-444095,524171,14,
529268,529283,2024-12-25_16-13-15-557589,529284,15,
