LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1735118210.301891,744020.000,53052,2,AK,1,100,52280
1735118210.301891,744020.000,53052,2,AK,1,100,RD
1735118210.307891,744026.000,53055,2,AK,1,100,53053
1735118210.313891,744032.000,53055,2,AK,1,100,RD
1735118212.869391,746587.500,53889,2,AK,1,100,53053
1735118215.424892,749143.000,53889,2,AK,1,100,RD
1735118215.432892,749151.000,53892,2,AK,1,100,53890
1735118215.440892,749159.000,53892,2,AK,1,100,RD
1735118217.987892,751706.000,54730,2,AK,1,100,53890
1735118220.534893,754253.000,54730,2,AK,1,100,RD
1735118220.558892,754277.000,54733,2,AK,1,100,54731
1735118220.582893,754301.000,54733,2,AK,1,100,RD
1735118223.116393,756834.500,55564,2,AK,1,100,54731
1735118225.649893,759368.000,55564,2,AK,1,100,RD
1735118228.214894,761933.000,56399,2,AK,1,100,55565
1735118230.779894,764498.000,56399,2,AK,1,100,RD
1735118230.780894,764499.000,56401,2,AK,1,100,55565
1735118230.781894,764500.000,56401,2,AK,1,100,RD
1735118230.791394,764509.500,56404,2,AK,1,100,56402
1735118230.800894,764519.000,56404,2,AK,1,100,RD
1735118233.350394,767068.500,57222,2,AK,1,100,56402
1735118235.899895,769618.000,57222,2,AK,1,100,RD
1735118235.909895,769628.000,57225,2,AK,1,100,57223
1735118235.919895,769638.000,57225,2,AK,1,100,RD
1735118238.465895,772184.000,58047,2,AK,1,100,57223
1735118241.011896,774730.000,58047,2,AK,1,100,RD
1735118243.565896,777284.000,58872,2,AK,1,100,58048
1735118246.119897,779838.000,58872,2,AK,1,100,RD
1735118246.121397,779839.500,58874,2,AK,1,100,58048
1735118246.122897,779841.000,58874,2,AK,1,100,RD
1735118246.131896,779850.000,58877,2,AK,1,100,58875
1735118246.140897,779859.000,58877,2,AK,1,100,RD
1735118248.683897,782402.000,59650,2,AK,1,100,58875
1735118251.226897,784945.000,59650,2,AK,1,100,RD
