LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AX
1735118209.400891,743119.000,52894,8,AX,1,100,0.954
1735118209.400891,743119.000,52894,8,AX,1,100,0.955
1735118209.400891,743119.000,52894,8,AX,1,100,0.954
1735118209.400891,743119.000,52894,8,AX,1,100,0.954
1735118209.400891,743119.000,52894,8,AX,1,100,0.950
1735118209.400891,743119.000,52894,8,AX,1,100,0.951
1735118209.400891,743119.000,52894,8,AX,1,100,0.951
1735118209.400891,743119.000,52894,8,AX,1,100,0.950
1735118209.440891,743159.000,52908,3,AX,1,100,0.949
1735118209.480891,743199.000,52908,3,AX,1,100,0.948
1735118209.520891,743239.000,52908,3,AX,1,100,0.951
1735118209.560891,743279.000,52926,1,AX,1,100,0.954
1735118209.600891,743319.000,52942,2,AX,1,100,0.958
1735118209.640891,743359.000,52942,2,AX,1,100,0.952
1735118209.680891,743399.000,52958,3,AX,1,100,0.949
1735118209.720891,743439.000,52958,3,AX,1,100,0.953
1735118209.760891,743479.000,52958,3,AX,1,100,0.952
1735118209.800891,743519.000,52974,2,AX,1,100,0.954
1735118209.840891,743559.000,52974,2,AX,1,100,0.950
1735118209.876558,743594.667,52992,3,AX,1,100,0.949
1735118209.912224,743630.333,52992,3,AX,1,100,0.952
1735118209.947891,743666.000,52992,3,AX,1,100,0.953
1735118209.987891,743706.000,53010,3,AX,1,100,0.950
1735118210.027891,743746.000,53010,3,AX,1,100,0.954
1735118210.067891,743786.000,53010,3,AX,1,100,0.952
1735118210.107891,743826.000,53025,2,AX,1,100,0.956
1735118210.147891,743866.000,53025,2,AX,1,100,0.951
1735118210.187891,743906.000,53042,3,AX,1,100,0.952
1735118210.227891,743946.000,53042,3,AX,1,100,0.952
1735118210.267891,743986.000,53042,3,AX,1,100,0.955
1735118210.307891,744026.000,53064,3,AX,1,100,0.952
1735118210.347891,744066.000,53064,3,AX,1,100,0.949
1735118210.387891,744106.000,53064,3,AX,1,100,0.950
1735118210.427891,744146.000,53080,3,AX,1,100,0.955
1735118210.467891,744186.000,53080,3,AX,1,100,0.956
1735118210.507891,744226.000,53080,3,AX,1,100,0.953
1735118210.547891,744266.000,53098,2,AX,1,100,0.952
1735118210.587891,744306.000,53098,2,AX,1,100,0.951
1735118210.627891,744346.000,53112,3,AX,1,100,0.952
1735118210.667891,744386.000,53112,3,AX,1,100,0.954
1735118210.707891,744426.000,53112,3,AX,1,100,0.953
1735118210.747891,744466.000,53129,2,AX,1,100,0.951
1735118210.787891,744506.000,53129,2,AX,1,100,0.952
1735118210.827558,744545.667,53147,3,AX,1,100,0.950
