LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1735118211.898891,745617.000,53322,1,B%,1,100,81
1735118216.898892,750617.000,54145,1,B%,1,100,80
1735118221.897893,755616.000,54967,1,B%,1,100,80
1735118226.897894,760616.000,55784,1,B%,1,100,80
1735118231.896894,765615.000,56589,1,B%,1,100,80
1735118236.896895,770615.000,57397,1,B%,1,100,80
1735118241.895896,775614.000,58202,1,B%,1,100,79
1735118246.895897,780614.000,59012,1,B%,1,100,79
1735118251.894897,785613.000,59774,1,B%,1,100,79
1735118256.894898,790613.000,60597,1,B%,1,100,80
1735118261.893899,795612.000,61398,1,B%,1,100,81
1735118266.893900,800612.000,62218,1,B%,1,100,80
1735118271.892900,805611.000,63024,1,B%,1,100,80
1735118276.892901,810611.000,63841,1,B%,1,100,80
1735118281.891902,815610.000,64657,1,B%,1,100,80
1735118286.891903,820610.000,65481,1,B%,1,100,80
1735118291.890904,825609.000,769,1,B%,1,100,80
1735118296.890904,830609.000,1586,1,B%,1,100,79
1735118301.889905,835608.000,2408,1,B%,1,100,80
1735118306.889906,840608.000,3223,1,B%,1,100,79
1735118311.888907,845607.000,4037,1,B%,1,100,80
1735118316.888908,850607.000,4859,1,B%,1,100,80
1735118321.887908,855606.000,5693,1,B%,1,100,79
1735118326.887909,860606.000,6509,1,B%,1,100,79
1735118331.886910,865605.000,7334,1,B%,1,100,79
1735118336.886911,870605.000,8147,1,B%,1,100,79
1735118341.885911,875604.000,8967,1,B%,1,100,80
1735118346.885912,880604.000,9782,1,B%,1,100,79
1735118351.884913,885603.000,10577,1,B%,1,100,79
1735118356.884914,890603.000,11394,1,B%,1,100,78
1735118361.883914,895602.000,12222,1,B%,1,100,79
1735118366.883915,900602.000,13038,1,B%,1,100,79
1735118371.882916,905601.000,13855,1,B%,1,100,79
1735118376.882917,910601.000,14667,1,B%,1,100,79
1735118381.881918,915600.000,15483,1,B%,1,100,79
1735118386.881918,920600.000,16321,1,B%,1,100,79
1735118391.880919,925599.000,17141,1,B%,1,100,80
1735118396.880920,930599.000,17938,1,B%,1,100,79
1735118401.879921,935598.000,18754,1,B%,1,100,79
1735118406.879921,940598.000,19592,1,B%,1,100,79
1735118411.878922,945597.000,20395,1,B%,1,100,80
1735118416.878923,950597.000,21235,1,B%,1,100,79
1735118421.877924,955596.000,22060,1,B%,1,100,79
1735118426.877925,960596.000,22876,1,B%,1,100,78
1735118431.876925,965595.000,23698,1,B%,1,100,78
1735118436.876926,970595.000,24513,1,B%,1,100,79
1735118441.875927,975594.000,25338,1,B%,1,100,79
1735118446.875928,980594.000,26162,1,B%,1,100,78
1735118451.874928,985593.000,26983,1,B%,1,100,78
1735118456.874929,990593.000,27825,1,B%,1,100,78
1735118461.873930,995592.000,28650,1,B%,1,100,78
1735118466.873931,1000592.000,29467,1,B%,1,100,79
1735118471.872932,1005591.000,30284,1,B%,1,100,78
1735118476.872932,1010591.000,31117,1,B%,1,100,78
1735118481.871933,1015590.000,31917,1,B%,1,100,78
1735118486.871934,1020590.000,32720,1,B%,1,100,78
1735118491.870935,1025589.000,33542,1,B%,1,100,78
1735118496.870935,1030589.000,34317,1,B%,1,100,77
1735118501.869936,1035588.000,35131,1,B%,1,100,77
1735118506.869937,1040588.000,35952,1,B%,1,100,77
